t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c,power_inst_w
1790281177.658603,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.668672,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.678667,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.688665,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.698671,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.708666,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.718663,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.728668,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.738669,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.748666,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.758663,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.768667,66.626,1695,7601,0.0,0.0,30.0,60.319
1790281177.778661,66.626,1695,7601,0.0,0.0,32.0,60.319
1790281177.788662,66.626,1695,7601,0.0,0.0,32.0,60.319
1790281177.798660,66.626,210,7601,0.0,0.0,32.0,60.319
1790281177.808662,66.626,210,7601,0.0,0.0,31.0,60.319
1790281177.818661,67.843,210,7601,0.0,0.0,31.0,73.728
1790281177.828662,67.843,210,7601,0.0,0.0,31.0,73.728
1790281177.838661,67.843,210,7601,10.0,10.0,31.0,73.728
1790281177.848661,67.843,210,7601,10.0,10.0,31.0,73.728
1790281177.858661,67.843,210,7601,10.0,10.0,31.0,73.728
1790281177.868661,67.843,210,7601,10.0,10.0,31.0,73.728
1790281177.878665,67.843,210,7601,10.0,10.0,31.0,73.728
1790281177.888664,67.843,210,7601,10.0,10.0,31.0,73.728
1790281177.898663,67.843,1125,7601,10.0,10.0,31.0,73.728
1790281177.908664,67.843,1125,7601,10.0,10.0,31.0,73.728
1790281177.918662,73.494,1125,7601,10.0,10.0,31.0,122.527
1790281177.928663,73.494,1125,7601,10.0,10.0,31.0,122.527
1790281177.938662,73.494,1125,7601,10.0,10.0,31.0,122.527
1790281177.948662,73.494,1125,7601,10.0,10.0,31.0,122.527
1790281177.958661,73.494,1125,7601,10.0,10.0,31.0,122.527
1790281177.968659,73.494,1125,7601,10.0,10.0,31.0,122.527
1790281177.978659,73.494,1125,7601,10.0,10.0,31.0,122.527
1790281177.988659,73.494,1125,7601,10.0,10.0,31.0,122.527
1790281177.998660,73.494,315,7601,10.0,10.0,31.0,122.527
1790281178.008662,73.494,315,7601,10.0,10.0,31.0,122.527
1790281178.018662,77.380,315,7601,10.0,10.0,31.0,104.184
1790281178.028661,77.380,315,7601,10.0,10.0,31.0,104.184
1790281178.038662,77.380,315,7601,75.0,42.0,31.0,104.184
1790281178.048661,77.380,315,7601,75.0,42.0,31.0,104.184
1790281178.058663,77.380,315,7601,75.0,42.0,31.0,104.184
1790281178.068662,77.380,315,7601,75.0,42.0,31.0,104.184
1790281178.078659,77.380,315,7601,75.0,42.0,31.0,104.184
1790281178.088659,77.380,315,7601,75.0,42.0,31.0,104.184
1790281178.098661,77.380,315,7601,75.0,42.0,31.0,104.184
1790281178.108659,77.380,315,7601,75.0,42.0,31.0,104.184
1790281178.118662,80.976,315,7601,75.0,42.0,31.0,99.844
1790281178.128662,80.976,315,7601,75.0,42.0,31.0,99.844
1790281178.138661,80.976,315,7601,75.0,42.0,31.0,99.844
1790281178.148661,80.976,315,7601,75.0,42.0,31.0,99.844
1790281178.158661,80.976,315,7601,75.0,42.0,31.0,99.844
1790281178.168659,80.976,315,7601,75.0,42.0,31.0,99.844
1790281178.178659,80.976,315,7601,75.0,42.0,31.0,99.844
1790281178.188660,80.976,315,7601,75.0,42.0,31.0,99.844
1790281178.198663,80.976,315,7601,75.0,42.0,31.0,99.844
1790281178.208659,80.976,315,7601,75.0,42.0,31.0,99.844
1790281178.218661,80.554,315,7601,75.0,42.0,31.0,100.349
1790281178.228662,80.554,315,7601,75.0,42.0,31.0,100.349
1790281178.238662,80.554,315,7601,99.0,37.0,31.0,100.349
1790281178.248662,80.554,315,7601,99.0,37.0,31.0,100.349
1790281178.258661,80.554,315,7601,99.0,37.0,31.0,100.349
1790281178.268660,80.554,315,7601,99.0,37.0,31.0,100.349
1790281178.278660,80.554,315,7601,99.0,37.0,31.0,100.349
1790281178.288661,80.554,315,7601,99.0,37.0,31.0,100.349
1790281178.298662,80.554,315,7601,99.0,37.0,31.0,100.349
1790281178.308662,80.554,315,7601,99.0,37.0,31.0,100.349
1790281178.318659,81.787,315,7601,99.0,37.0,31.0,100.462
1790281178.328660,81.787,315,7601,99.0,37.0,31.0,100.462
1790281178.338661,81.787,315,7601,99.0,37.0,31.0,100.462
1790281178.348661,81.787,315,7601,99.0,37.0,31.0,100.462
1790281178.358661,81.787,315,7601,99.0,37.0,31.0,100.462
1790281178.368659,81.787,315,7601,99.0,37.0,31.0,100.462
1790281178.378659,81.787,315,7601,99.0,37.0,31.0,100.462
1790281178.388660,81.787,315,7601,99.0,37.0,31.0,100.462
1790281178.398662,81.787,300,7601,99.0,37.0,31.0,100.462
1790281178.408659,81.787,300,7601,99.0,37.0,31.0,100.462
1790281178.418658,81.787,300,7601,99.0,37.0,31.0,100.236
1790281178.428659,85.674,300,7601,99.0,37.0,31.0,100.236
1790281178.438661,85.674,300,7601,99.0,37.0,31.0,100.236
1790281178.448661,85.674,300,7601,99.0,37.0,31.0,100.236
1790281178.458661,85.674,300,7601,99.0,37.0,31.0,100.236
1790281178.468659,85.674,300,7601,99.0,37.0,31.0,100.236
1790281178.478659,85.674,300,7601,99.0,37.0,31.0,100.236
1790281178.488659,85.674,300,7601,99.0,37.0,31.0,100.236
1790281178.498659,85.674,300,7601,99.0,37.0,31.0,100.236
1790281178.508658,85.674,315,7601,99.0,37.0,31.0,100.236
1790281178.518662,85.674,315,7601,99.0,37.0,31.0,100.386
1790281178.528659,89.317,315,7601,99.0,37.0,31.0,100.386
1790281178.538659,89.317,315,7601,99.0,37.0,31.0,100.386
1790281178.548660,89.317,315,7601,99.0,37.0,31.0,100.386
1790281178.558660,89.317,315,7601,99.0,37.0,31.0,100.386
