t_rel_s,measured_w,predicted_w
0.000,99.95,60.82
0.200,99.89,88.07
0.400,99.65,101.69
0.600,99.52,101.70
0.800,99.54,101.70
1.000,99.57,101.70
1.200,99.42,101.70
1.400,99.48,101.70
1.600,99.59,101.70
1.800,99.49,88.08
2.000,99.52,101.71
2.200,99.47,101.71
2.400,99.53,101.71
2.600,99.57,101.71
2.800,99.54,101.72
3.000,99.57,101.72
3.200,99.47,101.72
3.400,99.50,88.09
3.600,99.47,101.72
3.800,99.52,101.73
4.000,99.53,101.73
4.200,99.56,101.73
4.400,99.55,101.73
4.600,99.57,101.73
4.800,99.56,101.73
5.000,99.52,74.45
5.200,99.52,101.73
5.400,99.51,101.73
5.600,99.54,101.73
5.800,99.60,101.72
6.000,99.61,60.82
6.200,99.71,101.72
6.400,99.57,101.72
6.600,99.55,88.09
6.800,99.53,101.73
7.000,99.50,101.73
7.200,99.35,101.73
7.400,99.49,101.73
7.600,99.51,101.73
7.800,99.52,101.74
8.000,99.58,101.74
8.200,99.52,101.74
8.400,99.48,101.74
8.600,99.59,88.10
8.800,99.56,101.74
9.000,99.48,101.75
9.200,99.47,101.75
9.400,99.48,101.75
9.600,99.54,101.75
9.800,99.48,101.75
10.000,99.54,101.76
10.200,99.51,101.76
10.400,99.52,88.11
10.600,99.57,101.76
10.800,99.53,101.76
11.000,99.60,101.77
11.200,99.49,101.77
11.400,99.48,101.77
11.600,99.47,101.77
11.800,99.50,101.77
12.000,99.53,88.10
12.200,99.82,88.10
12.400,99.81,101.74
12.600,99.46,101.75
12.800,99.40,101.75
13.000,99.28,88.10
13.200,99.15,101.75
13.400,98.73,101.75
13.600,99.33,101.75
13.800,99.50,101.76
14.000,99.50,101.76
14.200,99.54,101.76
14.400,99.52,101.76
14.600,99.44,88.11
14.800,99.41,101.77
15.000,99.44,101.77
15.200,99.44,101.77
15.400,99.39,101.77
15.600,99.48,101.77
15.800,99.51,101.78
16.000,99.52,101.78
16.200,99.51,88.13
16.400,99.57,101.77
16.600,99.67,88.11
16.800,99.60,101.76
17.000,99.50,88.11
17.200,99.49,101.76
17.400,99.51,101.76
17.600,99.47,101.77
17.800,99.23,101.75
18.000,99.61,74.45
18.200,99.68,101.73
18.400,99.53,101.73
18.600,99.48,101.73
18.800,99.52,101.73
19.000,99.53,101.74
19.200,99.27,88.10
19.400,99.43,101.74
19.600,99.51,101.74
19.800,99.49,101.74
20.000,99.47,101.75
20.200,99.44,101.75
20.400,99.49,101.75
20.600,99.44,88.11
20.800,99.45,101.75
21.000,99.48,101.75
21.200,99.47,101.76
21.400,99.49,101.76
21.600,99.54,101.76
21.800,99.59,101.76
22.000,99.47,88.11
22.200,99.53,101.77
22.400,99.54,101.77
22.600,99.46,101.77
22.800,99.48,101.77
23.000,99.51,101.77
23.200,99.53,88.12
23.400,99.52,101.78
23.600,99.49,101.78
23.800,99.53,101.78
24.000,99.50,88.09
24.200,100.04,88.10
24.400,100.07,101.74
24.600,99.63,101.74
24.800,99.61,101.75
25.000,99.57,101.75
25.200,99.45,101.75
25.400,98.78,88.11
25.600,99.28,101.75
25.800,99.48,101.75
26.000,99.45,101.76
26.200,99.48,101.76
26.400,99.48,101.76
26.600,99.47,101.76
26.800,99.48,88.11
27.000,99.48,101.77
27.200,99.49,101.77
27.400,99.47,101.77
27.600,99.49,101.77
27.800,99.51,101.77
28.000,99.50,88.12
28.200,99.51,101.78
28.400,99.50,101.78
28.600,99.48,101.78
28.800,99.46,101.78
29.000,99.52,101.78
29.200,99.46,88.13
29.400,99.41,101.79
29.600,99.49,101.79
29.800,99.51,101.79
30.000,99.52,101.78
30.200,99.55,88.11
30.400,100.38,88.11
30.600,99.84,101.76
30.800,99.59,101.76
31.000,99.51,101.76
31.200,99.48,88.11
31.400,99.09,101.77
31.600,98.96,101.77
31.800,99.44,101.77
32.000,99.44,101.77
32.200,99.53,101.77
32.400,99.47,101.78
32.600,99.49,88.12
32.800,99.44,101.78
33.000,99.47,101.78
33.200,99.54,101.78
33.400,99.52,101.78
33.600,99.60,74.47
33.800,99.58,101.78
34.000,99.51,101.78
34.200,99.49,101.78
34.400,99.51,88.13
34.600,99.53,101.77
34.800,99.37,88.10
35.000,99.51,101.75
35.200,99.53,88.11
35.400,99.58,101.75
35.600,99.55,101.75
35.800,99.51,101.75
36.000,99.53,74.46
36.200,99.67,88.08
36.400,99.72,101.71
36.600,99.52,88.08
36.800,99.47,101.72
37.000,99.52,101.72
37.200,99.38,101.72
37.400,99.46,101.72
37.600,99.41,101.72
37.800,99.43,88.09
38.000,99.51,101.73
38.200,99.51,101.73
38.400,99.47,101.73
38.600,99.45,101.73
38.800,99.47,101.73
39.000,99.55,101.74
39.200,99.55,88.10
39.400,99.51,101.74
39.600,99.50,101.75
39.800,99.45,101.75
40.000,99.54,101.75
40.200,99.48,101.75
40.400,99.48,88.11
40.600,99.49,101.75
40.800,99.54,101.76
41.000,99.55,101.76
41.200,99.55,101.76
41.400,99.56,101.76
41.600,99.53,88.11
41.800,99.56,101.77
42.000,99.52,101.77
42.200,99.45,101.74
42.400,99.44,88.09
42.600,99.36,88.09
42.800,99.35,101.73
43.000,99.42,88.08
43.200,99.66,101.71
43.400,99.55,88.08
43.600,99.47,101.71
43.800,99.51,101.72
44.000,99.52,101.72
44.200,99.52,101.72
44.400,99.41,88.09
44.600,99.43,101.72
44.800,99.54,101.72
45.000,99.53,101.73
45.200,99.55,101.73
45.400,99.49,101.73
45.600,99.47,88.10
45.800,99.53,101.73
46.000,99.53,101.74
46.200,99.53,101.74
46.400,99.52,101.75
46.600,99.55,101.75
46.800,99.56,88.10
47.000,99.52,101.75
47.200,99.56,101.75
47.400,99.55,101.75
47.600,99.55,101.76
47.800,99.46,101.76
48.000,99.51,88.11
48.200,99.44,101.76
48.400,99.46,101.76
48.600,99.52,101.76
48.800,99.47,101.77
49.000,99.50,88.12
49.200,99.55,101.77
49.400,99.58,101.77
49.600,99.48,101.77
49.800,99.43,101.78
50.000,99.51,88.11
50.200,99.52,101.74
50.400,99.51,101.74
50.600,99.44,101.74
50.800,99.46,101.74
51.000,99.53,101.75
51.200,99.52,88.10
51.400,99.49,101.75
51.600,99.52,101.75
51.800,99.59,101.75
52.000,99.57,101.75
52.200,99.58,101.76
52.400,99.52,88.11
52.600,99.52,101.76
52.800,99.57,101.76
53.000,99.56,101.76
53.200,99.54,101.76
53.400,99.48,101.76
53.600,99.54,88.11
53.800,99.54,101.76
54.000,99.55,101.77
54.200,99.48,101.77
54.400,99.47,101.72
54.600,99.53,101.72
54.800,99.46,101.72
55.000,99.42,88.09
55.200,99.46,101.73
55.400,99.54,101.73
55.600,99.53,101.73
55.800,99.53,101.73
56.000,99.50,101.73
56.200,99.53,101.73
56.400,99.44,88.09
56.600,99.48,101.73
56.800,99.47,101.73
57.000,99.48,101.73
57.200,99.52,101.73
57.400,99.50,101.74
57.600,99.53,101.74
57.800,99.48,101.74
58.000,99.57,101.74
58.200,99.59,88.10
58.400,99.53,101.74
58.600,99.55,101.74
58.800,99.52,101.75
59.000,99.54,101.72
59.200,99.62,88.07
59.400,99.92,88.07
59.600,100.27,88.07
59.800,100.63,88.07
60.000,100.95,88.07
60.200,101.24,88.08
60.400,101.29,88.08
60.600,101.34,88.08
60.800,101.32,101.71
61.000,101.36,88.08
61.200,101.45,88.08
61.400,101.49,88.08
61.600,101.51,88.08
61.752,101.54,86.88
