t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1790280578.779145,1790280578.779145,mixed,3,0,80,0.0007,64,3,
1790280578.779145,1790280579.703229,mixed,64,0,2208,0.0189,1612,64,
1790280579.703229,1790280579.812434,decode,63,0,2240,0.0192,0,64,
1790280579.812434,1790280579.929866,decode,63,0,2304,0.0197,0,63,
1790280579.929866,1790280580.050119,decode,63,0,2368,0.0203,0,63,
1790280580.050119,1790280580.170316,decode,63,0,2432,0.0208,0,63,
1790280580.170316,1790280580.290732,decode,62,0,2432,0.0208,0,63,
1790280580.290732,1790280580.409736,decode,61,0,2384,0.0204,0,62,
1790280580.409736,1790280580.527979,decode,61,0,2464,0.0211,0,61,
1790280580.527979,1790280580.646452,decode,61,0,2496,0.0214,0,61,
1790280580.646452,1790280580.764981,decode,60,0,2496,0.0214,0,61,
1790280580.764981,1790280580.882792,decode,60,0,2560,0.0219,0,60,
1790280580.882792,1790280581.000253,decode,58,0,2496,0.0214,0,60,
1790280581.000253,1790280581.117370,decode,57,0,2512,0.0215,0,58,
1790280581.117370,1790280581.233326,decode,57,0,2608,0.0223,0,57,
1790280581.233326,1790280581.349486,decode,57,0,2720,0.0233,0,57,
1790280581.349486,1790280581.465972,decode,56,0,2736,0.0234,0,57,
1790280581.465972,1790280581.599606,decode,56,0,2800,0.0240,0,56,
1790280581.599606,1790280581.721143,decode,56,0,2864,0.0245,0,56,
1790280581.721143,1790280581.841916,decode,56,0,2928,0.0251,0,56,
1790280581.841916,1790280581.962843,decode,56,0,2992,0.0256,0,56,
1790280581.962843,1790280582.083683,decode,56,0,3056,0.0262,0,56,
1790280582.083683,1790280582.202727,decode,56,0,3072,0.0263,0,56,
1790280582.202727,1790280582.323683,decode,56,0,3072,0.0263,0,56,
1790280582.323683,1790280582.443274,decode,56,0,3152,0.0270,0,56,
1790280582.443274,1790280582.563006,decode,56,0,3168,0.0271,0,56,
1790280582.563006,1790280582.682646,decode,56,0,3216,0.0275,0,56,
1790280582.682646,1790280582.802611,decode,56,0,3280,0.0281,0,56,
1790280582.802611,1790280582.921535,decode,56,0,3296,0.0282,0,56,
1790280582.921535,1790280583.042569,decode,55,0,3296,0.0282,0,56,
1790280583.042569,1790280583.160317,decode,54,0,3328,0.0285,0,55,
1790280583.160317,1790280583.279707,decode,53,0,3344,0.0286,0,54,
1790280583.279707,1790280583.397174,decode,53,0,3408,0.0292,0,53,
1790280583.397174,1790280583.515841,decode,53,0,3472,0.0297,0,53,
1790280583.515841,1790280583.632366,decode,53,0,3536,0.0303,0,53,
1790280583.632366,1790280583.753406,decode,52,0,3536,0.0303,0,53,
1790280583.753406,1790280583.871605,decode,52,0,3584,0.0307,0,52,
1790280583.871605,1790280583.992069,decode,52,0,3632,0.0311,0,52,
1790280583.992069,1790280584.113529,decode,52,0,3648,0.0312,0,52,
1790280584.113529,1790280584.231814,decode,52,0,3648,0.0312,0,52,
1790280584.231814,1790280584.352179,decode,52,0,3728,0.0319,0,52,
1790280584.352179,1790280584.473593,decode,52,0,3744,0.0321,0,52,
1790280584.473593,1790280584.591767,decode,52,0,3776,0.0323,0,52,
1790280584.591767,1790280584.713304,decode,52,0,3824,0.0327,0,52,
1790280584.713304,1790280584.831434,decode,52,0,3840,0.0329,0,52,
1790280584.831434,1790280584.951932,decode,52,0,3904,0.0334,0,52,
1790280584.951932,1790280585.073704,decode,51,0,3920,0.0336,0,52,
1790280585.073704,1790280585.190350,decode,51,0,4032,0.0345,0,51,
1790280585.190350,1790280585.309765,decode,50,0,4016,0.0344,0,51,
1790280585.309765,1790280585.430195,decode,50,0,4080,0.0349,0,50,
1790280585.430195,1790280585.549516,decode,50,0,4144,0.0355,0,50,
1790280585.549516,1790280585.669026,decode,50,0,4208,0.0360,0,50,
1790280585.669026,1790280585.786171,decode,50,0,4256,0.0364,0,50,
1790280585.786171,1790280585.904377,decode,50,0,4288,0.0367,0,50,
1790280585.904377,1790280586.021775,decode,50,0,4304,0.0368,0,50,
1790280586.021775,1790280586.138388,decode,50,0,4304,0.0368,0,50,
1790280586.138388,1790280586.259974,decode,50,0,4384,0.0375,0,50,
1790280586.259974,1790280586.377117,decode,50,0,4400,0.0377,0,50,
1790280586.377117,1790280586.497353,decode,50,0,4432,0.0379,0,50,
1790280586.497353,1790280586.614318,decode,50,0,4480,0.0384,0,50,
1790280586.614318,1790280586.733408,decode,50,0,4496,0.0385,0,50,
1790280586.733408,1790280586.849405,decode,50,0,4560,0.0390,0,50,
1790280586.849405,1790280586.969678,decode,50,0,4656,0.0399,0,50,
1790280586.969678,1790280587.088785,decode,50,0,4752,0.0407,0,50,
1790280587.088785,1790280587.208367,decode,49,0,4720,0.0404,0,50,
1790280587.208367,1790280587.327564,decode,49,0,4784,0.0410,0,49,
1790280587.327564,1790280587.442989,decode,49,0,4848,0.0415,0,49,
1790280587.442989,1790280587.560794,decode,48,0,4816,0.0412,0,49,
1790280587.560794,1790280587.677012,decode,48,0,4864,0.0416,0,48,
1790280587.677012,1790280587.793187,decode,48,0,4896,0.0419,0,48,
1790280587.793187,1790280587.909822,decode,47,0,4816,0.0412,0,48,
1790280587.909822,1790280588.029262,decode,47,0,4816,0.0412,0,47,
1790280588.029262,1790280588.146940,decode,47,0,4896,0.0419,0,47,
1790280588.146940,1790280588.263164,decode,47,0,4912,0.0421,0,47,
1790280588.263164,1790280588.379731,decode,47,0,4928,0.0422,0,47,
1790280588.379731,1790280588.496758,decode,47,0,4976,0.0426,0,47,
1790280588.496758,1790280588.612879,decode,47,0,4992,0.0427,0,47,
1790280588.612879,1790280588.729010,decode,47,0,5056,0.0433,0,47,
1790280588.729010,1790280588.847705,decode,46,0,5008,0.0429,0,47,
1790280588.847705,1790280588.963273,decode,46,0,5104,0.0437,0,46,
1790280588.963273,1790280589.081687,decode,46,0,5152,0.0441,0,46,
1790280589.081687,1790280589.200088,decode,46,0,5200,0.0445,0,46,
1790280589.200088,1790280589.318992,decode,46,0,5264,0.0451,0,46,
1790280589.318992,1790280589.436563,decode,46,0,5328,0.0456,0,46,
1790280589.436563,1790280589.555707,decode,45,0,5248,0.0449,0,46,
1790280589.555707,1790280589.671745,decode,45,0,5280,0.0452,0,45,
1790280589.671745,1790280589.786768,decode,45,0,5296,0.0453,0,45,
1790280589.786768,1790280589.904003,decode,44,0,5184,0.0444,0,45,
1790280589.904003,1790280590.019103,decode,44,0,5264,0.0451,0,44,
1790280590.019103,1790280590.134120,decode,43,0,5152,0.0441,0,44,
1790280590.134120,1790280590.250678,decode,43,0,5168,0.0442,0,43,
1790280590.250678,1790280590.366293,decode,43,0,5200,0.0445,0,43,
1790280590.366293,1790280590.483084,decode,43,0,5200,0.0445,0,43,
1790280590.483084,1790280590.601004,decode,42,0,5120,0.0438,0,43,
1790280590.601004,1790280590.716569,decode,42,0,5216,0.0447,0,42,
1790280590.716569,1790280590.834379,decode,42,0,5296,0.0453,0,42,
1790280590.834379,1790280590.950954,decode,41,0,5200,0.0445,0,42,
1790280590.950954,1790280591.066355,decode,41,0,5248,0.0449,0,41,
1790280591.066355,1790280591.181226,decode,41,0,5312,0.0455,0,41,
1790280591.181226,1790280591.297144,decode,41,0,5376,0.0460,0,41,
1790280591.297144,1790280591.413881,decode,41,0,5424,0.0464,0,41,
1790280591.413881,1790280591.528263,decode,41,0,5456,0.0467,0,41,
1790280591.528263,1790280591.645782,decode,41,0,5472,0.0468,0,41,
1790280591.645782,1790280591.761218,decode,40,0,5344,0.0458,0,41,
1790280591.761218,1790280591.876215,decode,40,0,5408,0.0463,0,40,
1790280591.876215,1790280591.994093,decode,40,0,5424,0.0464,0,40,
1790280591.994093,1790280592.107537,decode,39,0,5312,0.0455,0,40,
1790280592.107537,1790280592.222886,decode,39,0,5328,0.0456,0,39,
1790280592.222886,1790280592.339033,decode,39,0,5328,0.0456,0,39,
1790280592.339033,1790280592.455946,decode,39,0,5376,0.0460,0,39,
1790280592.455946,1790280592.572478,decode,39,0,5456,0.0467,0,39,
1790280592.572478,1790280592.688324,decode,39,0,5536,0.0474,0,39,
1790280592.688324,1790280592.802979,decode,39,0,5584,0.0478,0,39,
1790280592.802979,1790280592.920089,decode,39,0,5616,0.0481,0,39,
1790280592.920089,1790280593.034808,decode,39,0,5680,0.0486,0,39,
1790280593.034808,1790280593.148479,decode,39,0,5744,0.0492,0,39,
1790280593.148479,1790280593.263674,decode,39,0,5792,0.0496,0,39,
1790280593.263674,1790280593.376401,decode,39,0,5824,0.0499,0,39,
1790280593.376401,1790280593.489358,decode,38,0,5696,0.0488,0,39,
1790280593.489358,1790280593.605409,decode,38,0,5696,0.0488,0,38,
1790280593.605409,1790280593.716589,decode,38,0,5744,0.0492,0,38,
1790280593.716589,1790280593.828876,decode,38,0,5760,0.0493,0,38,
1790280593.828876,1790280593.944145,decode,38,0,5776,0.0495,0,38,
1790280593.944145,1790280594.058194,decode,38,0,5792,0.0496,0,38,
1790280594.058194,1790280594.172958,decode,38,0,5792,0.0496,0,38,
1790280594.172958,1790280594.287605,decode,38,0,5840,0.0500,0,38,
1790280594.287605,1790280594.402563,decode,38,0,5920,0.0507,0,38,
1790280594.402563,1790280594.519791,decode,38,0,6000,0.0514,0,38,
1790280594.519791,1790280594.632200,decode,38,0,6048,0.0518,0,38,
1790280594.632200,1790280594.747260,decode,37,0,5904,0.0505,0,38,
1790280594.747260,1790280594.860637,decode,37,0,5968,0.0511,0,37,
1790280594.860637,1790280594.971873,decode,37,0,6032,0.0516,0,37,
1790280594.971873,1790280595.085966,decode,36,0,5920,0.0507,0,37,
1790280595.085966,1790280595.198196,decode,36,0,5952,0.0510,0,36,
1790280595.198196,1790280595.311667,decode,36,0,5952,0.0510,0,36,
1790280595.311667,1790280595.423386,decode,36,0,5952,0.0510,0,36,
1790280595.423386,1790280595.535165,decode,36,0,6000,0.0514,0,36,
1790280595.535165,1790280595.647544,decode,36,0,6016,0.0515,0,36,
1790280595.647544,1790280595.760593,decode,36,0,6032,0.0516,0,36,
1790280595.760593,1790280595.873426,decode,36,0,6048,0.0518,0,36,
1790280595.873426,1790280595.984610,decode,36,0,6048,0.0518,0,36,
1790280595.984610,1790280596.096967,decode,36,0,6096,0.0522,0,36,
1790280596.096967,1790280596.208136,decode,36,0,6160,0.0527,0,36,
1790280596.208136,1790280596.321499,decode,36,0,6240,0.0534,0,36,
1790280596.321499,1790280596.432641,decode,36,0,6288,0.0538,0,36,
1790280596.432641,1790280596.543262,decode,36,0,6320,0.0541,0,36,
1790280596.543262,1790280596.654965,decode,34,0,6032,0.0516,0,36,
1790280596.654965,1790280596.754047,decode,34,0,6096,0.0522,0,34,
1790280596.754047,1790280596.857662,decode,33,0,5952,0.0510,0,34,
1790280596.857662,1790280596.960294,decode,33,0,5984,0.0512,0,33,
1790280596.960294,1790280597.062802,decode,33,0,5984,0.0512,0,33,
1790280597.062802,1790280597.165382,decode,32,0,5808,0.0497,0,33,
1790280597.165382,1790280597.265534,decode,32,0,5856,0.0501,0,32,
1790280597.265534,1790280597.365758,decode,32,0,5872,0.0503,0,32,
1790280597.365758,1790280597.465877,decode,32,0,5888,0.0504,0,32,
1790280597.465877,1790280597.566060,decode,32,0,5904,0.0505,0,32,
1790280597.566060,1790280597.666250,decode,32,0,5904,0.0505,0,32,
1790280597.666250,1790280597.766525,decode,32,0,5952,0.0510,0,32,
1790280597.766525,1790280597.866788,decode,32,0,6016,0.0515,0,32,
1790280597.866788,1790280597.967031,decode,32,0,6080,0.0521,0,32,
1790280597.967031,1790280598.067368,decode,32,0,6128,0.0525,0,32,
1790280598.067368,1790280598.167773,decode,32,0,6160,0.0527,0,32,
1790280598.167773,1790280598.268086,decode,32,0,6208,0.0532,0,32,
1790280598.268086,1790280598.368358,decode,32,0,6272,0.0537,0,32,
1790280598.368358,1790280598.468609,decode,32,0,6288,0.0538,0,32,
1790280598.468609,1790280598.568886,decode,32,0,6320,0.0541,0,32,
1790280598.568886,1790280598.669145,decode,32,0,6320,0.0541,0,32,
1790280598.669145,1790280598.769423,decode,32,0,6320,0.0541,0,32,
1790280598.769423,1790280598.869633,decode,32,0,6368,0.0545,0,32,
1790280598.869633,1790280598.969830,decode,32,0,6384,0.0547,0,32,
1790280598.969830,1790280599.070015,decode,32,0,6400,0.0548,0,32,
1790280599.070015,1790280599.170356,decode,31,0,6176,0.0529,0,32,
1790280599.170356,1790280599.270212,decode,31,0,6176,0.0529,0,31,
1790280599.270212,1790280599.370347,decode,31,0,6224,0.0533,0,31,
1790280599.370347,1790280599.470254,decode,31,0,6288,0.0538,0,31,
1790280599.470254,1790280599.570161,decode,31,0,6352,0.0544,0,31,
1790280599.570161,1790280599.670069,decode,31,0,6384,0.0547,0,31,
1790280599.670069,1790280599.770149,decode,30,0,6208,0.0532,0,31,
1790280599.770149,1790280599.869497,decode,30,0,6256,0.0536,0,30,
1790280599.869497,1790280599.968776,decode,30,0,6320,0.0541,0,30,
