t_rel_s,measured_w,predicted_w
0.000,100.52,79.62
0.200,100.78,98.42
0.400,101.00,98.42
0.600,101.14,98.42
0.800,101.26,117.22
1.000,101.36,98.42
1.200,101.19,98.42
1.400,101.10,98.42
1.600,101.02,98.42
1.800,100.99,98.42
2.000,100.99,98.42
2.200,101.11,98.42
2.400,101.14,117.22
2.600,101.16,98.42
2.800,101.16,98.42
3.000,101.16,98.42
3.200,101.11,98.42
3.400,101.07,98.42
3.600,101.08,98.42
3.800,101.12,98.42
4.000,101.20,98.42
4.200,101.21,117.23
4.400,101.20,98.43
4.600,101.19,98.43
4.800,101.15,98.43
5.000,101.07,98.43
5.200,101.03,98.43
5.400,101.02,98.43
5.600,101.07,98.43
5.800,101.13,98.43
6.000,101.15,117.23
6.200,101.15,98.43
6.400,101.19,98.43
6.600,101.21,98.43
6.800,101.13,98.43
7.000,101.15,98.43
7.200,101.18,98.43
7.400,101.23,98.43
7.600,101.27,98.43
7.800,101.25,117.24
8.000,101.19,98.43
8.200,101.11,98.43
8.400,101.08,98.43
8.600,100.99,98.43
8.800,100.96,98.43
9.000,101.00,98.43
9.200,101.11,98.43
9.400,101.22,98.43
9.600,101.23,117.24
9.800,101.26,98.43
10.000,101.27,98.43
10.200,101.25,98.44
10.400,101.09,98.44
10.600,100.97,98.44
10.800,100.88,98.44
11.000,100.79,98.44
11.200,100.72,98.44
11.400,100.74,98.44
11.600,100.76,98.44
11.800,100.79,117.25
12.000,100.83,98.44
12.200,100.85,98.44
12.400,100.81,98.44
12.600,100.78,98.44
12.800,100.78,98.44
13.000,100.74,98.44
13.200,100.70,98.44
13.400,100.67,98.44
13.600,100.73,98.44
13.800,100.73,98.44
14.000,100.70,117.25
14.200,100.69,98.44
14.400,100.69,98.44
14.600,100.66,98.44
14.800,100.61,98.44
15.000,100.61,98.44
15.200,100.63,98.44
15.400,100.64,98.44
15.600,100.67,98.44
15.800,100.73,98.44
16.000,100.78,98.44
16.200,100.83,117.26
16.400,100.86,98.44
16.600,100.87,98.44
16.800,100.89,98.44
17.000,100.82,98.44
17.200,100.79,98.44
17.400,100.72,98.44
17.600,100.67,98.44
17.800,100.66,98.45
18.000,100.68,98.45
18.200,100.75,98.45
18.400,100.78,117.26
18.600,100.84,98.45
18.800,100.89,98.45
19.000,100.90,98.45
19.200,100.82,98.45
19.400,100.80,98.45
19.600,100.81,98.45
19.800,100.78,98.45
20.000,100.74,98.45
20.200,100.74,98.45
20.400,100.79,98.45
20.600,100.76,117.27
20.800,100.74,98.45
21.000,100.72,98.45
21.200,100.72,98.45
21.400,100.65,98.45
21.600,100.60,98.45
21.800,100.61,98.45
22.000,100.60,98.45
22.200,100.61,98.45
22.400,100.63,98.45
22.600,100.72,98.45
22.800,100.71,117.27
23.000,100.68,98.45
23.200,100.70,98.45
23.400,100.71,98.45
23.600,100.65,98.45
23.800,100.62,98.45
24.000,100.66,98.46
24.200,100.68,98.44
24.400,100.47,79.62
24.600,100.07,98.43
24.800,100.09,98.43
25.000,100.10,98.43
25.200,100.11,98.43
25.400,100.17,98.43
25.600,100.74,117.24
25.800,100.84,98.43
26.000,100.86,98.43
26.200,100.93,98.43
26.400,101.01,98.43
26.600,101.00,98.43
26.800,101.06,98.43
27.000,101.10,98.44
27.200,101.07,98.44
27.400,101.09,98.44
27.600,101.00,117.24
27.800,100.95,98.44
28.000,100.90,98.44
28.200,100.89,98.44
28.400,100.82,98.44
28.600,100.81,98.44
28.800,100.79,98.44
29.000,100.79,98.44
29.200,100.77,98.44
29.400,100.79,98.44
29.600,100.85,98.44
29.800,100.83,117.25
30.000,100.84,98.44
30.200,100.85,98.44
30.400,100.87,98.44
30.600,100.83,98.44
30.800,100.83,98.44
31.000,100.86,98.44
31.200,100.86,98.44
31.400,100.87,98.44
31.600,100.88,98.44
31.800,100.88,117.26
32.000,100.89,98.44
32.200,100.90,98.44
32.400,100.93,98.44
32.600,100.92,98.44
32.800,100.91,98.44
33.000,100.96,98.44
33.200,100.98,98.44
33.400,100.97,98.44
33.600,100.95,98.44
33.800,100.96,98.44
34.000,101.01,117.26
34.200,100.98,98.44
34.400,100.90,98.45
34.600,100.84,98.45
34.800,100.79,98.45
35.000,100.65,98.45
35.200,100.57,98.45
35.400,100.57,98.45
35.600,100.59,98.45
35.800,100.69,98.45
36.000,100.82,98.45
36.200,100.93,117.27
36.400,100.94,98.45
36.600,100.97,98.45
36.800,101.01,98.45
37.000,101.01,98.45
37.200,100.96,98.45
37.400,100.93,98.45
37.600,100.92,98.45
37.800,100.88,98.45
38.000,100.81,98.45
38.200,100.77,98.45
38.400,100.82,117.27
38.600,100.90,98.45
38.800,100.98,98.45
39.000,101.04,98.45
39.200,101.09,98.45
39.400,101.08,98.45
39.600,101.07,98.45
39.800,101.04,98.45
40.000,101.01,98.45
40.200,100.98,98.45
40.400,100.98,98.45
40.600,101.03,98.46
40.800,101.06,117.28
41.000,101.08,98.46
41.200,101.10,98.46
41.400,101.13,98.46
41.600,101.14,98.46
41.800,101.12,98.46
42.000,101.08,98.46
42.200,101.07,98.46
42.400,101.05,98.46
42.600,101.01,98.46
42.800,101.05,117.28
43.000,101.07,98.46
43.200,101.12,98.46
43.400,101.15,98.46
43.600,101.17,98.46
43.800,101.12,98.46
44.000,101.05,98.46
44.200,101.05,98.46
44.400,101.04,98.46
44.600,101.06,98.46
44.800,101.09,98.46
45.000,101.20,117.28
45.200,101.23,98.46
45.400,101.21,98.46
45.600,101.18,98.46
45.800,101.18,98.46
46.000,101.15,98.46
46.200,101.09,98.46
46.400,101.10,98.46
46.600,101.11,98.46
46.800,101.11,98.47
47.000,101.12,98.47
47.200,101.19,117.29
47.400,101.18,98.47
47.600,101.20,98.47
47.800,101.23,98.47
48.000,101.25,98.47
48.200,101.20,98.47
48.400,101.16,98.47
48.600,101.19,98.47
48.739,101.18,108.79
