t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters
1790281645.622530,0.2000,19.9261,1.414241e+10,3.396820e+11,3.393866e+11,1.414057e+10,1.835008e+06,3.393737e+11,1.284506e+07,23,1,1
1790281646.222531,0.2000,19.8489,1.426352e+10,2.567907e+13,2.552459e+13,1.414057e+10,1.229455e+08,2.552373e+13,8.606188e+08,1796,9,1
1790281647.222531,0.2000,19.8828,1.433233e+10,3.176149e+13,3.156310e+13,1.414057e+10,1.917583e+08,3.156176e+13,1.342308e+09,2216,16,1
1790281647.822531,0.2000,19.8924,2.866833e+10,1.067015e+12,1.063253e+12,2.828114e+10,3.871867e+08,1.060543e+12,2.710307e+09,44,31,2
1790281648.022531,0.2000,19.9156,4.301626e+10,6.829092e+11,6.829092e+11,4.242171e+10,5.945426e+08,6.787474e+11,4.161798e+09,0,48,3
1790281648.222531,0.2000,19.8963,2.868118e+10,4.552985e+11,4.552985e+11,2.828114e+10,4.000317e+08,4.524983e+11,2.800222e+09,0,32,2
1790281648.422531,0.2000,19.8988,2.868668e+10,4.553371e+11,4.553371e+11,2.828114e+10,4.055368e+08,4.524983e+11,2.838757e+09,0,32,2
1790281648.622531,0.2000,19.8987,2.869310e+10,4.553820e+11,4.553820e+11,2.828114e+10,4.119593e+08,4.524983e+11,2.883715e+09,0,32,2
1790281648.822531,0.2000,19.8927,4.304929e+10,6.831404e+11,6.831404e+11,4.242171e+10,6.275727e+08,6.787474e+11,4.393009e+09,0,48,3
1790281649.022532,0.2000,19.8662,2.869953e+10,4.554270e+11,4.554270e+11,2.828114e+10,4.183818e+08,4.524983e+11,2.928673e+09,0,32,2
1790281649.222531,0.2000,19.8775,2.870044e+10,4.554334e+11,4.554334e+11,2.828114e+10,4.192993e+08,4.524983e+11,2.935095e+09,0,32,2
1790281649.422532,0.2000,19.8960,4.306030e+10,6.832175e+11,6.832175e+11,4.242171e+10,6.385828e+08,6.787474e+11,4.470079e+09,0,48,3
1790281649.622531,0.2000,19.8910,2.871054e+10,4.555040e+11,4.555040e+11,2.828114e+10,4.293919e+08,4.524983e+11,3.005743e+09,0,32,2
1790281649.822532,0.2000,19.8775,2.871604e+10,4.555426e+11,4.555426e+11,2.828114e+10,4.348969e+08,4.524983e+11,3.044278e+09,0,32,2
1790281650.022532,0.2000,19.8949,4.308691e+10,6.834038e+11,6.834038e+11,4.242171e+10,6.651904e+08,6.787474e+11,4.656333e+09,0,48,3
1790281650.222532,0.2000,19.8900,2.872889e+10,4.556325e+11,4.556325e+11,2.828114e+10,4.477420e+08,4.524983e+11,3.134194e+09,0,32,2
1790281650.422532,0.2000,19.8820,2.872889e+10,4.556325e+11,4.556325e+11,2.828114e+10,4.477420e+08,4.524983e+11,3.134194e+09,0,32,2
1790281650.622532,0.2000,19.8775,2.872980e+10,4.556389e+11,4.556389e+11,2.828114e+10,4.486595e+08,4.524983e+11,3.140616e+09,0,32,2
1790281650.822532,0.2000,19.9059,4.310434e+10,6.835258e+11,6.835258e+11,4.242171e+10,6.826230e+08,6.787474e+11,4.778361e+09,0,48,3
1790281651.022532,0.2000,19.8992,2.873990e+10,4.557096e+11,4.557096e+11,2.828114e+10,4.587520e+08,4.524983e+11,3.211264e+09,0,32,2
1790281651.222532,0.2000,19.8892,2.874540e+10,4.557481e+11,4.557481e+11,2.828114e+10,4.642570e+08,4.524983e+11,3.249799e+09,0,32,2
1790281651.422532,0.2000,19.9036,4.313095e+10,6.837121e+11,6.837121e+11,4.242171e+10,7.092306e+08,6.787474e+11,4.964614e+09,0,48,3
1790281651.622532,0.2000,19.9103,2.875825e+10,4.558380e+11,4.558380e+11,2.828114e+10,4.771021e+08,4.524983e+11,3.339715e+09,0,32,2
1790281651.822532,0.2000,19.9015,2.875825e+10,4.558380e+11,4.558380e+11,2.828114e+10,4.771021e+08,4.524983e+11,3.339715e+09,0,32,2
1790281652.022532,0.2000,19.9062,4.314012e+10,6.837763e+11,6.837763e+11,4.242171e+10,7.184056e+08,6.787474e+11,5.028839e+09,0,48,3
1790281652.222532,0.2000,19.9086,2.876742e+10,4.559022e+11,4.559022e+11,2.828114e+10,4.862771e+08,4.524983e+11,3.403940e+09,0,32,2
1790281652.422532,0.2000,19.9089,2.876926e+10,4.559151e+11,4.559151e+11,2.828114e+10,4.881121e+08,4.524983e+11,3.416785e+09,0,32,2
1790281652.622532,0.2000,19.8950,2.877476e+10,4.559536e+11,4.559536e+11,2.828114e+10,4.936172e+08,4.524983e+11,3.455320e+09,0,32,2
1790281652.822532,0.2000,19.9144,4.317499e+10,6.840203e+11,6.840203e+11,4.242171e+10,7.532708e+08,6.787474e+11,5.272895e+09,0,48,3
