t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1790281741.968146,1790281741.968146,mixed,1,0,16,0.0001,10,1,
1790281741.968146,1790281743.006295,mixed,24,40,2224,0.0190,1978,23,
1790281743.006295,1790281744.042014,mixed,27,37,4304,0.0368,1987,26,
1790281744.042014,1790281745.080996,mixed,45,18,5696,0.0488,1972,45,
1790281745.080996,1790281746.148440,mixed,50,12,5792,0.0496,2147,50,
1790281746.148440,1790281746.517086,mixed,62,0,6432,0.0551,537,62,
1790281746.517086,1790281746.619023,decode,62,0,6496,0.0556,0,62,
1790281746.619023,1790281746.744891,decode,62,0,6544,0.0560,0,62,
1790281746.744891,1790281746.869466,decode,62,0,6624,0.0567,0,62,
1790281746.869466,1790281746.994896,decode,62,0,6688,0.0573,0,62,
1790281746.994896,1790281747.117213,decode,62,0,6752,0.0578,0,62,
1790281747.117213,1790281747.234847,decode,62,0,6832,0.0585,0,62,
1790281747.234847,1790281747.355082,decode,62,0,6928,0.0593,0,62,
1790281747.355082,1790281747.472659,decode,62,0,6960,0.0596,0,62,
1790281747.472659,1790281747.590204,decode,62,0,6992,0.0599,0,62,
1790281747.590204,1790281747.707764,decode,62,0,7120,0.0610,0,62,
1790281747.707764,1790281747.832023,decode,62,0,7120,0.0610,0,62,
1790281747.832023,1790281747.957914,decode,62,0,7152,0.0612,0,62,
1790281747.957914,1790281748.081266,decode,62,0,7216,0.0618,0,62,
1790281748.081266,1790281748.201488,decode,62,0,7313,0.0626,0,62,
1790281748.201488,1790281748.322756,decode,62,0,7377,0.0632,0,62,
1790281748.322756,1790281748.441819,decode,62,0,7425,0.0636,0,62,
1790281748.441819,1790281748.559382,decode,61,0,7457,0.0638,0,62,
1790281748.559382,1790281748.676492,decode,61,0,7505,0.0642,0,61,
1790281748.676492,1790281748.798419,decode,61,0,7585,0.0649,0,61,
1790281748.798419,1790281748.917740,decode,61,0,7649,0.0655,0,61,
1790281748.917740,1790281749.042746,decode,61,0,7713,0.0660,0,61,
1790281749.042746,1790281749.163691,decode,61,0,7793,0.0667,0,61,
1790281749.163691,1790281749.284370,decode,61,0,7889,0.0675,0,61,
1790281749.284370,1790281749.402542,decode,61,0,7921,0.0678,0,61,
1790281749.402542,1790281749.521221,decode,61,0,7953,0.0681,0,61,
1790281749.521221,1790281749.640924,decode,61,0,8065,0.0690,0,61,
1790281749.640924,1790281749.760645,decode,61,0,8065,0.0690,0,61,
1790281749.760645,1790281749.882588,decode,61,0,8097,0.0693,0,61,
1790281749.882588,1790281750.004640,decode,61,0,8161,0.0699,0,61,
1790281750.004640,1790281750.125776,decode,61,0,8257,0.0707,0,61,
1790281750.125776,1790281750.246933,decode,61,0,8321,0.0712,0,61,
1790281750.246933,1790281750.365225,decode,61,0,8369,0.0716,0,61,
1790281750.365225,1790281750.485366,decode,61,0,8433,0.0722,0,61,
1790281750.485366,1790281750.603862,decode,61,0,8481,0.0726,0,61,
1790281750.603862,1790281750.726458,decode,61,0,8561,0.0733,0,61,
1790281750.726458,1790281750.847797,decode,61,0,8625,0.0738,0,61,
1790281750.847797,1790281750.969238,decode,61,0,8689,0.0744,0,61,
1790281750.969238,1790281751.092446,decode,61,0,8769,0.0751,0,61,
1790281751.092446,1790281751.210738,decode,61,0,8865,0.0759,0,61,
1790281751.210738,1790281751.328446,decode,61,0,8897,0.0762,0,61,
1790281751.328446,1790281751.450871,decode,61,0,8929,0.0764,0,61,
1790281751.450871,1790281751.571732,decode,61,0,9041,0.0774,0,61,
1790281751.571732,1790281751.693133,decode,61,0,9041,0.0774,0,61,
1790281751.693133,1790281751.813719,decode,61,0,9073,0.0777,0,61,
1790281751.813719,1790281751.936306,decode,61,0,9137,0.0782,0,61,
1790281751.936306,1790281752.060673,decode,61,0,9233,0.0790,0,61,
1790281752.060673,1790281752.179507,decode,61,0,9297,0.0796,0,61,
1790281752.179507,1790281752.299685,decode,61,0,9345,0.0800,0,61,
1790281752.299685,1790281752.422452,decode,61,0,9409,0.0805,0,61,
1790281752.422452,1790281752.541225,decode,61,0,9457,0.0810,0,61,
1790281752.541225,1790281752.660037,decode,61,0,9537,0.0816,0,61,
1790281752.660037,1790281752.782599,decode,61,0,9601,0.0822,0,61,
1790281752.782599,1790281752.905494,decode,61,0,9665,0.0827,0,61,
1790281752.905494,1790281753.028108,decode,61,0,9745,0.0834,0,61,
1790281753.028108,1790281753.147147,decode,61,0,9841,0.0842,0,61,
1790281753.147147,1790281753.267195,decode,61,0,9873,0.0845,0,61,
1790281753.267195,1790281753.390965,decode,61,0,9905,0.0848,0,61,
1790281753.390965,1790281753.508287,decode,61,0,10017,0.0858,0,61,
1790281753.508287,1790281753.630101,decode,60,0,9793,0.0838,0,61,
1790281753.630101,1790281753.752317,decode,60,0,9825,0.0841,0,60,
1790281753.752317,1790281753.874862,decode,60,0,9889,0.0847,0,60,
1790281753.874862,1790281753.995811,decode,60,0,9985,0.0855,0,60,
1790281753.995811,1790281754.112541,decode,60,0,10049,0.0860,0,60,
1790281754.112541,1790281754.233826,decode,60,0,10081,0.0863,0,60,
1790281754.233826,1790281754.358796,decode,60,0,10145,0.0868,0,60,
1790281754.358796,1790281754.480692,decode,60,0,10193,0.0873,0,60,
1790281754.480692,1790281754.599908,decode,60,0,10273,0.0879,0,60,
1790281754.599908,1790281754.720512,decode,60,0,10337,0.0885,0,60,
1790281754.720512,1790281754.844044,decode,60,0,10401,0.0890,0,60,
1790281754.844044,1790281754.961994,decode,60,0,10481,0.0897,0,60,
1790281754.961994,1790281755.082604,decode,60,0,10577,0.0905,0,60,
1790281755.082604,1790281755.205167,decode,60,0,10609,0.0908,0,60,
1790281755.205167,1790281755.324340,decode,60,0,10641,0.0911,0,60,
1790281755.324340,1790281755.447325,decode,60,0,10753,0.0921,0,60,
1790281755.447325,1790281755.568543,decode,59,0,10209,0.0874,0,60,
1790281755.568543,1790281755.686071,decode,59,0,10241,0.0877,0,59,
1790281755.686071,1790281755.807835,decode,59,0,10305,0.0882,0,59,
1790281755.807835,1790281755.926486,decode,59,0,10401,0.0890,0,59,
1790281755.926486,1790281756.048606,decode,59,0,10465,0.0896,0,59,
1790281756.048606,1790281756.166728,decode,59,0,10497,0.0899,0,59,
1790281756.166728,1790281756.288966,decode,59,0,10561,0.0904,0,59,
1790281756.288966,1790281756.409530,decode,59,0,10609,0.0908,0,59,
1790281756.409530,1790281756.534229,decode,59,0,10689,0.0915,0,59,
1790281756.534229,1790281756.655992,decode,59,0,10753,0.0921,0,59,
1790281756.655992,1790281756.774173,decode,59,0,10801,0.0925,0,59,
1790281756.774173,1790281756.894194,decode,59,0,10881,0.0932,0,59,
1790281756.894194,1790281757.018569,decode,59,0,10977,0.0940,0,59,
1790281757.018569,1790281757.136188,decode,59,0,11009,0.0942,0,59,
1790281757.136188,1790281757.257532,decode,59,0,11041,0.0945,0,59,
1790281757.257532,1790281757.377849,decode,59,0,11153,0.0955,0,59,
1790281757.377849,1790281757.498135,decode,59,0,11153,0.0955,0,59,
1790281757.498135,1790281757.618059,decode,59,0,11185,0.0958,0,59,
1790281757.618059,1790281757.739296,decode,59,0,11249,0.0963,0,59,
1790281757.739296,1790281757.859519,decode,59,0,11345,0.0971,0,59,
