t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c,power_inst_w
1790281741.891232,68.881,1695,7601,0.0,0.0,38.0,61.854
1790281741.901303,68.881,1695,7601,0.0,0.0,38.0,61.854
1790281741.911299,68.881,1695,7601,0.0,0.0,38.0,61.854
1790281741.921295,68.881,1695,7601,0.0,0.0,38.0,61.854
1790281741.931402,68.881,1695,7601,0.0,0.0,38.0,61.854
1790281741.941307,68.881,1695,7601,0.0,0.0,38.0,61.854
1790281741.951300,68.881,1695,7601,0.0,0.0,38.0,61.854
1790281741.961296,68.881,1695,7601,0.0,0.0,38.0,61.854
1790281741.971294,68.881,1695,7601,0.0,0.0,39.0,61.854
1790281741.981293,68.881,1695,7601,0.0,0.0,39.0,61.854
1790281741.991290,68.881,1695,7601,0.0,0.0,39.0,61.854
1790281742.001291,68.881,1695,7601,0.0,0.0,39.0,61.854
1790281742.011290,68.881,1695,7601,0.0,0.0,39.0,61.854
1790281742.021289,68.881,1695,7601,0.0,0.0,39.0,61.854
1790281742.031288,68.881,330,7601,0.0,0.0,39.0,61.854
1790281742.041291,68.881,330,7601,0.0,0.0,39.0,61.854
1790281742.051290,72.364,330,7601,0.0,0.0,39.0,100.141
1790281742.061290,72.364,330,7601,0.0,0.0,39.0,100.141
1790281742.071289,72.364,330,7601,100.0,12.0,39.0,100.141
1790281742.081290,72.364,330,7601,100.0,12.0,39.0,100.141
1790281742.091289,72.364,330,7601,100.0,12.0,39.0,100.141
1790281742.101291,72.364,330,7601,100.0,12.0,39.0,100.141
1790281742.111289,72.364,330,7601,100.0,12.0,39.0,100.141
1790281742.121289,72.364,330,7601,100.0,12.0,39.0,100.141
1790281742.131291,72.364,465,7601,100.0,12.0,39.0,100.141
1790281742.141290,72.364,465,7601,100.0,12.0,39.0,100.141
1790281742.151288,75.632,465,7601,100.0,12.0,39.0,97.850
1790281742.161288,75.632,465,7601,100.0,12.0,39.0,97.850
1790281742.171288,75.632,465,7601,100.0,12.0,39.0,97.850
1790281742.181288,75.632,465,7601,100.0,12.0,39.0,97.850
1790281742.191288,75.632,465,7601,100.0,12.0,39.0,97.850
1790281742.201290,75.632,465,7601,100.0,12.0,39.0,97.850
1790281742.211289,75.632,465,7601,100.0,12.0,39.0,97.850
1790281742.221289,75.632,465,7601,100.0,12.0,39.0,97.850
1790281742.231287,75.632,480,7601,100.0,12.0,39.0,97.850
1790281742.241290,75.632,480,7601,100.0,12.0,39.0,97.850
1790281742.251288,79.008,480,7601,100.0,12.0,39.0,100.138
1790281742.261287,79.008,480,7601,100.0,12.0,39.0,100.138
1790281742.271287,79.008,480,7601,100.0,11.0,39.0,100.138
1790281742.281287,79.008,480,7601,100.0,11.0,39.0,100.138
1790281742.291287,79.008,480,7601,100.0,11.0,39.0,100.138
1790281742.301287,79.008,480,7601,100.0,11.0,39.0,100.138
1790281742.311286,79.008,480,7601,100.0,11.0,39.0,100.138
1790281742.321286,79.008,480,7601,100.0,11.0,39.0,100.138
1790281742.331287,79.008,435,7601,100.0,11.0,39.0,100.138
1790281742.341287,79.008,435,7601,100.0,11.0,39.0,100.138
1790281742.351290,82.403,435,7601,100.0,11.0,39.0,99.860
1790281742.361289,82.403,435,7601,100.0,11.0,39.0,99.860
1790281742.371287,82.403,435,7601,100.0,11.0,39.0,99.860
1790281742.381287,82.403,435,7601,100.0,11.0,39.0,99.860
1790281742.391287,82.403,435,7601,100.0,11.0,39.0,99.860
1790281742.401287,82.403,435,7601,100.0,11.0,39.0,99.860
1790281742.411288,82.403,435,7601,100.0,11.0,39.0,99.860
1790281742.421286,82.403,435,7601,100.0,11.0,39.0,99.860
1790281742.431287,82.403,435,7601,100.0,11.0,39.0,99.860
1790281742.441274,82.403,465,7601,100.0,11.0,39.0,99.860
1790281742.451298,82.403,465,7601,100.0,11.0,39.0,99.860
1790281742.461292,84.775,465,7601,100.0,11.0,39.0,99.455
1790281742.471292,84.775,465,7601,100.0,11.0,39.0,99.455
1790281742.481292,84.775,465,7601,100.0,11.0,39.0,99.455
1790281742.491292,84.775,465,7601,100.0,11.0,39.0,99.455
1790281742.501291,84.775,465,7601,100.0,11.0,39.0,99.455
