t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1790282233.760077,1790282233.760077,mixed,1,0,32,0.0001,25,1,
1790282233.760077,1790282233.846313,mixed,16,0,560,0.0013,407,16,
1790282233.846313,1790282233.873315,decode,16,0,576,0.0013,0,16,
1790282233.873315,1790282233.899120,decode,16,0,576,0.0013,0,16,
1790282233.899120,1790282233.930263,decode,16,0,608,0.0014,0,16,
1790282233.930263,1790282233.958782,decode,16,0,624,0.0015,0,16,
1790282233.958782,1790282233.986816,decode,16,0,624,0.0015,0,16,
1790282233.986816,1790282234.015595,decode,16,0,624,0.0015,0,16,
1790282234.015595,1790282234.044316,decode,16,0,672,0.0016,0,16,
1790282234.044316,1790282234.073047,decode,16,0,688,0.0016,0,16,
1790282234.073047,1790282234.101721,decode,16,0,704,0.0016,0,16,
1790282234.101721,1790282234.132149,decode,16,0,704,0.0016,0,16,
1790282234.132149,1790282234.159905,decode,16,0,720,0.0017,0,16,
1790282234.159905,1790282234.188343,decode,16,0,752,0.0018,0,16,
1790282234.188343,1790282234.217212,decode,16,0,752,0.0018,0,16,
1790282234.217212,1790282234.246011,decode,16,0,784,0.0018,0,16,
1790282234.246011,1790282234.274807,decode,16,0,800,0.0019,0,16,
1790282234.274807,1790282234.303459,decode,16,0,816,0.0019,0,16,
1790282234.303459,1790282234.332196,decode,16,0,832,0.0019,0,16,
1790282234.332196,1790282234.360826,decode,16,0,832,0.0019,0,16,
1790282234.360826,1790282234.390205,decode,16,0,864,0.0020,0,16,
1790282234.390205,1790282234.418880,decode,16,0,880,0.0021,0,16,
1790282234.418880,1790282234.447705,decode,16,0,880,0.0021,0,16,
1790282234.447705,1790282234.476323,decode,16,0,880,0.0021,0,16,
1790282234.476323,1790282234.505017,decode,16,0,928,0.0022,0,16,
1790282234.505017,1790282234.537765,decode,16,0,944,0.0022,0,16,
1790282234.537765,1790282234.583192,decode,16,0,960,0.0022,0,16,
1790282234.583192,1790282234.615798,decode,16,0,960,0.0022,0,16,
1790282234.615798,1790282234.640751,decode,16,0,976,0.0023,0,16,
1790282234.640751,1790282234.679977,decode,16,0,1008,0.0024,0,16,
1790282234.679977,1790282234.709893,decode,16,0,1008,0.0024,0,16,
1790282234.709893,1790282234.738588,decode,16,0,1040,0.0024,0,16,
1790282234.738588,1790282234.767273,decode,16,0,1056,0.0025,0,16,
1790282234.767273,1790282234.795984,decode,16,0,1072,0.0025,0,16,
1790282234.795984,1790282234.824767,decode,16,0,1088,0.0025,0,16,
1790282234.824767,1790282234.853429,decode,16,0,1088,0.0025,0,16,
1790282234.853429,1790282234.882138,decode,16,0,1120,0.0026,0,16,
1790282234.882138,1790282234.911961,decode,16,0,1136,0.0027,0,16,
1790282234.911961,1790282234.940174,decode,16,0,1136,0.0027,0,16,
1790282234.940174,1790282234.968832,decode,16,0,1136,0.0027,0,16,
1790282234.968832,1790282234.997524,decode,16,0,1184,0.0028,0,16,
1790282234.997524,1790282235.026193,decode,16,0,1200,0.0028,0,16,
1790282235.026193,1790282235.054896,decode,16,0,1216,0.0028,0,16,
1790282235.054896,1790282235.083612,decode,16,0,1216,0.0028,0,16,
1790282235.083612,1790282235.112338,decode,16,0,1232,0.0029,0,16,
