t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c,power_inst_w
1790282139.938632,65.391,1695,7601,0.0,0.0,35.0,61.690
1790282139.948703,65.391,1695,7601,0.0,0.0,35.0,61.690
1790282139.958697,65.391,1695,7601,0.0,0.0,35.0,61.690
1790282139.968692,65.391,1695,7601,0.0,0.0,35.0,61.690
1790282139.978695,65.391,1695,7601,0.0,0.0,35.0,61.690
1790282139.988693,65.391,1695,7601,0.0,0.0,35.0,61.690
1790282139.998694,65.391,1695,7601,0.0,0.0,35.0,61.690
1790282140.008691,65.391,1695,7601,0.0,0.0,36.0,61.690
1790282140.018692,65.391,1695,7601,0.0,0.0,36.0,61.690
1790282140.028692,65.391,1695,7601,0.0,0.0,36.0,61.690
1790282140.038689,65.391,1695,7601,0.0,0.0,36.0,61.690
1790282140.048690,65.391,1695,7601,0.0,0.0,36.0,61.690
1790282140.058690,65.391,1695,7601,0.0,0.0,36.0,61.690
1790282140.068690,65.391,1695,7601,0.0,0.0,36.0,61.690
1790282140.078688,65.391,540,7601,0.0,0.0,36.0,61.690
1790282140.088690,65.391,540,7601,0.0,0.0,36.0,61.690
1790282140.098688,69.207,540,7601,0.0,0.0,36.0,103.291
1790282140.108690,69.207,540,7601,0.0,0.0,36.0,103.291
1790282140.118692,69.207,540,7601,52.0,32.0,36.0,103.291
1790282140.128687,69.207,540,7601,52.0,32.0,36.0,103.291
1790282140.138687,69.207,540,7601,52.0,32.0,36.0,103.291
1790282140.148689,69.207,540,7601,52.0,32.0,36.0,103.291
1790282140.158689,69.207,540,7601,52.0,32.0,36.0,103.291
1790282140.168691,69.207,540,7601,52.0,32.0,36.0,103.291
1790282140.178689,69.207,495,7601,52.0,32.0,36.0,103.291
1790282140.188690,69.207,495,7601,52.0,32.0,36.0,103.291
1790282140.198690,72.928,495,7601,52.0,32.0,36.0,102.258
1790282140.208688,72.928,495,7601,52.0,32.0,36.0,102.258
1790282140.218691,72.928,495,7601,52.0,32.0,36.0,102.258
1790282140.228690,72.928,495,7601,52.0,32.0,36.0,102.258
1790282140.238691,72.928,495,7601,52.0,32.0,36.0,102.258
1790282140.248690,72.928,495,7601,52.0,32.0,36.0,102.258
1790282140.258690,72.928,495,7601,52.0,32.0,36.0,102.258
1790282140.268691,72.928,495,7601,52.0,32.0,36.0,102.258
1790282140.278690,72.928,480,7601,52.0,32.0,36.0,102.258
1790282140.288691,72.928,480,7601,52.0,32.0,36.0,102.258
1790282140.298688,76.446,480,7601,52.0,32.0,36.0,101.112
1790282140.308691,76.446,480,7601,52.0,32.0,36.0,101.112
1790282140.318812,76.446,480,7601,97.0,43.0,36.0,101.112
1790282140.328691,76.446,480,7601,97.0,43.0,36.0,101.112
1790282140.338689,76.446,480,7601,97.0,43.0,36.0,101.112
1790282140.348690,76.446,480,7601,97.0,43.0,36.0,101.112
1790282140.358688,76.446,480,7601,97.0,43.0,36.0,101.112
1790282140.368740,76.446,480,7601,97.0,43.0,36.0,101.112
1790282140.378687,76.446,495,7601,97.0,43.0,36.0,101.112
1790282140.388687,76.446,495,7601,97.0,43.0,36.0,101.112
1790282140.398688,79.974,495,7601,97.0,43.0,36.0,100.151
1790282140.408690,79.974,495,7601,97.0,43.0,36.0,100.151
1790282140.418688,79.974,495,7601,97.0,43.0,36.0,100.151
1790282140.428690,79.974,495,7601,97.0,43.0,36.0,100.151
1790282140.438693,79.974,495,7601,97.0,43.0,36.0,100.151
1790282140.448689,79.974,495,7601,97.0,43.0,36.0,100.151
1790282140.458691,79.974,495,7601,97.0,43.0,36.0,100.151
1790282140.468696,79.974,495,7601,97.0,43.0,36.0,100.151
1790282140.478693,79.974,480,7601,97.0,43.0,36.0,100.151
1790282140.488689,79.974,480,7601,97.0,43.0,36.0,100.151
1790282140.498695,80.943,480,7601,97.0,43.0,36.0,101.516
1790282140.508692,80.943,480,7601,97.0,43.0,36.0,101.516
1790282140.518697,80.943,480,7601,97.0,43.0,36.0,101.516
1790282140.528692,80.943,480,7601,97.0,43.0,36.0,101.516
1790282140.538689,80.943,480,7601,97.0,43.0,36.0,101.516
1790282140.548688,80.943,480,7601,97.0,43.0,36.0,101.516
1790282140.558656,80.943,480,7601,97.0,43.0,36.0,101.516
1790282140.568705,80.943,480,7601,97.0,43.0,36.0,101.516
1790282140.578696,80.943,495,7601,97.0,43.0,36.0,101.516
1790282140.588693,80.943,495,7601,97.0,43.0,36.0,101.516
1790282140.598692,83.325,495,7601,97.0,43.0,36.0,100.259
1790282140.608694,83.325,495,7601,97.0,43.0,36.0,100.259
1790282140.618692,83.325,495,7601,97.0,43.0,36.0,100.259
1790282140.628695,83.325,495,7601,97.0,43.0,36.0,100.259
1790282140.638693,83.325,495,7601,97.0,43.0,36.0,100.259
1790282140.648689,83.325,495,7601,97.0,43.0,36.0,100.259
1790282140.658695,83.325,495,7601,97.0,43.0,36.0,100.259
1790282140.668691,83.325,495,7601,97.0,43.0,36.0,100.259
1790282140.678695,83.325,480,7601,97.0,43.0,36.0,100.259
1790282140.688694,83.325,480,7601,97.0,43.0,36.0,100.259
1790282140.698691,86.885,480,7601,97.0,43.0,36.0,100.814
1790282140.708690,86.885,480,7601,97.0,43.0,36.0,100.814
1790282140.718690,86.885,480,7601,97.0,43.0,36.0,100.814
1790282140.728692,86.885,480,7601,97.0,43.0,36.0,100.814
1790282140.738691,86.885,480,7601,97.0,43.0,36.0,100.814
1790282140.748689,86.885,480,7601,97.0,43.0,36.0,100.814
1790282140.758690,86.885,480,7601,97.0,43.0,36.0,100.814
