t_rel_s,measured_w,predicted_w
0.000,99.52,81.87
0.200,99.23,102.35
0.400,99.43,102.36
0.600,99.47,97.24
0.800,99.53,102.37
1.000,99.43,97.26
1.200,99.61,102.39
1.400,99.75,97.27
1.600,99.77,102.40
1.800,99.61,97.28
2.000,99.46,102.41
2.200,99.60,102.42
2.400,99.71,97.30
2.600,99.66,102.44
2.800,99.64,97.31
3.000,99.51,102.45
3.200,99.64,97.33
3.400,99.65,102.47
3.600,99.66,102.47
3.800,99.62,97.35
4.000,99.54,102.49
4.200,99.65,97.36
4.400,99.61,102.50
4.600,99.72,97.37
4.800,99.59,102.52
5.000,99.60,97.39
5.200,99.64,102.53
5.400,99.67,97.40
5.600,99.67,102.55
5.800,99.58,97.41
6.000,99.62,102.56
6.200,99.61,97.42
6.400,99.62,102.58
6.600,99.61,97.44
6.800,99.59,87.00
7.000,99.46,102.34
7.200,99.59,97.23
7.400,99.61,102.35
7.600,99.68,97.24
7.800,99.57,102.37
8.000,99.63,97.25
8.200,99.62,102.38
8.400,99.60,102.39
8.600,99.62,97.27
8.800,99.59,102.40
9.000,99.63,97.29
9.200,99.60,102.42
9.400,99.73,97.30
9.600,99.71,102.43
9.800,99.65,97.31
10.000,99.65,102.45
10.200,99.61,97.32
10.400,99.74,102.46
10.600,99.68,97.34
10.800,99.54,102.48
11.000,99.62,97.35
11.200,99.62,102.49
11.400,99.71,97.36
11.600,99.57,102.51
11.800,99.58,97.37
12.000,99.62,102.52
12.200,99.61,97.39
12.400,99.66,102.54
12.600,99.57,97.40
12.800,99.62,102.55
13.000,99.57,97.41
13.200,99.67,102.57
13.400,99.65,97.43
13.600,99.64,87.06
13.800,99.59,97.21
14.000,99.59,102.34
14.200,99.69,102.35
14.400,99.64,97.23
14.600,99.61,102.36
14.800,99.58,97.25
15.000,99.72,102.37
15.200,99.61,97.26
15.400,99.61,102.39
15.600,99.61,97.27
15.800,99.60,102.40
16.000,99.66,97.28
16.200,99.63,102.42
16.400,99.58,97.30
16.600,99.60,102.43
16.800,99.59,102.44
17.000,99.63,97.32
17.200,99.65,102.46
17.400,99.69,97.33
17.600,99.64,102.47
17.800,99.62,97.34
18.000,99.66,102.49
18.200,99.66,97.36
18.400,99.59,102.50
18.600,99.56,97.37
18.800,99.59,102.51
19.000,99.66,97.38
19.200,99.69,102.53
19.400,99.61,97.39
19.600,99.56,102.54
19.800,99.59,97.41
20.000,99.65,102.56
20.200,99.59,97.42
20.400,99.57,92.24
20.600,99.57,97.22
20.800,99.58,97.22
21.000,99.64,102.35
21.200,99.61,97.23
21.400,99.57,102.36
21.600,99.58,97.24
21.800,99.61,102.38
22.000,99.70,97.26
22.200,99.66,102.39
22.400,99.62,97.27
22.600,99.57,102.40
22.800,99.60,97.28
23.000,99.67,102.42
23.200,99.59,102.43
23.400,99.54,97.30
23.600,99.55,97.31
23.800,99.64,102.45
24.000,99.68,97.32
24.200,99.64,102.46
24.400,99.59,97.34
24.600,99.60,102.47
24.800,99.67,97.35
25.000,99.63,102.49
25.200,99.55,97.36
25.400,99.55,97.37
25.600,99.59,102.51
25.800,99.68,97.38
26.000,99.62,102.53
26.200,99.58,97.39
26.400,99.59,97.40
26.600,99.62,102.55
26.800,99.65,97.41
27.000,99.59,102.57
27.200,99.60,97.42
27.400,99.57,81.88
27.600,99.31,102.33
27.800,99.32,97.22
28.000,99.36,102.34
28.200,99.49,97.23
28.400,99.50,102.36
28.600,99.44,97.24
28.800,99.72,97.25
29.000,99.67,102.38
29.200,99.67,97.26
29.400,99.49,102.39
