t_rel_s,measured_w,predicted_w
0.000,99.84,96.63
0.200,99.89,96.63
0.400,99.85,105.43
0.600,99.75,96.63
0.800,99.61,96.63
1.000,99.56,96.63
1.200,99.28,105.44
1.400,99.39,96.63
1.600,99.47,96.63
1.800,99.52,96.63
2.000,99.60,105.44
2.200,99.53,96.64
2.400,99.57,96.64
2.600,99.53,105.44
2.800,99.51,96.64
3.000,99.53,96.64
3.200,99.56,96.64
3.400,99.46,105.45
3.600,99.45,96.64
3.800,99.49,96.64
4.000,99.56,105.45
4.200,99.51,96.64
4.400,99.52,96.65
4.600,99.52,96.65
4.800,99.52,105.46
5.000,99.52,96.65
5.200,99.51,105.46
5.400,99.56,96.65
5.600,99.52,96.65
5.800,99.54,105.46
6.000,99.51,96.65
6.200,99.56,105.46
6.400,99.53,96.65
6.600,99.54,105.47
6.800,99.52,96.66
7.000,99.56,105.47
7.200,99.57,96.66
7.400,99.54,96.66
7.600,99.49,105.47
7.800,99.52,96.66
8.000,99.48,105.48
8.200,99.45,96.66
8.400,99.43,96.66
8.600,99.46,105.48
8.800,99.41,96.67
9.000,99.48,96.67
9.200,99.50,105.48
9.400,99.53,96.67
9.600,99.51,96.67
9.800,99.51,105.49
10.000,99.53,96.67
10.200,99.50,105.49
10.400,99.51,96.67
10.600,99.47,96.67
10.800,99.52,105.49
11.000,99.54,96.68
11.200,99.48,105.49
11.400,99.49,96.68
11.600,99.50,87.84
11.800,99.32,105.45
12.000,99.31,96.64
12.200,99.44,96.65
12.400,99.46,105.46
12.600,99.44,96.65
12.800,99.53,96.65
13.000,99.60,105.46
13.200,99.55,96.65
13.400,99.52,96.65
13.600,99.52,105.46
13.800,99.49,96.65
14.000,99.46,105.46
14.200,99.49,96.65
14.400,99.54,96.66
14.600,99.50,105.47
14.800,99.50,96.66
15.000,99.45,96.66
15.200,99.47,105.47
15.400,99.42,96.66
15.600,99.39,96.66
15.800,99.42,105.48
16.000,99.48,96.66
16.200,99.53,105.48
16.400,99.48,96.66
16.600,99.45,96.67
16.800,99.40,96.67
17.000,99.41,105.48
17.200,99.37,96.67
17.400,99.35,96.67
17.600,99.40,105.49
17.800,99.44,96.67
18.000,99.48,96.67
18.200,99.50,105.49
18.400,99.49,96.67
18.600,99.49,96.67
18.800,99.48,105.49
19.000,99.48,96.68
19.200,99.44,96.68
19.400,99.50,96.68
19.600,99.50,105.50
19.800,99.48,96.68
20.000,99.44,96.68
20.200,99.45,105.50
20.400,99.47,96.68
20.600,99.48,96.68
20.800,99.49,105.50
21.000,99.45,96.68
21.200,99.49,96.69
21.400,99.50,105.51
21.600,99.42,96.69
21.800,99.41,96.69
