request_id,t_submit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,e2e_s
r1,1790282651.731491,1790282651.770917,1790282660.493300,23,256,0.039426,8.761809
r2,1790282651.732056,1790282652.237245,1790282660.525150,9,256,0.505189,8.793094
r3,1790282651.732388,1790282652.237249,1790282660.526020,20,256,0.504862,8.793632
r4,1790282651.732781,1790282652.237253,1790282660.526925,342,256,0.504472,8.794145
r5,1790282651.734484,1790282652.237256,1790282660.527487,28,256,0.502772,8.793002
r6,1790282651.734888,1790282652.237259,1790282660.527820,302,256,0.502371,8.792932
r7,1790282651.735734,1790282652.237262,1790282660.528163,12,256,0.501528,8.792429
r8,1790282651.736051,1790282652.237265,1790282660.528514,1063,256,0.501214,8.792464
r9,1790282651.739763,1790282652.237267,1790282654.222780,20,52,0.497504,2.483017
r10,1790282651.740124,1790282652.718545,1790282660.573183,904,256,0.978421,8.833059
r11,1790282651.741940,1790282652.718548,1790282660.573860,803,256,0.976608,8.831919
r12,1790282651.744660,1790282652.718550,1790282660.574664,317,256,0.973890,8.830004
r13,1790282651.745787,1790282652.718553,1790282660.575101,22,256,0.972766,8.829314
r14,1790282651.746139,1790282652.718556,1790282660.575858,21,256,0.972417,8.829720
r15,1790282651.746486,1790282652.718559,1790282660.583499,135,256,0.972072,8.837012
r16,1790282651.747068,1790282652.718562,1790282660.584002,14,256,0.971494,8.836934
r17,1790282654.222796,1790282654.292834,1790282662.728850,44,256,0.070038,8.506054
r18,1790282660.493327,1790282660.584640,1790282668.859123,81,256,0.091313,8.365796
r19,1790282660.525176,1790282660.681034,1790282668.889453,81,256,0.155858,8.364277
r20,1790282660.526054,1790282660.681039,1790282668.890289,131,256,0.154985,8.364235
r21,1790282660.526965,1790282660.681043,1790282668.891797,37,256,0.154078,8.364832
r22,1790282660.527502,1790282660.681046,1790282668.892414,5,256,0.153544,8.364912
r23,1790282660.527853,1790282660.681049,1790282668.893201,8,256,0.153195,8.365348
r24,1790282660.528176,1790282660.681052,1790282668.893764,9,256,0.152876,8.365589
r25,1790282660.528545,1790282660.681055,1790282668.894271,8,256,0.152510,8.365726
r26,1790282660.573219,1790282661.158300,1790282668.927190,13,256,0.585081,8.353971
r27,1790282660.573907,1790282661.158303,1790282668.927892,99,256,0.584396,8.353986
r28,1790282660.574704,1790282661.158306,1790282665.404573,16,140,0.583601,4.829869
r29,1790282660.575118,1790282661.158309,1790282668.928417,128,256,0.583191,8.353299
r30,1790282660.575896,1790282661.261795,1790282669.027302,1992,256,0.685899,8.451406
r31,1790282660.583517,1790282661.261798,1790282669.028776,16,256,0.678282,8.445260
r32,1790282660.584022,1790282661.261801,1790282669.029459,92,256,0.677779,8.445437
r33,1790282662.728872,1790282662.795302,1790282670.719514,18,256,0.066430,7.990642
r34,1790282665.404597,1790282665.472742,1790282673.457769,12,256,0.068145,8.053172
r35,1790282668.859162,1790282668.929059,1790282676.938745,17,256,0.069897,8.079583
r36,1790282668.889486,1790282669.029915,1790282674.342204,17,170,0.140429,5.452718
r37,1790282668.890323,1790282669.029922,1790282671.537535,161,79,0.139599,2.647212
r38,1790282668.891828,1790282669.029927,1790282676.969259,30,256,0.138099,8.077431
r39,1790282668.892441,1790282669.029933,1790282676.970345,52,256,0.137493,8.077905
r40,1790282668.893220,1790282669.029937,1790282676.973659,23,256,0.136717,8.080439
r41,1790282668.893783,1790282669.029941,1790282676.976574,12,256,0.136158,8.082790
r42,1790282668.894291,1790282669.029946,1790282676.976968,10,256,0.135654,8.082677
r43,1790282668.927221,1790282669.059333,1790282677.000942,16,256,0.132113,8.073721
r44,1790282668.927925,1790282669.059339,1790282669.783138,7,24,0.131414,0.855213
r45,1790282668.928441,1790282669.059344,1790282677.001520,30,256,0.130903,8.073079
r46,1790282669.027370,1790282669.136631,1790282677.389206,147,256,0.109262,8.361837
r47,1790282669.028811,1790282669.136638,1790282677.390183,28,256,0.107827,8.361372
r48,1790282669.029483,1790282669.136643,1790282677.390644,4,256,0.107161,8.361162
r49,1790282669.783167,1790282669.971232,1790282678.150883,561,256,0.188065,8.367716
r50,1790282670.719534,1790282670.786436,1790282678.972342,12,256,0.066902,8.252808
r51,1790282671.537562,1790282671.642090,1790282679.818657,210,256,0.104528,8.281096
r52,1790282673.457796,1790282673.525125,1790282681.737406,20,256,0.067329,8.279611
r53,1790282674.342223,1790282674.409658,1790282682.649222,12,256,0.067435,8.306999
r54,1790282676.938779,1790282677.002084,1790282685.280859,5,256,0.063305,8.342080
r55,1790282676.969288,1790282677.391540,1790282685.312112,67,256,0.422252,8.342824
r56,1790282676.970377,1790282677.391547,1790282685.312570,810,256,0.421170,8.342192
