t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1790282536.104261,1790282536.104261,mixed,1,0,16,0.0000,10,1,
1790282536.104261,1790282536.127166,mixed,4,0,192,0.0004,146,4,
1790282536.127166,1790282536.164808,decode,4,0,192,0.0004,0,4,
1790282536.164808,1790282536.188725,decode,4,0,192,0.0004,0,4,
1790282536.188725,1790282536.212582,decode,4,0,192,0.0004,0,4,
1790282536.212582,1790282536.236996,decode,4,0,192,0.0004,0,4,
1790282536.236996,1790282536.261475,decode,4,0,192,0.0004,0,4,
1790282536.261475,1790282536.285965,decode,4,0,208,0.0005,0,4,
1790282536.285965,1790282536.310409,decode,4,0,208,0.0005,0,4,
1790282536.310409,1790282536.334877,decode,4,0,208,0.0005,0,4,
1790282536.334877,1790282536.359352,decode,4,0,208,0.0005,0,4,
1790282536.359352,1790282536.383839,decode,4,0,224,0.0005,0,4,
1790282536.383839,1790282536.410552,decode,4,0,240,0.0006,0,4,
1790282536.410552,1790282536.435138,decode,4,0,256,0.0006,0,4,
1790282536.435138,1790282536.460199,decode,4,0,256,0.0006,0,4,
1790282536.460199,1790282536.485292,decode,4,0,256,0.0006,0,4,
1790282536.485292,1790282536.510375,decode,4,0,256,0.0006,0,4,
1790282536.510375,1790282536.535522,decode,4,0,256,0.0006,0,4,
1790282536.535522,1790282536.560643,decode,4,0,256,0.0006,0,4,
1790282536.560643,1790282536.585738,decode,4,0,256,0.0006,0,4,
1790282536.585738,1790282536.611389,decode,4,0,256,0.0006,0,4,
1790282536.611389,1790282536.637097,decode,4,0,256,0.0006,0,4,
1790282536.637097,1790282536.662788,decode,4,0,256,0.0006,0,4,
1790282536.662788,1790282536.688522,decode,4,0,272,0.0006,0,4,
1790282536.688522,1790282536.713617,decode,4,0,272,0.0006,0,4,
1790282536.713617,1790282536.739350,decode,4,0,272,0.0006,0,4,
1790282536.739350,1790282536.765150,decode,4,0,272,0.0006,0,4,
1790282536.765150,1790282536.791522,decode,4,0,288,0.0007,0,4,
1790282536.791522,1790282536.816433,decode,4,0,304,0.0007,0,4,
1790282536.816433,1790282536.841346,decode,4,0,320,0.0007,0,4,
1790282536.841346,1790282536.866649,decode,4,0,320,0.0007,0,4,
1790282536.866649,1790282536.895586,decode,4,0,320,0.0007,0,4,
1790282536.895586,1790282536.933717,decode,4,0,320,0.0007,0,4,
1790282536.933717,1790282536.972217,decode,4,0,320,0.0007,0,4,
1790282536.972217,1790282536.987091,decode,4,0,320,0.0007,0,4,
1790282536.987091,1790282537.025472,decode,4,0,320,0.0007,0,4,
1790282537.025472,1790282537.051901,decode,4,0,320,0.0007,0,4,
1790282537.051901,1790282537.077431,decode,4,0,320,0.0007,0,4,
1790282537.077431,1790282537.102977,decode,4,0,320,0.0007,0,4,
1790282537.102977,1790282537.128506,decode,4,0,336,0.0008,0,4,
1790282537.128506,1790282537.152686,decode,4,0,336,0.0008,0,4,
1790282537.152686,1790282537.176894,decode,4,0,336,0.0008,0,4,
1790282537.176894,1790282537.201177,decode,4,0,336,0.0008,0,4,
1790282537.201177,1790282537.225367,decode,4,0,352,0.0008,0,4,
1790282537.225367,1790282537.249707,decode,4,0,368,0.0009,0,4,
1790282537.249707,1790282537.273928,decode,4,0,384,0.0009,0,4,
1790282537.273928,1790282537.298119,decode,4,0,384,0.0009,0,4,
1790282537.298119,1790282537.322319,decode,4,0,384,0.0009,0,4,
