t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c,power_inst_w
1790282748.740953,65.595,1695,7601,0.0,0.0,35.0,61.098
1790282748.751023,65.595,1695,7601,0.0,0.0,35.0,61.098
1790282748.761123,65.595,1695,7601,0.0,0.0,35.0,61.098
1790282748.771015,65.595,1695,7601,0.0,0.0,35.0,61.098
1790282748.781013,65.595,1695,7601,0.0,0.0,35.0,61.098
1790282748.791015,65.615,1695,7601,0.0,0.0,35.0,61.274
1790282748.801015,65.615,1695,7601,0.0,0.0,35.0,61.274
1790282748.811013,65.615,1695,7601,0.0,0.0,35.0,61.274
1790282748.821013,65.615,1695,7601,0.0,0.0,35.0,61.274
1790282748.831013,65.615,1695,7601,0.0,0.0,37.0,61.274
1790282748.841013,65.615,1695,7601,0.0,0.0,37.0,61.274
1790282748.851013,65.615,1695,7601,0.0,0.0,37.0,61.274
1790282748.861012,65.615,1695,7601,0.0,0.0,36.0,61.274
1790282748.871011,65.615,375,7601,0.0,0.0,36.0,61.274
1790282748.881011,65.615,375,7601,0.0,0.0,36.0,61.274
1790282748.891011,71.427,375,7601,0.0,0.0,36.0,124.937
1790282748.901011,71.427,375,7601,0.0,0.0,36.0,124.937
1790282748.911009,71.427,375,7601,55.0,22.0,36.0,124.937
1790282748.921009,71.427,375,7601,55.0,22.0,36.0,124.937
1790282748.931010,71.427,375,7601,55.0,22.0,36.0,124.937
1790282748.941010,71.427,375,7601,55.0,22.0,36.0,124.937
1790282748.951009,71.427,375,7601,55.0,22.0,36.0,124.937
1790282748.961010,71.427,375,7601,55.0,22.0,36.0,124.937
1790282748.971009,71.427,495,7601,55.0,22.0,36.0,124.937
1790282748.981010,71.427,495,7601,55.0,22.0,36.0,124.937
1790282748.991015,74.695,495,7601,55.0,22.0,36.0,98.404
1790282749.001009,74.695,495,7601,55.0,22.0,36.0,98.404
1790282749.011009,74.695,495,7601,55.0,22.0,36.0,98.404
1790282749.021009,74.695,495,7601,55.0,22.0,36.0,98.404
1790282749.031013,74.695,495,7601,55.0,22.0,36.0,98.404
1790282749.041010,74.695,495,7601,55.0,22.0,36.0,98.404
1790282749.051010,74.695,495,7601,55.0,22.0,36.0,98.404
1790282749.061009,74.695,495,7601,55.0,22.0,36.0,98.404
1790282749.071008,74.695,495,7601,55.0,22.0,36.0,98.404
1790282749.081009,74.695,495,7601,55.0,22.0,36.0,98.404
1790282749.091010,78.262,495,7601,55.0,22.0,36.0,100.308
1790282749.101009,78.262,495,7601,55.0,22.0,36.0,100.308
1790282749.111009,78.262,495,7601,100.0,13.0,36.0,100.308
1790282749.121008,78.262,495,7601,100.0,13.0,36.0,100.308
1790282749.131008,78.262,495,7601,100.0,13.0,36.0,100.308
1790282749.141009,78.262,495,7601,100.0,13.0,36.0,100.308
1790282749.151008,78.262,495,7601,100.0,13.0,36.0,100.308
1790282749.161008,78.262,495,7601,100.0,13.0,36.0,100.308
1790282749.171008,78.262,480,7601,100.0,13.0,36.0,100.308
1790282749.181009,78.262,480,7601,100.0,13.0,36.0,100.308
1790282749.191007,77.218,480,7601,100.0,13.0,36.0,100.484
1790282749.201008,77.218,480,7601,100.0,13.0,36.0,100.484
1790282749.245279,77.218,480,7601,100.0,13.0,36.0,100.484
1790282749.255346,77.218,480,7601,100.0,13.0,36.0,100.484
1790282749.265339,77.218,480,7601,100.0,13.0,36.0,100.484
1790282749.275339,77.218,525,7601,100.0,13.0,36.0,100.484
1790282749.285338,77.218,525,7601,100.0,13.0,36.0,100.484
1790282749.295338,81.034,525,7601,100.0,13.0,36.0,100.243
1790282749.305339,81.034,525,7601,100.0,13.0,36.0,100.243
1790282749.315337,81.034,525,7601,98.0,14.0,36.0,100.243
1790282749.325337,81.034,525,7601,98.0,14.0,36.0,100.243
1790282749.335338,81.034,525,7601,98.0,14.0,36.0,100.243
1790282749.345337,81.034,525,7601,98.0,14.0,36.0,100.243
1790282749.355339,81.034,525,7601,98.0,14.0,36.0,100.243
1790282749.365337,81.034,525,7601,98.0,14.0,36.0,100.243
1790282749.375337,81.034,510,7601,98.0,14.0,36.0,100.243
1790282749.385337,81.034,510,7601,98.0,14.0,36.0,100.243
1790282749.395337,84.605,510,7601,98.0,14.0,36.0,100.530
1790282749.405337,84.605,510,7601,98.0,14.0,36.0,100.530
1790282749.415337,84.605,510,7601,98.0,14.0,36.0,100.530
1790282749.425337,84.605,510,7601,98.0,14.0,36.0,100.530
1790282749.435337,84.605,510,7601,98.0,14.0,36.0,100.530
1790282749.445337,84.605,510,7601,98.0,14.0,36.0,100.530
1790282749.455337,84.605,510,7601,98.0,14.0,36.0,100.530
1790282749.465337,84.605,510,7601,98.0,14.0,36.0,100.530
1790282749.475336,84.605,480,7601,98.0,14.0,36.0,100.530
1790282749.485336,84.605,480,7601,98.0,14.0,37.0,100.530
1790282749.495335,88.120,480,7601,98.0,14.0,37.0,99.680
1790282749.505337,88.120,480,7601,98.0,14.0,37.0,99.680
1790282749.515337,88.120,480,7601,100.0,13.0,36.0,99.680
1790282749.525336,88.120,480,7601,100.0,13.0,36.0,99.680
1790282749.535336,88.120,480,7601,100.0,13.0,36.0,99.680
1790282749.545336,88.120,480,7601,100.0,13.0,36.0,99.680
1790282749.555337,88.120,480,7601,100.0,13.0,36.0,99.680
1790282749.565337,88.120,480,7601,100.0,13.0,36.0,99.680
1790282749.575337,88.120,435,7601,100.0,13.0,36.0,99.680
1790282749.585336,88.120,435,7601,100.0,13.0,36.0,99.680
1790282749.595337,91.692,435,7601,100.0,13.0,36.0,100.458
1790282749.605337,91.692,435,7601,100.0,13.0,36.0,100.458
1790282749.615336,91.692,435,7601,100.0,13.0,36.0,100.458
1790282749.625336,91.692,435,7601,100.0,13.0,36.0,100.458
1790282749.635338,91.692,435,7601,100.0,13.0,36.0,100.458
1790282749.645338,91.692,435,7601,100.0,13.0,36.0,100.458
1790282749.655336,91.692,435,7601,100.0,13.0,36.0,100.458
1790282749.665336,91.692,435,7601,100.0,13.0,36.0,100.458
1790282749.675337,91.692,285,7601,100.0,13.0,36.0,100.458
1790282749.685337,91.692,285,7601,100.0,13.0,36.0,100.458
1790282749.695338,94.049,285,7601,100.0,13.0,36.0,87.069
