t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1790280750.651658,1790280750.651658,mixed,1,0,16,0.0001,8,1,
1790280750.651658,1790280750.731590,decode,1,0,16,0.0001,0,1,
1790280750.731590,1790280750.822651,decode,1,0,16,0.0001,0,1,
1790280750.822651,1790280750.909806,decode,1,0,16,0.0001,0,1,
1790280750.909806,1790280750.999605,decode,1,0,16,0.0001,0,1,
1790280750.999605,1790280751.089453,decode,1,0,16,0.0001,0,1,
1790280751.089453,1790280751.179199,decode,1,0,16,0.0001,0,1,
1790280751.179199,1790280751.270343,decode,0,0,0,0.0000,0,1,
1790280751.270343,1790280751.270593,idle,0,0,0,0.0000,,,
1790280751.270593,1790280776.342609,mixed,1,0,16,0.0001,8,1,
1790280776.342609,1790280776.431329,decode,1,0,16,0.0001,0,1,
1790280776.431329,1790280776.521600,decode,1,0,16,0.0001,0,1,
1790280776.521600,1790280776.611261,decode,1,0,16,0.0001,0,1,
1790280776.611261,1790280776.702260,decode,1,0,16,0.0001,0,1,
1790280776.702260,1790280776.791968,decode,1,0,16,0.0001,0,1,
1790280776.791968,1790280776.883013,decode,1,0,16,0.0001,0,1,
1790280776.883013,1790280776.974054,decode,0,0,0,0.0000,0,1,
1790280776.974054,1790280776.974251,idle,0,0,0,0.0000,,,
1790280776.974251,1790280782.004594,mixed,1,0,16,0.0001,8,1,
1790280782.004594,1790280782.062562,decode,1,0,16,0.0001,0,1,
1790280782.062562,1790280782.152128,decode,1,0,16,0.0001,0,1,
1790280782.152128,1790280782.241885,decode,1,0,16,0.0001,0,1,
1790280782.241885,1790280782.331577,decode,1,0,16,0.0001,0,1,
1790280782.331577,1790280782.421220,decode,1,0,16,0.0001,0,1,
1790280782.421220,1790280782.512272,decode,1,0,16,0.0001,0,1,
1790280782.512272,1790280782.601994,decode,0,0,0,0.0000,0,1,
1790280782.601994,1790280782.602189,idle,0,0,0,0.0000,,,
1790280782.602189,1790280787.630738,mixed,1,0,16,0.0001,8,1,
1790280787.630738,1790280787.710126,decode,1,0,16,0.0001,0,1,
1790280787.710126,1790280787.800198,decode,1,0,16,0.0001,0,1,
1790280787.800198,1790280787.889919,decode,1,0,16,0.0001,0,1,
1790280787.889919,1790280787.979598,decode,1,0,16,0.0001,0,1,
1790280787.979598,1790280788.073560,decode,1,0,16,0.0001,0,1,
1790280788.073560,1790280788.163854,decode,1,0,16,0.0001,0,1,
1790280788.163854,1790280788.255317,decode,0,0,0,0.0000,0,1,
1790280788.255317,1790280788.255495,idle,0,0,0,0.0000,,,
1790280788.255495,1790280793.284446,mixed,1,0,16,0.0001,8,1,
1790280793.284446,1790280793.350216,decode,1,0,16,0.0001,0,1,
1790280793.350216,1790280793.440134,decode,1,0,16,0.0001,0,1,
1790280793.440134,1790280793.531139,decode,1,0,16,0.0001,0,1,
1790280793.531139,1790280793.622174,decode,1,0,16,0.0001,0,1,
1790280793.622174,1790280793.714473,decode,1,0,16,0.0001,0,1,
1790280793.714473,1790280793.807761,decode,1,0,16,0.0001,0,1,
1790280793.807761,1790280793.897815,decode,0,0,0,0.0000,0,1,
1790280793.897815,1790280793.897977,idle,0,0,0,0.0000,,,
1790280793.897977,1790280798.929358,mixed,1,0,16,0.0001,8,1,
1790280798.929358,1790280799.014693,decode,1,0,16,0.0001,0,1,
