t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c,power_inst_w
1790358439.784932,62.401,1695,7601,0.0,0.0,33.0,57.601
1790358439.794994,62.401,1695,7601,0.0,0.0,33.0,57.601
1790358439.804991,62.401,1695,7601,0.0,0.0,33.0,57.601
1790358439.814991,62.401,1695,7601,0.0,0.0,33.0,57.601
1790358439.825000,62.401,1695,7601,0.0,0.0,33.0,57.601
1790358439.835057,62.401,1695,7601,0.0,0.0,33.0,57.601
1790358439.845029,62.449,1695,7601,0.0,0.0,33.0,58.087
1790358439.855013,62.449,1695,7601,0.0,0.0,33.0,58.087
1790358439.865025,62.449,1695,7601,0.0,0.0,33.0,58.087
1790358439.875031,62.449,1695,7601,0.0,0.0,33.0,58.087
1790358439.885047,62.449,1695,7601,0.0,0.0,33.0,58.087
1790358439.895020,62.449,1695,7601,0.0,0.0,33.0,58.087
1790358439.905045,62.449,1695,7601,0.0,0.0,33.0,58.087
1790358439.915031,62.449,1695,7601,0.0,0.0,33.0,58.087
1790358439.925045,62.449,1695,7601,0.0,0.0,33.0,58.087
1790358439.935018,62.449,1695,7601,0.0,0.0,33.0,58.087
1790358439.945010,62.305,1695,7601,0.0,0.0,33.0,57.793
1790358439.955007,62.305,1695,7601,0.0,0.0,33.0,57.793
1790358439.965003,62.305,1695,7601,0.0,0.0,33.0,57.793
1790358439.975005,62.305,1695,7601,0.0,0.0,33.0,57.793
1790358439.985003,62.305,1695,7601,0.0,0.0,33.0,57.793
1790358439.995004,62.305,1695,7601,0.0,0.0,33.0,57.793
1790358440.005005,62.305,1695,7601,0.0,0.0,33.0,57.793
1790358440.015005,62.305,1695,7601,0.0,0.0,33.0,57.793
1790358440.025007,62.305,1695,7601,0.0,0.0,33.0,57.793
1790358440.035010,62.305,1695,7601,0.0,0.0,33.0,57.793
1790358440.045000,62.310,1695,7601,0.0,0.0,33.0,57.818
1790358440.055000,62.310,1695,7601,0.0,0.0,33.0,57.818
1790358440.065003,62.310,1695,7601,0.0,0.0,33.0,57.818
1790358440.075004,62.310,1695,7601,0.0,0.0,33.0,57.818
1790358440.085006,62.310,1695,7601,0.0,0.0,33.0,57.818
1790358440.095005,62.310,1695,7601,0.0,0.0,33.0,57.818
1790358440.105001,62.310,1695,7601,0.0,0.0,33.0,57.818
1790358440.115004,62.310,1695,7601,0.0,0.0,33.0,57.818
1790358440.124999,62.310,1695,7601,0.0,0.0,33.0,57.818
1790358440.134999,62.310,1695,7601,0.0,0.0,33.0,57.818
1790358440.144999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.154999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.165002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.174999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.185000,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.195000,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.204999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.214998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.224999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.235002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.244999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.255003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.265002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.275003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.285003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.295002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.305002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.315004,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.325002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.335002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.345004,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.355003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.365002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.375006,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.385004,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.395003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.405003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.415003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.425003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.435001,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.445003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.455003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.464998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.475005,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.485003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.495002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.504998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.515002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.524999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.534997,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.544999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.555003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.564998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.575001,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.584999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.594998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.604998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.614998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.624998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.635002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.644999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.654998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.665002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.675003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.685002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.695004,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.704998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.714999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.725002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.735002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.745002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.755002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.765001,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.775003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.785003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.794991,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.804998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.815003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.825002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.835002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.845002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.855001,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.865002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.874999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.884999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.895001,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.905002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.914998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.925002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.935001,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.945002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.955001,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.965002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.975000,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.985000,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358440.994999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.005003,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.014998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.024999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.034998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.044998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.055002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.064998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.075002,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.085006,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.094998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.104998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.114999,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.124998,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.135001,60.611,1695,7601,0.0,0.0,33.0,57.953
1790358441.145000,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.155001,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.165001,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.175002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.185002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.195002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.205001,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.215001,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.224989,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.234986,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.244997,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.255000,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.265000,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.275002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.285001,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.295021,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.305015,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.315024,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.325014,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.335015,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.344990,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.355017,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.365018,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.375010,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.385002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.395000,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.405005,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.415004,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.425000,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.434999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.444999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.454998,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.465004,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.474999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.484999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.495003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.505002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.515004,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.525005,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.534999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.545002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.555003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.565004,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.575003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.585003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.595003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.605002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.615003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.625002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.635002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.645002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.655003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.665003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.675002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.685001,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.694999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.705002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.715002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.725002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.735004,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.745005,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.755002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.765003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.774999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.785002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.794999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.805002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.815002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.825002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.834998,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.844998,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.854999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.864999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.874999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.884998,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.895002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.905003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.914998,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.925003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.935000,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.945003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.955002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.965002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.975002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.985003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358441.995002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.005002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.015002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.025003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.035002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.045001,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.055001,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.065002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.075006,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.085005,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.095002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.105001,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.115003,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.124999,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.135002,57.764,1695,7601,0.0,0.0,33.0,57.746
1790358442.145005,57.732,1695,7601,0.0,0.0,33.0,57.718
1790358442.155005,57.732,1695,7601,0.0,0.0,33.0,57.718
1790358442.165003,57.732,1695,7601,0.0,0.0,33.0,57.718
1790358442.175003,57.732,1695,7601,0.0,0.0,33.0,57.718
1790358442.184999,57.732,1695,7601,0.0,0.0,33.0,57.718
1790358442.195004,57.732,1695,7601,0.0,0.0,33.0,57.718
