t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1790358963.885604,1790358963.885604,mixed,1,0,48,0.0001,44,1,
1790358963.885604,1790358963.925437,decode,1,0,48,0.0001,0,1,
1790358963.925437,1790358963.938488,decode,1,0,48,0.0001,0,1,
1790358963.938488,1790358963.961933,decode,1,0,48,0.0001,0,1,
1790358963.961933,1790358963.993051,decode,1,0,48,0.0001,0,1,
1790358963.993051,1790358964.005996,decode,1,0,64,0.0001,0,1,
1790358964.005996,1790358964.047338,decode,1,0,64,0.0001,0,1,
1790358964.047338,1790358964.088186,decode,1,0,64,0.0001,0,1,
1790358964.088186,1790358964.128925,decode,1,0,64,0.0001,0,1,
1790358964.128925,1790358964.169715,decode,1,0,64,0.0001,0,1,
1790358964.169715,1790358964.210677,decode,1,0,64,0.0001,0,1,
1790358964.210677,1790358964.252585,decode,1,0,64,0.0001,0,1,
1790358964.252585,1790358964.294608,decode,1,0,64,0.0001,0,1,
1790358964.294608,1790358964.336556,decode,1,0,64,0.0001,0,1,
1790358964.336556,1790358964.378588,decode,1,0,64,0.0001,0,1,
1790358964.378588,1790358964.420806,decode,1,0,64,0.0001,0,1,
1790358964.420806,1790358964.462011,decode,1,0,64,0.0001,0,1,
1790358964.462011,1790358964.504050,decode,1,0,64,0.0001,0,1,
1790358964.504050,1790358964.543691,decode,1,0,64,0.0001,0,1,
1790358964.543691,1790358964.585607,decode,1,0,64,0.0001,0,1,
1790358964.585607,1790358964.627659,decode,1,0,64,0.0001,0,1,
1790358964.627659,1790358964.669856,decode,1,0,80,0.0002,0,1,
1790358964.669856,1790358964.716439,decode,1,0,80,0.0002,0,1,
1790358964.716439,1790358964.736609,decode,1,0,80,0.0002,0,1,
1790358964.736609,1790358964.756508,decode,1,0,80,0.0002,0,1,
1790358964.756508,1790358964.791350,decode,1,0,80,0.0002,0,1,
1790358964.791350,1790358964.804343,decode,1,0,80,0.0002,0,1,
1790358964.804343,1790358964.842085,decode,1,0,80,0.0002,0,1,
1790358964.842085,1790358964.887403,decode,1,0,80,0.0002,0,1,
1790358964.887403,1790358964.900401,decode,1,0,80,0.0002,0,1,
1790358964.900401,1790358964.930048,decode,1,0,80,0.0002,0,1,
1790358964.930048,1790358964.977791,decode,1,0,80,0.0002,0,1,
1790358964.977791,1790358965.025534,decode,1,0,80,0.0002,0,1,
1790358965.025534,1790358965.053694,decode,1,0,80,0.0002,0,1,
1790358965.053694,1790358965.066664,decode,1,0,80,0.0002,0,1,
1790358965.066664,1790358965.110365,decode,1,0,80,0.0002,0,1,
1790358965.110365,1790358965.158068,decode,1,0,80,0.0002,0,1,
1790358965.158068,1790358965.205819,decode,1,0,96,0.0002,0,1,
1790358965.205819,1790358965.233827,decode,1,0,96,0.0002,0,1,
1790358965.233827,1790358965.246816,decode,1,0,96,0.0002,0,1,
1790358965.246816,1790358965.294510,decode,1,0,96,0.0002,0,1,
1790358965.294510,1790358965.342259,decode,1,0,96,0.0002,0,1,
1790358965.342259,1790358965.372740,decode,1,0,96,0.0002,0,1,
1790358965.372740,1790358965.385766,decode,1,0,96,0.0002,0,1,
1790358965.385766,1790358965.428306,decode,1,0,96,0.0002,0,1,
1790358965.428306,1790358965.476062,decode,1,0,96,0.0002,0,1,
1790358965.476062,1790358965.523842,decode,1,0,96,0.0002,0,1,
1790358965.523842,1790358965.553163,decode,1,0,96,0.0002,0,1,
1790358965.553163,1790358965.566133,decode,1,0,96,0.0002,0,1,
