t,budget,p_1s,p_10s,q,oldest,n_run,arrivals,tokens,tpot,cap,ctrl_ms,info
0.0,100.0,59.404,59.404,0,0.0,0,0,0,0.0,0,6.52,"{""cost"": 1782.1350000000011, ""theta"": 1, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.0, ""gain"": 1.0}"
1.001,100.0,18.286,38.845,0,0.0,0,0,0,0.0,0,6.822,"{""cost"": 1782.1350000000011, ""theta"": 1, ""cap"": 8, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.0, ""gain"": 1.0}"
2.001,100.0,18.271,31.987,3,0.301,0,3,0,0.0,0,20.082,"{""cost"": 1822.1834599708745, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.8999999999999999, ""gain"": 1.0}"
3.001,100.0,18.294,28.564,4,1.301,0,1,0,0.0,0,20.747,"{""cost"": 1862.231919941748, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.9299999999999999, ""gain"": 1.0}"
4.001,100.0,18.323,26.516,4,2.301,0,0,0,0.0,0,19.387,"{""cost"": 1902.2803799126214, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.6509999999999999, ""gain"": 1.0}"
5.001,100.0,18.279,25.143,4,3.301,0,0,0,0.0,0,18.218,"{""cost"": 1942.3288398834948, ""theta"": 16, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.4556999999999999, ""gain"": 1.0}"
6.001,100.0,18.181,24.148,5,4.301,0,1,0,0.0,0,19.986,"{""cost"": 1982.3772998543682, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.6189899999999999, ""gain"": 1.0}"
7.001,100.0,18.029,23.383,6,5.301,0,1,0,0.0,0,21.516,"{""cost"": 2022.4257598252416, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.733293, ""gain"": 1.0}"
8.001,100.0,18.124,22.799,7,6.301,0,1,0,0.0,0,21.977,"{""cost"": 2062.474219796115, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.8133051, ""gain"": 1.0}"
9.0,100.0,18.111,22.33,7,7.3,0,0,0,0.0,0,20.87,"{""cost"": 2102.5226797669884, ""theta"": 32, ""cap"": 32, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.5693135699999999, ""gain"": 1.0}"
10.001,100.0,18.135,21.949,7,8.301,0,0,0,0.0,0,19.884,"{""cost"": 2118.6524816102483, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.39851949899999994, ""gain"": 1.0}"
11.001,100.0,18.2,21.636,7,9.301,0,0,0,0.0,0,18.826,"{""cost"": 2104.704884100013, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.27896364929999995, ""gain"": 1.0}"
12.0,100.0,18.061,21.361,7,10.3,0,0,0,0.0,0,17.833,"{""cost"": 2082.394340648143, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.19527455450999995, ""gain"": 1.0}"
13.001,100.0,17.993,21.121,8,11.301,0,1,0,0.0,0,20.255,"{""cost"": 2162.239080040388, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.43669218815699995, ""gain"": 1.0}"
14.001,100.0,18.054,20.916,8,12.301,0,0,0,0.0,0,18.895,"{""cost"": 2127.1033146715317, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.30568453170989995, ""gain"": 1.0}"
15.0,100.0,18.089,20.74,8,13.3,0,0,0,0.0,0,18.33,"{""cost"": 2099.453690800534, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.21397917219692997, ""gain"": 1.0}"
16.001,100.0,18.057,20.582,8,14.3,0,0,0,0.0,0,17.655,"{""cost"": 2082.394340648143, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.14978542053785096, ""gain"": 1.0}"
17.001,100.0,17.915,20.434,8,15.301,0,0,0,0.0,0,15.476,"{""cost"": 2082.8556016973234, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""cont"", ""lam"": 0.10484979437649566, ""gain"": 1.0}"
18.0,100.0,18.051,20.308,8,16.3,0,0,0,0.0,0,23.247,"{""cost"": 2065.3796798563726, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.07339485606354695, ""gain"": 1.0}"
19.0,100.0,17.962,20.191,8,17.3,0,0,0,0.0,0,13.921,"{""cost"": 2065.8962752514326, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.05137639924448287, ""gain"": 1.0}"
20.001,100.0,17.931,18.117,8,18.301,0,0,0,0.0,0,13.538,"{""cost"": 2065.8962752514326, ""theta"": 16, ""cap"": 16, ""guard"": ""idle"", ""mode"": ""ride"", ""lam"": 0.035963479471138, ""gain"": 1.0}"
