request_id,t_arrival,t_admit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,queue_s,tpot_s,error
mpc-0,1790362659.095079,1790362682.747231,1790362682.780768,1790362690.045735,17,256,23.685689,23.652151,0.028490,
mpc-1,1790362659.950995,1790362682.747673,1790362682.835777,1790362690.074204,18,256,22.884782,22.796678,0.028386,
mpc-2,1790362661.130222,1790362682.747965,1790362682.835781,1790362690.074215,25,256,21.705559,21.617743,0.028386,
mpc-3,1790362663.151582,1790362682.748239,1790362682.835784,1790362690.074224,22,256,19.684202,19.596657,0.028386,
mpc-4,1790362665.384786,1790362682.748488,1790362682.835787,1790362690.074231,13,256,17.451001,17.363702,0.028386,
mpc-5,1790362665.472494,1790362682.748703,1790362682.835790,1790362690.074237,29,256,17.363297,17.276209,0.028386,
mpc-6,1790362665.725035,1790362682.748975,1790362682.835793,1790362690.074243,16,256,17.110759,17.023940,0.028386,
mpc-7,1790362666.013001,1790362682.749207,1790362682.835796,1790362690.074250,23,256,16.822795,16.736206,0.028386,
mpc-8,1790362666.936441,1790362682.749438,1790362682.835799,1790362690.074255,34,256,15.899358,15.812997,0.028386,
mpc-9,1790362668.481664,1790362682.749685,1790362682.835802,1790362690.074261,30,256,14.354138,14.268021,0.028386,
mpc-10,1790362670.262623,1790362682.749922,1790362682.835804,1790362690.074267,48,256,12.573181,12.487298,0.028386,
mpc-11,1790362670.999711,1790362682.750202,1790362682.835807,1790362690.074272,25,256,11.836097,11.750491,0.028386,
mpc-12,1790362675.648686,1790362682.750449,1790362682.835810,1790362690.074278,28,256,7.187124,7.101763,0.028386,
mpc-13,1790362678.403061,1790362682.750695,1790362682.835813,1790362685.886830,13,109,4.432752,4.347635,0.028250,
mpc-14,1790362683.118638,1790362683.119720,1790362683.170602,1790362690.369282,38,256,0.051964,0.001083,0.028230,
mpc-15,1790362683.264487,1790362683.268568,1790362683.311545,1790362690.572989,19,256,0.047058,0.004082,0.028476,
mpc-16,1790362684.302246,1790362703.784909,1790362703.802273,1790362711.550906,23,256,19.500026,19.482662,0.030387,
mpc-17,1790362687.371819,1790362703.785526,1790362703.871616,1790362711.567003,79,256,16.499797,16.413707,0.030178,
mpc-18,1790362689.928894,1790362703.786009,1790362703.871619,1790362711.567015,30,256,13.942725,13.857115,0.030178,
mpc-19,1790362690.481024,1790362703.786305,1790362703.871622,1790362711.567023,24,256,13.390598,13.305281,0.030178,
mpc-20,1790362690.968356,1790362703.786572,1790362703.871624,1790362705.612176,23,57,12.903269,12.818216,0.031081,
mpc-21,1790362691.542993,1790362703.786818,1790362703.871626,1790362711.567030,107,256,12.328634,12.243826,0.030178,
mpc-22,1790362691.820560,1790362703.787308,1790362703.871629,1790362711.567038,25,256,12.051068,11.966747,0.030178,
mpc-23,1790362692.073344,1790362703.787554,1790362703.871631,1790362711.567045,31,256,11.798287,11.714210,0.030178,
mpc-24,1790362692.182369,1790362703.787815,1790362703.871633,1790362711.567051,18,256,11.689264,11.605446,0.030178,
mpc-25,1790362692.372427,1790362703.788048,1790362703.871635,1790362711.567057,17,256,11.499207,11.415621,0.030178,
mpc-26,1790362693.069955,1790362703.788278,1790362703.871637,1790362708.027251,18,138,10.801682,10.718324,0.030333,
mpc-27,1790362693.495194,1790362703.788505,1790362703.871639,1790362707.652210,29,125,10.376445,10.293311,0.030488,
mpc-28,1790362694.452927,1790362703.788749,1790362703.871641,1790362711.567063,17,256,9.418714,9.335822,0.030178,
mpc-29,1790362694.813696,1790362703.788974,1790362703.871643,1790362708.627122,15,158,9.057947,8.975278,0.030290,
mpc-30,1790362694.999575,1790362703.789192,1790362703.871645,1790362711.567070,17,256,8.872070,8.789617,0.030178,
mpc-31,1790362695.529039,1790362703.789407,1790362703.871647,1790362711.567075,19,256,8.342608,8.260368,0.030178,
mpc-32,1790362697.290429,1790362703.789615,1790362703.871649,1790362711.567081,30,256,6.581220,6.499187,0.030178,
mpc-33,1790362697.771692,1790362703.789842,1790362703.871651,1790362711.567088,38,256,6.099959,6.018151,0.030178,
mpc-34,1790362698.260402,1790362703.790114,1790362703.871653,1790362711.567094,17,256,5.611251,5.529712,0.030178,
mpc-35,1790362699.227690,1790362703.790333,1790362703.871655,1790362710.771186,48,229,4.643965,4.562644,0.030261,
mpc-36,1790362702.527349,1790362703.790617,1790362703.871657,1790362711.567100,27,256,1.344308,1.263268,0.030178,
mpc-37,1790362703.308167,1790362703.790838,1790362703.871659,1790362711.567106,31,256,0.563492,0.482670,0.030178,
mpc-38,1790362703.491146,1790362703.791070,1790362703.871661,1790362711.567121,24,256,0.380514,0.299924,0.030178,
mpc-39,1790362705.486035,1790362728.777508,1790362728.808732,1790362736.144559,15,256,23.322697,23.291474,0.028768,
mpc-40,1790362705.906007,1790362728.777992,1790362728.841656,1790362736.174663,33,256,22.935649,22.871986,0.028757,
mpc-41,1790362706.339119,1790362728.778415,1790362728.841659,1790362736.174674,15,256,22.502540,22.439296,0.028757,
mpc-42,1790362706.474395,1790362728.778672,1790362728.841661,1790362736.174682,13,256,22.367267,22.304277,0.028757,
mpc-43,1790362707.810856,1790362728.778901,1790362728.841664,1790362736.174688,13,256,21.030808,20.968045,0.028757,
mpc-44,1790362709.016272,1790362728.779129,1790362728.841666,1790362736.174695,26,256,19.825394,19.762857,0.028757,
mpc-45,1790362710.501708,1790362728.779370,1790362728.841668,1790362736.174701,36,256,18.339960,18.277662,0.028757,
mpc-46,1790362714.946929,1790362728.779614,1790362728.841671,1790362736.174706,25,256,13.894742,13.832685,0.028757,
mpc-47,1790362715.605072,1790362728.779836,1790362728.841673,1790362730.804105,76,69,13.236600,13.174764,0.028859,
mpc-48,1790362718.545675,1790362728.780204,1790362728.841675,1790362736.174712,20,256,10.296000,10.234529,0.028757,
mpc-49,1790362719.121482,1790362728.780410,1790362728.841677,1790362736.174719,25,256,9.720195,9.658928,0.028757,
mpc-50,1790362721.683285,1790362728.780616,1790362728.841679,1790362736.174725,24,256,7.158394,7.097331,0.028757,
mpc-51,1790362722.142373,1790362728.780835,1790362728.841681,1790362736.174731,24,256,6.699308,6.638462,0.028757,
mpc-52,1790362722.896610,1790362728.781048,1790362728.841684,1790362736.174737,34,256,5.945074,5.884438,0.028757,
mpc-53,1790362723.446117,1790362728.781287,1790362728.841686,1790362736.174742,27,256,5.395569,5.335170,0.028757,
mpc-54,1790362723.626139,1790362728.781500,1790362728.841689,1790362732.352949,33,123,5.215549,5.155360,0.028781,
mpc-55,1790362724.930098,1790362753.761367,1790362753.795265,1790362763.522559,19,256,28.865167,28.831269,0.038146,
mpc-56,1790362725.929335,1790362753.761794,1790362753.888200,1790362763.561735,51,256,27.958865,27.832459,0.037935,
mpc-57,1790362726.000909,1790362753.762129,1790362753.888205,1790362763.561746,35,256,27.887296,27.761219,0.037935,
mpc-58,1790362728.425735,1790362753.762414,1790362753.888210,1790362763.561755,22,256,25.462474,25.336679,0.037935,
mpc-59,1790362729.122284,1790362753.762656,1790362753.888214,1790362763.561763,15,256,24.765930,24.640372,0.037935,
mpc-60,1790362733.986647,1790362753.762871,1790362753.888218,1790362763.561769,15,256,19.901571,19.776223,0.037935,
mpc-61,1790362736.124101,1790362753.763081,1790362753.888222,1790362761.172743,15,193,17.764121,17.638980,0.037940,
mpc-62,1790362736.424623,1790362753.763309,1790362753.888226,1790362761.172753,15,193,17.463603,17.338685,0.037940,
mpc-63,1790362737.467236,1790362753.763516,1790362753.888230,1790362762.723832,17,234,16.420994,16.296280,0.037921,
mpc-64,1790362739.473650,1790362753.763729,1790362753.888234,1790362763.561775,14,256,14.414584,14.290079,0.037935,
mpc-65,1790362740.646810,1790362753.763923,1790362753.888238,1790362757.426449,17,93,13.241429,13.117113,0.038459,
mpc-66,1790362740.943640,1790362753.764123,1790362753.888242,1790362763.561782,20,256,12.944602,12.820483,0.037935,
mpc-67,1790362741.311705,1790362753.764338,1790362753.888246,1790362763.561789,42,256,12.576541,12.452633,0.037935,
mpc-68,1790362742.483787,1790362753.764604,1790362753.888250,1790362763.561795,27,256,11.404463,11.280816,0.037935,
mpc-69,1790362742.928989,1790362753.764839,1790362753.888254,1790362763.561801,20,256,10.959265,10.835850,0.037935,
mpc-70,1790362744.158519,1790362753.765049,1790362753.888258,1790362763.561808,19,256,9.729739,9.606531,0.037935,
mpc-71,1790362744.196445,1790362753.765256,1790362753.888262,1790362758.634944,13,126,9.691817,9.568812,0.037973,
mpc-72,1790362744.257886,1790362753.765442,1790362753.888267,1790362763.561814,21,256,9.630380,9.507556,0.037935,
mpc-73,1790362744.454133,1790362753.765642,1790362753.888270,1790362763.561821,26,256,9.434137,9.311509,0.037935,
mpc-74,1790362745.149971,1790362753.765871,1790362753.888274,1790362763.561827,22,256,8.738304,8.615900,0.037935,
mpc-75,1790362746.549529,1790362753.766079,1790362753.888279,1790362763.561833,18,256,7.338750,7.216550,0.037936,
mpc-76,1790362746.558856,1790362753.766284,1790362753.888283,1790362763.561839,26,256,7.329426,7.207428,0.037936,
mpc-77,1790362746.792002,1790362753.766492,1790362753.888286,1790362763.561846,15,256,7.096284,6.974490,0.037936,
mpc-78,1790362746.799242,1790362753.766676,1790362753.888290,1790362763.561852,17,256,7.089049,6.967434,0.037936,
mpc-79,1790362747.112220,1790362753.766863,1790362753.888294,1790362763.561858,23,256,6.776075,6.654643,0.037936,
mpc-80,1790362747.164244,1790362753.767078,1790362753.888298,1790362763.561864,38,256,6.724054,6.602833,0.037936,
mpc-81,1790362747.263056,1790362753.767329,1790362753.888302,1790362763.561871,13,256,6.625246,6.504272,0.037936,
mpc-82,1790362748.722544,1790362753.767515,1790362753.888307,1790362763.561878,15,256,5.165763,5.044971,0.037936,
mpc-83,1790362749.046704,1790362753.767847,1790362753.888311,1790362763.561884,19,256,4.841607,4.721143,0.037936,
mpc-84,1790362749.247609,1790362753.768061,1790362753.888315,1790362763.561891,20,256,4.640706,4.520452,0.037936,
mpc-85,1790362749.284274,1790362753.768279,1790362753.888319,1790362763.561897,55,256,4.604045,4.484005,0.037936,
mpc-86,1790362749.858083,1790362753.768578,1790362753.888323,1790362763.561903,16,256,4.030240,3.910495,0.037936,
mpc-87,1790362749.977384,1790362753.768771,1790362753.888329,1790362763.561908,21,256,3.910944,3.791387,0.037936,
mpc-88,1790362750.343225,1790362753.768973,1790362753.888333,1790362763.561914,30,256,3.545108,3.425749,0.037936,
mpc-89,1790362750.346413,1790362753.769192,1790362753.888337,1790362763.561921,14,256,3.541924,3.422779,0.037936,
mpc-90,1790362750.781460,1790362753.769377,1790362753.888341,1790362763.561927,16,256,3.106881,2.987916,0.037936,
mpc-91,1790362751.194001,1790362753.769593,1790362753.888345,1790362763.561933,18,256,2.694344,2.575592,0.037936,
mpc-92,1790362751.698146,1790362753.769815,1790362753.888349,1790362763.561940,47,256,2.190204,2.071670,0.037936,
mpc-93,1790362752.481060,1790362753.770079,1790362753.888353,1790362763.561946,16,256,1.407294,1.289019,0.037936,
mpc-94,1790362753.933463,1790362753.934545,1790362753.990802,1790362763.639872,18,256,0.057338,0.001081,0.037839,
mpc-95,1790362754.245705,1790362754.248784,1790362754.311478,1790362764.013049,15,256,0.065773,0.003079,0.038045,
mpc-96,1790362754.407683,1790362754.407719,1790362754.458319,1790362759.328398,32,129,0.050636,0.000036,0.038047,
mpc-97,1790362755.278882,1790362778.765449,1790362778.784575,1790362785.513349,14,167,23.505692,23.486567,0.040535,
mpc-98,1790362755.289023,1790362778.765868,1790362778.905384,1790362788.997535,20,256,23.616361,23.476845,0.039577,
mpc-99,1790362755.349737,1790362778.766214,1790362778.905387,1790362788.997548,28,256,23.555650,23.416477,0.039577,
mpc-100,1790362755.379995,1790362778.766555,1790362778.905390,1790362783.596223,16,118,23.525394,23.386560,0.040093,
mpc-101,1790362758.054459,1790362778.766845,1790362778.905392,1790362788.997558,18,256,20.850933,20.712387,0.039577,
mpc-102,1790362758.168163,1790362778.767149,1790362778.905394,1790362788.997568,22,256,20.737231,20.598986,0.039577,
mpc-103,1790362758.405383,1790362778.767456,1790362778.905397,1790362788.997577,38,256,20.500013,20.362072,0.039577,
mpc-104,1790362759.101875,1790362778.767771,1790362778.905399,1790362785.552980,43,167,19.803524,19.665897,0.040046,
mpc-105,1790362759.652377,1790362778.768092,1790362778.905401,1790362788.997584,23,256,19.253025,19.115715,0.039577,
mpc-106,1790362760.158313,1790362778.768378,1790362778.905404,1790362788.997592,25,256,18.747091,18.610065,0.039577,
mpc-107,1790362760.845098,1790362778.768670,1790362778.905406,1790362788.997601,25,256,18.060308,17.923572,0.039577,
mpc-108,1790362762.231812,1790362778.768970,1790362778.905408,1790362788.997609,23,256,16.673597,16.537159,0.039577,
mpc-109,1790362762.247510,1790362778.769251,1790362778.905410,1790362788.997617,18,256,16.657900,16.521741,0.039577,
mpc-110,1790362762.928817,1790362778.769509,1790362778.905413,1790362786.828548,14,201,15.976596,15.840692,0.039616,
mpc-111,1790362763.069222,1790362778.769752,1790362778.905415,1790362788.997625,18,256,15.836193,15.700530,0.039577,
mpc-112,1790362763.193298,1790362778.770019,1790362778.905417,1790362788.997632,21,256,15.712119,15.576721,0.039577,
mpc-113,1790362763.420663,1790362778.770306,1790362778.905419,1790362787.279972,38,213,15.484756,15.349643,0.039503,
mpc-114,1790362764.090395,1790362778.770625,1790362778.905422,1790362788.997640,21,256,14.815027,14.680230,0.039577,
mpc-115,1790362764.207562,1790362778.770897,1790362778.905424,1790362783.835666,33,124,14.697861,14.563335,0.040083,
mpc-116,1790362764.341029,1790362778.771199,1790362778.905426,1790362788.997648,14,256,14.564397,14.430169,0.039577,
mpc-117,1790362764.800726,1790362778.771459,1790362778.905428,1790362788.997655,28,256,14.104702,13.970733,0.039577,
mpc-118,1790362765.552598,1790362778.771733,1790362778.905431,1790362788.997663,20,256,13.352833,13.219135,0.039577,
mpc-119,1790362766.222611,1790362778.771984,1790362778.905433,1790362788.997670,17,256,12.682822,12.549373,0.039577,
mpc-120,1790362766.811944,1790362778.772248,1790362778.905435,1790362788.997677,15,256,12.093491,11.960303,0.039577,
mpc-121,1790362767.328470,1790362778.772537,1790362778.905437,1790362788.997684,21,256,11.576967,11.444067,0.039577,
mpc-122,1790362769.591801,1790362778.772783,1790362778.905439,1790362788.997692,17,256,9.313639,9.180983,0.039577,
mpc-123,1790362769.772079,1790362778.773090,1790362778.905442,1790362788.997698,31,256,9.133363,9.001011,0.039577,
mpc-124,1790362770.728624,1790362778.773361,1790362778.905444,1790362788.997705,13,256,8.176820,8.044737,0.039577,
mpc-125,1790362770.782043,1790362778.773616,1790362778.905446,1790362788.997712,18,256,8.123403,7.991572,0.039578,
mpc-126,1790362771.823281,1790362778.773872,1790362778.905448,1790362788.997720,19,256,7.082167,6.950591,0.039578,
mpc-127,1790362772.340923,1790362778.774133,1790362778.905451,1790362788.997728,36,256,6.564528,6.433210,0.039578,
mpc-128,1790362773.036616,1790362778.774411,1790362778.905453,1790362788.997734,44,256,5.868837,5.737795,0.039578,
mpc-129,1790362773.110996,1790362778.774727,1790362778.905456,1790362788.997742,27,256,5.794460,5.663731,0.039578,
mpc-130,1790362773.615445,1790362778.775143,1790362778.905458,1790362788.997749,29,256,5.290013,5.159698,0.039578,
mpc-131,1790362773.823939,1790362778.775450,1790362778.905460,1790362783.474863,14,115,5.081522,4.951511,0.040082,
mpc-132,1790362773.852485,1790362778.775658,1790362778.905463,1790362788.997756,17,256,5.052977,4.923172,0.039578,
mpc-133,1790362773.856686,1790362778.775858,1790362778.905465,1790362788.997762,63,256,5.048779,4.919172,0.039578,
mpc-134,1790362774.398819,1790362778.776181,1790362778.905468,1790362788.997770,15,256,4.506649,4.377363,0.039578,
mpc-135,1790362774.706592,1790362778.776395,1790362778.905470,1790362788.997776,25,256,4.198878,4.069803,0.039578,
mpc-136,1790362774.941995,1790362778.776614,1790362778.905472,1790362779.572374,16,18,3.963477,3.834619,0.039230,
mpc-137,1790362775.211981,1790362778.776814,1790362778.905475,1790362788.997782,16,256,3.693494,3.564833,0.039578,
mpc-138,1790362775.515679,1790362778.777005,1790362778.905477,1790362788.997789,18,256,3.389798,3.261326,0.039578,
mpc-139,1790362776.209371,1790362778.777207,1790362778.905479,1790362788.997796,15,256,2.696109,2.567836,0.039578,
mpc-140,1790362776.482578,1790362778.777396,1790362778.905481,1790362788.997802,29,256,2.422903,2.294817,0.039578,
mpc-141,1790362777.315343,1790362778.777620,1790362778.905483,1790362788.997809,25,256,1.590141,1.462277,0.039578,
mpc-142,1790362778.446122,1790362778.777828,1790362778.905486,1790362779.572391,25,18,0.459364,0.331706,0.039230,
mpc-143,1790362778.587816,1790362778.778036,1790362778.905488,1790362788.997816,32,256,0.317672,0.190220,0.039578,
mpc-144,1790362779.416072,1790362779.419156,1790362779.466768,1790362789.600804,14,256,0.050696,0.003084,0.039741,
mpc-145,1790362779.941975,1790362799.759789,1790362799.778402,1790362809.347312,59,256,19.836427,19.817814,0.037525,
mpc-146,1790362780.507701,1790362799.760336,1790362799.870037,1790362809.383457,25,256,19.362336,19.252634,0.037308,
mpc-147,1790362780.580206,1790362799.760629,1790362799.870040,1790362809.383469,31,256,19.289834,19.180423,0.037308,
mpc-148,1790362781.527407,1790362799.760893,1790362799.870043,1790362809.383479,20,256,18.342636,18.233485,0.037308,
mpc-149,1790362782.612664,1790362799.761126,1790362799.870045,1790362809.383487,23,256,17.257381,17.148461,0.037308,
mpc-150,1790362782.768602,1790362799.761355,1790362799.870048,1790362809.383496,14,256,17.101446,16.992753,0.037308,
mpc-151,1790362783.221081,1790362799.761556,1790362799.870049,1790362809.383505,18,256,16.648969,16.540475,0.037308,
mpc-152,1790362783.437039,1790362799.761761,1790362799.870052,1790362809.383513,22,256,16.433012,16.324722,0.037308,
mpc-153,1790362783.554914,1790362799.761968,1790362799.870054,1790362809.383522,27,256,16.315140,16.207054,0.037308,
mpc-154,1790362783.598403,1790362799.762196,1790362799.870057,1790362809.383530,25,256,16.271654,16.163794,0.037308,
mpc-155,1790362784.017186,1790362799.762423,1790362799.870059,1790362807.690189,20,210,15.852873,15.745237,0.037417,
mpc-156,1790362785.764915,1790362799.762635,1790362799.870061,1790362809.383539,25,256,14.105145,13.997720,0.037308,
mpc-157,1790362786.847905,1790362799.762886,1790362799.870063,1790362809.383547,15,256,13.022158,12.914981,0.037308,
mpc-158,1790362787.060110,1790362799.763100,1790362799.870065,1790362809.383554,24,256,12.809955,12.702990,0.037308,
mpc-159,1790362788.013991,1790362799.763341,1790362799.870067,1790362809.383562,18,256,11.856076,11.749350,0.037308,
mpc-160,1790362789.375960,1790362799.763559,1790362799.870069,1790362809.383569,25,256,10.494109,10.387599,0.037308,
