t,budget,p_1s,p_10s,q,oldest,n_run,arrivals,tokens,tpot,cap,ctrl_ms,info
0.0,100.0,59.404,59.404,0,0.0,0,0,0,0.0,64,0.082,"{""m_float"": 64.0}"
1.0,100.0,66.585,62.995,0,0.0,0,0,0,0.0,64,0.102,"{""m_float"": 64.0}"
2.001,100.0,69.965,65.318,0,0.0,3,3,23,0.02812,64,0.036,"{""m_float"": 64.0}"
3.001,100.0,99.237,73.798,0,0.0,3,1,119,0.02556,64,0.03,"{""m_float"": 64.0}"
4.0,100.0,99.572,78.953,0,0.0,3,0,120,0.02511,64,0.029,"{""m_float"": 64.0}"
5.001,100.0,99.609,82.395,0,0.0,3,0,120,0.02532,64,0.025,"{""m_float"": 64.0}"
6.0,100.0,99.523,84.842,0,0.0,4,1,140,0.02562,64,0.038,"{""m_float"": 64.0}"
7.001,100.0,99.549,86.681,0,0.0,5,1,170,0.02604,64,0.026,"{""m_float"": 64.0}"
8.001,100.0,99.318,88.085,0,0.0,6,1,198,0.02661,64,0.03,"{""m_float"": 64.0}"
9.001,100.0,99.606,89.237,0,0.0,4,0,182,0.02597,64,0.026,"{""m_float"": 64.0}"
10.001,100.0,99.604,90.179,0,0.0,3,0,131,0.02534,64,0.025,"{""m_float"": 64.0}"
11.0,100.0,99.582,90.963,0,0.0,3,0,120,0.02519,64,0.026,"{""m_float"": 64.0}"
12.0,100.0,99.559,91.624,0,0.0,2,0,117,0.02533,64,0.026,"{""m_float"": 64.0}"
13.0,100.0,99.558,92.191,0,0.0,3,1,101,0.02527,64,0.026,"{""m_float"": 64.0}"
14.001,100.0,99.547,92.681,0,0.0,2,0,83,0.02497,64,0.024,"{""m_float"": 64.0}"
15.0,100.0,99.472,93.106,0,0.0,1,0,38,0.03316,64,0.025,"{""m_float"": 64.0}"
16.0,100.0,99.062,93.456,0,0.0,1,0,22,0.04531,64,0.025,"{""m_float"": 64.0}"
17.0,100.0,99.282,93.78,0,0.0,1,0,23,0.04383,64,0.024,"{""m_float"": 64.0}"
18.0,100.0,99.718,94.092,0,0.0,1,0,23,0.04248,64,0.024,"{""m_float"": 64.0}"
19.001,100.0,98.801,94.328,0,0.0,1,0,23,0.04442,64,0.024,"{""m_float"": 64.0}"
20.001,100.0,99.352,96.325,0,0.0,1,0,23,0.0433,62,0.028,"{""m_float"": 62.408424432640906}"
21.0,100.0,99.287,97.96,0,0.0,1,0,23,0.04355,60,0.024,"{""m_float"": 60.38027777084485}"
22.0,100.0,99.287,99.426,0,0.0,1,0,23,0.0434,58,0.023,"{""m_float"": 57.81124415320196}"
23.0,100.0,92.45,99.087,0,0.0,1,1,19,0.04259,57,0.024,"{""m_float"": 57.13610232703273}"
24.0,100.0,99.008,99.059,0,0.0,1,0,22,0.04568,56,0.025,"{""m_float"": 56.17611934571557}"
25.0,100.0,99.234,99.04,0,0.0,1,0,22,0.04563,55,0.024,"{""m_float"": 55.21607499874287}"
26.001,100.0,99.228,99.025,0,0.0,1,0,22,0.04591,54,0.025,"{""m_float"": 54.25929837292835}"
27.0,100.0,99.257,99.011,0,0.0,1,0,22,0.04569,53,0.025,"{""m_float"": 53.30935179251878}"
28.001,100.0,99.074,98.998,0,0.0,1,0,22,0.0454,52,0.025,"{""m_float"": 52.362976405610915}"
29.001,100.0,99.003,98.968,0,0.0,3,2,105,0.02618,51,0.027,"{""m_float"": 51.448287989960434}"
30.0,100.0,99.569,98.966,0,0.0,4,1,115,0.02584,51,0.027,"{""m_float"": 50.50721330126054}"
31.0,100.0,99.403,98.958,0,0.0,4,0,156,0.02627,50,0.026,"{""m_float"": 49.57734959046906}"
32.001,100.0,99.421,98.951,0,0.0,4,1,159,0.02629,49,0.028,"{""m_float"": 48.648815309074834}"
33.0,100.0,99.459,98.946,0,0.0,4,0,152,0.0261,48,0.067,"{""m_float"": 47.720772432344226}"
34.001,100.0,99.495,98.943,0,0.0,4,0,156,0.02602,47,0.025,"{""m_float"": 46.79167962760063}"
35.0,100.0,99.558,98.947,0,0.0,2,0,136,0.02588,46,0.024,"{""m_float"": 45.853938580196726}"
36.0,100.0,99.568,98.973,0,0.0,2,0,80,0.02518,45,0.024,"{""m_float"": 44.88393645706259}"
37.0,100.0,99.431,98.98,0,0.0,2,1,74,0.02594,44,0.026,"{""m_float"": 43.92747313168482}"
38.0,100.0,99.499,98.969,0,0.0,3,2,120,0.02603,43,0.025,"{""m_float"": 42.993915496080554}"
39.0,100.0,99.572,99.008,0,0.0,3,0,117,0.02562,42,0.025,"{""m_float"": 41.994408957524215}"
40.0,100.0,99.532,99.017,0,0.0,3,0,117,0.02566,41,0.025,"{""m_float"": 41.018900705061746}"
41.0,100.0,99.471,99.026,0,0.0,6,3,186,0.02685,40,0.025,"{""m_float"": 40.03883557325527}"
42.001,100.0,99.56,99.04,0,0.0,6,0,222,0.02671,39,0.025,"{""m_float"": 39.047990701096396}"
43.0,100.0,99.501,99.392,0,0.0,7,1,251,0.02718,38,0.025,"{""m_float"": 37.56316236953887}"
44.0,100.0,99.281,99.406,0,0.0,6,1,254,0.02744,36,0.025,"{""m_float"": 36.39670720911636}"
45.001,100.0,99.511,99.42,0,0.0,5,0,204,0.02666,35,0.026,"{""m_float"": 35.22342847544784}"
46.001,100.0,99.563,99.436,0,0.0,5,0,190,0.02634,34,0.028,"{""m_float"": 34.039360413043255}"
47.001,100.0,99.483,99.448,0,0.0,6,1,207,0.02684,33,0.031,"{""m_float"": 32.855115444959765}"
48.001,100.0,99.621,99.475,0,0.0,5,2,178,0.02668,32,0.032,"{""m_float"": 31.642372362321293}"
49.001,100.0,99.393,99.494,0,0.0,5,0,190,0.02635,30,0.03,"{""m_float"": 30.42781539720013}"
50.001,100.0,99.531,99.493,0,0.0,4,0,158,0.0259,29,0.03,"{""m_float"": 29.23466497806411}"
51.0,100.0,99.544,99.5,0,0.0,4,1,128,0.02603,28,0.029,"{""m_float"": 28.029558084188515}"
52.001,100.0,99.565,99.507,0,0.0,4,0,156,0.02583,27,0.032,"{""m_float"": 26.82083948589023}"
53.001,100.0,99.49,99.508,0,0.0,4,0,152,0.026,26,0.03,"{""m_float"": 25.616801936504576}"
54.001,100.0,99.488,99.508,0,0.0,3,1,120,0.02578,24,0.027,"{""m_float"": 24.41479352881522}"
55.001,100.0,99.298,99.495,0,0.0,4,2,131,0.02633,23,0.025,"{""m_float"": 23.231074962995773}"
56.0,100.0,99.573,99.495,0,0.0,4,0,156,0.02578,22,0.026,"{""m_float"": 22.034603846881726}"
57.001,100.0,99.375,99.492,0,0.0,5,1,162,0.02637,21,0.031,"{""m_float"": 20.842368399258383}"
58.0,100.0,99.546,99.495,0,0.0,5,1,188,0.02647,20,0.026,"{""m_float"": 19.644079805017746}"
59.001,100.0,99.531,99.493,0,0.0,5,0,190,0.02641,18,0.025,"{""m_float"": 18.45103030361994}"
60.0,100.0,99.519,99.492,0,0.0,6,1,215,0.02705,17,0.026,"{""m_float"": 17.25693854491612}"
61.0,100.0,99.494,99.493,0,0.0,6,1,213,0.0271,16,0.025,"{""m_float"": 16.060540779937227}"
62.001,100.0,99.524,99.491,0,0.0,4,0,176,0.02647,15,0.025,"{""m_float"": 14.867800024493935}"
63.0,100.0,99.5,99.491,0,0.0,5,1,157,0.02665,14,0.026,"{""m_float"": 13.673391369709474}"
64.0,100.0,99.49,99.502,0,0.0,4,0,173,0.02636,12,0.024,"{""m_float"": 12.463944773380257}"
65.0,100.0,99.497,99.501,0,0.0,3,0,131,0.02593,11,0.024,"{""m_float"": 11.265490779521148}"
66.001,100.0,99.536,99.5,0,0.0,2,0,110,0.0257,10,0.024,"{""m_float"": 10.068337689617834}"
67.0,100.0,99.514,99.501,0,0.0,2,0,80,0.02547,9,0.035,"{""m_float"": 8.867626110821224}"
68.001,100.0,98.894,99.465,0,0.0,3,2,63,0.02765,8,0.024,"{""m_float"": 7.720697693763356}"
