request_id,t_arrival,t_admit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,queue_s,tpot_s,error
pi-0,1790360299.095888,1790360299.095963,1790360299.128739,1790360309.325050,24,256,0.032852,0.000076,0.039986,
pi-1,1790360308.054973,1790360308.054995,1790360308.124706,1790360314.726007,13,256,0.069733,0.000022,0.025887,
pi-2,1790360308.665638,1790360308.669721,1790360308.699319,1790360315.350013,19,256,0.033681,0.004083,0.026081,
pi-3,1790360308.857804,1790360308.857824,1790360308.903187,1790360315.559119,21,256,0.045383,0.000020,0.026102,
pi-4,1790360311.857257,1790360311.857278,1790360311.893808,1790360318.609664,17,256,0.036551,0.000021,0.026337,
pi-5,1790360312.688728,1790360312.690867,1790360312.740676,1790360316.291204,32,134,0.051949,0.002139,0.026696,
pi-6,1790360313.607693,1790360313.608776,1790360313.661422,1790360320.392607,27,256,0.053729,0.001083,0.026397,
pi-7,1790360313.657809,1790360313.661022,1790360313.727584,1790360316.542393,32,107,0.069774,0.003212,0.026555,
pi-8,1790360314.931119,1790360314.933200,1790360314.966406,1790360321.664564,35,256,0.035286,0.002080,0.026267,
pi-9,1790360316.666315,1790360316.668397,1790360316.696881,1790360323.435258,27,256,0.030566,0.002082,0.026425,
pi-10,1790360317.050493,1790360317.051574,1790360317.096332,1790360323.834560,14,256,0.045839,0.001080,0.026424,
pi-11,1790360319.846071,1790360319.850951,1790360319.904932,1790360326.749092,16,256,0.058861,0.004881,0.026840,
pi-12,1790360320.193905,1790360320.195995,1790360320.229388,1790360327.071045,32,256,0.035482,0.002090,0.026830,
pi-13,1790360321.504233,1790360321.508316,1790360321.549540,1790360328.391087,31,256,0.045306,0.004082,0.026830,
pi-14,1790360321.718956,1790360321.720038,1790360321.771378,1790360328.598306,19,256,0.052422,0.001082,0.026772,
pi-15,1790360323.256763,1790360323.260844,1790360323.297844,1790360330.073268,15,256,0.041080,0.004081,0.026570,
pi-16,1790360324.027512,1790360324.031592,1790360324.073844,1790360330.817444,21,256,0.046332,0.004081,0.026445,
pi-17,1790360325.175305,1790360325.180389,1790360325.232189,1790360331.912289,21,256,0.056884,0.005085,0.026196,
pi-18,1790360329.590929,1790360329.595010,1790360329.627850,1790360336.127417,20,256,0.036920,0.004081,0.025489,
pi-19,1790360331.447980,1790360331.453062,1790360331.500192,1790360335.344254,20,152,0.052212,0.005082,0.025457,
pi-20,1790360332.945669,1790360332.949751,1790360332.992641,1790360340.171832,34,256,0.046973,0.004082,0.028154,
pi-21,1790360337.679859,1790360337.679880,1790360337.766740,1790360344.673244,29,256,0.086881,0.000021,0.027084,
pi-22,1790360341.063795,1790360341.064876,1790360341.121557,1790360347.710056,20,256,0.057763,0.001081,0.025837,
pi-23,1790360343.007250,1790360343.007270,1790360343.046152,1790360349.688358,24,256,0.038902,0.000020,0.026048,
pi-24,1790360343.724645,1790360343.725728,1790360343.765811,1790360350.411190,23,256,0.041167,0.001083,0.026060,
pi-25,1790360343.803582,1790360343.803603,1790360343.857189,1790360350.486956,27,256,0.053607,0.000021,0.025999,
pi-26,1790360348.015087,1790360348.019133,1790360348.070620,1790360355.386262,21,256,0.055533,0.004046,0.028689,
pi-27,1790360352.144952,1790360352.149038,1790360352.242898,1790360358.920783,30,256,0.097946,0.004086,0.026188,
