request_id,t_arrival,t_admit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,queue_s,tpot_s,error
polca-0,1790360625.121327,1790360625.121404,1790360625.155721,1790360636.443031,24,256,0.034394,0.000077,0.044264,
polca-1,1790360634.080938,1790360637.610738,1790360637.625112,1790360644.235628,13,256,3.544174,3.529800,0.025924,
polca-2,1790360634.691711,1790360637.611454,1790360637.637659,1790360644.261963,19,256,2.945948,2.919743,0.025978,
polca-3,1790360634.883338,1790360637.611740,1790360637.637663,1790360644.261975,21,256,2.754324,2.728402,0.025978,
polca-4,1790360637.883002,1790360637.886084,1790360637.920543,1790360644.558683,17,256,0.037541,0.003082,0.026032,
polca-5,1790360638.714099,1790360644.264067,1790360644.322706,1790360647.726954,32,134,5.608608,5.549968,0.025596,
polca-6,1790360639.633545,1790360644.563777,1790360644.624081,1790360653.677007,27,256,4.990536,4.930233,0.035502,
polca-7,1790360639.683280,1790360654.611021,1790360654.626355,1790360657.566406,32,107,14.943074,14.927740,0.027736,
polca-8,1790360640.955981,1790360654.611509,1790360654.668660,1790360661.665828,35,256,13.712679,13.655528,0.027440,
polca-9,1790360642.692267,1790360654.611829,1790360654.668665,1790360661.665838,27,256,11.976398,11.919562,0.027440,
polca-10,1790360643.076408,1790360654.612086,1790360654.668668,1790360661.665847,14,256,11.592260,11.535678,0.027440,
polca-11,1790360645.872223,1790360654.612318,1790360654.668670,1790360661.665853,16,256,8.796448,8.740095,0.027440,
polca-12,1790360646.219857,1790360654.612545,1790360654.668673,1790360661.665860,32,256,8.448816,8.392687,0.027440,
polca-13,1790360647.529531,1790360654.612797,1790360654.668676,1790360661.665866,31,256,7.139145,7.083267,0.027440,
polca-14,1790360647.744238,1790360654.613044,1790360654.668678,1790360661.665871,19,256,6.924440,6.868806,0.027440,
polca-15,1790360649.282584,1790360661.669955,1790360661.696446,1790360668.277794,15,256,12.413862,12.387371,0.025809,
polca-16,1790360650.053039,1790360661.670316,1790360661.721322,1790360668.303644,21,256,11.668283,11.617277,0.025813,
polca-17,1790360651.201458,1790360661.670594,1790360661.721326,1790360668.303653,21,256,10.519868,10.469136,0.025813,
polca-18,1790360655.616465,1790360668.307740,1790360668.332514,1790360680.018448,20,256,12.716049,12.691275,0.045827,
polca-19,1790360657.474199,1790360680.609330,1790360680.623663,1790360684.802936,20,152,23.149465,23.135131,0.027677,
polca-20,1790360658.972217,1790360680.609709,1790360680.637086,1790360687.681477,34,256,21.664870,21.637492,0.027625,
polca-21,1790360663.705228,1790360680.610018,1790360680.637090,1790360687.681487,29,256,16.931861,16.904790,0.027625,
polca-22,1790360667.090058,1790360680.610285,1790360680.637093,1790360687.681494,20,256,13.547035,13.520226,0.027625,
polca-23,1790360669.032442,1790360680.610517,1790360680.637096,1790360687.681501,24,256,11.604654,11.578075,0.027625,
polca-24,1790360669.749870,1790360680.610747,1790360680.637098,1790360687.681507,23,256,10.887228,10.860878,0.027625,
polca-25,1790360669.829076,1790360680.610969,1790360680.637101,1790360687.681513,27,256,10.808025,10.781893,0.027625,
polca-26,1790360674.040487,1790360680.611198,1790360680.637104,1790360687.681518,21,256,6.596617,6.570712,0.027625,
polca-27,1790360678.170344,1790360687.685683,1790360687.711014,1790360694.268738,30,256,9.540670,9.515339,0.025717,
polca-28,1790360681.340909,1790360687.686418,1790360687.740065,1790360694.292854,20,256,6.399155,6.345509,0.025697,
polca-29,1790360682.242049,1790360687.686752,1790360687.740070,1790360690.182256,53,95,5.498022,5.444704,0.025981,
polca-30,1790360682.265819,1790360694.293943,1790360694.330382,1790360706.067610,15,256,12.064564,12.028124,0.046028,
polca-31,1790360682.943908,1790360706.608850,1790360706.624434,1790360713.709988,16,256,23.680527,23.664943,0.027786,
polca-32,1790360683.542256,1790360706.609605,1790360706.641327,1790360713.739834,47,256,23.099072,23.067349,0.027837,
polca-33,1790360683.571161,1790360706.610053,1790360706.641333,1790360713.739845,15,256,23.070172,23.038891,0.027837,
polca-34,1790360684.122925,1790360706.610443,1790360706.641338,1790360713.739851,36,256,22.518413,22.487518,0.027837,
polca-35,1790360686.001242,1790360706.610920,1790360706.641343,1790360713.739858,28,256,20.640100,20.609677,0.027837,
polca-36,1790360686.943564,1790360706.611368,1790360706.641347,1790360713.739863,18,256,19.697784,19.667804,0.027837,
polca-37,1790360687.954064,1790360706.611753,1790360706.641352,1790360713.739868,20,256,18.687288,18.657689,0.027837,
