t,budget,p_1s,p_10s,q,oldest,n_run,arrivals,tokens,tpot,cap,ctrl_ms,info
0.0,100.0,59.404,59.404,0,0.0,0,0,0,0.0,64,0.002,{}
1.0,100.0,65.559,62.482,0,0.0,1,1,14,0.04312,64,0.002,{}
2.0,100.0,99.531,74.832,0,0.0,2,1,66,0.02728,1,0.001,{}
3.0,100.0,99.522,81.004,1,0.601,2,1,78,0.02541,1,0.001,{}
4.001,100.0,99.548,84.713,1,1.601,2,0,78,0.02537,1,0.001,{}
5.0,100.0,99.549,87.186,2,2.601,2,1,80,0.02524,1,0.001,{}
6.0,100.0,99.51,88.946,2,3.601,2,0,78,0.02538,1,0.001,{}
7.001,100.0,99.556,90.272,5,4.601,2,3,80,0.02534,1,0.001,{}
8.0,100.0,99.338,91.28,6,5.6,1,1,35,0.03453,0,0.001,{}
9.001,100.0,70.004,89.152,7,6.601,0,1,3,0.04489,8,0.006,{}
10.0,100.0,95.581,89.737,0,0.0,8,1,253,0.02787,8,0.001,{}
11.0,100.0,99.252,90.53,0,0.0,8,0,288,0.02738,4,0.001,{}
12.0,100.0,99.467,91.217,1,0.468,8,1,296,0.02738,4,0.001,{}
13.0,100.0,99.514,91.81,2,1.468,8,1,288,0.02742,4,0.001,{}
14.0,100.0,99.532,92.325,2,2.468,8,0,296,0.02744,4,0.001,{}
15.001,100.0,99.516,92.774,2,3.469,8,0,288,0.02743,4,0.001,{}
16.0,100.0,99.534,93.172,2,4.468,8,0,296,0.02753,4,0.001,{}
17.0,100.0,99.467,93.521,0,0.0,3,1,116,0.02618,1,0.001,{}
18.0,100.0,99.472,93.835,0,0.0,3,0,114,0.02586,1,0.001,{}
19.001,100.0,99.526,94.119,0,0.0,3,0,117,0.02581,1,0.001,{}
20.001,100.0,99.509,96.124,1,0.328,3,1,117,0.02577,1,0.001,{}
21.001,100.0,99.528,97.823,1,1.329,3,0,114,0.02589,1,0.001,{}
22.0,100.0,99.569,97.825,1,2.328,3,0,117,0.02596,1,0.001,{}
23.0,100.0,99.692,97.833,1,3.328,1,0,90,0.02714,0,0.001,{}
24.001,100.0,98.947,97.803,1,4.328,1,0,22,0.04547,0,0.001,{}
25.001,100.0,72.885,96.47,3,5.329,0,2,4,0.04479,8,0.006,{}
26.001,100.0,95.357,96.262,0,0.0,4,1,126,0.02637,8,0.001,{}
27.001,100.0,99.12,96.24,0,0.0,4,0,156,0.02609,2,0.001,{}
28.0,100.0,99.53,96.25,0,0.0,3,0,146,0.02615,1,0.001,{}
29.0,100.0,99.552,97.727,1,0.359,3,1,114,0.02589,1,0.001,{}
30.0,100.0,99.544,97.926,1,1.358,3,0,117,0.0259,1,0.001,{}
31.0,100.0,99.514,97.939,1,2.358,3,0,114,0.02605,1,0.001,{}
32.001,100.0,99.658,97.948,3,3.359,1,2,88,0.02754,0,0.001,{}
33.0,100.0,94.581,97.702,5,4.358,0,2,16,0.04576,0,0.004,{}
34.001,100.0,61.984,95.824,9,5.359,0,4,0,0.0,8,0.002,{}
35.001,100.0,101.256,95.911,3,1.359,8,2,273,0.0283,4,0.002,{}
36.001,100.0,98.841,95.877,4,2.359,8,1,288,0.02756,4,0.001,{}
37.0,100.0,99.506,95.879,7,3.358,8,3,288,0.02759,4,0.001,{}
38.0,100.0,99.458,95.878,7,4.358,8,0,288,0.02767,4,0.001,{}
39.001,100.0,99.535,95.878,8,5.359,8,1,296,0.02753,4,0.001,{}
40.001,100.0,99.489,95.877,10,6.359,8,2,288,0.02767,4,0.001,{}
41.001,100.0,99.558,95.879,11,7.359,8,1,288,0.02769,4,0.001,{}
42.001,100.0,99.435,95.872,7,5.917,4,0,164,0.02668,2,0.001,{}
43.001,100.0,99.502,95.863,7,6.917,4,0,152,0.02632,2,0.001,{}
44.0,100.0,99.508,95.891,8,7.916,4,1,152,0.02632,2,0.001,{}
45.0,100.0,99.528,97.223,10,8.916,3,2,135,0.02613,1,0.001,{}
46.001,100.0,99.531,97.432,10,9.917,3,0,114,0.02596,1,0.001,{}
47.0,100.0,99.525,97.452,11,10.916,3,1,114,0.02604,1,0.001,{}
48.001,100.0,99.514,97.451,13,11.732,1,3,104,0.02642,0,0.001,{}
49.0,100.0,99.532,97.45,13,12.731,1,0,21,0.04715,0,0.001,{}
50.0,100.0,99.347,97.44,14,13.731,1,1,22,0.04671,0,0.001,{}
51.001,100.0,99.372,97.433,15,14.732,1,1,21,0.04663,0,0.001,{}
52.0,100.0,99.516,97.426,16,15.731,1,1,22,0.04681,0,0.002,{}
53.001,100.0,99.283,97.661,16,16.731,1,0,21,0.04711,0,0.001,{}
54.001,100.0,99.261,99.525,16,17.731,1,0,21,0.04606,0,0.001,{}
55.001,100.0,99.02,99.413,16,18.731,1,0,22,0.04606,0,0.001,{}
56.0,100.0,99.077,99.425,16,19.731,1,0,22,0.04571,0,0.001,{}
57.001,100.0,99.216,99.41,18,20.731,1,2,22,0.04575,0,0.001,{}
58.0,100.0,99.048,99.39,18,21.731,1,0,22,0.04611,0,0.001,{}
59.0,100.0,99.034,99.365,18,22.731,1,0,21,0.04637,0,0.001,{}
60.0,100.0,91.863,98.983,19,23.731,0,1,16,0.04696,0,0.001,{}
61.0,100.0,62.168,97.114,20,24.731,0,1,0,0.0,8,0.001,{}
62.0,100.0,109.457,97.615,12,17.239,8,0,273,0.02862,4,0.001,{}
63.0,100.0,99.398,97.61,13,18.239,8,1,288,0.02778,4,0.001,{}
64.001,100.0,99.516,97.61,14,19.24,8,1,296,0.02767,4,0.001,{}
65.001,100.0,99.503,97.609,17,20.24,8,3,288,0.02776,4,0.001,{}
66.0,100.0,99.536,97.609,17,21.239,8,0,288,0.02779,4,0.001,{}
67.0,100.0,99.508,97.608,18,22.24,8,1,288,0.02775,4,0.001,{}
68.001,100.0,99.505,97.608,20,23.24,7,2,268,0.02771,3,0.001,{}
69.0,100.0,99.284,97.596,17,21.391,3,0,128,0.02669,1,0.001,{}
70.001,100.0,99.534,97.605,18,22.391,3,1,114,0.02615,1,0.001,{}
71.001,100.0,99.533,97.613,19,23.391,3,1,117,0.02615,1,0.001,{}
72.001,100.0,99.501,97.612,19,24.391,3,0,114,0.02606,1,0.001,{}
73.0,100.0,99.568,97.626,19,25.39,3,0,114,0.02608,1,0.001,{}
74.0,100.0,99.506,97.639,19,26.391,3,0,117,0.02614,1,0.001,{}
75.001,100.0,99.715,97.674,18,27.256,1,0,101,0.02639,0,0.001,{}
76.001,100.0,99.413,97.69,19,28.256,1,1,21,0.04743,0,0.001,{}
77.001,100.0,99.535,97.706,19,29.256,1,0,22,0.04686,0,0.001,{}
78.001,100.0,99.31,97.719,21,30.256,1,2,21,0.0471,0,0.001,{}
79.001,100.0,99.491,97.742,22,31.256,1,1,21,0.047,0,0.001,{}
80.001,100.0,99.551,98.127,22,32.256,1,0,22,0.04707,0,0.001,{}
81.0,100.0,99.017,99.969,23,33.255,1,1,21,0.04695,0,0.001,{}
82.0,100.0,98.844,99.439,24,34.256,1,1,21,0.0469,0,0.001,{}
83.001,100.0,98.966,99.417,26,35.256,1,2,22,0.0465,0,0.001,{}
84.0,100.0,98.904,99.386,27,36.255,1,1,21,0.04682,0,0.001,{}
85.001,100.0,98.939,99.358,28,37.256,1,1,21,0.04668,0,0.001,{}
86.001,100.0,98.948,99.329,32,38.256,1,4,22,0.04689,0,0.001,{}
87.0,100.0,97.239,99.215,33,39.256,0,1,18,0.04713,0,0.005,{}
88.001,100.0,62.937,97.387,35,40.256,0,2,0,0.0,8,0.001,{}
89.001,100.0,108.461,97.846,32,26.047,8,5,265,0.02879,4,0.001,{}
90.001,88.0,99.252,97.832,33,27.048,7,1,288,0.02781,3,0.001,{}
91.001,88.0,99.486,97.829,36,28.047,7,3,252,0.02761,3,0.001,{}
92.001,88.0,99.517,97.83,40,29.047,7,4,252,0.02774,3,0.001,{}
93.001,88.0,99.495,97.826,43,30.047,7,3,252,0.02778,3,0.001,{}
94.001,88.0,99.52,97.827,44,31.047,7,1,252,0.02781,3,0.001,{}
95.001,88.0,99.527,97.818,44,32.047,7,0,252,0.02772,3,0.001,{}
96.001,88.0,99.287,97.811,44,31.284,3,3,139,0.02686,1,0.001,{}
97.0,88.0,99.491,97.809,48,32.284,3,4,114,0.02628,1,0.001,{}
98.001,88.0,99.547,97.821,48,33.284,3,0,114,0.02624,1,0.001,{}
99.0,88.0,99.512,97.822,48,34.283,3,0,114,0.02628,1,0.001,{}
