t,budget,p_1s,p_10s,q,oldest,n_run,arrivals,tokens,tpot,cap,ctrl_ms,info
0.0,100.0,59.404,59.404,0,0.0,0,0,0,0.0,64,0.005,{}
1.001,100.0,18.313,38.859,0,0.0,0,0,0,0.0,64,0.001,{}
2.001,100.0,34.236,37.318,0,0.0,3,3,30,0.02576,64,0.001,{}
3.001,100.0,99.445,52.85,0,0.0,3,1,120,0.02514,64,0.001,{}
4.001,100.0,99.575,62.195,0,0.0,3,0,117,0.0252,64,0.001,{}
5.0,100.0,99.577,68.425,0,0.0,3,0,120,0.02521,64,0.001,{}
6.0,100.0,99.524,72.868,0,0.0,4,1,140,0.02551,64,0.001,{}
7.0,100.0,99.603,76.21,0,0.0,5,1,175,0.02573,64,0.001,{}
8.001,100.0,99.52,78.8,0,0.0,6,1,198,0.02632,64,0.001,{}
9.0,100.0,99.522,80.872,0,0.0,4,0,179,0.02597,64,0.001,{}
10.001,100.0,99.554,82.57,0,0.0,3,0,126,0.02537,64,0.001,{}
11.0,100.0,99.545,83.985,0,0.0,3,0,120,0.02526,64,0.001,{}
12.001,100.0,99.541,85.182,0,0.0,2,0,116,0.02537,64,0.001,{}
13.001,100.0,99.551,86.208,0,0.0,3,1,101,0.02523,64,0.001,{}
14.001,100.0,99.56,87.098,0,0.0,2,0,82,0.02506,64,0.001,{}
15.0,100.0,99.471,87.871,0,0.0,1,0,38,0.03332,64,0.001,{}
16.001,100.0,99.218,88.539,0,0.0,1,0,22,0.04534,64,0.001,{}
17.0,100.0,99.287,89.136,0,0.0,1,0,22,0.04429,64,0.001,{}
18.001,100.0,99.318,89.672,0,0.0,1,0,23,0.04384,64,0.001,{}
19.001,100.0,99.097,90.143,0,0.0,1,0,23,0.04418,64,0.001,{}
20.001,100.0,99.459,92.146,0,0.0,1,0,23,0.04309,64,0.001,{}
21.001,100.0,99.253,96.193,0,0.0,1,0,23,0.04381,64,0.001,{}
22.0,100.0,99.61,99.462,0,0.0,1,0,23,0.04233,64,0.001,{}
