request_id,t_arrival,t_admit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,queue_s,tpot_s,error
static64-0,1790359313.231418,1790359313.232568,1790359313.267343,1790359314.207226,15,38,0.035925,0.001150,0.025402,
static64-1,1790359313.264615,1790359313.264655,1790359313.288678,1790359319.810024,34,256,0.024064,0.000040,0.025574,
static64-2,1790359313.268443,1790359313.270573,1790359313.324693,1790359319.837875,46,256,0.056250,0.002130,0.025542,
static64-3,1790359314.185591,1790359314.190713,1790359314.231548,1790359320.759595,18,256,0.045957,0.005122,0.025600,
static64-4,1790359316.902786,1790359316.906916,1790359316.951687,1790359323.490727,14,256,0.048901,0.004130,0.025643,
static64-5,1790359318.025170,1790359318.026267,1790359318.055603,1790359324.574969,17,256,0.030433,0.001097,0.025566,
static64-6,1790359319.283479,1790359319.285609,1790359319.330514,1790359325.800960,39,256,0.047035,0.002130,0.025374,
static64-7,1790359323.978078,1790359323.983182,1790359324.015274,1790359333.897398,11,256,0.037196,0.005104,0.038753,
static64-8,1790359334.074736,1790359334.074817,1790359334.089271,1790359343.043770,17,256,0.014535,0.000082,0.035116,
static64-9,1790359339.551663,1790359339.556764,1790359339.605251,1790359346.228062,15,256,0.053588,0.005100,0.025972,
static64-10,1790359339.673059,1790359339.676170,1790359339.708858,1790359346.331368,27,256,0.035799,0.003111,0.025971,
static64-11,1790359341.455483,1790359341.455507,1790359341.500067,1790359348.114718,44,256,0.044584,0.000024,0.025940,
static64-12,1790359342.870354,1790359342.873440,1790359342.910901,1790359349.524522,26,256,0.040547,0.003086,0.025936,
static64-13,1790359348.119871,1790359348.123954,1790359348.181032,1790359354.903039,20,256,0.061161,0.004083,0.026361,
static64-14,1790359348.710354,1790359348.710380,1790359348.741843,1790359355.500284,15,256,0.031489,0.000026,0.026504,
static64-15,1790359349.222320,1790359349.222341,1790359349.260718,1790359356.042066,22,256,0.038398,0.000021,0.026594,
static64-16,1790359351.709494,1790359351.709517,1790359351.741089,1790359358.608696,13,256,0.031595,0.000023,0.026932,
static64-17,1790359351.770471,1790359351.772075,1790359351.824962,1790359358.696266,16,256,0.054491,0.001605,0.026946,
static64-18,1790359351.996550,1790359351.999638,1790359352.041429,1790359358.909761,27,256,0.044879,0.003087,0.026935,
static64-19,1790359353.713076,1790359353.716165,1790359353.758618,1790359360.604878,20,256,0.045542,0.003089,0.026848,
static64-20,1790359355.003781,1790359355.007871,1790359355.037817,1790359361.837082,36,256,0.034036,0.004090,0.026664,
static64-21,1790359357.900367,1790359357.903452,1790359357.933064,1790359364.675786,38,256,0.032696,0.003085,0.026442,
static64-22,1790359358.589226,1790359358.591312,1790359358.639912,1790359365.354694,15,256,0.050686,0.002086,0.026332,
static64-23,1790359359.336898,1790359359.340981,1790359359.381222,1790359366.083947,24,256,0.044324,0.004083,0.026285,
static64-24,1790359362.423961,1790359362.428047,1790359362.459833,1790359369.173912,15,256,0.035872,0.004086,0.026330,
static64-25,1790359365.299335,1790359365.299366,1790359365.354709,1790359372.137161,15,256,0.055373,0.000031,0.026598,
static64-26,1790359365.838286,1790359365.840368,1790359365.873961,1790359372.678608,17,256,0.035675,0.002082,0.026685,
static64-27,1790359366.188961,1790359366.190045,1790359366.238543,1790359373.054028,39,256,0.049582,0.001085,0.026727,
static64-28,1790359368.228315,1790359368.228338,1790359368.260398,1790359375.096853,51,256,0.032083,0.000023,0.026810,
static64-29,1790359369.125671,1790359369.126757,1790359369.173933,1790359375.992417,14,256,0.048262,0.001086,0.026739,
static64-30,1790359370.549914,1790359370.552000,1790359370.589056,1790359377.376069,37,256,0.039142,0.002085,0.026616,
static64-31,1790359372.297377,1790359372.300590,1790359372.351791,1790359379.042736,18,256,0.054414,0.003213,0.026239,
static64-32,1790359374.351525,1790359374.351547,1790359374.397543,1790359381.135444,27,256,0.046018,0.000022,0.026423,
static64-33,1790359379.232039,1790359379.233127,1790359379.285407,1790359385.228552,34,229,0.053368,0.001088,0.026066,
static64-34,1790359379.487678,1790359379.490759,1790359379.523669,1790359386.164471,39,256,0.035991,0.003082,0.026042,
static64-35,1790359381.930562,1790359381.934637,1790359381.984773,1790359388.640401,18,256,0.054211,0.004075,0.026101,
static64-36,1790359383.804328,1790359383.807154,1790359383.856611,1790359390.555317,28,256,0.052283,0.002825,0.026269,
static64-37,1790359386.968281,1790359386.969368,1790359387.010979,1790359393.829764,21,256,0.042698,0.001087,0.026740,
static64-38,1790359387.966330,1790359387.967414,1790359388.003545,1790359394.854270,37,256,0.037215,0.001085,0.026866,
static64-39,1790359388.747802,1790359388.750886,1790359388.798102,1790359395.653419,32,256,0.050300,0.003085,0.026884,
static64-40,1790359390.109032,1790359390.110116,1790359390.150421,1790359396.980827,15,256,0.041389,0.001084,0.026786,
static64-41,1790359390.549777,1790359390.553861,1790359390.581352,1790359397.394825,22,256,0.031576,0.004085,0.026720,
static64-42,1790359391.792770,1790359391.794852,1790359391.836682,1790359392.363506,20,20,0.043912,0.002081,0.027728,
static64-43,1790359391.969586,1790359391.971667,1790359392.005253,1790359395.015258,30,112,0.035667,0.002080,0.027117,
static64-44,1790359394.715050,1790359394.719010,1790359394.772521,1790359401.911419,66,256,0.057470,0.003960,0.027996,
static64-45,1790359398.513469,1790359398.514565,1790359398.559075,1790359405.178912,17,256,0.045606,0.001096,0.025960,
static64-46,1790359399.433440,1790359399.434722,1790359399.484957,1790359406.142625,24,256,0.051517,0.001281,0.026109,
