t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1790358505.463878,1790358505.463878,mixed,1,0,32,0.0001,25,1,
1790358505.463878,1790358505.544230,decode,1,0,32,0.0001,0,1,
1790358505.544230,1790358505.557247,decode,1,0,32,0.0001,0,1,
1790358505.557247,1790358505.570221,decode,1,0,32,0.0001,0,1,
1790358505.570221,1790358505.608896,decode,1,0,32,0.0001,0,1,
1790358505.608896,1790358505.647023,decode,1,0,32,0.0001,0,1,
1790358505.647023,1790358505.687786,decode,1,0,32,0.0001,0,1,
1790358505.687786,1790358505.727394,decode,1,0,32,0.0001,0,1,
1790358505.727394,1790358505.768148,decode,1,0,48,0.0001,0,1,
1790358505.768148,1790358505.807696,decode,1,0,48,0.0001,0,1,
1790358505.807696,1790358505.848405,decode,1,0,48,0.0001,0,1,
1790358505.848405,1790358505.888084,decode,1,0,48,0.0001,0,1,
1790358505.888084,1790358505.927608,decode,1,0,48,0.0001,0,1,
1790358505.927608,1790358505.968359,decode,1,0,48,0.0001,0,1,
1790358505.968359,1790358506.010164,decode,1,0,48,0.0001,0,1,
1790358506.010164,1790358506.049825,decode,1,0,48,0.0001,0,1,
1790358506.049825,1790358506.089394,decode,1,0,48,0.0001,0,1,
1790358506.089394,1790358506.128952,decode,1,0,48,0.0001,0,1,
1790358506.128952,1790358506.169538,decode,1,0,48,0.0001,0,1,
1790358506.169538,1790358506.209213,decode,1,0,48,0.0001,0,1,
1790358506.209213,1790358506.248863,decode,1,0,48,0.0001,0,1,
1790358506.248863,1790358506.288402,decode,1,0,48,0.0001,0,1,
1790358506.288402,1790358506.328036,decode,1,0,48,0.0001,0,1,
1790358506.328036,1790358506.370892,decode,1,0,48,0.0001,0,1,
1790358506.370892,1790358506.383928,decode,1,0,64,0.0001,0,1,
1790358506.383928,1790358506.411439,decode,1,0,64,0.0001,0,1,
1790358506.411439,1790358506.438498,decode,1,0,64,0.0001,0,1,
