t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c,power_inst_w
1790358505.080681,61.856,1695,7601,0.0,0.0,30.0,57.266
1790358505.090746,61.856,1695,7601,0.0,0.0,30.0,57.266
1790358505.100741,61.856,1695,7601,0.0,0.0,30.0,57.266
1790358505.110738,61.856,1695,7601,0.0,0.0,30.0,57.266
1790358505.120770,61.856,1695,7601,0.0,0.0,30.0,57.266
1790358505.130767,61.856,1695,7601,0.0,0.0,31.0,57.266
1790358505.140759,61.890,1695,7601,0.0,0.0,31.0,57.732
1790358505.150762,61.890,1695,7601,0.0,0.0,31.0,57.732
1790358505.160756,61.890,1695,7601,0.0,0.0,30.0,57.732
1790358505.170757,61.890,1695,7601,0.0,0.0,30.0,57.732
1790358505.180757,61.890,1695,7601,0.0,0.0,30.0,57.732
1790358505.190753,61.890,1695,7601,0.0,0.0,30.0,57.732
1790358505.200758,61.890,1695,7601,0.0,0.0,30.0,57.732
1790358505.210754,61.890,1695,7601,0.0,0.0,30.0,57.732
1790358505.220744,61.890,1695,7601,0.0,0.0,30.0,57.732
1790358505.230758,61.890,1695,7601,0.0,0.0,30.0,57.732
1790358505.240782,61.920,1695,7601,0.0,0.0,30.0,57.603
1790358505.250761,61.920,1695,7601,0.0,0.0,30.0,57.603
1790358505.260755,61.920,1695,7601,0.0,0.0,30.0,57.603
1790358505.270779,61.920,1695,7601,0.0,0.0,30.0,57.603
1790358505.280757,61.920,1695,7601,0.0,0.0,30.0,57.603
1790358505.290762,61.920,1695,7601,0.0,0.0,30.0,57.603
1790358505.300750,61.920,1695,7601,0.0,0.0,30.0,57.603
1790358505.310742,61.920,1695,7601,0.0,0.0,30.0,57.603
1790358505.320752,61.920,1695,7601,0.0,0.0,30.0,57.603
1790358505.330755,61.920,1695,7601,0.0,0.0,30.0,57.603
1790358505.340743,61.946,1695,7601,0.0,0.0,31.0,57.534
1790358505.350740,61.946,1695,7601,0.0,0.0,31.0,57.534
1790358505.360758,61.946,1695,7601,0.0,0.0,31.0,57.534
1790358505.370751,61.946,1695,7601,0.0,0.0,31.0,57.534
1790358505.380754,61.946,1695,7601,0.0,0.0,31.0,57.534
1790358505.390754,61.946,1695,7601,0.0,0.0,31.0,57.534
1790358505.400738,61.946,1695,7601,0.0,0.0,31.0,57.534
1790358505.410740,61.946,1695,7601,0.0,0.0,31.0,57.534
1790358505.420756,61.946,1695,7601,0.0,0.0,31.0,57.534
1790358505.430750,61.946,1695,7601,0.0,0.0,31.0,57.534
1790358505.440739,63.093,1695,7601,0.0,0.0,31.0,71.816
1790358505.450741,63.093,1695,7601,0.0,0.0,31.0,71.816
1790358505.460739,63.093,1695,7601,11.0,10.0,31.0,71.816
1790358505.470763,63.093,1695,7601,11.0,10.0,31.0,71.816
1790358505.480757,63.093,1695,7601,11.0,10.0,31.0,71.816
1790358505.490741,63.093,1695,7601,11.0,10.0,31.0,71.816
1790358505.500743,63.093,1695,7601,11.0,10.0,31.0,71.816
1790358505.510744,63.093,1695,7601,11.0,10.0,31.0,71.816
1790358505.520744,63.093,1695,7601,11.0,10.0,31.0,71.816
1790358505.530742,63.093,1695,7601,11.0,10.0,31.0,71.816
1790358505.540739,63.276,1695,7601,11.0,10.0,31.0,59.292
1790358505.550740,63.276,1695,7601,11.0,10.0,31.0,59.292
1790358505.560740,63.276,1695,7601,11.0,10.0,31.0,59.292
1790358505.570739,63.276,1695,7601,11.0,10.0,31.0,59.292
1790358505.580738,63.276,1695,7601,11.0,10.0,31.0,59.292
1790358505.590738,63.276,1695,7601,11.0,10.0,31.0,59.292
1790358505.600739,63.276,1695,7601,11.0,10.0,31.0,59.292
1790358505.610738,63.276,1695,7601,11.0,10.0,31.0,59.292
1790358505.620738,63.276,285,7601,11.0,10.0,31.0,59.292
1790358505.630736,63.276,285,7601,11.0,10.0,31.0,59.292
1790358505.640738,64.627,285,7601,11.0,10.0,31.0,109.898
1790358505.650738,64.627,285,7601,11.0,10.0,31.0,109.898
1790358505.660738,64.627,285,7601,68.0,41.0,31.0,109.898
1790358505.670737,64.627,285,7601,68.0,41.0,31.0,109.898
1790358505.680737,64.627,285,7601,68.0,41.0,31.0,109.898
1790358505.690738,64.627,285,7601,68.0,41.0,31.0,109.898
1790358505.700739,64.627,285,7601,68.0,41.0,31.0,109.898
1790358505.710737,64.627,285,7601,68.0,41.0,31.0,109.898
1790358505.720737,64.627,255,7601,68.0,41.0,31.0,109.898
1790358505.730737,64.627,255,7601,68.0,41.0,31.0,109.898
1790358505.740739,67.588,255,7601,68.0,41.0,31.0,100.545
1790358505.750737,67.588,255,7601,68.0,41.0,31.0,100.545
1790358505.760736,67.588,255,7601,68.0,41.0,31.0,100.545
1790358505.770738,67.588,255,7601,68.0,41.0,31.0,100.545
1790358505.780739,67.588,255,7601,68.0,41.0,31.0,100.545
1790358505.790737,67.588,255,7601,68.0,41.0,31.0,100.545
1790358505.800736,67.588,255,7601,68.0,41.0,31.0,100.545
1790358505.810738,67.588,255,7601,68.0,41.0,31.0,100.545
1790358505.820739,67.588,255,7601,68.0,41.0,31.0,100.545
1790358505.830736,67.588,255,7601,68.0,41.0,31.0,100.545
1790358505.840737,67.588,255,7601,68.0,41.0,31.0,99.767
1790358505.850738,71.446,255,7601,68.0,41.0,31.0,99.767
1790358505.860738,71.446,255,7601,99.0,27.0,31.0,99.767
1790358505.870737,71.446,255,7601,99.0,27.0,31.0,99.767
1790358505.880736,71.446,255,7601,99.0,27.0,31.0,99.767
1790358505.890738,71.446,255,7601,99.0,27.0,31.0,99.767
1790358505.900738,71.446,255,7601,99.0,27.0,31.0,99.767
1790358505.910737,71.446,255,7601,99.0,27.0,31.0,99.767
1790358505.920736,71.446,255,7601,99.0,27.0,31.0,99.767
1790358505.930736,71.446,255,7601,99.0,27.0,31.0,99.767
1790358505.940739,71.446,255,7601,99.0,27.0,31.0,99.986
1790358505.950737,75.332,255,7601,99.0,27.0,31.0,99.986
1790358505.960736,75.332,255,7601,99.0,27.0,31.0,99.986
1790358505.970738,75.332,255,7601,99.0,27.0,31.0,99.986
1790358505.980739,75.332,255,7601,99.0,27.0,31.0,99.986
1790358505.990737,75.332,255,7601,99.0,27.0,31.0,99.986
1790358506.000736,75.332,255,7601,99.0,27.0,31.0,99.986
1790358506.010737,75.332,255,7601,99.0,27.0,31.0,99.986
1790358506.020739,75.332,255,7601,99.0,27.0,31.0,99.986
1790358506.030736,75.332,240,7601,99.0,27.0,31.0,99.986
1790358506.040736,75.332,240,7601,99.0,27.0,31.0,99.986
1790358506.050737,79.156,240,7601,99.0,27.0,31.0,99.288
1790358506.060737,79.156,240,7601,99.0,27.0,31.0,99.288
1790358506.070736,79.156,240,7601,99.0,26.0,31.0,99.288
1790358506.080736,79.156,240,7601,99.0,26.0,31.0,99.288
1790358506.090738,79.156,240,7601,99.0,26.0,31.0,99.288
1790358506.100738,79.156,240,7601,99.0,26.0,31.0,99.288
1790358506.110740,79.156,240,7601,99.0,26.0,31.0,99.288
1790358506.120737,79.156,240,7601,99.0,26.0,31.0,99.288
1790358506.130736,79.156,255,7601,99.0,26.0,31.0,99.288
1790358506.140738,79.156,255,7601,99.0,26.0,31.0,99.288
1790358506.150737,83.071,255,7601,99.0,26.0,31.0,100.344
1790358506.160736,83.071,255,7601,99.0,26.0,31.0,100.344
1790358506.170741,83.071,255,7601,99.0,26.0,31.0,100.344
