t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters
1790283808.108461,0.2000,20.2655,2.828481e+10,3.821423e+11,3.818211e+11,2.828114e+10,3.670016e+06,3.817954e+11,2.569011e+07,25,2,2
1790283808.308461,0.2000,20.3083,2.828481e+10,2.830683e+10,2.830683e+10,2.828114e+10,3.670016e+06,2.828114e+10,2.569011e+07,0,2,2
1790283808.508461,0.2000,20.3088,2.828481e+10,2.830683e+10,2.830683e+10,2.828114e+10,3.670016e+06,2.828114e+10,2.569011e+07,0,2,2
1790283808.708461,0.2000,20.2999,4.242263e+10,2.263455e+11,2.262556e+11,4.242171e+10,9.175040e+05,2.262491e+11,6.422528e+06,14,2,3
1790283808.908461,0.2000,20.2295,4.242538e+10,4.244741e+10,4.244741e+10,4.242171e+10,3.670016e+06,4.242171e+10,2.569011e+07,0,3,3
1790283809.108461,0.2000,20.2233,2.828481e+10,2.830683e+10,2.830683e+10,2.828114e+10,3.670016e+06,2.828114e+10,2.569011e+07,0,2,2
1790283809.308461,0.2000,20.1779,2.828481e+10,2.830683e+10,2.830683e+10,2.828114e+10,3.670016e+06,2.828114e+10,2.569011e+07,0,2,2
1790283809.508461,0.2000,20.1758,2.828481e+10,2.830683e+10,2.830683e+10,2.828114e+10,3.670016e+06,2.828114e+10,2.569011e+07,0,2,2
1790283809.708461,0.2000,20.1777,2.828481e+10,2.830683e+10,2.830683e+10,2.828114e+10,3.670016e+06,2.828114e+10,2.569011e+07,0,2,2
1790283809.908461,0.2000,20.2287,2.828481e+10,2.830683e+10,2.830683e+10,2.828114e+10,3.670016e+06,2.828114e+10,2.569011e+07,0,2,2
1790283810.108461,0.2000,20.2813,2.828481e+10,2.830683e+10,2.830683e+10,2.828114e+10,3.670016e+06,2.828114e+10,2.569011e+07,0,2,2
1790283810.308461,0.2000,20.2819,2.828481e+10,2.830683e+10,2.830683e+10,2.828114e+10,3.670016e+06,2.828114e+10,2.569011e+07,0,2,2
1790283810.508461,0.2000,20.2799,2.828573e+10,2.831326e+10,2.831326e+10,2.828114e+10,4.587520e+06,2.828114e+10,3.211264e+07,0,2,2
1790283810.708461,0.2000,20.2801,2.828665e+10,2.831968e+10,2.831968e+10,2.828114e+10,5.505024e+06,2.828114e+10,3.853517e+07,0,2,2
1790283810.908462,0.2000,20.2902,4.242997e+10,4.247952e+10,4.247952e+10,4.242171e+10,8.257536e+06,4.242171e+10,5.780275e+07,0,3,3
1790283811.108461,0.2000,20.2961,2.828665e+10,2.831968e+10,2.831968e+10,2.828114e+10,5.505024e+06,2.828114e+10,3.853517e+07,0,2,2
1790283811.308462,0.2000,20.2939,2.828665e+10,2.831968e+10,2.831968e+10,2.828114e+10,5.505024e+06,2.828114e+10,3.853517e+07,0,2,2
1790283811.508461,0.2000,20.2944,2.828665e+10,2.831968e+10,2.831968e+10,2.828114e+10,5.505024e+06,2.828114e+10,3.853517e+07,0,2,2
1790283811.708462,0.2000,20.2972,2.828665e+10,2.831968e+10,2.831968e+10,2.828114e+10,5.505024e+06,2.828114e+10,3.853517e+07,0,2,2
1790283811.908462,0.2000,20.3037,2.828665e+10,2.831968e+10,2.831968e+10,2.828114e+10,5.505024e+06,2.828114e+10,3.853517e+07,0,2,2
1790283812.108462,0.2000,20.3124,2.828848e+10,2.833252e+10,2.833252e+10,2.828114e+10,7.340032e+06,2.828114e+10,5.138022e+07,0,2,2
1790283812.308462,0.2000,20.3131,2.828848e+10,2.833252e+10,2.833252e+10,2.828114e+10,7.340032e+06,2.828114e+10,5.138022e+07,0,2,2
1790283812.508462,0.2000,20.3139,2.828848e+10,2.833252e+10,2.833252e+10,2.828114e+10,7.340032e+06,2.828114e+10,5.138022e+07,0,2,2
1790283812.708462,0.2000,20.3192,4.243272e+10,4.249879e+10,4.249879e+10,4.242171e+10,1.101005e+07,4.242171e+10,7.707034e+07,0,3,3
1790283812.908462,0.2000,20.3169,2.828848e+10,2.833252e+10,2.833252e+10,2.828114e+10,7.340032e+06,2.828114e+10,5.138022e+07,0,2,2
1790283813.108462,0.2000,20.3078,2.828848e+10,2.833252e+10,2.833252e+10,2.828114e+10,7.340032e+06,2.828114e+10,5.138022e+07,0,2,2
1790283813.308462,0.2000,20.3032,2.828848e+10,2.833252e+10,2.833252e+10,2.828114e+10,7.340032e+06,2.828114e+10,5.138022e+07,0,2,2
1790283813.508462,0.2000,20.3062,2.828940e+10,2.833895e+10,2.833895e+10,2.828114e+10,8.257536e+06,2.828114e+10,5.780275e+07,0,2,2
1790283813.708462,0.2000,20.3023,2.829032e+10,2.834537e+10,2.834537e+10,2.828114e+10,9.175040e+06,2.828114e+10,6.422528e+07,0,2,2
1790283813.908462,0.2000,20.3142,2.829032e+10,2.834537e+10,2.834537e+10,2.828114e+10,9.175040e+06,2.828114e+10,6.422528e+07,0,2,2
1790283814.108462,0.2000,20.3251,2.829032e+10,2.834537e+10,2.834537e+10,2.828114e+10,9.175040e+06,2.828114e+10,6.422528e+07,0,2,2
1790283814.308462,0.2000,20.3237,2.829032e+10,2.834537e+10,2.834537e+10,2.828114e+10,9.175040e+06,2.828114e+10,6.422528e+07,0,2,2
1790283814.508462,0.2000,20.3301,2.829032e+10,2.834537e+10,2.834537e+10,2.828114e+10,9.175040e+06,2.828114e+10,6.422528e+07,0,2,2
1790283814.708462,0.2000,20.3335,4.243548e+10,4.251805e+10,4.251805e+10,4.242171e+10,1.376256e+07,4.242171e+10,9.633792e+07,0,3,3
1790283814.908463,0.2000,20.3377,2.829032e+10,2.834537e+10,2.834537e+10,2.828114e+10,9.175040e+06,2.828114e+10,6.422528e+07,0,2,2
1790283815.108462,0.2000,20.3204,2.829215e+10,2.835821e+10,2.835821e+10,2.828114e+10,1.101005e+07,2.828114e+10,7.707034e+07,0,2,2
1790283815.308463,0.2000,20.3152,2.829215e+10,2.835821e+10,2.835821e+10,2.828114e+10,1.101005e+07,2.828114e+10,7.707034e+07,0,2,2
1790283815.508462,0.2000,20.3083,2.829215e+10,2.835821e+10,2.835821e+10,2.828114e+10,1.101005e+07,2.828114e+10,7.707034e+07,0,2,2
1790283815.708463,0.2000,20.3040,2.829215e+10,2.835821e+10,2.835821e+10,2.828114e+10,1.101005e+07,2.828114e+10,7.707034e+07,0,2,2
1790283815.908463,0.2000,20.3226,2.829215e+10,2.835821e+10,2.835821e+10,2.828114e+10,1.101005e+07,2.828114e+10,7.707034e+07,0,2,2
1790283816.108463,0.2000,20.3283,2.829215e+10,2.835821e+10,2.835821e+10,2.828114e+10,1.101005e+07,2.828114e+10,7.707034e+07,0,2,2
1790283816.308463,0.2000,20.3387,2.829215e+10,2.835821e+10,2.835821e+10,2.828114e+10,1.101005e+07,2.828114e+10,7.707034e+07,0,2,2
1790283816.508463,0.2000,20.3426,2.829215e+10,2.835821e+10,2.835821e+10,2.828114e+10,1.101005e+07,2.828114e+10,7.707034e+07,0,2,2
1790283816.708463,0.2000,20.3478,4.244098e+10,4.255659e+10,4.255659e+10,4.242171e+10,1.926758e+07,4.242171e+10,1.348731e+08,0,3,3
1790283816.908463,0.2000,20.3350,2.829399e+10,2.837106e+10,2.837106e+10,2.828114e+10,1.284506e+07,2.828114e+10,8.991539e+07,0,2,2
1790283817.108463,0.2000,20.3178,2.829399e+10,2.837106e+10,2.837106e+10,2.828114e+10,1.284506e+07,2.828114e+10,8.991539e+07,0,2,2
1790283817.308463,0.2000,20.3116,2.829399e+10,2.837106e+10,2.837106e+10,2.828114e+10,1.284506e+07,2.828114e+10,8.991539e+07,0,2,2
1790283817.508463,0.2000,20.3091,2.829399e+10,2.837106e+10,2.837106e+10,2.828114e+10,1.284506e+07,2.828114e+10,8.991539e+07,0,2,2
1790283817.708463,0.2000,20.3122,2.829399e+10,2.837106e+10,2.837106e+10,2.828114e+10,1.284506e+07,2.828114e+10,8.991539e+07,0,2,2
1790283817.908463,0.2000,20.3116,2.829399e+10,2.837106e+10,2.837106e+10,2.828114e+10,1.284506e+07,2.828114e+10,8.991539e+07,0,2,2
1790283818.108463,0.2000,20.3139,2.829491e+10,2.837748e+10,2.837748e+10,2.828114e+10,1.376256e+07,2.828114e+10,9.633792e+07,0,2,2
1790283818.308463,0.2000,20.3204,2.829582e+10,2.838390e+10,2.838390e+10,2.828114e+10,1.468006e+07,2.828114e+10,1.027604e+08,0,2,2
1790283818.508463,0.2000,20.3284,4.244374e+10,4.257586e+10,4.257586e+10,4.242171e+10,2.202010e+07,4.242171e+10,1.541407e+08,0,3,3
1790283818.708463,0.2000,20.3326,2.829582e+10,2.838390e+10,2.838390e+10,2.828114e+10,1.468006e+07,2.828114e+10,1.027604e+08,0,2,2
