t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c,power_inst_w
1790283799.073612,66.764,1695,7601,0.0,0.0,33.0,59.332
1790283799.083686,66.764,1695,7601,0.0,0.0,33.0,59.332
1790283799.093678,66.764,1695,7601,0.0,0.0,33.0,59.332
1790283799.103676,66.764,1695,7601,0.0,0.0,33.0,59.332
1790283799.113677,66.764,1695,7601,0.0,0.0,33.0,59.332
1790283799.123675,66.764,1695,7601,0.0,0.0,33.0,59.332
1790283799.133670,66.818,1695,7601,0.0,0.0,33.0,60.168
1790283799.143670,66.818,1695,7601,0.0,0.0,33.0,60.168
1790283799.153685,66.818,1695,7601,0.0,0.0,33.0,60.168
1790283799.163677,66.818,1695,7601,0.0,0.0,34.0,60.168
1790283799.173678,66.818,1695,7601,0.0,0.0,34.0,60.168
1790283799.183674,66.818,1695,7601,0.0,0.0,34.0,60.168
1790283799.193679,66.818,1695,7601,0.0,0.0,34.0,60.168
1790283799.203677,66.818,1695,7601,0.0,0.0,34.0,60.168
1790283799.213678,66.818,1095,7601,0.0,0.0,34.0,60.168
1790283799.223676,66.818,1095,7601,0.0,0.0,34.0,60.168
1790283799.233675,70.068,1095,7601,0.0,0.0,34.0,95.665
1790283799.243676,70.068,1095,7601,0.0,0.0,34.0,95.665
1790283799.253658,70.068,1095,7601,24.0,26.0,33.0,95.665
1790283799.263693,70.068,1095,7601,24.0,26.0,33.0,95.665
1790283799.273680,70.068,1095,7601,24.0,26.0,33.0,95.665
1790283799.283674,70.068,1095,7601,24.0,26.0,34.0,95.665
1790283799.293677,70.068,1095,7601,24.0,26.0,34.0,95.665
1790283799.303678,70.068,1095,7601,24.0,26.0,34.0,95.665
1790283799.313694,70.068,210,7601,24.0,26.0,34.0,95.665
1790283799.323680,70.068,210,7601,24.0,26.0,34.0,95.665
1790283799.333683,74.425,210,7601,24.0,26.0,34.0,107.807
1790283799.343678,74.425,210,7601,24.0,26.0,34.0,107.807
1790283799.353685,74.425,210,7601,24.0,26.0,34.0,107.807
1790283799.363675,74.425,210,7601,24.0,26.0,34.0,107.807
1790283799.373676,74.425,210,7601,24.0,26.0,34.0,107.807
1790283799.383675,74.425,210,7601,24.0,26.0,34.0,107.807
1790283799.393673,74.425,210,7601,24.0,26.0,34.0,107.807
1790283799.403672,74.425,210,7601,24.0,26.0,34.0,107.807
1790283799.413674,74.425,210,7601,24.0,26.0,34.0,107.807
1790283799.423672,74.425,210,7601,24.0,26.0,34.0,107.807
1790283799.433673,77.899,210,7601,24.0,26.0,34.0,100.512
1790283799.443672,77.899,210,7601,24.0,26.0,34.0,100.512
1790283799.453670,77.899,210,7601,99.0,26.0,34.0,100.512
1790283799.463672,77.899,210,7601,99.0,26.0,34.0,100.512
1790283799.473674,77.899,210,7601,99.0,26.0,34.0,100.512
1790283799.483674,77.899,210,7601,99.0,26.0,34.0,100.512
1790283799.493672,77.899,210,7601,99.0,26.0,34.0,100.512
1790283799.503669,77.899,210,7601,99.0,26.0,34.0,100.512
1790283799.513673,77.899,210,7601,99.0,26.0,34.0,100.512
1790283799.523673,77.899,210,7601,99.0,26.0,34.0,100.512
1790283799.533670,81.616,210,7601,99.0,26.0,34.0,100.615
1790283799.543670,81.616,210,7601,99.0,26.0,34.0,100.615
1790283799.553670,81.616,210,7601,99.0,26.0,34.0,100.615
1790283799.563679,81.616,210,7601,99.0,26.0,34.0,100.615
1790283799.573677,81.616,210,7601,99.0,26.0,34.0,100.615
1790283799.583674,81.616,210,7601,99.0,26.0,34.0,100.615
1790283799.593672,81.616,210,7601,99.0,26.0,34.0,100.615
1790283799.603672,81.616,210,7601,99.0,26.0,34.0,100.615
1790283799.613674,81.616,210,7601,99.0,26.0,34.0,100.615
1790283799.623672,81.616,210,7601,99.0,26.0,34.0,100.615
1790283799.633672,78.301,210,7601,99.0,26.0,34.0,100.679
1790283799.643670,78.301,210,7601,99.0,26.0,34.0,100.679
1790283799.653674,78.301,210,7601,99.0,26.0,34.0,100.679
1790283799.663673,78.301,210,7601,99.0,26.0,34.0,100.679
1790283799.673671,78.301,210,7601,99.0,26.0,34.0,100.679
1790283799.683675,78.301,210,7601,99.0,26.0,34.0,100.679
1790283799.693674,78.301,210,7601,99.0,26.0,34.0,100.679
1790283799.703671,78.301,210,7601,99.0,26.0,34.0,100.679
1790283799.713670,78.301,210,7601,99.0,26.0,34.0,100.679
1790283799.723671,78.301,210,7601,99.0,26.0,34.0,100.679
1790283799.733673,82.189,210,7601,99.0,26.0,34.0,100.468
1790283799.743671,82.189,210,7601,99.0,26.0,34.0,100.468
1790283799.753675,82.189,210,7601,99.0,26.0,34.0,100.468
1790283799.763677,82.189,210,7601,99.0,26.0,34.0,100.468
1790283799.773672,82.189,210,7601,99.0,26.0,34.0,100.468
1790283799.783672,82.189,210,7601,99.0,26.0,34.0,100.468
1790283799.793671,82.189,210,7601,99.0,26.0,34.0,100.468
1790283799.803670,82.189,210,7601,99.0,26.0,34.0,100.468
1790283799.813671,82.189,210,7601,99.0,26.0,34.0,100.468
