t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1790283945.055244,1790283945.055244,mixed,1,0,32,0.0001,25,1,
1790283945.055244,1790283945.074045,decode,1,0,32,0.0001,0,1,
1790283945.074045,1790283945.087970,decode,1,0,32,0.0001,0,1,
1790283945.087970,1790283945.135745,decode,1,0,32,0.0001,0,1,
1790283945.135745,1790283945.183661,decode,1,0,32,0.0001,0,1,
1790283945.183661,1790283945.230334,decode,1,0,32,0.0001,0,1,
1790283945.230334,1790283945.277208,decode,1,0,32,0.0001,0,1,
1790283945.277208,1790283945.325122,decode,1,0,32,0.0001,0,1,
1790283945.325122,1790283945.373129,decode,1,0,48,0.0001,0,1,
1790283945.373129,1790283945.421208,decode,1,0,48,0.0001,0,1,
1790283945.421208,1790283945.469227,decode,1,0,48,0.0001,0,1,
1790283945.469227,1790283945.517211,decode,1,0,48,0.0001,0,1,
1790283945.517211,1790283945.565195,decode,1,0,48,0.0001,0,1,
1790283945.565195,1790283945.613247,decode,1,0,48,0.0001,0,1,
1790283945.613247,1790283945.661320,decode,1,0,48,0.0001,0,1,
1790283945.661320,1790283945.707881,decode,1,0,48,0.0001,0,1,
1790283945.707881,1790283945.754526,decode,1,0,48,0.0001,0,1,
1790283945.754526,1790283945.802548,decode,1,0,48,0.0001,0,1,
1790283945.802548,1790283945.849093,decode,1,0,48,0.0001,0,1,
1790283945.849093,1790283945.895763,decode,1,0,48,0.0001,0,1,
1790283945.895763,1790283945.943751,decode,1,0,48,0.0001,0,1,
1790283945.943751,1790283945.990331,decode,1,0,48,0.0001,0,1,
1790283945.990331,1790283946.037325,decode,1,0,48,0.0001,0,1,
1790283946.037325,1790283946.085374,decode,1,0,48,0.0001,0,1,
1790283946.085374,1790283946.133356,decode,1,0,64,0.0001,0,1,
1790283946.133356,1790283946.181437,decode,1,0,64,0.0001,0,1,
1790283946.181437,1790283946.228177,decode,1,0,64,0.0001,0,1,
1790283946.228177,1790283946.273144,decode,1,0,64,0.0001,0,1,
1790283946.273144,1790283946.320115,decode,1,0,64,0.0001,0,1,
1790283946.320115,1790283946.368171,decode,1,0,64,0.0001,0,1,
1790283946.368171,1790283946.416342,decode,1,0,64,0.0001,0,1,
1790283946.416342,1790283946.464355,decode,1,0,64,0.0001,0,1,
1790283946.464355,1790283946.512363,decode,1,0,64,0.0001,0,1,
1790283946.512363,1790283946.560461,decode,1,0,64,0.0001,0,1,
1790283946.560461,1790283946.608637,decode,1,0,64,0.0001,0,1,
1790283946.608637,1790283946.656723,decode,1,0,64,0.0001,0,1,
1790283946.656723,1790283946.704795,decode,1,0,64,0.0001,0,1,
1790283946.704795,1790283946.752860,decode,1,0,64,0.0001,0,1,
1790283946.752860,1790283946.801023,decode,1,0,64,0.0001,0,1,
1790283946.801023,1790283946.847779,decode,1,0,64,0.0001,0,1,
1790283946.847779,1790283946.894454,decode,1,0,80,0.0002,0,1,
1790283946.894454,1790283946.942365,decode,1,0,80,0.0002,0,1,
1790283946.942365,1790283946.989000,decode,1,0,80,0.0002,0,1,
1790283946.989000,1790283947.034088,decode,1,0,80,0.0002,0,1,
1790283947.034088,1790283947.081270,decode,1,0,80,0.0002,0,1,
1790283947.081270,1790283947.127907,decode,1,0,80,0.0002,0,1,
1790283947.127907,1790283947.172911,decode,1,0,80,0.0002,0,1,
1790283947.172911,1790283947.220188,decode,1,0,80,0.0002,0,1,
1790283947.220188,1790283947.268406,decode,1,0,80,0.0002,0,1,
1790283947.268406,1790283947.316644,decode,1,0,80,0.0002,0,1,
1790283947.316644,1790283947.364891,decode,1,0,80,0.0002,0,1,
1790283947.364891,1790283947.413146,decode,1,0,80,0.0002,0,1,
1790283947.413146,1790283947.461326,decode,1,0,80,0.0002,0,1,
1790283947.461326,1790283947.508098,decode,1,0,80,0.0002,0,1,
1790283947.508098,1790283947.555048,decode,1,0,80,0.0002,0,1,
1790283947.555048,1790283947.603180,decode,1,0,80,0.0002,0,1,
1790283947.603180,1790283947.649694,decode,1,0,96,0.0002,0,1,
1790283947.649694,1790283947.696544,decode,1,0,96,0.0002,0,1,
1790283947.696544,1790283947.744610,decode,1,0,96,0.0002,0,1,
1790283947.744610,1790283947.792790,decode,1,0,96,0.0002,0,1,
1790283947.792790,1790283947.841022,decode,1,0,96,0.0002,0,1,
1790283947.841022,1790283947.887814,decode,1,0,96,0.0002,0,1,
1790283947.887814,1790283947.932885,decode,1,0,96,0.0002,0,1,
1790283947.932885,1790283947.980117,decode,1,0,96,0.0002,0,1,
1790283947.980117,1790283948.028339,decode,1,0,96,0.0002,0,1,
1790283948.028339,1790283948.076555,decode,1,0,96,0.0002,0,1,
1790283948.076555,1790283948.124569,decode,1,0,96,0.0002,0,1,
1790283948.124569,1790283948.172652,decode,1,0,96,0.0002,0,1,
1790283948.172652,1790283948.220809,decode,1,0,96,0.0002,0,1,
1790283948.220809,1790283948.267527,decode,1,0,96,0.0002,0,1,
1790283948.267527,1790283948.314392,decode,1,0,96,0.0002,0,1,
1790283948.314392,1790283948.362637,decode,1,0,96,0.0002,0,1,
1790283948.362637,1790283948.409345,decode,1,0,112,0.0003,0,1,
1790283948.409345,1790283948.456412,decode,1,0,112,0.0003,0,1,
1790283948.456412,1790283948.504583,decode,1,0,112,0.0003,0,1,
1790283948.504583,1790283948.552660,decode,1,0,112,0.0003,0,1,
1790283948.552660,1790283948.600777,decode,1,0,112,0.0003,0,1,
1790283948.600777,1790283948.647594,decode,1,0,112,0.0003,0,1,
1790283948.647594,1790283948.694540,decode,1,0,112,0.0003,0,1,
1790283948.694540,1790283948.742655,decode,1,0,112,0.0003,0,1,
1790283948.742655,1790283948.789266,decode,1,0,112,0.0003,0,1,
1790283948.789266,1790283948.836371,decode,1,0,112,0.0003,0,1,
1790283948.836371,1790283948.884494,decode,1,0,112,0.0003,0,1,
1790283948.884494,1790283948.932570,decode,1,0,112,0.0003,0,1,
1790283948.932570,1790283948.980741,decode,1,0,112,0.0003,0,1,
1790283948.980741,1790283949.027483,decode,1,0,112,0.0003,0,1,
1790283949.027483,1790283949.074736,decode,1,0,112,0.0003,0,1,
1790283949.074736,1790283949.123077,decode,1,0,112,0.0003,0,1,
1790283949.123077,1790283949.169755,decode,1,0,128,0.0003,0,1,
1790283949.169755,1790283949.216866,decode,1,0,128,0.0003,0,1,
1790283949.216866,1790283949.265042,decode,1,0,128,0.0003,0,1,
1790283949.265042,1790283949.313285,decode,1,0,128,0.0003,0,1,
1790283949.313285,1790283949.361509,decode,1,0,128,0.0003,0,1,
1790283949.361509,1790283949.408208,decode,1,0,128,0.0003,0,1,
1790283949.408208,1790283949.455149,decode,1,0,128,0.0003,0,1,
1790283949.455149,1790283949.503280,decode,1,0,128,0.0003,0,1,
1790283949.503280,1790283949.551427,decode,1,0,128,0.0003,0,1,
1790283949.551427,1790283949.599544,decode,1,0,128,0.0003,0,1,
1790283949.599544,1790283949.647849,decode,1,0,128,0.0003,0,1,
1790283949.647849,1790283949.696388,decode,1,0,128,0.0003,0,1,
1790283949.696388,1790283949.744469,decode,1,0,128,0.0003,0,1,
1790283949.744469,1790283949.792660,decode,1,0,128,0.0003,0,1,
1790283949.792660,1790283949.840864,decode,1,0,128,0.0003,0,1,
