t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c,power_inst_w
1790283893.931234,65.520,1695,7601,0.0,0.0,36.0,61.004
1790283893.950228,65.520,1695,7601,0.0,0.0,36.0,61.004
1790283893.960291,65.520,1695,7601,0.0,0.0,36.0,61.004
1790283893.970287,65.520,1695,7601,0.0,0.0,36.0,61.004
1790283893.980285,65.520,1695,7601,0.0,0.0,36.0,61.004
1790283893.990283,65.618,1695,7601,0.0,0.0,36.0,61.494
1790283894.000283,65.618,1695,7601,0.0,0.0,36.0,61.494
1790283894.010284,65.618,1695,7601,0.0,0.0,36.0,61.494
1790283894.020282,65.618,1695,7601,0.0,0.0,36.0,61.494
1790283894.030283,65.618,1695,7601,0.0,0.0,36.0,61.494
1790283894.040283,65.618,1695,7601,0.0,0.0,36.0,61.494
1790283894.050283,65.618,1695,7601,0.0,0.0,36.0,61.494
1790283894.060283,65.618,1695,7601,0.0,0.0,36.0,61.494
1790283894.070283,65.618,1695,7601,0.0,0.0,36.0,61.494
1790283894.080285,65.618,1695,7601,0.0,0.0,36.0,61.494
1790283894.090286,65.680,1695,7601,0.0,0.0,36.0,61.265
1790283894.100283,65.680,1695,7601,0.0,0.0,36.0,61.265
1790283894.110284,65.680,1695,7601,0.0,0.0,36.0,61.265
1790283894.120283,65.680,1695,7601,0.0,0.0,36.0,61.265
1790283894.130259,65.680,1695,7601,0.0,0.0,36.0,61.265
1790283894.140298,65.680,1695,7601,0.0,0.0,36.0,61.265
1790283894.150288,65.680,1695,7601,0.0,0.0,36.0,61.265
1790283894.160286,65.680,1695,7601,0.0,0.0,36.0,61.265
1790283894.170286,65.680,1695,7601,0.0,0.0,36.0,61.265
1790283894.180290,65.680,1695,7601,0.0,0.0,36.0,61.265
1790283894.190288,65.561,1695,7601,0.0,0.0,36.0,61.457
1790283894.200287,65.561,1695,7601,0.0,0.0,36.0,61.457
1790283894.210287,65.561,1695,7601,0.0,0.0,36.0,61.457
1790283894.220286,65.561,1695,7601,0.0,0.0,36.0,61.457
1790283894.230287,65.561,1695,7601,0.0,0.0,36.0,61.457
1790283894.240287,65.561,1695,7601,0.0,0.0,36.0,61.457
1790283894.250287,65.561,1695,7601,0.0,0.0,36.0,61.457
1790283894.260287,65.561,1695,7601,0.0,0.0,36.0,61.457
1790283894.270287,65.561,1695,7601,0.0,0.0,36.0,61.457
1790283894.280286,65.561,1695,7601,0.0,0.0,36.0,61.457
1790283894.290290,65.611,1695,7601,0.0,0.0,36.0,61.273
