request_id,t_submit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,e2e_s
r1,1790282716.512772,1790282716.526712,1790282719.792261,35,256,0.013940,3.279489
r2,1790282716.513443,1790282716.541359,1790282718.988507,19,192,0.027915,2.475064
r3,1790282716.513819,1790282716.541362,1790282719.805160,42,256,0.027543,3.291340
r4,1790282716.514280,1790282716.541365,1790282718.075023,14,121,0.027085,1.560744
r5,1790282716.514633,1790282716.541369,1790282717.488905,21,75,0.026736,0.974272
r6,1790282716.514970,1790282716.541372,1790282719.465639,21,229,0.026402,2.950669
r7,1790282716.515317,1790282716.541375,1790282719.805655,16,256,0.026058,3.290339
r8,1790282716.515726,1790282716.541378,1790282717.845820,29,103,0.025652,1.330094
r9,1790282717.488930,1790282717.514179,1790282720.773919,20,256,0.025249,3.284989
r10,1790282717.845844,1790282717.869802,1790282718.062278,33,16,0.023958,0.216433
r11,1790282718.062300,1790282718.086361,1790282721.344841,20,256,0.024061,3.282541
r12,1790282718.075042,1790282718.097411,1790282721.202434,19,244,0.022369,3.127392
r13,1790282718.988534,1790282719.013684,1790282720.892797,13,149,0.025149,1.904263
r14,1790282719.465665,1790282719.489612,1790282720.689045,19,95,0.023947,1.223381
r15,1790282719.792281,1790282719.816729,1790282720.966386,19,92,0.024448,1.174105
r16,1790282719.805184,1790282719.827360,1790282721.331986,18,119,0.022176,1.526802
r17,1790282719.805670,1790282719.827363,1790282721.960998,19,169,0.021693,2.155328
r18,1790282720.689068,1790282720.712877,1790282723.880791,20,256,0.023809,3.191723
r19,1790282720.773942,1790282720.796812,1790282723.969189,16,256,0.022870,3.195247
r20,1790282720.892819,1790282720.916404,1790282722.175706,14,101,0.023585,1.282887
r21,1790282720.966407,1790282720.991408,1790282723.309736,13,187,0.025002,2.343329
r22,1790282721.202454,1790282721.226891,1790282724.403113,25,256,0.024437,3.200659
r23,1790282721.332009,1790282721.356500,1790282722.639956,18,105,0.024491,1.307946
r24,1790282721.344862,1790282721.367443,1790282724.541733,34,256,0.022580,3.196870
r25,1790282721.961024,1790282721.984281,1790282722.923061,30,77,0.023257,0.962037
r26,1790282722.175722,1790282722.198217,1790282725.398370,39,256,0.022495,3.222647
r27,1790282722.639979,1790282722.663367,1790282725.889579,47,256,0.023387,3.249600
r28,1790282722.923083,1790282722.946597,1790282726.170573,19,256,0.023514,3.247489
r29,1790282723.309754,1790282723.332363,1790282726.582013,15,256,0.022609,3.272259
r30,1790282723.880817,1790282723.904328,1790282727.171423,28,256,0.023511,3.290607
r31,1790282723.969210,1790282723.994786,1790282724.389492,61,32,0.025575,0.420282
r32,1790282724.389514,1790282724.414794,1790282726.324260,23,150,0.025280,1.934746
r33,1790282724.403133,1790282724.425739,1790282727.694060,18,256,0.022606,3.290927
r34,1790282724.541757,1790282724.566008,1790282727.843858,31,256,0.024251,3.302101
r35,1790282725.398389,1790282725.422714,1790282727.019509,17,125,0.024324,1.621120
r36,1790282725.889605,1790282725.914673,1790282729.182612,25,256,0.025068,3.293007
r37,1790282726.170598,1790282726.194911,1790282729.462608,37,256,0.024314,3.292010
r38,1790282726.324283,1790282726.348846,1790282729.616215,37,256,0.024563,3.291932
r39,1790282726.582034,1790282726.606275,1790282729.872556,17,256,0.024242,3.290522
r40,1790282727.019527,1790282727.044322,1790282729.783143,24,215,0.024795,2.763616
r41,1790282727.171450,1790282727.195585,1790282730.465902,24,256,0.024135,3.294452
r42,1790282727.694084,1790282727.717748,1790282730.996592,58,256,0.023664,3.302508
r43,1790282727.843885,1790282727.868353,1790282728.834225,39,77,0.024468,0.990340
