t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c,power_inst_w
1790282665.894635,61.437,1695,7601,0.0,0.0,33.0,58.261
1790282665.904701,61.437,1695,7601,0.0,0.0,33.0,58.261
1790282665.914696,61.437,1695,7601,0.0,0.0,33.0,58.261
1790282665.924698,61.437,1695,7601,0.0,0.0,33.0,58.261
1790282665.934696,61.437,1695,7601,0.0,0.0,33.0,58.261
1790282665.944695,61.437,1695,7601,0.0,0.0,33.0,58.261
1790282665.954695,61.437,1695,7601,0.0,0.0,33.0,58.261
1790282665.964694,61.437,1695,7601,0.0,0.0,33.0,58.261
1790282665.974693,61.437,1695,7601,0.0,0.0,33.0,58.261
1790282665.984693,61.437,1695,7601,0.0,0.0,33.0,58.261
1790282665.994693,61.437,1695,7601,0.0,0.0,33.0,58.261
1790282666.004691,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.014692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.024691,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.034692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.044692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.054692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.064692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.074692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.084692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.094693,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.104692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.114691,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.124691,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.134692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.144692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.154691,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.164692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.174691,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.184692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.194693,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.204691,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.214692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.224691,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.234691,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.244691,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.254691,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.264692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.274692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.284692,61.448,1695,7601,0.0,0.0,33.0,58.173
1790282666.294692,61.448,1695,7601,0.0,0.0,33.0,58.173
