t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters
1789681824.240307,0.2000,110.3601,4.228467e+11,1.280760e+13,1.279980e+13,4.200050e+11,2.841641e+09,1.278843e+13,1.136656e+10,431,452,29
1789681824.440308,0.2000,109.6995,4.687009e+11,7.436249e+12,7.436249e+12,4.634538e+11,5.247074e+09,7.415261e+12,2.098830e+10,0,512,32
1789681824.640307,0.2000,109.2448,4.708484e+11,7.444839e+12,7.444839e+12,4.634538e+11,7.394558e+09,7.415261e+12,2.957823e+10,0,512,32
1789681824.840308,0.2000,109.1610,4.729959e+11,7.453429e+12,7.453429e+12,4.634538e+11,9.542042e+09,7.415261e+12,3.816817e+10,0,512,32
1789681825.040308,0.2000,108.8842,4.751433e+11,7.462019e+12,7.462019e+12,4.634538e+11,1.168953e+10,7.415261e+12,4.675810e+10,0,512,32
1789681825.240308,0.2000,108.4963,4.772908e+11,7.470609e+12,7.470609e+12,4.634538e+11,1.383701e+10,7.415261e+12,5.534804e+10,0,512,32
1789681825.440308,0.2000,108.6416,4.794383e+11,7.479199e+12,7.479199e+12,4.634538e+11,1.598449e+10,7.415261e+12,6.393797e+10,0,512,32
1789681825.640308,0.2000,108.8123,4.815858e+11,7.487789e+12,7.487789e+12,4.634538e+11,1.813198e+10,7.415261e+12,7.252790e+10,0,512,32
1789681825.840308,0.2000,108.9225,3.953362e+11,1.494975e+13,1.493461e+13,3.910392e+11,4.297064e+09,1.491742e+13,1.718826e+10,614,416,27
1789681826.040308,0.2000,108.7112,4.690658e+11,7.437709e+12,7.437709e+12,4.634538e+11,5.611979e+09,7.415261e+12,2.244792e+10,0,512,32
1789681826.240308,0.2000,108.3014,4.712133e+11,7.446299e+12,7.446299e+12,4.634538e+11,7.759462e+09,7.415261e+12,3.103785e+10,0,512,32
1789681826.440308,0.2000,108.1327,4.733608e+11,7.454889e+12,7.454889e+12,4.634538e+11,9.906946e+09,7.415261e+12,3.962778e+10,0,512,32
1789681826.640308,0.2000,108.0057,4.755082e+11,7.463479e+12,7.463479e+12,4.634538e+11,1.205443e+10,7.415261e+12,4.821772e+10,0,512,32
1789681826.840308,0.2000,108.0330,4.776557e+11,7.472069e+12,7.472069e+12,4.634538e+11,1.420191e+10,7.415261e+12,5.680765e+10,0,512,32
1789681827.040308,0.2000,108.4684,4.798032e+11,7.480659e+12,7.480659e+12,4.634538e+11,1.634940e+10,7.415261e+12,6.539759e+10,0,512,32
1789681827.240308,0.2000,109.0549,4.819507e+11,7.489249e+12,7.489249e+12,4.634538e+11,1.849688e+10,7.415261e+12,7.398752e+10,0,512,32
1789681827.440308,0.2000,109.4494,4.274541e+11,1.497592e+13,1.496170e+13,4.200050e+11,7.449084e+09,1.493190e+13,2.979634e+10,583,448,29
1789681827.640308,0.2000,109.5162,4.539894e+11,7.203608e+12,7.203608e+12,4.489709e+11,5.018485e+09,7.183534e+12,2.007394e+10,0,496,31
1789681827.840308,0.2000,108.9604,4.707477e+11,7.444437e+12,7.444437e+12,4.634538e+11,7.293895e+09,7.415261e+12,2.917558e+10,0,512,32
1789681828.040308,0.2000,108.5807,4.728952e+11,7.453027e+12,7.453027e+12,4.634538e+11,9.441378e+09,7.415261e+12,3.776551e+10,0,512,32
1789681828.240308,0.2000,108.4927,4.750427e+11,7.461616e+12,7.461616e+12,4.634538e+11,1.158886e+10,7.415261e+12,4.635545e+10,0,512,32
1789681828.440309,0.2000,108.4530,4.621473e+11,7.528303e+12,7.525898e+12,4.489709e+11,1.317641e+10,7.473193e+12,5.270562e+10,21,495,31
1789681828.640308,0.2000,108.2577,4.628205e+11,7.589295e+12,7.586523e+12,4.489709e+11,1.384959e+10,7.531124e+12,5.539837e+10,25,495,31
1789681828.840309,0.2000,108.9017,4.792034e+11,7.814375e+12,7.811367e+12,4.634538e+11,1.574961e+10,7.748368e+12,6.299845e+10,24,511,32
1789681829.040308,0.2000,108.8948,2.544957e+11,3.929915e+12,3.929052e+12,2.462098e+11,8.285848e+09,3.895909e+12,3.314339e+10,0,269,17
1789681829.240309,0.2000,108.0814,6.270212e+11,1.373398e+13,1.371787e+13,6.227661e+11,4.255121e+09,1.370085e+13,1.702049e+10,506,440,43
1789681829.440309,0.2000,107.8605,4.700263e+11,7.441551e+12,7.441551e+12,4.634538e+11,6.572474e+09,7.415261e+12,2.628990e+10,0,512,32
1789681829.640309,0.2000,108.4244,4.721738e+11,7.450141e+12,7.450141e+12,4.634538e+11,8.719958e+09,7.415261e+12,3.487983e+10,0,512,32
1789681829.840309,0.2000,108.3078,4.743213e+11,7.458731e+12,7.458731e+12,4.634538e+11,1.086744e+10,7.415261e+12,4.346977e+10,0,512,32
1789681830.040309,0.2000,108.5329,4.764687e+11,7.467321e+12,7.467321e+12,4.634538e+11,1.301493e+10,7.415261e+12,5.205970e+10,0,512,32
1789681830.240309,0.2000,109.6869,4.619837e+11,7.775638e+12,7.771454e+12,4.489709e+11,1.301283e+10,7.719403e+12,5.205131e+10,39,494,31
1789681830.440309,0.2000,110.0997,4.782345e+11,7.766564e+12,7.764043e+12,4.634538e+11,1.478073e+10,7.704920e+12,5.912291e+10,21,511,32
1789681830.640309,0.2000,110.0427,4.795683e+11,7.479719e+12,7.479719e+12,4.634538e+11,1.611452e+10,7.415261e+12,6.445806e+10,0,512,32
1789681830.840309,0.2000,109.2494,3.100346e+11,1.181374e+13,1.179820e+13,3.041416e+11,5.892997e+09,1.177462e+13,2.357199e+10,490,323,21
1789681831.040309,0.2000,107.9504,4.837417e+11,7.670208e+12,7.670208e+12,4.779367e+11,5.804917e+09,7.646988e+12,2.321967e+10,0,528,33
1789681831.240309,0.2000,107.9872,4.712594e+11,7.446483e+12,7.446483e+12,4.634538e+11,7.805600e+09,7.415261e+12,3.122240e+10,0,512,32
1789681831.440309,0.2000,108.0667,4.734069e+11,7.455073e+12,7.455073e+12,4.634538e+11,9.953083e+09,7.415261e+12,3.981233e+10,0,512,32
1789681831.640309,0.2000,107.6210,4.749714e+11,7.738283e+12,7.736507e+12,4.634538e+11,1.151756e+10,7.690437e+12,4.607024e+10,20,511,32
1789681831.840309,0.2000,107.7401,4.464103e+11,7.860127e+12,7.853989e+12,4.344880e+11,1.192231e+10,7.806300e+12,4.768924e+10,61,478,30
1789681832.040309,0.2000,108.9535,4.763807e+11,7.715055e+12,7.713178e+12,4.634538e+11,1.292684e+10,7.661471e+12,5.170738e+10,18,511,32
1789681832.240309,0.2000,108.5187,4.631120e+11,7.240099e+12,7.240099e+12,4.489709e+11,1.414110e+10,7.183534e+12,5.656438e+10,0,496,31
1789681832.440310,0.2000,108.3258,4.613462e+11,1.218438e+13,1.217172e+13,4.489709e+11,1.237529e+10,1.212221e+13,4.950118e+10,353,484,31
1789681832.640309,0.2000,108.4643,4.690574e+11,7.437675e+12,7.437675e+12,4.634538e+11,5.603590e+09,7.415261e+12,2.241436e+10,0,512,32
1789681832.840310,0.2000,108.2779,4.712049e+11,7.446265e+12,7.446265e+12,4.634538e+11,7.751074e+09,7.415261e+12,3.100430e+10,0,512,32
1789681833.040309,0.2000,108.2599,4.585339e+11,7.221786e+12,7.221786e+12,4.489709e+11,9.563013e+09,7.183534e+12,3.825205e+10,0,496,31
1789681833.240310,0.2000,108.3410,4.747176e+11,7.737247e+12,7.735492e+12,4.634538e+11,1.126380e+10,7.690437e+12,4.505521e+10,20,511,32
1789681833.440310,0.2000,108.5384,4.756131e+11,8.134996e+12,8.130113e+12,4.634538e+11,1.215929e+10,8.081476e+12,4.863715e+10,49,509,32
1789681833.640310,0.2000,108.4947,4.456448e+11,8.278994e+12,8.270933e+12,4.344880e+11,1.115685e+10,8.226305e+12,4.462739e+10,89,479,30
1789681833.840310,0.2000,108.5124,4.768714e+11,7.468931e+12,7.468931e+12,4.634538e+11,1.341758e+10,7.415261e+12,5.367031e+10,0,512,32
1789681834.040310,0.2000,108.6296,4.478049e+11,1.159448e+13,1.158168e+13,4.344880e+11,1.331692e+10,1.152841e+13,5.326766e+10,327,469,30
1789681834.240310,0.2000,108.7402,4.692420e+11,7.438414e+12,7.438414e+12,4.634538e+11,5.788140e+09,7.415261e+12,2.315256e+10,0,512,32
1789681834.440310,0.2000,108.5197,4.564619e+11,7.489974e+12,7.488674e+12,4.489709e+11,7.491027e+09,7.458710e+12,2.996411e+10,20,495,31
1789681834.640310,0.2000,108.4105,4.727484e+11,7.452439e+12,7.452439e+12,4.634538e+11,9.294578e+09,7.415261e+12,3.717831e+10,0,512,32
1789681834.840310,0.2000,108.5657,4.743863e+11,7.765052e+12,7.763132e+12,4.634538e+11,1.093245e+10,7.719403e+12,4.372981e+10,22,511,32
1789681835.040310,0.2000,108.2879,4.605451e+11,7.842290e+12,7.838114e+12,4.489709e+11,1.157418e+10,7.791817e+12,4.629673e+10,44,494,31
1789681835.240310,0.2000,108.0759,4.454099e+11,7.753574e+12,7.748608e+12,4.344880e+11,1.092197e+10,7.704920e+12,4.368787e+10,54,478,30
1789681835.440310,0.2000,107.9207,4.760032e+11,7.465458e+12,7.465458e+12,4.634538e+11,1.254936e+10,7.415261e+12,5.019743e+10,0,512,32
1789681835.640310,0.2000,108.2853,4.781507e+11,7.474048e+12,7.474048e+12,4.634538e+11,1.469684e+10,7.415261e+12,5.878736e+10,0,512,32
1789681835.840310,0.2000,108.6475,4.405445e+11,1.056460e+13,1.055332e+13,4.344880e+11,6.056575e+09,1.052909e+13,2.422630e+10,257,470,30
