t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1789681733.562775,0.2000,105.8862,3.991342e+11,4.189684e+12,4.184720e+12,3.981821e+11,9.521070e+08,4.180912e+12,3.808428e+09,185,109,28,185.0,4.180912e+12
1789681733.762775,0.2000,105.1299,4.566842e+11,1.826737e+12,1.826737e+12,4.550652e+11,1.619001e+09,1.820261e+12,6.476005e+09,0,128,32,0.0,1.820261e+12
1789681733.962775,0.2000,105.0056,4.858178e+11,1.943271e+12,1.943271e+12,4.835068e+11,2.311062e+09,1.934027e+12,9.244246e+09,0,136,34,0.0,1.934027e+12
1789681734.162775,0.2000,104.7294,4.721067e+11,1.888427e+12,1.888427e+12,4.692860e+11,2.820669e+09,1.877144e+12,1.128268e+10,0,132,33,0.0,1.877144e+12
1789681734.362775,0.2000,104.6854,4.726771e+11,1.890708e+12,1.890708e+12,4.692860e+11,3.391095e+09,1.877144e+12,1.356438e+10,0,132,33,0.0,1.877144e+12
1789681734.562775,0.2000,105.6686,4.875962e+11,1.950385e+12,1.950385e+12,4.835068e+11,4.089446e+09,1.934027e+12,1.635779e+10,0,136,34,0.0,1.934027e+12
1789681734.762775,0.2000,106.3215,4.738368e+11,1.895347e+12,1.895347e+12,4.692860e+11,4.550820e+09,1.877144e+12,1.820328e+10,0,132,33,0.0,1.877144e+12
1789681734.962775,0.2000,106.5292,4.452820e+11,2.365475e+12,2.364180e+12,4.408444e+11,4.437574e+09,2.346430e+12,1.775029e+10,45,120,31,45.0,2.346430e+12
1789681735.162775,0.2000,106.4841,4.703157e+11,3.277161e+12,3.274900e+12,4.692860e+11,1.029702e+09,3.270781e+12,4.118807e+09,98,132,33,98.0,3.270781e+12
1789681735.362775,0.2000,106.4606,4.708861e+11,1.883544e+12,1.883544e+12,4.692860e+11,1.600127e+09,1.877144e+12,6.400508e+09,0,132,33,0.0,1.877144e+12
