t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1789681731.552824,242.534,1965,3996,0.0,0.0,32.0
1789681731.562904,242.466,1965,3996,0.0,0.0,32.0
1789681731.572904,242.466,1965,3996,0.0,0.0,32.0
1789681731.583030,242.466,1965,3996,0.0,0.0,32.0
1789681731.592910,242.466,1965,3996,0.0,0.0,32.0
1789681731.602965,242.466,1965,3996,0.0,0.0,32.0
1789681731.612907,242.466,1965,3996,0.0,0.0,32.0
1789681731.622952,242.466,1965,3996,0.0,0.0,32.0
1789681731.633089,242.466,1965,3996,0.0,0.0,32.0
1789681731.642929,242.466,1965,3996,0.0,0.0,32.0
1789681731.652901,242.466,1965,3996,0.0,0.0,32.0
1789681731.662966,242.384,1965,3996,0.0,0.0,32.0
1789681731.672908,242.384,1965,3996,0.0,0.0,32.0
1789681731.682994,242.384,1965,3996,0.0,0.0,32.0
1789681731.692905,242.384,1965,3996,0.0,0.0,32.0
1789681731.702981,242.384,1965,3996,0.0,0.0,32.0
1789681731.713108,242.384,1965,3996,0.0,0.0,32.0
1789681731.722968,242.384,1965,3996,0.0,0.0,32.0
1789681731.733012,242.384,1965,3996,0.0,0.0,32.0
1789681731.742903,242.384,1965,3996,0.0,0.0,32.0
1789681731.752979,242.384,1965,3996,0.0,0.0,32.0
1789681731.763024,242.431,1965,3996,0.0,0.0,32.0
1789681731.772976,242.431,1965,3996,0.0,0.0,32.0
1789681731.782970,242.431,1965,3996,0.0,0.0,32.0
1789681731.792994,242.431,1965,3996,0.0,0.0,32.0
1789681731.802967,242.431,1965,3996,0.0,0.0,32.0
1789681731.813001,242.431,1965,3996,0.0,0.0,32.0
1789681731.823005,242.431,1965,3996,0.0,0.0,32.0
1789681731.833009,242.431,1965,3996,0.0,0.0,32.0
1789681731.843023,242.431,1965,3996,0.0,0.0,32.0
1789681731.853006,242.431,1965,3996,0.0,0.0,32.0
1789681731.862989,242.314,1965,3996,0.0,0.0,32.0
1789681731.873013,242.314,1965,3996,0.0,0.0,32.0
1789681731.883007,242.314,1965,3996,0.0,0.0,32.0
1789681731.892898,242.314,1965,3996,0.0,0.0,32.0
1789681731.902944,242.314,1965,3996,0.0,0.0,32.0
1789681731.913008,242.314,1965,3996,0.0,0.0,32.0
1789681731.922899,242.314,1965,3996,0.0,0.0,32.0
