t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1789681905.506512,1789681905.506512,mixed,7,0,288,0.0002,225,7,
1789681905.506512,1789681906.789587,mixed,64,0,2624,0.0022,1971,64,
1789681906.789587,1789681906.791664,decode,64,0,2704,0.0022,0,64,
1789681906.791664,1789681906.792110,decode,64,0,2800,0.0023,0,64,
1789681906.792110,1789681906.792502,decode,64,0,2816,0.0023,0,64,
1789681906.792502,1789681906.792879,decode,64,0,2912,0.0024,0,64,
1789681906.792879,1789681906.793259,decode,64,0,2928,0.0024,0,64,
1789681906.793259,1789681906.793660,decode,64,0,3008,0.0025,0,64,
1789681906.793660,1789681906.794055,decode,64,0,3104,0.0026,0,64,
1789681906.794055,1789681906.794430,decode,64,0,3232,0.0027,0,64,
1789681906.794430,1789681906.794798,decode,64,0,3328,0.0028,0,64,
1789681906.794798,1789681906.795154,decode,64,0,3376,0.0028,0,64,
1789681906.795154,1789681906.795521,decode,64,0,3440,0.0029,0,64,
1789681906.795521,1789681906.795880,decode,64,0,3488,0.0029,0,64,
1789681906.795880,1789681906.796243,decode,64,0,3584,0.0030,0,64,
1789681906.796243,1789681906.796603,decode,64,0,3632,0.0030,0,64,
1789681906.796603,1789681906.796962,decode,64,0,3632,0.0030,0,64,
1789681906.796962,1789681906.797334,decode,64,0,3648,0.0030,0,64,
1789681906.797334,1789681906.797688,decode,64,0,3728,0.0031,0,64,
1789681906.797688,1789681906.798039,decode,64,0,3824,0.0032,0,64,
1789681906.798039,1789681906.798395,decode,64,0,3840,0.0032,0,64,
1789681906.798395,1789681906.798756,decode,64,0,3936,0.0033,0,64,
1789681906.798756,1789681906.799114,decode,64,0,3952,0.0033,0,64,
1789681906.799114,1789681906.799459,decode,64,0,4032,0.0034,0,64,
1789681906.799459,1789681906.799817,decode,64,0,4128,0.0034,0,64,
1789681906.799817,1789681906.800184,decode,64,0,4256,0.0035,0,64,
1789681906.800184,1789681906.800826,decode,64,0,4352,0.0036,0,64,
1789681906.800826,1789681906.801396,decode,64,0,4400,0.0037,0,64,
1789681906.801396,1789681906.808709,decode,64,0,4464,0.0037,0,64,
1789681906.808709,1789681906.815618,decode,64,0,4512,0.0038,0,64,
1789681906.815618,1789681906.822299,decode,64,0,4608,0.0038,0,64,
1789681906.822299,1789681906.829654,decode,64,0,4656,0.0039,0,64,
1789681906.829654,1789681906.836673,decode,64,0,4656,0.0039,0,64,
1789681906.836673,1789681906.843428,decode,64,0,4672,0.0039,0,64,
1789681906.843428,1789681906.850211,decode,64,0,4752,0.0040,0,64,
1789681906.850211,1789681906.857329,decode,64,0,4848,0.0040,0,64,
1789681906.857329,1789681906.864165,decode,64,0,4864,0.0040,0,64,
1789681906.864165,1789681906.871063,decode,64,0,4960,0.0041,0,64,
1789681906.871063,1789681906.878137,decode,64,0,4976,0.0041,0,64,
1789681906.878137,1789681906.884997,decode,64,0,5056,0.0042,0,64,
1789681906.884997,1789681906.891699,decode,64,0,5152,0.0043,0,64,
1789681906.891699,1789681906.898810,decode,64,0,5280,0.0044,0,64,
1789681906.898810,1789681906.905934,decode,64,0,5376,0.0045,0,64,
1789681906.905934,1789681906.912571,decode,64,0,5424,0.0045,0,64,
1789681906.912571,1789681906.919759,decode,64,0,5488,0.0046,0,64,
1789681906.919759,1789681906.926988,decode,64,0,5536,0.0046,0,64,
1789681906.926988,1789681906.933438,decode,64,0,5632,0.0047,0,64,
