t_rel_s,measured_w,predicted_w
0.000,615.89,515.52
0.200,619.89,667.43
0.400,618.31,674.32
0.600,617.45,681.23
0.800,617.67,672.55
1.000,619.13,662.71
1.200,618.59,619.71
1.400,616.41,705.02
1.600,620.00,711.99
1.800,622.92,559.48
2.000,624.77,651.75
2.200,622.97,673.38
2.400,626.45,680.30
2.600,625.90,671.56
2.800,621.44,567.00
3.000,611.27,664.05
3.200,609.56,620.88
3.400,609.66,706.82
3.600,608.05,529.72
3.800,607.31,607.09
4.000,614.15,657.54
4.200,615.85,679.35
4.400,613.91,670.69
4.600,612.36,661.16
4.800,613.49,537.27
5.000,605.85,618.69
5.200,602.76,670.33
5.400,604.14,676.20
5.600,604.51,467.36
5.800,605.48,668.26
6.000,613.27,659.97
6.200,616.94,650.95
6.400,616.19,687.83
6.600,617.88,614.95
6.800,614.13,584.80
7.000,607.60,635.69
7.200,607.29,688.70
7.400,610.46,544.15
7.600,610.27,548.04
7.800,614.62,672.27
8.000,621.34,679.19
8.200,625.95,670.00
8.400,624.21,628.85
8.600,620.71,568.39
8.800,615.07,617.96
9.000,611.25,653.31
9.200,605.97,609.44
9.400,601.62,471.53
9.600,603.19,668.91
9.800,607.83,675.83
10.000,611.54,667.20
10.200,615.91,625.60
10.400,621.39,645.73
10.600,617.17,568.19
10.800,614.13,602.54
11.000,614.09,702.60
11.200,615.04,527.99
11.400,614.43,549.23
11.600,615.40,613.33
11.800,615.75,648.64
12.000,615.55,622.62
12.200,611.30,674.08
12.400,610.61,520.49
12.600,605.89,647.56
12.800,610.41,635.30
13.000,611.19,639.71
13.200,613.14,474.07
13.400,616.34,671.74
13.600,621.33,647.67
13.800,620.08,653.01
14.000,620.00,626.02
14.200,621.64,614.09
14.400,622.59,551.31
14.600,619.83,632.39
14.800,621.50,700.82
15.000,621.37,526.20
15.200,618.56,566.49
15.400,616.03,646.58
15.600,619.11,667.39
15.800,619.57,641.05
16.000,618.00,629.07
16.200,619.50,535.85
16.400,618.07,631.47
16.600,620.45,666.95
16.800,624.23,606.50
17.000,626.36,496.69
17.200,626.27,675.89
