t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1789681987.861273,240.709,1965,3996,0.0,0.0,32.0
1789681987.871338,240.709,1965,3996,0.0,0.0,32.0
1789681987.881348,240.709,1965,3996,0.0,0.0,32.0
1789681987.891347,240.709,1965,3996,0.0,0.0,32.0
1789681987.901443,240.709,1965,3996,0.0,0.0,32.0
1789681987.911437,240.709,1965,3996,0.0,0.0,32.0
1789681987.921420,240.718,1965,3996,0.0,0.0,32.0
1789681987.931373,240.718,1965,3996,0.0,0.0,32.0
1789681987.941438,240.718,1965,3996,0.0,0.0,32.0
1789681987.951441,240.718,1965,3996,0.0,0.0,32.0
1789681987.961435,240.718,1965,3996,0.0,0.0,32.0
1789681987.971469,240.718,1965,3996,0.0,0.0,32.0
1789681987.981463,240.718,1965,3996,0.0,0.0,32.0
1789681987.991405,240.718,1965,3996,0.0,0.0,32.0
1789681988.001408,240.718,1965,3996,0.0,0.0,32.0
1789681988.011453,240.718,1965,3996,0.0,0.0,32.0
1789681988.021457,240.694,1965,3996,0.0,0.0,32.0
1789681988.031450,240.694,1965,3996,0.0,0.0,32.0
1789681988.041454,240.694,1965,3996,0.0,0.0,32.0
1789681988.051447,240.694,1965,3996,0.0,0.0,32.0
1789681988.061441,240.694,1965,3996,0.0,0.0,32.0
1789681988.071342,240.694,1965,3996,0.0,0.0,32.0
1789681988.081429,240.694,1965,3996,0.0,0.0,32.0
1789681988.091371,240.694,1965,3996,0.0,0.0,32.0
1789681988.101456,240.694,1965,3996,0.0,0.0,32.0
1789681988.111357,240.694,1965,3996,0.0,0.0,32.0
1789681988.121456,240.661,1965,3996,0.0,0.0,32.0
1789681988.131447,240.661,1965,3996,0.0,0.0,32.0
1789681988.141450,240.661,1965,3996,0.0,0.0,32.0
1789681988.151343,240.661,1965,3996,0.0,0.0,32.0
1789681988.161366,240.661,1965,3996,0.0,0.0,32.0
1789681988.171472,240.661,1965,3996,0.0,0.0,32.0
1789681988.181425,240.661,1965,3996,0.0,0.0,32.0
1789681988.191449,240.661,1965,3996,0.0,0.0,32.0
1789681988.201462,240.661,1965,3996,0.0,0.0,32.0
1789681988.211385,240.661,1965,3996,0.0,0.0,32.0
1789681988.221439,240.762,1965,3996,0.0,0.0,32.0
1789681988.231463,240.762,1965,3996,0.0,0.0,32.0
1789681988.241375,240.762,1965,3996,0.0,0.0,32.0
1789681988.251430,240.762,1965,3996,0.0,0.0,32.0
1789681988.261444,240.762,1965,3996,0.0,0.0,32.0
1789681988.271419,240.762,1965,3996,0.0,0.0,32.0
1789681988.281421,240.762,1965,3996,0.0,0.0,32.0
1789681988.291445,240.762,1965,3996,0.0,0.0,32.0
1789681988.301428,240.762,1965,3996,0.0,0.0,32.0
1789681988.311344,240.762,1965,3996,0.0,0.0,32.0
1789681988.321385,240.718,1965,3996,0.0,0.0,32.0
1789681988.331419,240.718,1965,3996,0.0,0.0,32.0
1789681988.341423,240.718,1965,3996,0.0,0.0,32.0
1789681988.351478,240.718,1965,3996,0.0,0.0,32.0
1789681988.361379,240.718,1965,3996,0.0,0.0,32.0
1789681988.371372,240.718,1965,3996,0.0,0.0,32.0
1789681988.381489,240.718,1965,3996,0.0,0.0,32.0
1789681988.391442,240.718,1965,3996,0.0,0.0,32.0
1789681988.401547,240.718,1965,3996,0.0,0.0,32.0
1789681988.411438,240.718,1965,3996,0.0,0.0,32.0
1789681988.421391,241.097,1965,3996,0.0,0.0,32.0
1789681988.431477,241.097,1965,3996,0.0,0.0,32.0
1789681988.441348,241.097,1965,3996,0.0,0.0,32.0
1789681988.451443,241.097,1965,3996,0.0,0.0,32.0
1789681988.461375,241.097,1965,3996,0.0,0.0,32.0
1789681988.471450,241.097,1965,3996,0.0,0.0,32.0
1789681988.481535,241.097,1965,3996,0.0,0.0,32.0
1789681988.491468,241.097,1965,3996,0.0,0.0,32.0
1789681988.501379,241.097,1965,3996,0.0,0.0,32.0
1789681988.511547,241.097,1965,3996,0.0,0.0,32.0
1789681988.521449,256.261,1965,3996,0.0,0.0,32.0
1789681988.531380,256.261,1965,3996,0.0,0.0,32.0
1789681988.541374,256.261,1965,3996,0.0,0.0,32.0
1789681988.551378,256.261,1965,3996,0.0,0.0,32.0
1789681988.561443,256.261,1965,3996,0.0,0.0,32.0
1789681988.571348,256.261,1965,3996,0.0,0.0,32.0
1789681988.581343,256.261,1965,3996,0.0,0.0,32.0
1789681988.591646,256.261,1965,3996,0.0,0.0,32.0
1789681988.601343,256.261,1965,3996,0.0,0.0,32.0
1789681988.611342,256.261,1965,3996,0.0,0.0,32.0
1789681988.621343,287.144,1965,3996,75.0,40.0,33.0
1789681988.631589,287.144,1965,3996,75.0,40.0,33.0
1789681988.641343,287.144,1965,3996,75.0,40.0,33.0
1789681988.651342,287.144,1965,3996,75.0,40.0,33.0
1789681988.661343,287.144,1965,3996,75.0,40.0,33.0
1789681988.671342,287.144,1965,3996,75.0,40.0,33.0
1789681988.681342,287.144,1965,3996,75.0,40.0,33.0
1789681988.691342,287.144,1965,3996,75.0,40.0,33.0
1789681988.701518,287.144,1965,3996,75.0,40.0,33.0
1789681988.711337,287.144,1965,3996,75.0,40.0,33.0
1789681988.721374,315.672,1965,3996,75.0,40.0,33.0
1789681988.731377,315.672,1965,3996,75.0,40.0,33.0
1789681988.741337,315.672,1965,3996,75.0,40.0,33.0
1789681988.751337,315.672,1965,3996,75.0,40.0,33.0
1789681988.761378,315.672,1965,3996,75.0,40.0,33.0
1789681988.771424,315.672,1965,3996,75.0,40.0,33.0
1789681988.781479,315.672,1965,3996,75.0,40.0,33.0
1789681988.791338,315.672,1965,3996,75.0,40.0,33.0
1789681988.801455,315.672,1965,3996,75.0,40.0,33.0
1789681988.811347,315.672,1965,3996,75.0,40.0,33.0
1789681988.821452,347.728,1965,3996,75.0,40.0,34.0
1789681988.831347,347.728,1965,3996,75.0,40.0,34.0
1789681988.841398,347.728,1965,3996,75.0,40.0,34.0
1789681988.851370,347.728,1965,3996,75.0,40.0,34.0
1789681988.861386,347.728,1965,3996,75.0,40.0,34.0
1789681988.871338,347.728,1965,3996,75.0,40.0,34.0
1789681988.881638,347.728,1965,3996,75.0,40.0,34.0
1789681988.891371,347.728,1965,3996,75.0,40.0,34.0
1789681988.901354,347.728,1965,3996,75.0,40.0,34.0
1789681988.911450,347.728,1965,3996,75.0,40.0,34.0
1789681988.921401,378.077,1965,3996,75.0,40.0,34.0
1789681988.931416,378.077,1965,3996,75.0,40.0,34.0
1789681988.941470,378.077,1965,3996,75.0,40.0,34.0
1789681988.951519,378.077,1965,3996,75.0,40.0,34.0
1789681988.961427,378.077,1965,3996,75.0,40.0,34.0
1789681988.971411,378.077,1965,3996,75.0,40.0,34.0
1789681988.981424,378.077,1965,3996,75.0,40.0,34.0
1789681988.991418,378.077,1965,3996,75.0,40.0,34.0
1789681989.001442,378.077,1965,3996,75.0,40.0,34.0
1789681989.011425,378.077,1965,3996,75.0,40.0,34.0
1789681989.021347,408.270,1965,3996,75.0,41.0,34.0
1789681989.031514,408.270,1965,3996,75.0,41.0,34.0
1789681989.041385,408.270,1965,3996,75.0,41.0,34.0
1789681989.051389,408.270,1965,3996,75.0,41.0,34.0
1789681989.061352,408.270,1965,3996,75.0,41.0,34.0
1789681989.071437,408.270,1965,3996,75.0,41.0,34.0
1789681989.081441,408.270,1965,3996,75.0,41.0,34.0
1789681989.091455,408.270,1965,3996,75.0,41.0,34.0
1789681989.101418,408.270,1965,3996,75.0,41.0,34.0
1789681989.111391,408.270,1965,3996,75.0,41.0,34.0
1789681989.121374,438.824,1965,3996,75.0,41.0,35.0
1789681989.131439,438.824,1965,3996,75.0,41.0,35.0
1789681989.141433,438.824,1965,3996,75.0,41.0,35.0
1789681989.151374,438.824,1965,3996,75.0,41.0,35.0
1789681989.161378,438.824,1965,3996,75.0,41.0,35.0
1789681989.171465,438.824,1965,3996,75.0,41.0,35.0
1789681989.181488,438.824,1965,3996,75.0,41.0,35.0
1789681989.191451,438.824,1965,3996,75.0,41.0,35.0
1789681989.201434,438.824,1965,3996,75.0,41.0,35.0
1789681989.211418,438.824,1965,3996,75.0,41.0,35.0
1789681989.221380,466.067,1965,3996,75.0,41.0,35.0
1789681989.231538,466.067,1965,3996,75.0,41.0,35.0
1789681989.241377,466.067,1965,3996,75.0,41.0,35.0
1789681989.251442,466.067,1965,3996,75.0,41.0,35.0
1789681989.261446,466.067,1965,3996,75.0,41.0,35.0
1789681989.271378,466.067,1965,3996,75.0,41.0,35.0
1789681989.281424,466.067,1965,3996,75.0,41.0,35.0
1789681989.291437,466.067,1965,3996,75.0,41.0,35.0
1789681989.301359,466.067,1965,3996,75.0,41.0,35.0
1789681989.311383,466.067,1965,3996,75.0,41.0,35.0
1789681989.321377,499.735,1965,3996,75.0,41.0,35.0
1789681989.331390,499.735,1965,3996,75.0,41.0,35.0
1789681989.341414,499.735,1965,3996,75.0,41.0,35.0
1789681989.351419,499.735,1965,3996,75.0,41.0,35.0
1789681989.361412,499.735,1965,3996,75.0,41.0,35.0
1789681989.371436,499.735,1965,3996,75.0,41.0,35.0
1789681989.381358,499.735,1965,3996,75.0,41.0,35.0
