t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1789682146.840489,0.2000,103.8440,1.422498e+10,3.701767e+11,3.697573e+11,1.422079e+10,4.194304e+06,3.697405e+11,1.677722e+07,25,1,1,25.0,3.697405e+11
1789682147.040490,0.2000,93.2043,1.449971e+10,2.939240e+13,2.913951e+13,1.422079e+10,2.789212e+08,2.913839e+13,1.115685e+09,2041,8,1,2041.0,2.913839e+13
1789682147.240489,0.2000,90.4519,3.708687e+11,4.389766e+13,4.343480e+13,3.555197e+11,1.534906e+10,4.337340e+13,6.139622e+10,2657,393,25,2657.0,4.337340e+13
1789682147.440490,0.2000,91.3725,4.617740e+11,7.137229e+12,7.137229e+12,4.408444e+11,2.092958e+10,7.053511e+12,8.371831e+10,0,496,31,0.0,7.053511e+12
1789682147.640490,0.2000,92.2738,4.787840e+11,7.375918e+12,7.375918e+12,4.550652e+11,2.371879e+10,7.281043e+12,9.487516e+10,0,512,32,0.0,7.281043e+12
1789682147.840490,0.2000,95.2674,4.501914e+11,8.333187e+12,8.313886e+12,4.266236e+11,2.356779e+10,8.219615e+12,9.427118e+10,99,479,30,99.0,8.219615e+12
1789682148.040490,0.2000,106.6010,4.813761e+11,7.386287e+12,7.386287e+12,4.550652e+11,2.631087e+10,7.281043e+12,1.052435e+11,0,512,32,0.0,7.281043e+12
1789682148.240490,0.2000,110.6813,4.683821e+11,7.163662e+12,7.163662e+12,4.408444e+11,2.753770e+10,7.053511e+12,1.101508e+11,0,496,31,0.0,7.053511e+12
1789682148.440490,0.2000,109.9966,4.551931e+11,6.940256e+12,6.940256e+12,4.266236e+11,2.856950e+10,6.825978e+12,1.142780e+11,0,480,30,0.0,6.825978e+12
1789682148.640490,0.2000,109.4544,2.435402e+11,3.704552e+12,3.704552e+12,2.275326e+11,1.600756e+10,3.640522e+12,6.403024e+10,0,256,16,0.0,3.640522e+12
1789682148.840490,0.2000,107.1492,4.559607e+11,1.132776e+13,1.129489e+13,4.266236e+11,2.933706e+10,1.117754e+13,1.173482e+11,315,471,30,315.0,1.117754e+13
1789682149.040490,0.2000,106.9491,3.372871e+11,4.327299e+13,4.297339e+13,3.270781e+11,1.020894e+10,4.293256e+13,4.083574e+10,2660,359,23,2660.0,4.293256e+13
1789682149.240490,0.2000,107.6785,4.420398e+11,7.103173e+12,7.100955e+12,4.266236e+11,1.541616e+10,7.039290e+12,6.166466e+10,16,479,30,16.0,7.039290e+12
1789682149.440490,0.2000,107.4270,4.582088e+11,7.122968e+12,7.122968e+12,4.408444e+11,1.736442e+10,7.053511e+12,6.945767e+10,0,496,31,0.0,7.053511e+12
1789682149.640490,0.2000,107.7206,4.598215e+11,7.388422e+12,7.385393e+12,4.408444e+11,1.897713e+10,7.309485e+12,7.590851e+10,19,495,31,19.0,7.309485e+12
1789682149.840490,0.2000,109.7254,4.608722e+11,7.133622e+12,7.133622e+12,4.408444e+11,2.002780e+10,7.053511e+12,8.011121e+10,0,496,31,0.0,7.053511e+12
1789682150.040490,0.2000,110.8178,4.628855e+11,7.141675e+12,7.141675e+12,4.408444e+11,2.204107e+10,7.053511e+12,8.816427e+10,0,496,31,0.0,7.053511e+12
1789682150.240490,0.2000,108.7494,4.649008e+11,7.149736e+12,7.149736e+12,4.408444e+11,2.405643e+10,7.053511e+12,9.622572e+10,0,496,31,0.0,7.053511e+12
1789682150.440490,0.2000,108.6279,4.669141e+11,7.157789e+12,7.157789e+12,4.408444e+11,2.606970e+10,7.053511e+12,1.042788e+11,0,496,31,0.0,7.053511e+12
1789682150.640491,0.2000,108.3455,3.429829e+11,2.351724e+13,2.339993e+13,3.270781e+11,1.590480e+10,2.333631e+13,6.361920e+10,1287,354,23,1287.0,2.333631e+13
1789682150.840490,0.2000,108.4841,4.494427e+11,7.087904e+12,7.087904e+12,4.408444e+11,8.598323e+09,7.053511e+12,3.439329e+10,0,496,31,0.0,7.053511e+12
1789682151.040491,0.2000,107.9980,4.362831e+11,7.064944e+12,7.063707e+12,4.266236e+11,9.659482e+09,7.025069e+12,3.863793e+10,15,479,30,15.0,7.025069e+12
1789682151.240490,0.2000,107.1465,4.523599e+11,7.099573e+12,7.099573e+12,4.408444e+11,1.151546e+10,7.053511e+12,4.606185e+10,0,496,31,0.0,7.053511e+12
1789682151.440491,0.2000,106.8525,4.248872e+11,1.040232e+13,1.037423e+13,4.124028e+11,1.248435e+10,1.032429e+13,4.993738e+10,263,463,29,263.0,1.032429e+13
