t_rel_s,measured_w,predicted_w
0.000,518.22,237.82
0.200,464.19,237.82
0.400,410.47,394.75
0.600,404.84,525.79
0.800,405.89,526.13
1.000,415.59,526.48
1.200,467.93,526.82
1.400,520.92,518.38
1.600,533.46,527.49
1.800,534.40,527.83
2.000,534.54,489.85
2.200,533.64,524.07
2.400,532.60,524.41
2.600,531.70,524.75
2.800,530.39,525.09
3.000,530.09,534.16
3.200,530.29,525.78
3.400,531.91,517.38
3.600,531.26,472.30
3.800,530.73,516.00
4.000,529.73,525.03
4.200,527.79,516.65
4.400,526.13,525.70
4.600,526.89,517.30
4.800,527.64,526.37
5.000,527.99,430.38
5.200,517.30,421.03
5.400,504.27,524.71
5.600,502.29,516.34
5.800,500.96,525.38
6.000,499.26,498.49
6.200,507.29,524.89
6.400,528.24,516.52
6.600,530.43,525.57
6.800,532.71,473.81
7.000,544.50,519.43
7.200,545.86,528.57
7.400,546.25,520.08
7.600,537.13,273.11
7.800,484.57,237.82
8.000,420.16,237.82
8.200,364.66,237.82
8.400,308.98,237.82
8.600,258.19,237.82
8.800,248.44,237.82
9.000,247.37,237.82
9.200,240.31,237.82
9.400,239.61,237.82
9.600,239.55,237.82
9.800,235.21,237.82
10.000,226.08,237.82
10.200,217.44,237.82
10.400,207.38,237.82
10.600,198.02,237.82
10.800,193.73,237.82
11.000,193.27,237.82
11.200,192.84,237.82
11.400,192.53,237.82
11.600,192.32,237.82
11.800,192.12,237.82
12.000,191.96,237.82
12.200,191.78,237.82
12.400,191.64,237.82
12.600,191.53,237.82
12.800,191.44,237.82
13.000,191.34,237.82
13.200,191.27,237.82
13.400,191.19,237.82
13.600,191.08,237.82
13.800,190.99,237.82
14.000,190.95,237.82
14.200,190.92,237.82
14.400,190.87,237.82
14.600,190.84,237.82
14.800,190.86,237.82
15.000,190.85,237.82
15.200,190.79,237.82
15.400,190.78,237.82
15.600,190.78,237.82
15.800,190.76,237.82
16.000,190.74,237.82
16.200,190.73,237.82
16.400,190.71,237.82
16.600,190.73,237.82
16.800,190.72,237.82
17.000,190.71,237.82
17.200,190.69,237.82
17.400,190.66,237.82
17.600,190.62,237.82
17.800,190.58,237.82
18.000,190.58,237.82
18.200,190.58,237.82
18.400,190.60,237.82
18.600,190.62,237.82
18.800,190.68,237.82
19.000,190.74,237.82
19.200,190.82,237.82
19.400,190.91,237.82
19.600,190.98,237.82
19.800,191.00,237.82
20.000,191.01,237.82
20.200,191.00,237.82
20.400,191.03,237.82
20.600,191.02,237.82
20.800,191.01,237.82
21.000,191.00,237.82
21.200,191.02,237.82
21.400,190.99,237.82
21.600,190.99,237.82
21.800,190.96,237.82
22.000,190.95,237.82
22.200,190.94,237.82
22.400,190.93,237.82
22.600,190.91,237.82
22.800,190.94,237.82
23.000,190.95,237.82
23.200,190.91,237.82
23.400,190.91,237.82
23.600,190.91,237.82
23.800,190.87,237.82
24.000,190.87,237.82
24.200,190.87,237.82
24.400,190.85,237.82
24.600,190.83,237.82
24.800,190.85,237.82
25.000,190.83,237.82
25.200,190.84,237.82
25.400,190.83,237.82
25.600,190.84,237.82
25.800,190.85,237.82
26.000,190.83,237.82
26.200,190.82,237.82
26.400,190.81,237.82
26.600,190.77,237.82
26.800,190.75,237.82
27.000,190.76,237.82
27.200,190.75,237.82
27.400,190.73,237.82
27.600,190.72,237.82
27.800,190.71,237.82
28.000,190.69,237.82
28.200,190.69,237.82
28.400,190.73,237.82
28.600,190.79,237.82
28.800,190.81,237.82
29.000,190.85,237.82
29.200,190.83,237.82
29.400,190.81,237.82
29.600,190.74,237.82
29.800,190.70,237.82
30.000,190.65,237.82
30.200,190.65,237.82
30.400,190.63,237.82
30.600,190.63,237.82
30.800,190.63,237.82
31.000,190.63,237.82
31.200,190.60,237.82
31.400,190.58,237.82
31.600,190.58,237.82
31.800,190.60,237.82
32.000,190.59,237.82
32.200,190.59,237.82
32.400,190.60,237.82
32.600,190.62,237.82
32.800,190.61,237.82
33.000,190.62,237.82
33.200,190.65,237.82
33.400,190.63,237.82
33.600,190.59,237.82
33.800,190.55,237.82
34.000,190.53,237.82
34.200,190.49,237.82
34.400,190.51,237.82
34.600,190.55,237.82
34.800,190.57,237.82
35.000,190.57,237.82
35.200,190.63,237.82
35.400,190.60,237.82
35.600,190.58,237.82
35.800,190.57,237.82
36.000,190.55,237.82
36.200,190.51,237.82
36.400,190.53,237.82
36.600,190.50,237.82
36.800,190.49,237.82
37.000,190.52,237.82
37.200,190.51,237.82
37.400,190.49,237.82
37.600,190.53,237.82
37.800,190.57,237.82
38.000,190.55,237.82
38.200,190.55,237.82
38.400,190.52,237.82
38.600,190.46,237.82
38.800,190.44,237.82
39.000,190.41,237.82
39.200,190.39,237.82
39.400,190.44,237.82
39.600,190.47,237.82
39.800,190.44,237.82
40.000,190.47,237.82
40.200,190.50,237.82
40.400,190.47,237.82
40.600,190.46,237.82
40.800,190.46,237.82
41.000,190.42,237.82
41.200,190.43,237.82
41.400,190.42,237.82
41.600,190.44,237.82
41.800,190.47,237.82
42.000,190.44,237.82
42.200,190.40,237.82
42.400,190.44,237.82
42.600,190.46,237.82
42.800,190.43,237.82
43.000,190.49,237.82
43.200,190.50,237.82
43.400,190.46,237.82
43.600,190.40,237.82
43.800,190.39,237.82
44.000,190.36,237.82
44.200,190.32,237.82
44.400,190.32,237.82
44.600,190.33,237.82
44.800,190.36,237.82
44.900,190.37,237.82
