t_rel_s,measured_w,predicted_w
0.000,553.21,517.45
0.200,555.00,564.33
0.400,552.30,498.91
0.600,547.14,564.45
0.800,545.16,564.63
1.000,546.48,545.84
1.200,547.80,564.68
1.400,546.40,527.11
1.600,548.10,564.52
1.800,548.48,564.69
2.000,546.36,545.81
2.200,545.39,564.68
2.400,550.01,536.64
2.600,549.40,564.71
2.800,549.35,527.21
3.000,548.16,536.29
3.200,547.86,564.50
3.400,547.09,536.44
3.600,548.84,564.35
3.800,548.54,564.52
4.000,550.33,555.27
4.200,552.06,564.62
4.400,552.27,545.91
4.600,551.60,545.85
4.800,549.12,536.44
5.000,548.55,545.57
5.200,547.05,554.99
5.400,545.41,564.51
5.600,546.30,564.68
5.800,549.30,546.06
6.000,550.16,536.68
6.200,547.40,536.36
6.400,546.17,545.57
6.600,543.46,536.35
6.800,541.61,564.57
7.000,541.06,545.99
7.200,543.77,545.86
7.400,545.62,555.35
7.600,546.51,527.26
7.800,546.13,545.72
8.000,546.16,536.44
8.200,545.26,517.82
8.400,542.24,555.40
8.600,541.41,536.56
8.800,542.38,545.75
9.000,540.40,555.26
9.200,540.46,527.09
9.400,541.47,564.43
9.600,543.78,545.88
9.800,543.65,545.96
10.000,546.13,536.48
10.200,547.88,545.71
10.400,550.68,555.22
10.600,551.27,536.56
10.800,551.23,536.37
11.000,550.87,564.49
11.200,549.27,536.55
11.400,546.88,536.48
11.600,544.97,564.51
11.800,546.51,555.33
12.000,546.87,555.41
12.200,547.06,527.24
12.400,548.05,564.36
12.600,548.37,555.18
12.800,547.14,555.34
13.000,547.75,545.83
13.200,548.71,564.54
13.400,548.71,545.89
13.600,549.10,555.03
13.800,551.93,526.93
14.000,550.74,545.59
14.200,550.40,555.07
14.400,551.67,564.51
14.600,552.96,545.78
14.800,551.01,545.81
15.000,552.02,564.62
15.200,553.74,546.00
15.400,553.90,555.28
15.600,555.91,536.63
15.800,556.05,536.45
16.000,556.41,536.37
16.200,554.26,564.29
16.400,551.32,564.46
16.600,548.42,517.74
16.800,545.73,555.20
17.000,543.30,564.73
17.200,543.66,527.17
17.400,542.33,526.93
17.600,540.90,545.59
17.800,542.27,545.58
18.000,543.58,564.45
18.200,543.75,545.77
18.400,546.36,555.26
18.600,547.08,536.58
18.800,548.21,545.72
19.000,548.32,545.76
19.200,549.56,564.41
19.400,548.40,555.22
19.600,548.55,564.75
19.800,548.57,555.55
20.000,549.04,536.83
20.200,547.77,536.52
20.400,548.10,545.77
20.600,546.24,508.13
20.800,543.16,545.53
21.000,543.27,555.04
21.200,543.67,536.41
21.400,544.41,564.58
21.600,545.44,555.39
21.800,547.35,545.95
22.000,547.29,545.97
22.200,547.17,545.75
22.400,546.13,545.67
22.600,547.05,555.17
22.800,547.03,545.71
23.000,547.62,545.71
23.200,548.05,564.59
23.400,549.23,545.93
23.600,551.15,527.11
23.800,551.70,545.72
24.000,550.47,564.44
24.200,551.16,545.84
24.400,550.49,536.35
24.600,549.63,564.48
24.800,550.76,555.30
25.000,553.65,536.65
25.200,553.26,564.42
25.400,552.80,555.23
25.600,553.73,564.76
25.800,553.50,536.73
26.000,551.81,545.81
26.200,552.31,545.74
26.400,553.02,564.54
26.600,552.92,545.77
26.800,552.61,555.14
27.000,552.61,555.25
27.200,552.47,564.77
27.400,551.83,517.89
27.600,550.85,555.11
27.800,550.90,545.87
28.000,549.22,527.17
28.200,548.21,555.15
28.400,548.43,555.02
28.600,548.91,545.80
28.800,549.77,555.27
29.000,552.20,536.52
29.200,553.43,564.59
29.400,554.44,527.21
29.600,554.14,536.23
29.800,553.31,564.35
30.000,552.15,564.52
30.200,550.64,545.97
30.400,549.09,545.94
30.600,551.28,555.16
30.800,552.07,564.68
31.000,553.27,536.57
31.200,553.64,555.04
31.400,554.62,564.56
31.600,553.24,545.95
31.800,552.79,564.63
32.000,551.00,545.90
32.200,551.75,545.93
32.400,551.00,564.82
32.600,552.79,536.41
32.800,552.17,564.55
33.000,553.16,564.72
33.200,552.06,536.56
33.400,552.92,555.30
33.600,550.81,526.91
33.800,551.66,555.05
34.000,551.13,555.14
34.200,551.09,545.76
34.400,551.43,564.64
34.600,552.94,564.81
34.800,553.47,555.61
35.000,552.96,536.69
35.200,553.40,527.02
35.400,553.84,564.55
35.600,552.56,517.72
35.800,550.40,564.28
36.000,551.62,555.10
36.200,552.36,545.78
36.400,551.25,555.15
36.600,552.16,536.48
36.800,553.10,555.10
37.000,551.81,545.86
37.200,552.23,545.72
37.400,551.68,545.84
37.600,550.21,545.74
37.800,551.34,555.03
38.000,552.06,564.55
38.200,552.02,564.73
38.400,552.24,527.37
38.600,552.24,564.59
38.800,551.23,536.59
39.000,550.40,545.77
39.200,550.53,555.07
39.400,550.19,564.46
39.600,550.79,555.28
39.800,552.49,564.80
40.000,552.34,536.63
40.200,551.46,545.87
40.400,552.84,536.49
40.600,552.19,545.73
40.800,551.14,554.94
41.000,551.67,555.08
41.200,552.31,545.79
41.400,552.55,555.18
41.600,554.29,564.42
41.800,554.13,555.23
42.000,555.08,555.38
42.200,555.20,564.61
42.400,554.18,555.42
42.600,553.58,536.55
42.800,554.50,536.38
43.000,554.15,545.61
43.200,553.99,564.35
43.400,554.81,555.16
43.600,553.72,536.50
43.800,552.31,536.45
44.000,551.59,554.97
44.200,551.95,526.84
44.400,551.34,536.26
44.600,551.41,555.06
44.800,553.35,536.47
45.000,553.45,564.55
45.200,552.81,564.36
45.400,552.59,564.39
45.600,553.79,573.45
45.800,554.33,582.84
46.000,555.30,573.54
46.157,557.75,582.12
