t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1789680932.424024,241.459,1965,3996,0.0,0.0,30.0
1789680932.434088,241.459,1965,3996,0.0,0.0,30.0
1789680932.444100,241.486,1965,3996,0.0,0.0,30.0
1789680932.454103,241.486,1965,3996,0.0,0.0,30.0
1789680932.464117,241.486,1965,3996,0.0,0.0,30.0
1789680932.474100,241.486,1965,3996,0.0,0.0,30.0
1789680932.484104,241.486,1965,3996,0.0,0.0,30.0
1789680932.494169,241.486,1965,3996,0.0,0.0,30.0
1789680932.504111,241.486,1965,3996,0.0,0.0,30.0
1789680932.514156,241.486,1965,3996,0.0,0.0,30.0
1789680932.524108,241.486,1965,3996,0.0,0.0,30.0
1789680932.534102,241.486,1965,3996,0.0,0.0,30.0
1789680932.544106,241.524,1965,3996,0.0,0.0,30.0
1789680932.554099,241.524,1965,3996,0.0,0.0,30.0
1789680932.564102,241.524,1965,3996,0.0,0.0,30.0
1789680932.574106,241.524,1965,3996,0.0,0.0,30.0
1789680932.584101,241.524,1965,3996,0.0,0.0,30.0
1789680932.594165,241.524,1965,3996,0.0,0.0,30.0
1789680932.604107,241.524,1965,3996,0.0,0.0,30.0
1789680932.614142,241.524,1965,3996,0.0,0.0,30.0
1789680932.624135,241.524,1965,3996,0.0,0.0,30.0
1789680932.634108,241.524,1965,3996,0.0,0.0,30.0
1789680932.644102,241.505,1965,3996,0.0,0.0,30.0
1789680932.654105,241.505,1965,3996,0.0,0.0,30.0
1789680932.664099,241.505,1965,3996,0.0,0.0,30.0
1789680932.674103,241.505,1965,3996,0.0,0.0,30.0
1789680932.684107,241.505,1965,3996,0.0,0.0,30.0
1789680932.694100,241.505,1965,3996,0.0,0.0,30.0
1789680932.704113,241.505,1965,3996,0.0,0.0,30.0
1789680932.714107,241.505,1965,3996,0.0,0.0,30.0
1789680932.724101,241.505,1965,3996,0.0,0.0,30.0
1789680932.734105,241.505,1965,3996,0.0,0.0,30.0
1789680932.744180,241.514,1965,3996,0.0,0.0,30.0
1789680932.754102,241.514,1965,3996,0.0,0.0,30.0
1789680932.764106,241.514,1965,3996,0.0,0.0,30.0
1789680932.774099,241.514,1965,3996,0.0,0.0,30.0
1789680932.784102,241.514,1965,3996,0.0,0.0,30.0
1789680932.794106,241.514,1965,3996,0.0,0.0,30.0
1789680932.804161,241.514,1965,3996,0.0,0.0,30.0
1789680932.814114,241.514,1965,3996,0.0,0.0,30.0
1789680932.824099,241.514,1965,3996,0.0,0.0,30.0
1789680932.834101,241.514,1965,3996,0.0,0.0,30.0
1789680932.844105,237.149,1965,3996,0.0,0.0,30.0
1789680932.854108,237.149,1965,3996,0.0,0.0,30.0
1789680932.864102,237.149,1965,3996,0.0,0.0,30.0
1789680932.874208,237.149,1965,3996,0.0,0.0,30.0
1789680932.884099,237.149,1965,3996,0.0,0.0,30.0
1789680932.894102,237.149,1965,3996,0.0,0.0,30.0
1789680932.904106,237.149,1965,3996,0.0,0.0,30.0
1789680932.914099,237.149,1965,3996,0.0,0.0,30.0
1789680932.924103,237.149,1965,3996,0.0,0.0,30.0
1789680932.934106,237.149,1965,3996,0.0,0.0,30.0
1789680932.944101,237.123,1965,3996,0.0,0.0,30.0
1789680932.954135,237.123,1965,3996,0.0,0.0,30.0
1789680932.964098,237.123,1965,3996,0.0,0.0,30.0
1789680932.974101,237.123,1965,3996,0.0,0.0,30.0
1789680932.984106,237.123,1965,3996,0.0,0.0,30.0
1789680932.994109,237.123,1965,3996,0.0,0.0,30.0
1789680933.004102,237.123,1965,3996,0.0,0.0,30.0
1789680933.014106,237.123,1965,3996,0.0,0.0,30.0
1789680933.024110,237.123,1965,3996,0.0,0.0,30.0
1789680933.034103,237.123,1965,3996,0.0,0.0,30.0
1789680933.044127,237.095,1965,3996,0.0,0.0,30.0
1789680933.054132,237.095,1965,3996,0.0,0.0,30.0
1789680933.064155,237.095,1965,3996,0.0,0.0,30.0
1789680933.074159,237.095,1965,3996,0.0,0.0,30.0
1789680933.084121,237.095,1965,3996,0.0,0.0,30.0
1789680933.094105,237.095,1965,3996,0.0,0.0,30.0
1789680933.104098,237.095,1965,3996,0.0,0.0,30.0
1789680933.114102,237.095,1965,3996,0.0,0.0,30.0
1789680933.124106,237.095,1965,3996,0.0,0.0,30.0
1789680933.134100,237.095,1965,3996,0.0,0.0,30.0
1789680933.144123,237.097,1965,3996,0.0,0.0,30.0
1789680933.154107,237.097,1965,3996,0.0,0.0,30.0
1789680933.164162,237.097,1965,3996,0.0,0.0,30.0
1789680933.174166,237.097,1965,3996,0.0,0.0,30.0
