t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1789681293.055513,1789681293.055513,mixed,1,0,16,0.0000,10,1,
1789681293.055513,1789681293.071237,decode,1,0,16,0.0000,0,1,
1789681293.071237,1789681293.077073,decode,1,0,16,0.0000,0,1,
1789681293.077073,1789681293.082418,decode,1,0,16,0.0000,0,1,
1789681293.082418,1789681293.087978,decode,1,0,16,0.0000,0,1,
1789681293.087978,1789681293.093515,decode,1,0,16,0.0000,0,1,
1789681293.093515,1789681293.099297,decode,1,0,16,0.0000,0,1,
1789681293.099297,1789681293.104359,decode,1,0,32,0.0000,0,1,
1789681293.104359,1789681293.110112,decode,1,0,32,0.0000,0,1,
1789681293.110112,1789681293.115259,decode,1,0,32,0.0000,0,1,
1789681293.115259,1789681293.120672,decode,1,0,32,0.0000,0,1,
1789681293.120672,1789681293.125977,decode,1,0,32,0.0000,0,1,
1789681293.125977,1789681293.131429,decode,1,0,32,0.0000,0,1,
1789681293.131429,1789681293.136909,decode,1,0,32,0.0000,0,1,
1789681293.136909,1789681293.142177,decode,1,0,32,0.0000,0,1,
1789681293.142177,1789681293.148426,decode,1,0,32,0.0000,0,1,
1789681293.148426,1789681293.154219,decode,1,0,32,0.0000,0,1,
1789681293.154219,1789681293.158354,decode,1,0,32,0.0000,0,1,
1789681293.158354,1789681293.163703,decode,1,0,32,0.0000,0,1,
1789681293.163703,1789681293.169129,decode,1,0,32,0.0000,0,1,
1789681293.169129,1789681293.174527,decode,1,0,32,0.0000,0,1,
1789681293.174527,1789681293.180023,decode,1,0,32,0.0000,0,1,
1789681293.180023,1789681293.185369,decode,1,0,32,0.0000,0,1,
1789681293.185369,1789681293.190704,decode,1,0,48,0.0000,0,1,
1789681293.190704,1789681293.196200,decode,1,0,48,0.0000,0,1,
1789681293.196200,1789681293.201559,decode,1,0,48,0.0000,0,1,
1789681293.201559,1789681293.206886,decode,1,0,48,0.0000,0,1,
1789681293.206886,1789681293.212402,decode,1,0,48,0.0000,0,1,
1789681293.212402,1789681293.217757,decode,1,0,48,0.0000,0,1,
1789681293.217757,1789681293.223081,decode,1,0,48,0.0000,0,1,
1789681293.223081,1789681293.228457,decode,1,0,48,0.0000,0,1,
1789681293.228457,1789681293.233995,decode,1,0,48,0.0000,0,1,
1789681293.233995,1789681293.239245,decode,1,0,48,0.0000,0,1,
1789681293.239245,1789681293.244684,decode,1,0,48,0.0000,0,1,
1789681293.244684,1789681293.250011,decode,1,0,48,0.0000,0,1,
1789681293.250011,1789681293.255784,decode,1,0,48,0.0000,0,1,
1789681293.255784,1789681293.260884,decode,1,0,48,0.0000,0,1,
1789681293.260884,1789681293.266169,decode,1,0,48,0.0000,0,1,
1789681293.266169,1789681293.271562,decode,1,0,48,0.0000,0,1,
1789681293.271562,1789681293.277009,decode,1,0,64,0.0000,0,1,
1789681293.277009,1789681293.282376,decode,1,0,64,0.0000,0,1,
1789681293.282376,1789681293.287720,decode,1,0,64,0.0000,0,1,
1789681293.287720,1789681293.293171,decode,1,0,64,0.0000,0,1,
1789681293.293171,1789681293.298492,decode,1,0,64,0.0000,0,1,
1789681293.298492,1789681293.303971,decode,1,0,64,0.0000,0,1,
1789681293.303971,1789681293.309250,decode,1,0,64,0.0000,0,1,
1789681293.309250,1789681293.314752,decode,1,0,64,0.0000,0,1,
1789681293.314752,1789681293.320004,decode,1,0,64,0.0000,0,1,
1789681293.320004,1789681293.325380,decode,1,0,64,0.0000,0,1,
1789681293.325380,1789681293.330777,decode,1,0,64,0.0000,0,1,
1789681293.330777,1789681293.336125,decode,1,0,64,0.0000,0,1,
1789681293.336125,1789681293.341547,decode,1,0,64,0.0000,0,1,
1789681293.341547,1789681293.347078,decode,1,0,64,0.0000,0,1,
1789681293.347078,1789681293.352636,decode,1,0,64,0.0000,0,1,
1789681293.352636,1789681293.357747,decode,1,0,64,0.0000,0,1,
1789681293.357747,1789681293.363133,decode,1,0,80,0.0000,0,1,
1789681293.363133,1789681293.368551,decode,1,0,80,0.0000,0,1,
1789681293.368551,1789681293.373876,decode,1,0,80,0.0000,0,1,
1789681293.373876,1789681293.379263,decode,1,0,80,0.0000,0,1,
1789681293.379263,1789681293.384726,decode,1,0,80,0.0000,0,1,
1789681293.384726,1789681293.390000,decode,1,0,80,0.0000,0,1,
1789681293.390000,1789681293.395589,decode,1,0,80,0.0000,0,1,
