t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1789681447.844978,243.118,1965,3996,0.0,0.0,31.0
1789681447.855067,243.118,1965,3996,0.0,0.0,31.0
1789681447.865059,243.118,1965,3996,0.0,0.0,31.0
1789681447.875053,243.118,1965,3996,0.0,0.0,31.0
1789681447.885055,243.118,1965,3996,0.0,0.0,31.0
1789681447.895058,243.118,1965,3996,0.0,0.0,31.0
1789681447.905113,243.118,1965,3996,0.0,0.0,31.0
1789681447.915076,243.118,1965,3996,0.0,0.0,31.0
1789681447.925131,243.145,1965,3996,0.0,0.0,31.0
1789681447.935165,243.145,1965,3996,0.0,0.0,31.0
1789681447.945170,243.145,1965,3996,0.0,0.0,31.0
1789681447.955163,243.145,1965,3996,0.0,0.0,31.0
1789681447.965125,243.145,1965,3996,0.0,0.0,31.0
1789681447.975078,243.145,1965,3996,0.0,0.0,31.0
1789681447.985048,243.145,1965,3996,0.0,0.0,31.0
1789681447.995049,243.145,1965,3996,0.0,0.0,31.0
1789681448.005048,243.145,1965,3996,0.0,0.0,31.0
1789681448.015047,243.145,1965,3996,0.0,0.0,31.0
1789681448.025048,243.159,1965,3996,0.0,0.0,31.0
1789681448.035047,243.159,1965,3996,0.0,0.0,31.0
1789681448.045047,243.159,1965,3996,0.0,0.0,31.0
1789681448.055047,243.159,1965,3996,0.0,0.0,31.0
1789681448.065047,243.159,1965,3996,0.0,0.0,31.0
1789681448.075244,243.159,1965,3996,0.0,0.0,31.0
1789681448.085166,243.159,1965,3996,0.0,0.0,31.0
1789681448.095068,243.159,1965,3996,0.0,0.0,31.0
1789681448.105082,243.159,1965,3996,0.0,0.0,31.0
1789681448.115054,243.159,1965,3996,0.0,0.0,31.0
1789681448.125058,243.088,1965,3996,0.0,0.0,31.0
1789681448.135103,243.088,1965,3996,0.0,0.0,31.0
1789681448.145056,243.088,1965,3996,0.0,0.0,31.0
1789681448.155151,243.088,1965,3996,0.0,0.0,31.0
1789681448.165083,243.088,1965,3996,0.0,0.0,31.0
1789681448.175057,243.088,1965,3996,0.0,0.0,31.0
1789681448.185091,243.088,1965,3996,0.0,0.0,31.0
1789681448.195054,243.088,1965,3996,0.0,0.0,31.0
1789681448.205058,243.088,1965,3996,0.0,0.0,31.0
1789681448.215061,243.088,1965,3996,0.0,0.0,31.0
1789681448.225054,241.079,1965,3996,0.0,0.0,31.0
1789681448.235181,241.079,1965,3996,0.0,0.0,31.0
1789681448.245053,241.079,1965,3996,0.0,0.0,31.0
1789681448.255055,241.079,1965,3996,0.0,0.0,31.0
1789681448.265059,241.079,1965,3996,0.0,0.0,31.0
1789681448.275083,241.079,1965,3996,0.0,0.0,31.0
1789681448.285043,241.079,1965,3996,0.0,0.0,31.0
1789681448.295080,241.079,1965,3996,0.0,0.0,31.0
1789681448.305054,241.079,1965,3996,0.0,0.0,31.0
1789681448.315043,241.079,1965,3996,0.0,0.0,31.0
