t_rel_s,measured_w,predicted_w
0.000,586.99,453.44
0.200,599.98,605.48
0.400,597.94,606.22
0.600,597.15,617.86
0.800,597.37,607.73
1.000,590.57,608.47
1.200,573.64,620.17
1.400,574.84,532.97
1.600,568.53,237.10
1.800,516.56,237.10
2.000,450.66,237.10
2.200,391.21,237.10
2.400,325.38,237.10
2.600,266.43,237.10
2.800,247.50,237.10
3.000,247.19,237.10
3.200,240.34,237.10
3.400,238.93,237.10
3.600,237.22,237.10
3.800,229.44,237.10
4.000,220.66,237.10
4.200,211.72,237.10
4.400,202.85,237.10
4.600,194.52,237.10
4.800,193.18,237.10
5.000,192.74,237.10
5.200,192.42,237.10
5.400,192.21,237.10
5.600,192.11,237.10
5.800,192.00,237.10
6.000,191.92,237.10
6.200,191.82,237.10
6.400,191.71,237.10
6.600,191.59,237.10
6.800,191.47,237.10
7.000,191.39,237.10
7.200,191.33,237.10
7.400,191.21,237.10
7.600,191.14,237.10
7.800,191.10,237.10
8.000,191.06,237.10
8.200,191.01,237.10
8.400,191.01,237.10
8.600,191.01,237.10
8.800,191.00,237.10
9.000,190.97,237.10
9.200,190.98,237.10
9.400,190.97,237.10
9.600,190.97,237.10
9.800,190.98,237.10
10.000,190.99,237.10
10.200,190.98,237.10
10.400,190.97,237.10
10.600,190.95,237.10
10.800,190.94,237.10
11.000,190.94,237.10
11.200,190.94,237.10
11.400,190.93,237.10
11.600,190.93,237.10
11.800,190.92,237.10
12.000,190.90,237.10
12.200,190.88,237.10
12.400,190.86,237.10
12.600,190.81,237.10
12.800,190.80,237.10
13.000,190.79,237.10
13.200,190.81,237.10
13.400,190.82,237.10
13.600,190.83,237.10
13.800,190.82,237.10
14.000,190.83,237.10
14.200,190.78,237.10
14.400,190.74,237.10
14.600,190.74,237.10
14.800,190.71,237.10
15.000,190.69,237.10
15.200,190.68,237.10
15.400,190.68,237.10
15.600,190.68,237.10
15.800,190.69,237.10
16.000,190.71,237.10
16.200,190.75,237.10
16.400,190.75,237.10
16.600,190.74,237.10
16.800,190.73,237.10
17.000,190.70,237.10
17.200,190.68,237.10
17.400,190.64,237.10
17.600,190.61,237.10
17.800,190.61,237.10
18.000,190.60,237.10
18.200,190.56,237.10
18.400,190.56,237.10
18.600,190.58,237.10
18.800,190.57,237.10
19.000,190.58,237.10
19.200,190.59,237.10
19.400,190.59,237.10
19.600,190.58,237.10
19.800,190.59,237.10
20.000,190.57,237.10
20.200,190.56,237.10
20.400,190.56,237.10
20.600,190.55,237.10
20.800,190.52,237.10
21.000,190.51,237.10
21.200,190.52,237.10
21.400,190.54,237.10
21.600,190.56,237.10
21.800,190.56,237.10
22.000,190.57,237.10
22.200,190.57,237.10
22.400,190.54,237.10
22.600,190.54,237.10
22.800,190.51,237.10
23.000,190.47,237.10
23.200,190.47,237.10
23.400,190.47,237.10
23.600,190.46,237.10
23.800,190.51,237.10
24.000,190.55,237.10
24.200,190.54,237.10
24.400,190.55,237.10
24.600,190.57,237.10
24.800,190.54,237.10
25.000,190.49,237.10
25.200,190.47,237.10
25.400,190.46,237.10
25.600,190.43,237.10
25.800,190.41,237.10
26.000,190.40,237.10
26.200,190.41,237.10
26.400,190.45,237.10
26.600,190.45,237.10
26.800,190.45,237.10
27.000,190.47,237.10
27.200,190.46,237.10
27.400,190.42,237.10
27.600,190.43,237.10
27.800,190.43,237.10
28.000,190.43,237.10
28.200,190.42,237.10
28.400,190.42,237.10
28.600,190.41,237.10
28.800,190.40,237.10
29.000,190.39,237.10
29.200,190.38,237.10
29.400,190.36,237.10
29.600,190.37,237.10
29.800,190.39,237.10
30.000,190.39,237.10
30.200,190.39,237.10
30.400,190.40,237.10
30.600,190.41,237.10
30.800,190.40,237.10
31.000,190.42,237.10
31.200,190.42,237.10
31.400,190.41,237.10
31.600,190.40,237.10
31.800,190.39,237.10
32.000,190.38,237.10
32.200,190.39,237.10
32.400,190.41,237.10
32.600,190.40,237.10
32.800,190.40,237.10
33.000,190.40,237.10
33.200,190.41,237.10
33.400,190.40,237.10
33.600,190.42,237.10
33.800,190.43,237.10
34.000,190.43,237.10
34.200,190.42,237.10
34.400,190.42,237.10
34.600,190.41,237.10
34.800,190.38,237.10
35.000,190.36,237.10
35.200,190.36,237.10
35.400,190.35,237.10
35.600,190.35,237.10
35.800,190.35,237.10
36.000,190.35,237.10
36.200,190.37,237.10
36.400,190.36,237.10
36.600,190.33,237.10
36.800,190.34,237.10
37.000,190.31,237.10
37.200,190.27,237.10
37.400,190.28,237.10
37.600,190.28,237.10
37.800,190.26,237.10
38.000,190.29,237.10
38.200,190.27,237.10
38.400,190.24,237.10
38.600,190.25,237.10
38.800,190.28,237.10
39.000,190.24,237.10
39.200,190.24,237.10
39.400,190.24,237.10
39.600,190.24,237.10
39.800,190.24,237.10
40.000,190.25,237.10
40.200,190.29,237.10
40.400,190.30,237.10
40.600,190.30,237.10
40.800,190.30,237.10
41.000,190.29,237.10
41.200,190.26,237.10
41.400,190.24,237.10
41.600,190.26,237.10
41.800,190.24,237.10
42.000,190.25,237.10
42.200,190.23,237.10
42.400,190.24,237.10
42.600,190.23,237.10
42.800,190.24,237.10
43.000,190.24,237.10
43.200,190.28,237.10
43.400,190.28,237.10
43.600,190.28,237.10
43.800,190.27,237.10
44.000,190.26,237.10
44.200,190.25,237.10
44.400,190.23,237.10
44.600,190.22,237.10
44.800,190.23,237.10
