t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters
1789681372.928767,0.2000,108.2843,1.843376e+11,1.037151e+13,1.032619e+13,1.838274e+11,5.101322e+08,1.032262e+13,3.570926e+09,681,49,13
1789681373.128767,0.2000,104.7914,4.965825e+11,1.991318e+12,1.991318e+12,4.949200e+11,1.662517e+09,1.979680e+12,1.163762e+10,0,140,35
1789681373.328767,0.2000,104.7165,4.825998e+11,1.921784e+12,1.921719e+12,4.807794e+11,1.820328e+09,1.908977e+12,1.274230e+10,0,135,34
1789681373.528768,0.2000,104.1682,4.677408e+11,2.143947e+12,2.142940e+12,4.666389e+11,1.101922e+09,2.135226e+12,7.713456e+09,19,132,33
1789681373.728767,0.2000,104.0205,4.963614e+11,1.989770e+12,1.989770e+12,4.949200e+11,1.441399e+09,1.979680e+12,1.008979e+10,0,140,35
1789681373.928768,0.2000,105.9442,4.966412e+11,1.991729e+12,1.991729e+12,4.949200e+11,1.721238e+09,1.979680e+12,1.204866e+10,0,140,35
1789681374.128767,0.2000,109.6388,4.682775e+11,2.304627e+12,2.302243e+12,4.666389e+11,1.638662e+09,2.290773e+12,1.147064e+10,31,131,33
1789681374.328768,0.2000,109.1586,4.966651e+11,1.991896e+12,1.991896e+12,4.949200e+11,1.745093e+09,1.979680e+12,1.221565e+10,0,140,35
1789681374.528768,0.2000,109.6082,4.675013e+11,2.567486e+12,2.565481e+12,4.666389e+11,8.624538e+08,2.559443e+12,6.037176e+09,51,130,33
1789681374.728768,0.2000,109.4862,4.960054e+11,1.987278e+12,1.987278e+12,4.949200e+11,1.085407e+09,1.979680e+12,7.597851e+09,0,140,35
1789681374.928768,0.2000,109.4551,4.818612e+11,2.583398e+12,2.581156e+12,4.807794e+11,1.081737e+09,2.573584e+12,7.572161e+09,47,135,34
1789681375.128768,0.2000,109.0198,4.961018e+11,1.987952e+12,1.987952e+12,4.949200e+11,1.181745e+09,1.979680e+12,8.272216e+09,0,140,35
1789681375.328768,0.2000,109.6962,4.821961e+11,1.933034e+12,1.933034e+12,4.807794e+11,1.416626e+09,1.923118e+12,9.916383e+09,0,136,34
1789681375.528768,0.2000,109.9215,4.966541e+11,1.991819e+12,1.991819e+12,4.949200e+11,1.734083e+09,1.979680e+12,1.213858e+10,0,140,35
1789681375.728768,0.2000,109.9874,4.821887e+11,2.060992e+12,2.060248e+12,4.807794e+11,1.409286e+09,2.050383e+12,9.865003e+09,10,135,34
1789681375.928768,0.2000,109.7555,4.679986e+11,5.496478e+12,5.481919e+12,4.666389e+11,1.359741e+09,5.472401e+12,9.518186e+09,257,130,33
1789681376.128768,0.2000,109.7708,4.821135e+11,1.932456e+12,1.932456e+12,4.807794e+11,1.334051e+09,1.923118e+12,9.338356e+09,0,136,34
1789681376.328768,0.2000,109.6098,4.965513e+11,1.991176e+12,1.991099e+12,4.949200e+11,1.631322e+09,1.979680e+12,1.141925e+10,0,140,35
1789681376.528768,0.2000,109.3968,4.821016e+11,2.244905e+12,2.243465e+12,4.807794e+11,1.322123e+09,2.234210e+12,9.254863e+09,23,135,34
1789681376.728768,0.2000,109.3850,4.823686e+11,1.934242e+12,1.934242e+12,4.807794e+11,1.589117e+09,1.923118e+12,1.112382e+10,0,136,34
1789681376.928768,0.2000,109.6332,4.968312e+11,1.993058e+12,1.993058e+12,4.949200e+11,1.911161e+09,1.979680e+12,1.337813e+10,0,140,35
1789681377.128768,0.2000,109.7989,4.684748e+11,1.993423e+12,1.992532e+12,4.666389e+11,1.835926e+09,1.979680e+12,1.285148e+10,9,131,33
1789681377.328768,0.2000,109.5114,4.968614e+11,1.993270e+12,1.993270e+12,4.949200e+11,1.941438e+09,1.979680e+12,1.359007e+10,0,140,35
1789681377.528769,0.2000,109.6303,4.680032e+11,6.990652e+12,6.966712e+12,4.666389e+11,1.364328e+09,6.957161e+12,9.550299e+09,362,130,33
1789681377.728768,0.2000,109.8406,4.823942e+11,1.934421e+12,1.934421e+12,4.807794e+11,1.614807e+09,1.923118e+12,1.130365e+10,0,136,34
1789681377.928769,0.2000,109.6187,4.824254e+11,2.318550e+12,2.316435e+12,4.807794e+11,1.646002e+09,2.304913e+12,1.152202e+10,28,135,34
1789681378.128768,0.2000,109.3254,4.824328e+11,1.934691e+12,1.934691e+12,4.807794e+11,1.653342e+09,1.923118e+12,1.157340e+10,0,136,34
1789681378.328769,0.2000,109.5205,4.968991e+11,1.993533e+12,1.993533e+12,4.949200e+11,1.979056e+09,1.979680e+12,1.385339e+10,0,140,35
1789681378.528769,0.2000,109.7080,4.829704e+11,1.938455e+12,1.938455e+12,4.807794e+11,2.191000e+09,1.923118e+12,1.533700e+10,0,136,34
1789681378.728769,0.2000,109.9488,4.832659e+11,6.234781e+12,6.196835e+12,4.807794e+11,2.486436e+09,6.179430e+12,1.740505e+10,302,135,34
1789681378.928769,0.2000,110.5429,4.408570e+11,1.712350e+13,1.694376e+13,4.383577e+11,2.499281e+09,1.692626e+13,1.749497e+10,1075,122,31
1789681379.128769,0.2000,111.6193,4.842017e+11,1.947074e+12,1.947074e+12,4.807794e+11,3.422290e+09,1.923118e+12,2.395603e+10,0,136,34
1789681379.328769,0.2000,111.8268,4.987194e+11,2.006276e+12,2.006276e+12,4.949200e+11,3.799384e+09,1.979680e+12,2.659569e+10,0,140,35
1789681379.528769,0.2000,111.6510,4.842797e+11,2.219986e+12,2.216291e+12,4.807794e+11,3.500278e+09,2.191789e+12,2.450194e+10,20,135,34
1789681379.728769,0.2000,111.3891,4.844889e+11,1.949084e+12,1.949084e+12,4.807794e+11,3.709469e+09,1.923118e+12,2.596628e+10,0,136,34
1789681379.928769,0.2000,110.8969,4.990157e+11,2.008350e+12,2.008350e+12,4.949200e+11,4.095738e+09,1.979680e+12,2.867016e+10,0,140,35
1789681380.128769,0.2000,110.8599,4.565601e+11,1.483982e+13,1.460736e+13,4.524983e+11,4.061790e+09,1.457893e+13,2.843253e+10,904,127,32
1789681380.328769,0.2000,111.2782,4.859468e+11,1.959289e+12,1.959289e+12,4.807794e+11,5.167383e+09,1.923118e+12,3.617168e+10,0,136,34
1789681380.528769,0.2000,111.3646,4.418231e+11,1.811081e+13,1.788380e+13,4.383577e+11,3.465413e+09,1.785954e+13,2.425789e+10,1142,121,31
1789681380.728769,0.2000,112.5893,4.840136e+11,1.945757e+12,1.945757e+12,4.807794e+11,3.234202e+09,1.923118e+12,2.263941e+10,0,136,34
1789681380.928769,0.2000,112.6069,4.841742e+11,2.233238e+12,2.229693e+12,4.807794e+11,3.394765e+09,2.205929e+12,2.376335e+10,21,135,34
1789681381.128769,0.2000,112.2635,4.982863e+11,2.003244e+12,2.003244e+12,4.949200e+11,3.366322e+09,1.979680e+12,2.356426e+10,0,140,35
1789681381.328769,0.2000,111.5733,4.843173e+11,1.947883e+12,1.947883e+12,4.807794e+11,3.537895e+09,1.923118e+12,2.476527e+10,0,136,34
1789681381.528769,0.2000,111.2384,4.845816e+11,1.949733e+12,1.949733e+12,4.807794e+11,3.802137e+09,1.923118e+12,2.661496e+10,0,136,34
1789681381.728769,0.2000,110.1431,4.693336e+11,3.794464e+12,3.780255e+12,4.666389e+11,2.694709e+09,3.761392e+12,1.886296e+10,135,131,33
1789681381.928770,0.2000,110.1338,4.972532e+11,1.981964e+12,1.981872e+12,4.949200e+11,2.333213e+09,1.965539e+12,1.633249e+10,0,139,35
1789681382.128769,0.2000,109.8600,4.676472e+11,2.682510e+12,2.679626e+12,4.666389e+11,1.008337e+09,2.672568e+12,7.058358e+09,58,131,33
1789681382.328770,0.2000,109.5565,4.962669e+11,1.989108e+12,1.989108e+12,4.949200e+11,1.346896e+09,1.979680e+12,9.428271e+09,0,140,35
1789681382.528769,0.2000,109.3403,4.679105e+11,3.011581e+12,3.006703e+12,4.666389e+11,1.271661e+09,2.997801e+12,8.901624e+09,81,131,33
1789681382.728770,0.2000,109.1370,4.964210e+11,1.990187e+12,1.990187e+12,4.949200e+11,1.501037e+09,1.979680e+12,1.050726e+10,0,140,35
1789681382.928770,0.2000,109.0974,4.825062e+11,1.935205e+12,1.935205e+12,4.807794e+11,1.726743e+09,1.923118e+12,1.208720e+10,0,136,34
1789681383.128770,0.2000,109.4680,4.968926e+11,3.131199e+12,3.124734e+12,4.949200e+11,1.972634e+09,3.110926e+12,1.380844e+10,81,139,35
1789681383.328770,0.2000,109.8670,4.824364e+11,1.934717e+12,1.934717e+12,4.807794e+11,1.657012e+09,1.923118e+12,1.159909e+10,0,136,34
