t_rel_s,measured_w,predicted_w
0.000,738.00,644.46
0.200,737.88,765.30
0.400,740.19,765.33
0.600,742.11,725.07
0.800,743.37,765.38
1.000,744.57,765.40
1.200,747.15,765.43
1.400,746.70,725.17
1.600,746.70,765.48
1.800,746.15,765.51
2.000,745.02,725.24
2.200,742.46,765.56
2.400,741.86,725.29
2.600,741.54,765.62
2.800,739.34,725.34
3.000,738.49,765.66
3.200,739.38,725.39
3.400,738.20,765.72
3.600,736.49,725.43
3.800,736.70,765.77
4.000,736.28,685.12
4.200,731.15,765.31
4.400,733.59,725.05
4.600,736.26,765.36
4.800,739.15,765.39
5.000,741.29,725.13
5.200,745.70,765.44
5.400,748.87,765.47
5.600,749.39,765.50
5.800,749.10,725.23
6.000,747.22,765.55
6.200,746.55,725.27
6.400,743.53,765.60
6.600,741.33,725.33
6.800,740.19,765.65
7.000,740.53,725.37
7.200,739.48,765.70
7.400,740.94,725.42
7.600,741.83,765.76
7.800,741.76,725.47
8.000,742.05,765.81
8.200,742.60,684.82
8.400,743.98,765.33
8.600,745.54,765.36
8.800,747.65,725.10
9.000,748.74,765.41
9.200,748.90,684.76
9.400,746.26,765.36
9.600,744.40,725.10
9.800,741.80,765.41
10.000,741.87,765.44
10.200,744.24,725.17
10.400,746.94,765.49
10.600,748.19,765.52
10.800,749.15,725.25
11.000,748.68,765.57
11.200,746.94,725.30
11.400,745.51,765.63
11.600,744.54,725.35
11.800,743.83,765.68
12.000,743.47,725.39
12.200,743.88,765.73
12.400,744.60,725.44
12.600,744.40,765.78
12.800,745.28,725.49
13.000,745.50,765.83
13.200,745.70,684.95
13.400,743.85,765.30
13.600,744.15,765.33
13.800,744.74,725.08
14.000,745.48,765.39
14.200,746.25,765.41
14.400,749.03,725.15
14.600,749.75,765.46
14.800,749.94,765.49
15.000,749.31,725.23
15.200,748.00,765.54
15.400,746.54,725.27
15.600,745.69,765.60
15.800,743.90,765.63
16.000,744.00,725.35
16.200,744.55,765.68
16.400,744.92,725.39
16.600,745.01,765.73
16.800,745.88,725.44
17.000,745.30,765.78
17.200,744.82,644.81
17.400,744.62,765.40
17.600,746.34,765.43
17.800,748.36,725.16
18.000,749.42,765.48
18.200,751.52,765.50
18.400,753.37,725.24
18.600,752.47,765.56
18.800,750.64,725.28
19.000,748.67,765.61
19.200,746.01,725.33
19.400,744.50,765.66
19.600,741.59,725.38
19.800,740.78,765.71
20.000,740.46,725.43
20.200,741.13,765.77
20.400,741.87,725.48
20.600,743.83,765.82
20.800,744.12,725.52
21.000,745.20,765.87
21.200,745.50,725.58
21.400,744.85,684.87
21.600,745.19,725.03
21.800,747.27,765.33
22.000,748.85,765.36
22.200,750.37,725.11
22.400,752.28,765.42
22.600,753.46,765.44
22.800,753.03,765.47
23.000,752.56,725.20
23.200,753.23,765.53
23.400,752.96,725.25
23.600,750.66,765.57
23.800,748.67,725.30
24.000,747.23,765.63
24.200,745.65,725.35
24.400,742.86,684.92
24.600,743.27,765.36
24.800,745.88,765.38
25.000,747.56,765.41
25.200,748.93,725.15
25.400,751.04,765.46
25.600,751.20,725.20
25.800,749.30,765.52
26.000,746.51,725.24
26.200,744.93,765.56
26.400,744.05,725.30
26.600,746.02,765.62
26.800,747.00,725.34
27.000,747.68,765.67
27.200,747.57,725.39
27.400,747.92,725.38
27.600,747.53,725.01
27.800,748.77,765.31
28.000,750.04,765.34
28.200,752.49,725.08
28.400,754.33,765.40
28.600,754.63,765.42
28.800,753.71,725.16
29.000,754.21,765.47
29.200,753.80,765.50
29.400,752.26,725.24
29.600,749.42,765.55
29.800,747.69,725.28
30.000,745.77,765.60
30.200,744.31,725.33
30.400,741.99,765.66
30.600,742.90,725.38
30.800,743.13,765.71
31.000,744.10,725.42
31.200,745.12,765.77
31.400,746.24,765.79
31.600,746.62,644.53
31.800,746.73,725.03
32.000,747.72,765.33
32.200,749.32,765.36
32.400,751.41,765.39
32.600,752.78,725.13
32.800,754.19,765.44
33.000,753.96,765.47
33.200,753.66,725.20
33.400,753.91,765.52
33.600,753.93,765.55
33.800,753.77,725.27
34.000,753.34,765.60
34.200,752.91,725.33
34.400,750.61,765.65
34.600,747.56,725.37
34.800,746.31,765.70
35.000,745.58,725.42
35.200,744.02,765.76
35.400,743.33,725.47
35.600,744.97,765.76
35.800,725.38,362.53
36.000,683.28,725.02
36.200,684.00,765.33
36.400,684.98,765.35
36.600,686.73,765.38
36.800,702.90,725.12
37.000,750.48,765.43
37.200,754.31,765.46
37.400,754.76,725.19
37.600,754.79,765.51
37.800,753.62,765.54
38.000,750.76,725.27
38.200,749.18,765.59
38.400,747.74,725.32
38.600,746.45,765.64
38.800,745.53,725.36
39.000,746.90,765.70
39.200,747.97,725.41
39.400,748.47,765.75
39.600,748.69,725.46
39.800,749.66,765.76
40.000,746.74,684.76
40.200,747.97,765.34
40.400,749.93,765.37
40.600,751.88,684.77
40.800,752.49,765.31
41.000,757.94,765.34
41.200,759.21,725.08
41.400,758.90,765.40
41.600,758.77,765.42
41.800,760.79,765.45
42.000,760.28,725.18
42.200,759.59,765.50
42.400,759.45,765.53
42.600,759.20,725.26
42.800,758.93,765.58
43.000,756.93,725.30
43.200,755.08,765.63
43.400,754.21,725.36
43.600,752.70,765.69
43.800,751.24,684.99
44.000,752.86,765.33
44.200,754.82,765.36
44.400,756.08,725.10
44.600,757.61,765.41
44.800,759.94,765.44
45.000,759.62,725.17
45.200,759.90,765.49
45.400,759.96,765.52
45.600,759.23,725.25
45.800,757.78,765.57
46.000,755.84,725.30
46.200,753.54,765.63
46.400,752.24,725.35
46.600,751.40,765.68
46.800,751.90,765.70
47.000,752.53,725.42
47.200,753.40,765.76
47.400,754.64,725.47
47.600,755.76,765.81
47.800,755.76,725.51
47.907,756.06,797.36
