t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1789747372.009624,284.438,1965,3996,0.0,0.0,34.0
1789747372.019703,284.438,1965,3996,0.0,0.0,34.0
1789747372.029783,284.438,1965,3996,0.0,0.0,34.0
1789747372.039712,263.155,1965,3996,0.0,0.0,34.0
1789747372.049706,263.155,1965,3996,0.0,0.0,34.0
1789747372.059710,263.155,1965,3996,0.0,0.0,34.0
1789747372.069702,263.155,1965,3996,0.0,0.0,34.0
1789747372.079705,263.155,1965,3996,0.0,0.0,34.0
1789747372.089700,263.155,1965,3996,0.0,0.0,34.0
1789747372.099753,263.155,1965,3996,0.0,0.0,34.0
1789747372.109707,263.155,1965,3996,0.0,0.0,34.0
1789747372.119700,263.155,1965,3996,0.0,0.0,34.0
1789747372.129703,263.155,1965,3996,0.0,0.0,34.0
1789747372.139708,322.746,1875,3996,36.0,15.0,35.0
1789747372.149702,322.746,1875,3996,36.0,15.0,35.0
1789747372.279770,373.071,1485,3996,36.0,15.0,42.0
1789747372.279815,373.071,1485,3996,36.0,15.0,42.0
1789747372.289897,373.071,1485,3996,36.0,15.0,42.0
1789747372.299889,373.071,1485,3996,36.0,15.0,42.0
1789747372.309889,373.071,1485,3996,36.0,15.0,42.0
1789747372.319887,373.071,1485,3996,36.0,15.0,42.0
1789747372.329890,373.071,1485,3996,36.0,15.0,42.0
1789747372.339887,431.050,1950,3996,82.0,54.0,39.0
1789747372.349890,431.050,1950,3996,82.0,54.0,39.0
1789747372.359887,431.050,1950,3996,82.0,54.0,39.0
1789747372.369886,431.050,1950,3996,82.0,54.0,39.0
1789747372.379887,431.050,1950,3996,82.0,54.0,39.0
1789747372.389886,431.050,1950,3996,82.0,54.0,39.0
1789747372.399886,431.050,1950,3996,82.0,54.0,39.0
1789747372.409886,431.050,1950,3996,82.0,54.0,39.0
1789747372.419886,431.050,1950,3996,82.0,54.0,39.0
1789747372.429886,431.050,1950,3996,82.0,54.0,39.0
1789747372.439886,486.097,1965,3996,82.0,54.0,40.0
1789747372.449951,486.097,1965,3996,82.0,54.0,40.0
1789747372.459895,486.097,1965,3996,82.0,54.0,40.0
1789747372.469899,486.097,1965,3996,82.0,54.0,40.0
1789747372.479902,486.097,1965,3996,82.0,54.0,40.0
1789747372.489896,486.097,1965,3996,82.0,54.0,40.0
1789747372.499899,486.097,1965,3996,82.0,54.0,40.0
1789747372.509893,486.097,1965,3996,82.0,54.0,40.0
1789747372.519882,486.097,1965,3996,82.0,54.0,40.0
1789747372.529891,486.097,1965,3996,82.0,54.0,40.0
1789747372.539895,530.271,1965,3996,85.0,58.0,41.0
1789747372.549899,530.271,1965,3996,85.0,58.0,41.0
1789747372.559922,530.271,1965,3996,85.0,58.0,41.0
1789747372.570008,530.271,1965,3996,85.0,58.0,41.0
1789747372.579899,530.271,1965,3996,85.0,58.0,41.0
1789747372.589881,530.271,1965,3996,85.0,58.0,41.0
1789747372.599896,530.271,1965,3996,85.0,58.0,41.0
1789747372.609898,530.271,1965,3996,85.0,58.0,41.0
1789747372.619894,530.271,1965,3996,85.0,58.0,41.0
1789747372.629897,530.271,1965,3996,85.0,58.0,41.0
1789747372.639895,584.936,1965,3996,85.0,58.0,41.0
1789747372.649894,584.936,1965,3996,85.0,58.0,41.0
1789747372.659881,584.936,1965,3996,85.0,58.0,41.0
1789747372.669891,584.936,1965,3996,85.0,58.0,41.0
1789747372.679895,584.936,1965,3996,85.0,58.0,41.0
1789747372.689950,584.936,1965,3996,85.0,58.0,41.0
