t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1789747478.607026,0.2000,149.4423,7.677212e+11,2.112341e+12,2.111460e+12,7.676205e+11,1.006633e+08,2.110957e+12,5.033165e+08,21,12,12,21.0,2.110957e+12
1789747478.807025,0.2000,148.7345,8.317525e+11,8.324068e+11,8.324068e+11,8.315889e+11,1.635779e+08,8.315889e+11,8.178893e+08,0,13,13,0.0,8.315889e+11
1789747479.007026,0.2000,148.6292,8.317944e+11,8.326165e+11,8.326165e+11,8.315889e+11,2.055209e+08,8.315889e+11,1.027604e+09,0,13,13,0.0,8.315889e+11
1789747479.207026,0.2000,148.5354,8.318364e+11,8.328262e+11,8.328262e+11,8.315889e+11,2.474639e+08,8.315889e+11,1.237320e+09,0,13,13,0.0,8.315889e+11
1789747479.407026,0.2000,148.7214,7.678848e+11,7.689418e+11,7.689418e+11,7.676205e+11,2.642412e+08,7.676205e+11,1.321206e+09,0,12,12,0.0,7.676205e+11
1789747479.607026,0.2000,149.6407,8.319161e+11,8.332247e+11,8.332247e+11,8.315889e+11,3.271557e+08,8.315889e+11,1.635779e+09,0,13,13,0.0,8.315889e+11
1789747479.807026,0.2000,150.1250,8.319706e+11,8.334973e+11,8.334973e+11,8.315889e+11,3.816817e+08,8.315889e+11,1.908408e+09,0,13,13,0.0,8.315889e+11
1789747480.007026,0.2000,150.1995,8.320126e+11,8.337070e+11,8.337070e+11,8.315889e+11,4.236247e+08,8.315889e+11,2.118124e+09,0,13,13,0.0,8.315889e+11
1789747480.207026,0.2000,150.2251,8.320545e+11,8.339168e+11,8.339168e+11,8.315889e+11,4.655677e+08,8.315889e+11,2.327839e+09,0,13,13,0.0,8.315889e+11
1789747480.407026,0.2000,150.2308,7.680861e+11,7.699484e+11,7.699484e+11,7.676205e+11,4.655677e+08,7.676205e+11,2.327839e+09,0,12,12,0.0,7.676205e+11
1789747480.607026,0.2000,149.8484,8.321342e+11,8.343152e+11,8.343152e+11,8.315889e+11,5.452595e+08,8.315889e+11,2.726298e+09,0,13,13,0.0,8.315889e+11
1789747480.807026,0.2000,149.8223,7.681742e+11,7.703888e+11,7.703888e+11,7.676205e+11,5.536481e+08,7.676205e+11,2.768241e+09,0,12,12,0.0,7.676205e+11
1789747481.007026,0.2000,149.5564,8.322265e+11,8.347766e+11,8.347766e+11,8.315889e+11,6.375342e+08,8.315889e+11,3.187671e+09,0,13,13,0.0,8.315889e+11
1789747481.207026,0.2000,149.4391,8.322684e+11,8.349863e+11,8.349863e+11,8.315889e+11,6.794772e+08,8.315889e+11,3.397386e+09,0,13,13,0.0,8.315889e+11
1789747481.407026,0.2000,149.1851,7.682832e+11,7.709340e+11,7.709340e+11,7.676205e+11,6.627000e+08,7.676205e+11,3.313500e+09,0,12,12,0.0,7.676205e+11
1789747481.607026,0.2000,149.5792,8.323523e+11,8.354057e+11,8.354057e+11,8.315889e+11,7.633633e+08,8.315889e+11,3.816817e+09,0,13,13,0.0,8.315889e+11
