t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1789747476.311400,1789747476.311400,mixed,1,0,16,0.0000,10,1,
1789747476.311400,1789747476.333083,decode,1,0,16,0.0000,0,1,
1789747476.333083,1789747476.349371,decode,1,0,16,0.0000,0,1,
1789747476.349371,1789747476.364560,decode,1,0,16,0.0000,0,1,
1789747476.364560,1789747476.380583,decode,1,0,16,0.0000,0,1,
1789747476.380583,1789747476.396265,decode,1,0,16,0.0000,0,1,
1789747476.396265,1789747476.411963,decode,1,0,16,0.0000,0,1,
1789747476.411963,1789747476.427238,decode,1,0,32,0.0001,0,1,
1789747476.427238,1789747476.443030,decode,1,0,32,0.0001,0,1,
1789747476.443030,1789747476.458500,decode,1,0,32,0.0001,0,1,
1789747476.458500,1789747476.474034,decode,1,0,32,0.0001,0,1,
1789747476.474034,1789747476.489610,decode,1,0,32,0.0001,0,1,
1789747476.489610,1789747476.505183,decode,1,0,32,0.0001,0,1,
1789747476.505183,1789747476.520725,decode,1,0,32,0.0001,0,1,
1789747476.520725,1789747476.536343,decode,1,0,32,0.0001,0,1,
1789747476.536343,1789747476.551890,decode,1,0,32,0.0001,0,1,
1789747476.551890,1789747476.567506,decode,1,0,32,0.0001,0,1,
1789747476.567506,1789747476.583030,decode,1,0,32,0.0001,0,1,
1789747476.583030,1789747476.598572,decode,1,0,32,0.0001,0,1,
1789747476.598572,1789747476.614136,decode,1,0,32,0.0001,0,1,
1789747476.614136,1789747476.629721,decode,1,0,32,0.0001,0,1,
1789747476.629721,1789747476.645331,decode,1,0,32,0.0001,0,1,
1789747476.645331,1789747476.660867,decode,1,0,32,0.0001,0,1,
1789747476.660867,1789747476.676474,decode,1,0,48,0.0001,0,1,
1789747476.676474,1789747476.692028,decode,1,0,48,0.0001,0,1,
1789747476.692028,1789747476.707631,decode,1,0,48,0.0001,0,1,
1789747476.707631,1789747476.723237,decode,1,0,48,0.0001,0,1,
1789747476.723237,1789747476.738807,decode,1,0,48,0.0001,0,1,
1789747476.738807,1789747476.754394,decode,1,0,48,0.0001,0,1,
1789747476.754394,1789747476.770009,decode,1,0,48,0.0001,0,1,
1789747476.770009,1789747476.785562,decode,1,0,48,0.0001,0,1,
1789747476.785562,1789747476.801236,decode,1,0,48,0.0001,0,1,
1789747476.801236,1789747476.816765,decode,1,0,48,0.0001,0,1,
1789747476.816765,1789747476.832359,decode,1,0,48,0.0001,0,1,
1789747476.832359,1789747476.847930,decode,1,0,48,0.0001,0,1,
1789747476.847930,1789747476.863502,decode,1,0,48,0.0001,0,1,
1789747476.863502,1789747476.879107,decode,1,0,48,0.0001,0,1,
1789747476.879107,1789747476.894696,decode,1,0,48,0.0001,0,1,
1789747476.894696,1789747476.910399,decode,1,0,48,0.0001,0,1,
1789747476.910399,1789747476.925894,decode,1,0,64,0.0002,0,1,
1789747476.925894,1789747476.941504,decode,1,0,64,0.0002,0,1,
1789747476.941504,1789747476.957303,decode,1,0,64,0.0002,0,1,
1789747476.957303,1789747476.972816,decode,1,0,64,0.0002,0,1,
1789747476.972816,1789747476.988316,decode,1,0,64,0.0002,0,1,
1789747476.988316,1789747477.003842,decode,1,0,64,0.0002,0,1,
1789747477.003842,1789747477.019416,decode,1,0,64,0.0002,0,1,
1789747477.019416,1789747477.035040,decode,1,0,64,0.0002,0,1,
1789747477.035040,1789747477.050696,decode,1,0,64,0.0002,0,1,
1789747477.050696,1789747477.066241,decode,1,0,64,0.0002,0,1,
1789747477.066241,1789747477.081719,decode,1,0,64,0.0002,0,1,
1789747477.081719,1789747477.097428,decode,1,0,64,0.0002,0,1,
1789747477.097428,1789747477.112926,decode,1,0,64,0.0002,0,1,
1789747477.112926,1789747477.128495,decode,1,0,64,0.0002,0,1,
1789747477.128495,1789747477.144140,decode,1,0,64,0.0002,0,1,
1789747477.144140,1789747477.159678,decode,1,0,64,0.0002,0,1,
1789747477.159678,1789747477.175249,decode,1,0,80,0.0002,0,1,
1789747477.175249,1789747477.190843,decode,1,0,80,0.0002,0,1,
1789747477.190843,1789747477.206427,decode,1,0,80,0.0002,0,1,
1789747477.206427,1789747477.222090,decode,1,0,80,0.0002,0,1,
1789747477.222090,1789747477.237643,decode,1,0,80,0.0002,0,1,
