t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1789747679.332099,266.654,1965,3996,0.0,0.0,34.0
1789747679.342178,266.654,1965,3996,0.0,0.0,34.0
1789747679.352181,266.654,1965,3996,0.0,0.0,34.0
1789747679.362175,266.654,1965,3996,0.0,0.0,34.0
1789747679.372176,266.654,1965,3996,0.0,0.0,34.0
1789747679.382180,266.654,1965,3996,0.0,0.0,34.0
1789747679.392175,266.654,1965,3996,0.0,0.0,34.0
1789747679.402177,266.654,1965,3996,0.0,0.0,34.0
1789747679.412181,266.654,1965,3996,0.0,0.0,34.0
1789747679.422226,308.982,1965,3996,0.0,0.0,34.0
1789747679.432178,308.982,1965,3996,0.0,0.0,34.0
1789747679.442223,308.982,1965,3996,0.0,0.0,34.0
1789747679.452189,308.982,1965,3996,0.0,0.0,34.0
1789747679.462193,308.982,1965,3996,0.0,0.0,34.0
1789747679.472183,308.982,1965,3996,0.0,0.0,34.0
1789747679.482176,308.982,1965,3996,0.0,0.0,34.0
1789747679.492180,308.982,1965,3996,0.0,0.0,34.0
1789747679.502184,308.982,1965,3996,0.0,0.0,34.0
1789747679.512228,308.982,1965,3996,0.0,0.0,34.0
1789747679.522182,364.812,1567,3996,0.0,0.0,34.0
1789747679.532175,364.812,1567,3996,95.0,38.0,42.0
1789747679.542178,364.812,1567,3996,95.0,38.0,42.0
1789747679.552182,364.812,1567,3996,95.0,38.0,42.0
1789747679.562176,364.812,1567,3996,95.0,38.0,42.0
1789747679.572179,364.812,1567,3996,95.0,38.0,42.0
1789747679.582183,364.812,1567,3996,95.0,38.0,42.0
1789747679.592239,364.812,1567,3996,95.0,38.0,42.0
1789747679.602180,364.812,1567,3996,95.0,38.0,42.0
1789747679.612184,364.812,1567,3996,95.0,38.0,42.0
1789747679.622177,413.213,1942,3996,95.0,38.0,42.0
1789747679.632182,413.213,1942,3996,95.0,38.0,38.0
1789747679.642215,413.213,1942,3996,95.0,38.0,38.0
1789747679.652179,413.213,1942,3996,95.0,38.0,38.0
1789747679.662183,413.213,1942,3996,95.0,38.0,38.0
1789747679.672177,413.213,1942,3996,95.0,38.0,38.0
1789747679.682180,413.213,1942,3996,95.0,38.0,38.0
1789747679.692224,413.213,1942,3996,95.0,38.0,38.0
1789747679.702177,413.213,1942,3996,95.0,38.0,38.0
1789747679.712232,413.213,1942,3996,95.0,38.0,38.0
1789747679.722176,466.162,1965,3996,95.0,38.0,38.0
1789747679.732178,466.162,1965,3996,91.0,64.0,38.0
1789747679.742283,466.162,1965,3996,91.0,64.0,38.0
1789747679.752176,466.162,1965,3996,91.0,64.0,38.0
1789747679.762193,466.162,1965,3996,91.0,64.0,38.0
1789747679.772182,466.162,1965,3996,91.0,64.0,38.0
1789747679.782176,466.162,1965,3996,91.0,64.0,38.0
1789747679.792180,466.162,1965,3996,91.0,64.0,38.0
1789747679.802184,466.162,1965,3996,91.0,64.0,38.0
1789747679.812177,466.162,1965,3996,91.0,64.0,38.0
1789747679.822211,497.890,1965,3996,91.0,64.0,38.0
1789747679.832184,497.890,1965,3996,91.0,64.0,39.0
1789747679.842249,497.890,1965,3996,91.0,64.0,39.0
1789747679.852181,497.890,1965,3996,91.0,64.0,39.0
1789747679.862175,497.890,1965,3996,91.0,64.0,39.0
1789747679.872178,497.890,1965,3996,91.0,64.0,39.0
1789747679.882182,497.890,1965,3996,91.0,64.0,39.0
1789747679.892176,497.890,1965,3996,91.0,64.0,39.0
1789747679.902179,497.890,1965,3996,91.0,64.0,39.0
1789747679.912175,497.890,1965,3996,91.0,64.0,39.0
1789747679.922177,549.077,1965,3996,91.0,64.0,39.0
1789747679.932180,549.077,1965,3996,91.0,64.0,39.0
1789747679.942265,549.077,1965,3996,91.0,64.0,39.0
1789747679.952177,549.077,1965,3996,91.0,64.0,39.0
1789747679.962181,549.077,1965,3996,91.0,64.0,39.0
1789747679.972189,549.077,1965,3996,91.0,64.0,39.0
1789747679.982178,549.077,1965,3996,91.0,64.0,39.0
1789747679.992182,549.077,1965,3996,91.0,64.0,39.0
1789747680.002175,549.077,1965,3996,91.0,64.0,39.0
1789747680.012179,549.077,1965,3996,91.0,64.0,39.0
1789747680.022170,602.630,1965,3996,91.0,64.0,39.0
1789747680.032166,602.630,1965,3996,91.0,64.0,39.0
1789747680.042164,602.630,1965,3996,91.0,64.0,39.0
1789747680.052168,602.630,1965,3996,91.0,64.0,39.0
1789747680.062169,602.630,1965,3996,91.0,64.0,39.0
1789747680.072176,602.630,1965,3996,91.0,64.0,39.0
1789747680.082190,602.630,1965,3996,91.0,64.0,39.0
1789747680.092178,602.630,1965,3996,91.0,64.0,39.0
1789747680.102213,602.630,1965,3996,91.0,64.0,39.0
1789747680.112239,602.630,1965,3996,91.0,64.0,39.0
