t_rel_s,measured_w,predicted_w
0.000,847.09,241.70
0.200,882.26,241.70
0.400,911.58,308.40
0.600,919.02,509.16
0.800,909.27,777.49
1.000,912.90,912.83
1.200,876.03,779.83
1.400,837.30,915.92
1.600,818.64,917.48
1.800,817.98,783.62
2.000,819.02,852.47
2.200,815.69,785.07
2.400,816.18,921.97
2.600,809.40,855.26
2.800,812.41,925.10
3.000,817.79,926.64
3.200,819.55,790.72
3.400,819.37,929.47
3.600,822.55,861.99
3.800,824.75,932.59
4.000,819.92,934.12
4.200,819.90,866.32
4.400,825.78,937.31
4.600,825.37,798.53
4.800,820.60,939.40
5.000,819.91,870.92
5.200,825.83,802.09
5.400,821.12,943.41
5.600,824.27,945.00
5.800,824.73,800.91
6.000,851.34,241.70
6.200,885.10,241.70
6.400,919.41,241.70
6.600,951.54,241.70
6.800,960.92,715.32
7.000,939.20,919.74
7.200,906.92,853.28
7.400,877.64,785.97
7.600,842.74,923.73
7.800,829.89,788.08
8.000,833.86,857.39
8.200,826.53,789.71
8.400,823.88,928.00
8.600,830.32,860.93
8.800,838.27,931.13
9.000,838.73,932.84
9.200,841.61,864.93
9.400,839.13,865.91
9.600,839.03,937.00
9.800,836.91,938.50
10.000,835.31,800.27
10.200,832.28,941.23
10.400,835.94,942.77
10.600,831.27,803.41
10.800,829.88,874.55
11.000,829.02,946.41
11.200,835.47,877.42
11.400,839.21,878.57
11.600,841.47,880.03
11.800,843.42,809.12
12.000,853.83,311.01
12.200,876.61,241.70
12.400,878.51,505.84
12.600,874.19,968.91
12.800,878.17,904.41
13.000,877.38,772.53
13.200,859.42,973.23
13.400,855.80,907.92
13.600,871.24,842.28
13.800,872.91,776.34
14.000,879.32,844.63
14.200,880.69,913.33
14.400,881.27,982.41
14.600,881.48,984.34
14.800,881.19,850.51
15.000,868.02,851.35
15.200,864.35,988.48
15.400,864.94,854.08
15.600,867.77,787.36
15.800,866.90,993.18
16.000,875.94,788.97
16.200,880.12,927.01
16.400,880.46,997.32
16.600,879.10,791.54
16.800,879.68,927.49
17.000,881.50,859.90
17.200,881.93,514.91
17.400,899.40,241.70
17.600,925.31,308.62
17.800,942.47,241.70
18.000,963.16,309.93
18.200,968.33,651.92
18.400,939.50,926.51
18.600,904.07,654.37
18.800,884.76,661.02
19.000,857.51,731.90
19.200,844.42,872.82
19.400,851.60,733.30
19.600,858.65,734.70
19.800,851.72,734.39
20.000,848.18,876.13
20.200,849.23,806.59
20.400,853.34,878.76
20.600,851.96,950.97
20.800,857.29,881.37
21.000,859.92,668.49
21.200,859.47,811.78
21.400,861.92,884.29
21.600,858.92,812.82
21.800,856.39,741.61
22.000,862.14,957.22
22.200,857.79,815.11
22.400,853.08,887.92
22.600,856.62,961.15
22.800,856.41,818.41
23.000,856.67,891.28
23.200,859.68,892.64
23.400,865.51,747.45
23.600,866.33,310.35
23.800,875.17,309.93
24.000,883.46,719.31
24.200,876.60,925.30
24.400,865.06,716.47
24.600,866.65,914.03
24.800,866.87,847.48
25.000,860.37,780.98
25.200,876.02,779.94
25.400,886.67,779.75
25.600,890.67,915.53
25.800,892.05,714.07
26.000,890.89,851.91
26.200,888.46,989.54
26.400,890.55,718.42
26.600,885.30,718.90
26.800,879.05,992.59
27.000,878.32,788.46
27.200,879.32,719.94
27.400,881.35,994.04
27.600,884.49,927.13
27.800,891.67,928.30
28.000,891.09,998.47
28.200,896.01,654.60
28.400,899.79,862.14
28.600,900.92,1001.73
28.800,901.36,516.95
29.000,916.46,309.08
29.200,914.41,374.97
29.400,924.06,376.39
29.600,920.01,850.47
29.800,908.94,919.54
30.000,886.34,716.18
30.200,874.16,784.75
30.400,855.57,853.35
30.600,848.64,788.71
30.800,860.23,789.55
31.000,862.16,858.90
31.200,862.04,859.63
31.400,859.24,790.94
31.600,856.09,859.41
31.800,846.39,929.43
32.000,836.61,791.54
32.200,845.03,448.34
32.400,848.08,793.08
32.600,847.94,793.81
32.800,860.95,449.38
33.000,872.00,797.19
33.200,864.53,867.56
33.400,862.73,938.58
33.600,865.94,730.02
33.800,862.97,940.68
34.000,852.92,801.77
34.200,855.74,801.95
34.400,852.37,943.36
34.600,849.13,803.70
34.800,857.94,379.69
35.000,878.84,380.59
35.200,888.36,585.64
35.400,888.84,931.32
35.600,899.75,794.68
35.800,905.81,658.37
36.000,897.56,870.00
36.200,884.49,800.88
36.400,894.00,729.91
36.600,889.12,870.58
36.800,881.68,731.80
37.000,888.00,523.28
37.200,898.08,879.85
37.400,886.67,667.95
37.600,886.86,810.49
37.800,879.08,952.89
38.000,863.82,738.44
38.200,850.08,665.62
38.400,863.73,524.71
38.600,883.46,741.83
38.800,892.82,526.30
39.000,889.39,667.25
39.200,892.49,952.04
39.400,888.05,882.28
39.600,863.06,882.35
39.800,863.97,740.76
40.000,869.94,883.97
40.200,872.54,812.84
40.400,865.60,957.11
40.600,868.14,742.08
40.800,872.57,380.48
41.000,890.13,380.11
41.200,893.61,726.07
41.400,895.95,935.74
41.600,893.17,725.43
41.800,886.92,861.73
42.000,864.75,861.08
42.200,852.07,723.83
42.400,850.37,861.67
42.600,848.98,931.76
42.800,854.64,723.11
43.000,856.38,859.21
43.200,863.99,859.25
43.400,868.45,722.72
43.600,868.98,861.32
43.800,859.83,723.31
44.000,857.39,790.91
44.200,849.74,718.48
44.400,856.64,650.33
44.600,871.22,651.28
44.800,871.94,856.99
45.000,875.66,926.50
45.200,889.36,926.48
45.400,884.45,927.28
45.600,878.47,996.52
45.800,872.47,928.31
46.000,868.54,998.70
46.200,867.67,853.77
46.400,860.30,970.83
46.600,848.21,969.79
46.800,849.18,969.02
47.000,841.65,1033.29
47.200,824.23,966.75
47.400,816.83,1031.32
47.600,812.47,1030.33
47.800,808.69,963.53
48.000,809.23,1027.92
48.200,807.34,1026.16
48.400,804.24,1023.97
48.600,804.17,957.59
48.800,797.77,1020.21
49.000,787.28,1018.26
49.200,779.76,1011.03
49.376,773.79,1086.74
