t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1789695643.948538,300.060,1965,3996,0.0,0.0,32.0
1789695643.971842,300.060,1965,3996,0.0,0.0,32.0
1789695643.982052,300.060,1965,3996,0.0,0.0,32.0
1789695643.992002,300.060,1965,3996,0.0,0.0,32.0
1789695644.001924,300.060,1965,3996,0.0,0.0,32.0
1789695644.011917,300.060,1965,3996,0.0,0.0,32.0
1789695644.021930,300.060,1965,3996,0.0,0.0,32.0
1789695644.031924,300.060,1965,3996,0.0,0.0,32.0
1789695644.041917,294.108,1965,3996,0.0,0.0,33.0
1789695644.051993,294.108,1965,3996,0.0,0.0,33.0
1789695644.061926,294.108,1965,3996,0.0,0.0,33.0
1789695644.071918,294.108,1965,3996,0.0,0.0,33.0
1789695644.081922,294.108,1965,3996,0.0,0.0,33.0
1789695644.091926,294.108,1965,3996,0.0,0.0,33.0
1789695644.101939,294.108,1965,3996,0.0,0.0,33.0
1789695644.111974,294.108,1965,3996,0.0,0.0,33.0
1789695644.121927,294.108,1965,3996,0.0,0.0,33.0
1789695644.131972,294.108,1965,3996,0.0,0.0,33.0
1789695644.141923,333.597,1965,3996,0.0,0.0,34.0
1789695644.151917,333.597,1965,3996,0.0,0.0,34.0
1789695644.161920,333.597,1965,3996,0.0,0.0,34.0
1789695644.171925,333.597,1965,3996,0.0,0.0,34.0
1789695644.181928,333.597,1965,3996,0.0,0.0,34.0
1789695644.191921,333.597,1965,3996,0.0,0.0,34.0
1789695644.201926,333.597,1965,3996,0.0,0.0,34.0
1789695644.211920,333.597,1965,3996,0.0,0.0,34.0
1789695644.221924,333.597,1965,3996,0.0,0.0,34.0
1789695644.231926,333.597,1965,3996,0.0,0.0,34.0
1789695644.241920,392.492,1965,3996,74.0,63.0,35.0
1789695644.251923,392.492,1965,3996,74.0,63.0,35.0
1789695644.261917,392.492,1965,3996,74.0,63.0,35.0
1789695644.272258,392.492,1965,3996,74.0,63.0,35.0
1789695644.281925,392.492,1965,3996,74.0,63.0,35.0
1789695644.291927,392.492,1965,3996,74.0,63.0,35.0
1789695644.301921,392.492,1965,3996,74.0,63.0,35.0
1789695644.311956,392.492,1965,3996,74.0,63.0,35.0
1789695644.321918,392.492,1965,3996,74.0,63.0,35.0
