t_rel_s,measured_w,predicted_w
0.000,839.99,775.87
0.200,842.69,865.81
0.400,845.87,865.81
0.600,847.47,865.83
0.800,848.87,775.91
1.000,849.09,865.84
1.200,847.47,865.86
1.400,845.77,865.86
1.600,844.45,865.88
1.800,844.20,865.88
2.000,843.54,865.89
2.200,843.82,865.90
2.400,844.47,865.91
2.600,845.22,775.96
2.800,843.45,775.86
3.000,843.25,865.79
3.200,843.81,865.80
3.400,843.60,865.81
3.600,843.01,865.81
3.800,845.74,865.84
4.000,846.55,865.84
4.200,845.89,865.85
4.400,846.21,865.86
4.600,847.95,865.87
4.800,847.86,865.88
5.000,847.36,775.94
5.200,846.74,865.90
5.400,846.72,865.90
5.600,845.94,865.92
5.800,846.70,865.93
6.000,847.99,865.94
6.200,849.52,865.95
6.400,850.04,865.95
6.600,849.49,776.02
6.800,847.41,865.97
7.000,845.68,865.99
7.200,844.04,866.00
7.400,842.99,866.01
7.600,843.11,866.02
7.800,844.71,866.02
8.000,845.24,776.08
8.200,846.06,866.04
8.400,845.20,866.06
8.600,845.56,866.06
8.800,845.49,866.07
9.000,844.88,866.09
9.200,844.66,776.12
9.400,844.69,866.11
9.600,844.72,866.11
9.800,844.44,866.12
10.000,844.93,866.13
10.200,843.14,685.94
10.400,844.63,865.80
10.600,846.39,865.81
10.800,846.88,865.82
11.000,846.71,865.84
11.200,848.01,865.84
11.400,849.18,865.86
11.600,847.93,865.86
11.800,848.57,865.87
12.000,849.49,865.88
12.200,849.18,865.89
12.400,849.31,775.96
12.600,850.09,865.90
12.800,849.92,865.92
13.000,850.50,865.93
13.200,850.65,865.94
13.400,850.40,865.95
13.600,849.07,865.96
13.800,848.99,865.97
14.000,847.98,776.02
14.200,847.68,865.99
14.400,847.58,866.00
14.600,847.81,866.01
14.800,847.49,866.02
15.000,846.69,866.02
15.200,845.80,866.04
15.400,844.69,776.08
15.600,845.07,866.06
15.800,845.56,866.06
16.000,847.13,866.08
16.200,847.35,866.09
16.400,847.50,866.09
16.600,847.89,866.11
16.800,847.99,776.14
17.000,847.34,866.13
17.200,846.69,866.13
17.400,846.28,866.14
17.600,845.52,775.96
17.800,846.98,775.88
18.000,848.49,865.81
18.200,849.39,865.82
18.400,850.75,865.84
18.600,851.90,865.84
18.800,852.04,865.86
19.000,850.03,865.86
19.200,850.06,865.87
19.400,851.47,865.88
19.600,851.97,865.89
19.800,851.45,865.90
20.000,852.02,775.96
20.200,852.56,865.92
20.400,851.81,865.93
20.600,852.04,865.94
20.800,852.51,865.95
21.000,851.78,865.96
21.200,850.17,865.97
21.400,849.71,865.97
21.600,848.67,776.04
21.800,846.97,866.00
22.000,847.31,866.01
22.200,847.29,866.02
22.400,846.39,866.02
22.600,845.87,866.04
22.800,845.99,776.08
23.000,845.05,866.06
23.200,845.22,866.06
23.400,846.08,866.08
23.600,846.94,866.09
23.800,847.38,866.09
24.000,848.49,866.11
24.200,849.02,776.14
24.400,848.47,866.13
24.600,848.67,866.13
24.800,849.18,866.14
25.000,847.92,686.14
25.200,832.12,775.89
25.400,829.10,865.82
25.600,830.02,865.84
25.800,829.94,865.84
26.000,832.22,865.86
26.200,848.44,865.86
26.400,853.77,775.94
26.600,855.14,865.88
26.800,855.63,865.89
27.000,856.39,865.90
27.200,857.04,865.91
27.400,857.09,865.93
27.600,857.49,865.93
27.800,857.58,865.95
28.000,857.88,865.95
28.200,858.29,776.01
28.400,857.00,865.97
