t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters
1789695907.928821,0.2000,177.6859,7.277013e+11,5.601269e+13,5.598742e+13,7.270407e+11,6.606029e+08,5.598213e+13,5.284823e+09,320,65,5
1789695908.128821,0.2000,176.9587,1.019120e+12,1.629582e+13,1.629582e+13,1.017857e+12,1.263534e+09,1.628571e+13,1.010827e+10,0,112,7
1789695908.328821,0.2000,176.2264,1.019372e+12,1.629783e+13,1.629783e+13,1.017857e+12,1.515192e+09,1.628571e+13,1.212154e+10,0,112,7
1789695908.528821,0.2000,176.4398,1.019592e+12,2.052033e+13,2.051643e+13,1.017857e+12,1.735393e+09,2.050255e+13,1.388315e+10,30,111,7
1789695908.728821,0.2000,175.6911,1.019802e+12,1.630127e+13,1.630127e+13,1.017857e+12,1.945108e+09,1.628571e+13,1.556087e+10,0,112,7
1789695908.928822,0.2000,177.1250,1.020143e+12,1.630400e+13,1.630400e+13,1.017857e+12,2.285896e+09,1.628571e+13,1.828717e+10,0,112,7
1789695909.128821,0.2000,177.6768,1.020290e+12,1.630517e+13,1.630517e+13,1.017857e+12,2.432696e+09,1.628571e+13,1.946157e+10,0,112,7
1789695909.328822,0.2000,178.8367,1.020672e+12,1.630823e+13,1.630823e+13,1.017857e+12,2.815427e+09,1.628571e+13,2.252341e+10,0,112,7
1789695909.528821,0.2000,178.9197,1.020835e+12,1.630953e+13,1.630953e+13,1.017857e+12,2.977956e+09,1.628571e+13,2.382365e+10,0,112,7
1789695909.728822,0.2000,179.8944,1.021144e+12,1.631201e+13,1.631201e+13,1.017857e+12,3.287286e+09,1.628571e+13,2.629829e+10,0,112,7
1789695909.928822,0.2000,180.4616,8.754687e+11,1.398334e+13,1.398334e+13,8.724488e+11,3.019899e+09,1.395918e+13,2.415919e+10,0,96,6
1789695910.128822,0.2000,180.8380,1.021564e+12,1.631536e+13,1.631536e+13,1.017857e+12,3.706716e+09,1.628571e+13,2.965373e+10,0,112,7
1789695910.328822,0.2000,180.1535,1.021904e+12,1.631809e+13,1.631809e+13,1.017857e+12,4.047503e+09,1.628571e+13,3.238003e+10,0,112,7
1789695910.528822,0.2000,180.2897,1.022051e+12,1.631927e+13,1.631927e+13,1.017857e+12,4.194304e+09,1.628571e+13,3.355443e+10,0,112,7
1789695910.728822,0.2000,180.6273,1.022434e+12,1.632233e+13,1.632233e+13,1.017857e+12,4.577034e+09,1.628571e+13,3.661627e+10,0,112,7
1789695910.928822,0.2000,180.2613,1.022596e+12,1.632363e+13,1.632363e+13,1.017857e+12,4.739564e+09,1.628571e+13,3.791651e+10,0,112,7
1789695911.128822,0.2000,179.8184,1.022906e+12,1.632610e+13,1.632610e+13,1.017857e+12,5.048893e+09,1.628571e+13,4.039115e+10,0,112,7
1789695911.328822,0.2000,180.1310,1.023152e+12,1.632807e+13,1.632807e+13,1.017857e+12,5.295309e+09,1.628571e+13,4.236247e+10,0,112,7
1789695911.528822,0.2000,180.1595,1.023378e+12,1.632988e+13,1.632988e+13,1.017857e+12,5.520753e+09,1.628571e+13,4.416602e+10,0,112,7
1789695911.728822,0.2000,179.9038,8.774400e+11,1.399911e+13,1.399911e+13,8.724488e+11,4.991222e+09,1.395918e+13,3.992977e+10,0,96,6
1789695911.928822,0.2000,179.8013,1.023813e+12,1.633336e+13,1.633336e+13,1.017857e+12,5.955912e+09,1.628571e+13,4.764729e+10,0,112,7
1789695912.128822,0.2000,179.7937,1.024196e+12,1.633642e+13,1.633642e+13,1.017857e+12,6.338642e+09,1.628571e+13,5.070914e+10,0,112,7
1789695912.328822,0.2000,179.9342,1.024358e+12,1.633772e+13,1.633772e+13,1.017857e+12,6.501171e+09,1.628571e+13,5.200937e+10,0,112,7
1789695912.528822,0.2000,179.7157,1.024667e+12,1.634019e+13,1.634019e+13,1.017857e+12,6.810501e+09,1.628571e+13,5.448401e+10,0,112,7
