t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1789695900.323995,1789695900.323995,mixed,4,0,112,0.0014,88,4,
1789695900.323995,1789695900.383377,mixed,16,0,560,0.0070,344,16,
1789695900.383377,1789695900.414771,decode,16,0,576,0.0072,0,16,
1789695900.414771,1789695900.444773,decode,16,0,592,0.0074,0,16,
1789695900.444773,1789695900.473492,decode,16,0,608,0.0076,0,16,
1789695900.473492,1789695900.502764,decode,16,0,624,0.0078,0,16,
1789695900.502764,1789695900.531912,decode,16,0,624,0.0078,0,16,
1789695900.531912,1789695900.560910,decode,16,0,624,0.0078,0,16,
1789695900.560910,1789695900.589977,decode,16,0,688,0.0086,0,16,
1789695900.589977,1789695900.618752,decode,16,0,704,0.0088,0,16,
1789695900.618752,1789695900.647426,decode,16,0,704,0.0088,0,16,
1789695900.647426,1789695900.676190,decode,16,0,704,0.0088,0,16,
1789695900.676190,1789695900.704861,decode,16,0,720,0.0091,0,16,
1789695900.704861,1789695900.733627,decode,16,0,752,0.0095,0,16,
1789695900.733627,1789695900.762371,decode,16,0,752,0.0095,0,16,
1789695900.762371,1789695900.791067,decode,16,0,784,0.0099,0,16,
1789695900.791067,1789695900.819921,decode,16,0,800,0.0101,0,16,
1789695900.819921,1789695900.848695,decode,16,0,816,0.0103,0,16,
1789695900.848695,1789695900.877560,decode,16,0,832,0.0105,0,16,
1789695900.877560,1789695900.906324,decode,16,0,848,0.0107,0,16,
1789695900.906324,1789695900.934820,decode,16,0,864,0.0109,0,16,
1789695900.934820,1789695900.963613,decode,16,0,880,0.0111,0,16,
1789695900.963613,1789695900.992321,decode,16,0,880,0.0111,0,16,
1789695900.992321,1789695901.021297,decode,16,0,880,0.0111,0,16,
1789695901.021297,1789695901.049923,decode,16,0,944,0.0119,0,16,
1789695901.049923,1789695901.078751,decode,16,0,960,0.0121,0,16,
1789695901.078751,1789695901.107373,decode,16,0,960,0.0121,0,16,
1789695901.107373,1789695901.136073,decode,16,0,960,0.0121,0,16,
1789695901.136073,1789695901.165019,decode,16,0,976,0.0123,0,16,
1789695901.165019,1789695901.193747,decode,16,0,1008,0.0127,0,16,
1789695901.193747,1789695901.222494,decode,16,0,1008,0.0127,0,16,
1789695901.222494,1789695901.251375,decode,16,0,1040,0.0131,0,16,
1789695901.251375,1789695901.280149,decode,16,0,1056,0.0133,0,16,
1789695901.280149,1789695901.308928,decode,16,0,1072,0.0135,0,16,
1789695901.308928,1789695901.337591,decode,16,0,1088,0.0137,0,16,
1789695901.337591,1789695901.366438,decode,16,0,1104,0.0139,0,16,
1789695901.366438,1789695901.395262,decode,16,0,1120,0.0141,0,16,
1789695901.395262,1789695901.424006,decode,16,0,1136,0.0143,0,16,
1789695901.424006,1789695901.452704,decode,16,0,1136,0.0143,0,16,
1789695901.452704,1789695901.482367,decode,16,0,1136,0.0143,0,16,
1789695901.482367,1789695901.510552,decode,16,0,1200,0.0151,0,16,
1789695901.510552,1789695901.539523,decode,16,0,1216,0.0153,0,16,
1789695901.539523,1789695901.568301,decode,16,0,1216,0.0153,0,16,
1789695901.568301,1789695901.597092,decode,16,0,1216,0.0153,0,16,
1789695901.597092,1789695901.625760,decode,16,0,1232,0.0155,0,16,
1789695901.625760,1789695901.654645,decode,16,0,1264,0.0159,0,16,
1789695901.654645,1789695901.683121,decode,16,0,1264,0.0159,0,16,
1789695901.683121,1789695901.712114,decode,16,0,1296,0.0163,0,16,
1789695901.712114,1789695901.740721,decode,16,0,1312,0.0165,0,16,
