t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1789695570.637742,285.441,1965,3996,0.0,0.0,32.0
1789695570.656033,285.441,1965,3996,0.0,0.0,32.0
1789695570.666113,285.441,1965,3996,0.0,0.0,32.0
1789695570.676117,285.441,1965,3996,0.0,0.0,32.0
1789695570.686109,285.441,1965,3996,0.0,0.0,32.0
1789695570.696195,285.441,1965,3996,0.0,0.0,32.0
1789695570.706192,285.441,1965,3996,0.0,0.0,32.0
1789695570.716110,285.482,1965,3996,0.0,0.0,32.0
1789695570.726064,285.482,1965,3996,0.0,0.0,32.0
1789695570.736108,285.482,1965,3996,0.0,0.0,32.0
1789695570.746147,285.482,1965,3996,0.0,0.0,32.0
1789695570.756115,285.482,1965,3996,0.0,0.0,32.0
1789695570.766109,285.482,1965,3996,0.0,0.0,32.0
1789695570.776225,285.482,1965,3996,0.0,0.0,32.0
1789695570.786125,285.482,1965,3996,0.0,0.0,32.0
1789695570.796160,285.482,1965,3996,0.0,0.0,32.0
1789695570.806307,285.482,1965,3996,0.0,0.0,32.0
1789695570.816116,286.418,1965,3996,0.0,0.0,32.0
1789695570.826171,286.418,1965,3996,0.0,0.0,32.0
1789695570.836113,286.418,1965,3996,0.0,0.0,32.0
1789695570.846158,286.418,1965,3996,0.0,0.0,32.0
1789695570.856161,286.418,1965,3996,0.0,0.0,32.0
1789695570.866114,286.418,1965,3996,0.0,0.0,32.0
1789695570.876169,286.418,1965,3996,0.0,0.0,32.0
1789695570.886111,286.418,1965,3996,0.0,0.0,32.0
1789695570.896114,286.418,1965,3996,0.0,0.0,32.0
1789695570.906119,286.418,1965,3996,0.0,0.0,32.0
1789695570.916122,285.486,1965,3996,0.0,0.0,32.0
1789695570.926116,285.486,1965,3996,0.0,0.0,32.0
1789695570.936109,285.486,1965,3996,0.0,0.0,32.0
1789695570.946148,285.486,1965,3996,0.0,0.0,32.0
1789695570.956148,285.486,1965,3996,0.0,0.0,32.0
1789695570.966110,285.486,1965,3996,0.0,0.0,32.0
1789695570.976113,285.486,1965,3996,0.0,0.0,32.0
1789695570.986108,285.486,1965,3996,0.0,0.0,32.0
1789695570.996111,285.486,1965,3996,0.0,0.0,32.0
1789695571.006114,285.486,1965,3996,0.0,0.0,32.0
1789695571.016118,286.502,1965,3996,0.0,0.0,31.0
1789695571.026235,286.502,1965,3996,0.0,0.0,31.0
1789695571.036300,286.502,1965,3996,0.0,0.0,31.0
1789695571.046108,286.502,1965,3996,0.0,0.0,31.0
1789695571.056225,286.502,1965,3996,0.0,0.0,31.0
1789695571.066126,286.502,1965,3996,0.0,0.0,31.0
1789695571.076111,286.502,1965,3996,0.0,0.0,31.0
1789695571.086113,286.502,1965,3996,0.0,0.0,31.0
1789695571.096108,286.502,1965,3996,0.0,0.0,31.0
1789695571.106110,286.502,1965,3996,0.0,0.0,31.0
1789695571.116114,286.552,1965,3996,0.0,0.0,31.0
1789695571.126108,286.552,1965,3996,0.0,0.0,31.0
1789695571.136111,286.552,1965,3996,0.0,0.0,31.0
1789695571.146115,286.552,1965,3996,0.0,0.0,31.0
1789695571.156128,286.552,1965,3996,0.0,0.0,31.0
1789695571.166112,286.552,1965,3996,0.0,0.0,31.0
1789695571.176116,286.552,1965,3996,0.0,0.0,31.0
1789695571.186109,286.552,1965,3996,0.0,0.0,31.0
1789695571.196113,286.552,1965,3996,0.0,0.0,31.0
1789695571.206108,286.552,1965,3996,0.0,0.0,31.0
1789695571.216151,241.859,1965,3996,0.0,0.0,31.0
1789695571.226278,241.859,1965,3996,0.0,0.0,31.0
1789695571.236179,241.859,1965,3996,0.0,0.0,31.0
1789695571.246111,241.859,1965,3996,0.0,0.0,31.0
1789695571.256114,241.859,1965,3996,0.0,0.0,31.0
1789695571.266179,241.859,1965,3996,0.0,0.0,31.0
1789695571.276147,241.859,1965,3996,0.0,0.0,31.0
1789695571.286114,241.859,1965,3996,0.0,0.0,31.0
1789695571.296109,241.859,1965,3996,0.0,0.0,31.0
1789695571.306113,241.859,1965,3996,0.0,0.0,31.0
1789695571.316108,236.793,1965,3996,0.0,0.0,31.0
1789695571.326109,236.793,1965,3996,0.0,0.0,31.0
1789695571.336113,236.793,1965,3996,0.0,0.0,31.0
1789695571.346107,236.793,1965,3996,0.0,0.0,31.0
1789695571.356121,236.793,1965,3996,0.0,0.0,31.0
1789695571.366114,236.793,1965,3996,0.0,0.0,31.0
1789695571.376108,236.793,1965,3996,0.0,0.0,31.0
1789695571.386162,236.793,1965,3996,0.0,0.0,31.0
1789695571.396114,236.793,1965,3996,0.0,0.0,31.0
1789695571.406109,236.793,1965,3996,0.0,0.0,31.0
1789695571.416111,236.760,1965,3996,0.0,0.0,31.0
1789695571.426116,236.760,1965,3996,0.0,0.0,31.0
1789695571.436109,236.760,1965,3996,0.0,0.0,31.0
1789695571.446113,236.760,1965,3996,0.0,0.0,31.0
1789695571.456118,236.760,1965,3996,0.0,0.0,31.0
1789695571.466111,236.760,1965,3996,0.0,0.0,31.0
1789695571.476114,236.760,1965,3996,0.0,0.0,31.0
1789695571.486108,236.760,1965,3996,0.0,0.0,31.0
1789695571.496111,236.760,1965,3996,0.0,0.0,31.0
1789695571.506166,236.760,1965,3996,0.0,0.0,31.0
1789695571.516108,236.708,1965,3996,0.0,0.0,31.0
1789695571.526111,236.708,1965,3996,0.0,0.0,31.0
1789695571.536269,236.708,1965,3996,0.0,0.0,31.0
1789695571.546108,236.708,1965,3996,0.0,0.0,31.0
1789695571.556113,236.708,1965,3996,0.0,0.0,31.0
1789695571.566108,236.708,1965,3996,0.0,0.0,31.0
1789695571.576110,236.708,1965,3996,0.0,0.0,31.0
1789695571.586236,236.708,1965,3996,0.0,0.0,31.0
1789695571.596168,236.708,1965,3996,0.0,0.0,31.0
1789695571.606111,236.708,1965,3996,0.0,0.0,31.0
1789695571.616166,236.659,1965,3996,0.0,0.0,31.0
1789695571.626107,236.659,1965,3996,0.0,0.0,31.0
1789695571.636153,236.659,1965,3996,0.0,0.0,31.0
1789695571.646116,236.659,1965,3996,0.0,0.0,31.0
1789695571.656169,236.659,1965,3996,0.0,0.0,31.0
1789695571.666112,236.659,1965,3996,0.0,0.0,31.0
1789695571.676116,236.659,1965,3996,0.0,0.0,31.0
1789695571.686144,236.659,1965,3996,0.0,0.0,31.0
1789695571.696112,236.659,1965,3996,0.0,0.0,31.0
1789695571.706108,236.659,1965,3996,0.0,0.0,31.0
1789695571.716110,236.598,1965,3996,0.0,0.0,31.0
1789695571.726114,236.598,1965,3996,0.0,0.0,31.0
1789695571.736118,236.598,1965,3996,0.0,0.0,31.0
1789695571.746112,236.598,1965,3996,0.0,0.0,31.0
1789695571.756115,236.598,1965,3996,0.0,0.0,31.0
1789695571.766109,236.598,1965,3996,0.0,0.0,31.0
1789695571.776163,236.598,1965,3996,0.0,0.0,31.0
1789695571.786166,236.598,1965,3996,0.0,0.0,31.0
1789695571.796109,236.598,1965,3996,0.0,0.0,31.0
1789695571.806174,236.598,1965,3996,0.0,0.0,31.0
1789695571.816117,236.604,1965,3996,0.0,0.0,31.0
1789695571.826111,236.604,1965,3996,0.0,0.0,31.0
1789695571.836113,236.604,1965,3996,0.0,0.0,31.0
1789695571.846118,236.604,1965,3996,0.0,0.0,31.0
1789695571.856112,236.604,1965,3996,0.0,0.0,31.0
1789695571.866114,236.604,1965,3996,0.0,0.0,31.0
1789695571.876189,236.604,1965,3996,0.0,0.0,31.0
1789695571.886138,236.604,1965,3996,0.0,0.0,31.0
1789695571.896116,236.604,1965,3996,0.0,0.0,31.0
1789695571.906109,236.604,1965,3996,0.0,0.0,31.0
1789695571.916112,236.655,1965,3996,0.0,0.0,31.0
1789695571.926108,236.655,1965,3996,0.0,0.0,31.0
1789695571.936109,236.655,1965,3996,0.0,0.0,31.0
1789695571.946113,236.655,1965,3996,0.0,0.0,31.0
1789695571.956116,236.655,1965,3996,0.0,0.0,31.0
1789695571.966110,236.655,1965,3996,0.0,0.0,31.0
1789695571.976114,236.655,1965,3996,0.0,0.0,31.0
1789695571.986118,236.655,1965,3996,0.0,0.0,31.0
1789695571.996111,236.655,1965,3996,0.0,0.0,31.0
1789695572.006125,236.655,1965,3996,0.0,0.0,31.0
1789695572.016119,236.676,1965,3996,0.0,0.0,31.0
1789695572.026122,236.676,1965,3996,0.0,0.0,31.0
1789695572.036177,236.676,1965,3996,0.0,0.0,31.0
1789695572.046109,236.676,1965,3996,0.0,0.0,31.0
1789695572.056113,236.676,1965,3996,0.0,0.0,31.0
1789695572.066168,236.676,1965,3996,0.0,0.0,31.0
1789695572.076110,236.676,1965,3996,0.0,0.0,31.0
1789695572.086174,236.676,1965,3996,0.0,0.0,31.0
1789695572.096108,236.676,1965,3996,0.0,0.0,31.0
1789695572.106110,236.676,1965,3996,0.0,0.0,31.0
1789695572.116114,236.648,1965,3996,0.0,0.0,31.0
1789695572.126118,236.648,1965,3996,0.0,0.0,31.0
1789695572.136111,236.648,1965,3996,0.0,0.0,31.0
1789695572.146115,236.648,1965,3996,0.0,0.0,31.0
1789695572.156108,236.648,1965,3996,0.0,0.0,31.0
1789695572.166112,236.648,1965,3996,0.0,0.0,31.0
1789695572.176116,236.648,1965,3996,0.0,0.0,31.0
1789695572.186109,236.648,1965,3996,0.0,0.0,31.0
1789695572.196147,236.648,1965,3996,0.0,0.0,31.0
1789695572.206117,236.648,1965,3996,0.0,0.0,31.0
1789695572.216111,236.598,1965,3996,0.0,0.0,31.0
1789695572.226115,236.598,1965,3996,0.0,0.0,31.0
1789695572.236107,236.598,1965,3996,0.0,0.0,31.0
1789695572.246111,236.598,1965,3996,0.0,0.0,31.0
1789695572.256115,236.598,1965,3996,0.0,0.0,31.0
1789695572.266119,236.598,1965,3996,0.0,0.0,31.0
1789695572.276154,236.598,1965,3996,0.0,0.0,31.0
1789695572.286115,236.598,1965,3996,0.0,0.0,31.0
1789695572.296130,236.598,1965,3996,0.0,0.0,31.0
1789695572.306113,236.598,1965,3996,0.0,0.0,31.0
1789695572.316117,236.593,1965,3996,0.0,0.0,31.0
1789695572.326110,236.593,1965,3996,0.0,0.0,31.0
1789695572.336114,236.593,1965,3996,0.0,0.0,31.0
1789695572.346151,236.593,1965,3996,0.0,0.0,31.0
1789695572.356112,236.593,1965,3996,0.0,0.0,31.0
1789695572.366114,236.593,1965,3996,0.0,0.0,31.0
1789695572.376107,236.593,1965,3996,0.0,0.0,31.0
1789695572.386111,236.593,1965,3996,0.0,0.0,31.0
1789695572.396116,236.593,1965,3996,0.0,0.0,31.0
1789695572.406143,236.593,1965,3996,0.0,0.0,31.0
1789695572.416150,236.569,1965,3996,0.0,0.0,31.0
1789695572.426117,236.569,1965,3996,0.0,0.0,31.0
1789695572.436120,236.569,1965,3996,0.0,0.0,31.0
1789695572.446216,236.569,1965,3996,0.0,0.0,31.0
1789695572.456151,236.569,1965,3996,0.0,0.0,31.0
1789695572.466155,236.569,1965,3996,0.0,0.0,31.0
1789695572.476113,236.569,1965,3996,0.0,0.0,31.0
1789695572.486291,236.569,1965,3996,0.0,0.0,31.0
1789695572.496110,236.569,1965,3996,0.0,0.0,31.0
1789695572.506115,236.569,1965,3996,0.0,0.0,31.0
1789695572.516108,236.547,1965,3996,0.0,0.0,31.0
1789695572.526112,236.547,1965,3996,0.0,0.0,31.0
1789695572.536115,236.547,1965,3996,0.0,0.0,31.0
1789695572.546119,236.547,1965,3996,0.0,0.0,31.0
1789695572.556226,236.547,1965,3996,0.0,0.0,31.0
1789695572.566117,236.547,1965,3996,0.0,0.0,31.0
1789695572.576111,236.547,1965,3996,0.0,0.0,31.0
1789695572.586237,236.547,1965,3996,0.0,0.0,31.0
1789695572.596109,236.547,1965,3996,0.0,0.0,31.0
1789695572.606111,236.547,1965,3996,0.0,0.0,31.0
1789695572.616114,236.559,1965,3996,0.0,0.0,31.0
1789695572.626168,236.559,1965,3996,0.0,0.0,31.0
1789695572.636113,236.559,1965,3996,0.0,0.0,31.0
1789695572.646116,236.559,1965,3996,0.0,0.0,31.0
1789695572.656110,236.559,1965,3996,0.0,0.0,31.0
1789695572.666112,236.559,1965,3996,0.0,0.0,31.0
1789695572.676116,236.559,1965,3996,0.0,0.0,31.0
1789695572.686121,236.559,1965,3996,0.0,0.0,31.0
1789695572.696186,236.559,1965,3996,0.0,0.0,31.0
1789695572.706117,236.559,1965,3996,0.0,0.0,31.0
1789695572.716117,236.585,1965,3996,0.0,0.0,31.0
1789695572.726114,236.585,1965,3996,0.0,0.0,31.0
1789695572.736108,236.585,1965,3996,0.0,0.0,31.0
1789695572.746163,236.585,1965,3996,0.0,0.0,31.0
1789695572.756115,236.585,1965,3996,0.0,0.0,31.0
1789695572.766109,236.585,1965,3996,0.0,0.0,31.0
1789695572.776112,236.585,1965,3996,0.0,0.0,31.0
1789695572.786117,236.585,1965,3996,0.0,0.0,31.0
1789695572.796109,236.585,1965,3996,0.0,0.0,31.0
1789695572.806113,236.585,1965,3996,0.0,0.0,31.0
1789695572.816108,236.557,1965,3996,0.0,0.0,31.0
1789695572.826131,236.557,1965,3996,0.0,0.0,31.0
1789695572.836115,236.557,1965,3996,0.0,0.0,31.0
1789695572.846148,236.557,1965,3996,0.0,0.0,31.0
1789695572.856111,236.557,1965,3996,0.0,0.0,31.0
1789695572.866116,236.557,1965,3996,0.0,0.0,31.0
1789695572.876109,236.557,1965,3996,0.0,0.0,31.0
1789695572.886111,236.557,1965,3996,0.0,0.0,31.0
1789695572.896116,236.557,1965,3996,0.0,0.0,31.0
1789695572.906108,236.557,1965,3996,0.0,0.0,31.0
1789695572.916112,236.474,1965,3996,0.0,0.0,31.0
1789695572.926188,236.474,1965,3996,0.0,0.0,31.0
1789695572.936110,236.474,1965,3996,0.0,0.0,31.0
1789695572.946124,236.474,1965,3996,0.0,0.0,31.0
1789695572.956260,236.474,1965,3996,0.0,0.0,31.0
1789695572.966223,236.474,1965,3996,0.0,0.0,31.0
1789695572.976114,236.474,1965,3996,0.0,0.0,31.0
1789695572.986109,236.474,1965,3996,0.0,0.0,31.0
1789695572.996234,236.474,1965,3996,0.0,0.0,31.0
1789695573.006115,236.474,1965,3996,0.0,0.0,31.0
1789695573.016108,236.409,1965,3996,0.0,0.0,31.0
1789695573.026112,236.409,1965,3996,0.0,0.0,31.0
1789695573.036116,236.409,1965,3996,0.0,0.0,31.0
1789695573.046109,236.409,1965,3996,0.0,0.0,31.0
1789695573.056195,236.409,1965,3996,0.0,0.0,31.0
1789695573.066179,236.409,1965,3996,0.0,0.0,31.0
1789695573.076111,236.409,1965,3996,0.0,0.0,31.0
1789695573.086115,236.409,1965,3996,0.0,0.0,31.0
1789695573.096118,236.409,1965,3996,0.0,0.0,31.0
1789695573.106112,236.409,1965,3996,0.0,0.0,31.0
1789695573.116125,236.380,1965,3996,0.0,0.0,31.0
1789695573.126231,236.380,1965,3996,0.0,0.0,31.0
1789695573.136112,236.380,1965,3996,0.0,0.0,31.0
1789695573.146115,236.380,1965,3996,0.0,0.0,31.0
1789695573.156109,236.380,1965,3996,0.0,0.0,31.0
1789695573.166113,236.380,1965,3996,0.0,0.0,31.0
1789695573.176219,236.380,1965,3996,0.0,0.0,31.0
1789695573.186151,236.380,1965,3996,0.0,0.0,31.0
1789695573.196114,236.380,1965,3996,0.0,0.0,31.0
1789695573.206250,236.380,1965,3996,0.0,0.0,31.0
1789695573.216112,236.397,1965,3996,0.0,0.0,31.0
1789695573.226197,236.397,1965,3996,0.0,0.0,31.0
1789695573.236159,236.397,1965,3996,0.0,0.0,31.0
1789695573.246111,236.397,1965,3996,0.0,0.0,31.0
1789695573.256166,236.397,1965,3996,0.0,0.0,31.0
1789695573.266110,236.397,1965,3996,0.0,0.0,31.0
1789695573.276112,236.397,1965,3996,0.0,0.0,31.0
1789695573.286117,236.397,1965,3996,0.0,0.0,31.0
1789695573.296129,236.397,1965,3996,0.0,0.0,31.0
1789695573.306114,236.397,1965,3996,0.0,0.0,31.0
1789695573.316109,236.384,1965,3996,0.0,0.0,31.0
1789695573.326162,236.384,1965,3996,0.0,0.0,31.0
1789695573.336114,236.384,1965,3996,0.0,0.0,31.0
1789695573.346108,236.384,1965,3996,0.0,0.0,31.0
1789695573.356111,236.384,1965,3996,0.0,0.0,31.0
1789695573.366115,236.384,1965,3996,0.0,0.0,31.0
1789695573.376108,236.384,1965,3996,0.0,0.0,31.0
1789695573.386112,236.384,1965,3996,0.0,0.0,31.0
1789695573.396187,236.384,1965,3996,0.0,0.0,31.0
1789695573.406109,236.384,1965,3996,0.0,0.0,31.0
1789695573.416137,236.411,1965,3996,0.0,0.0,31.0
1789695573.426141,236.411,1965,3996,0.0,0.0,31.0
1789695573.436110,236.411,1965,3996,0.0,0.0,31.0
1789695573.446114,236.411,1965,3996,0.0,0.0,31.0
1789695573.456108,236.411,1965,3996,0.0,0.0,31.0
1789695573.466274,236.411,1965,3996,0.0,0.0,31.0
1789695573.476115,236.411,1965,3996,0.0,0.0,31.0
1789695573.486110,236.411,1965,3996,0.0,0.0,31.0
1789695573.496113,236.411,1965,3996,0.0,0.0,31.0
1789695573.506115,236.411,1965,3996,0.0,0.0,31.0
1789695573.516108,236.386,1965,3996,0.0,0.0,31.0
1789695573.526112,236.386,1965,3996,0.0,0.0,31.0
1789695573.536116,236.386,1965,3996,0.0,0.0,31.0
1789695573.546232,236.386,1965,3996,0.0,0.0,31.0
1789695573.556154,236.386,1965,3996,0.0,0.0,31.0
1789695573.566109,236.386,1965,3996,0.0,0.0,31.0
1789695573.576162,236.386,1965,3996,0.0,0.0,31.0
1789695573.586114,236.386,1965,3996,0.0,0.0,31.0
1789695573.596159,236.386,1965,3996,0.0,0.0,31.0
1789695573.606111,236.386,1965,3996,0.0,0.0,31.0
1789695573.616116,236.365,1965,3996,0.0,0.0,31.0
1789695573.626160,236.365,1965,3996,0.0,0.0,31.0
1789695573.636113,236.365,1965,3996,0.0,0.0,31.0
1789695573.646115,236.365,1965,3996,0.0,0.0,31.0
1789695573.656109,236.365,1965,3996,0.0,0.0,31.0
1789695573.666153,236.365,1965,3996,0.0,0.0,31.0
1789695573.676108,236.365,1965,3996,0.0,0.0,31.0
1789695573.686110,236.365,1965,3996,0.0,0.0,31.0
1789695573.696113,236.365,1965,3996,0.0,0.0,31.0
1789695573.706117,236.365,1965,3996,0.0,0.0,31.0
1789695573.716163,236.335,1965,3996,0.0,0.0,31.0
1789695573.726114,236.335,1965,3996,0.0,0.0,31.0
1789695573.736110,236.335,1965,3996,0.0,0.0,31.0
1789695573.746111,236.335,1965,3996,0.0,0.0,31.0
1789695573.756115,236.335,1965,3996,0.0,0.0,31.0
1789695573.766109,236.335,1965,3996,0.0,0.0,31.0
1789695573.776124,236.335,1965,3996,0.0,0.0,31.0
1789695573.786168,236.335,1965,3996,0.0,0.0,31.0
1789695573.796242,236.335,1965,3996,0.0,0.0,31.0
1789695573.806154,236.335,1965,3996,0.0,0.0,31.0
1789695573.816117,236.331,1965,3996,0.0,0.0,31.0
1789695573.826111,236.331,1965,3996,0.0,0.0,31.0
1789695573.836114,236.331,1965,3996,0.0,0.0,31.0
1789695573.846109,236.331,1965,3996,0.0,0.0,31.0
1789695573.856112,236.331,1965,3996,0.0,0.0,31.0
1789695573.866115,236.331,1965,3996,0.0,0.0,31.0
1789695573.876120,236.331,1965,3996,0.0,0.0,31.0
1789695573.886215,236.331,1965,3996,0.0,0.0,31.0
1789695573.896116,236.331,1965,3996,0.0,0.0,31.0
1789695573.906110,236.331,1965,3996,0.0,0.0,31.0
1789695573.916113,236.325,1965,3996,0.0,0.0,31.0
1789695573.926116,236.325,1965,3996,0.0,0.0,31.0
1789695573.936110,236.325,1965,3996,0.0,0.0,31.0
1789695573.946114,236.325,1965,3996,0.0,0.0,31.0
1789695573.956118,236.325,1965,3996,0.0,0.0,31.0
1789695573.966110,236.325,1965,3996,0.0,0.0,31.0
1789695573.976156,236.325,1965,3996,0.0,0.0,31.0
1789695573.986129,236.325,1965,3996,0.0,0.0,31.0
1789695573.996112,236.325,1965,3996,0.0,0.0,31.0
1789695574.006207,236.325,1965,3996,0.0,0.0,31.0
1789695574.016109,236.322,1965,3996,0.0,0.0,31.0
1789695574.026155,236.322,1965,3996,0.0,0.0,31.0
