t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters
1789696042.626595,0.2000,166.9526,1.000490e+12,4.004017e+12,4.002255e+12,1.000417e+12,7.340032e+07,4.001668e+12,5.872026e+08,21,7,7
1789696042.826595,0.2000,167.0583,8.575684e+11,8.580455e+11,8.580455e+11,8.575003e+11,6.815744e+07,8.575003e+11,5.452595e+08,0,6,6
1789696043.026595,0.2000,167.4576,1.000527e+12,1.001298e+12,1.001298e+12,1.000417e+12,1.101005e+08,1.000417e+12,8.808038e+08,0,7,7
1789696043.226595,0.2000,167.7016,1.000527e+12,1.001298e+12,1.001298e+12,1.000417e+12,1.101005e+08,1.000417e+12,8.808038e+08,0,7,7
1789696043.426595,0.2000,167.5990,1.000559e+12,1.001549e+12,1.001549e+12,1.000417e+12,1.415578e+08,1.000417e+12,1.132462e+09,0,7,7
1789696043.626595,0.2000,168.1093,1.000564e+12,1.001591e+12,1.001591e+12,1.000417e+12,1.468006e+08,1.000417e+12,1.174405e+09,0,7,7
1789696043.826595,0.2000,168.8974,1.000585e+12,1.001759e+12,1.001759e+12,1.000417e+12,1.677722e+08,1.000417e+12,1.342177e+09,0,7,7
1789696044.026596,0.2000,168.8969,1.000601e+12,1.001885e+12,1.001885e+12,1.000417e+12,1.835008e+08,1.000417e+12,1.468006e+09,0,7,7
1789696044.226595,0.2000,169.0161,1.000611e+12,1.001969e+12,1.001969e+12,1.000417e+12,1.939866e+08,1.000417e+12,1.551892e+09,0,7,7
1789696044.426596,0.2000,169.3611,1.000637e+12,1.002179e+12,1.002179e+12,1.000417e+12,2.202010e+08,1.000417e+12,1.761608e+09,0,7,7
1789696044.626595,0.2000,169.4867,1.000637e+12,1.002179e+12,1.002179e+12,1.000417e+12,2.202010e+08,1.000417e+12,1.761608e+09,0,7,7
1789696044.826596,0.2000,169.5683,8.577205e+11,8.592619e+11,8.592619e+11,8.575003e+11,2.202010e+08,8.575003e+11,1.761608e+09,0,6,6
1789696045.026596,0.2000,169.6529,1.000674e+12,1.002472e+12,1.002472e+12,1.000417e+12,2.569011e+08,1.000417e+12,2.055209e+09,0,7,7
1789696045.226596,0.2000,169.5925,1.000695e+12,1.002640e+12,1.002640e+12,1.000417e+12,2.778726e+08,1.000417e+12,2.222981e+09,0,7,7
1789696045.426596,0.2000,169.3638,1.000711e+12,1.002766e+12,1.002766e+12,1.000417e+12,2.936013e+08,1.000417e+12,2.348810e+09,0,7,7
1789696045.626596,0.2000,169.4618,1.000721e+12,1.002850e+12,1.002850e+12,1.000417e+12,3.040870e+08,1.000417e+12,2.432696e+09,0,7,7
1789696045.826596,0.2000,169.3496,1.000747e+12,1.003059e+12,1.003059e+12,1.000417e+12,3.303014e+08,1.000417e+12,2.642412e+09,0,7,7
1789696046.026596,0.2000,169.2904,1.000747e+12,1.003059e+12,1.003059e+12,1.000417e+12,3.303014e+08,1.000417e+12,2.642412e+09,0,7,7
1789696046.226596,0.2000,169.0747,1.000784e+12,1.003353e+12,1.003353e+12,1.000417e+12,3.670016e+08,1.000417e+12,2.936013e+09,0,7,7
1789696046.426596,0.2000,169.0633,8.578149e+11,8.600169e+11,8.600169e+11,8.575003e+11,3.145728e+08,8.575003e+11,2.516582e+09,0,6,6
1789696046.626596,0.2000,168.8751,1.000805e+12,1.003521e+12,1.003521e+12,1.000417e+12,3.879731e+08,1.000417e+12,3.103785e+09,0,7,7
1789696046.826596,0.2000,168.9089,1.000821e+12,1.003647e+12,1.003647e+12,1.000417e+12,4.037018e+08,1.000417e+12,3.229614e+09,0,7,7
1789696047.026596,0.2000,168.7678,1.000831e+12,1.003731e+12,1.003731e+12,1.000417e+12,4.141875e+08,1.000417e+12,3.313500e+09,0,7,7
1789696047.226596,0.2000,168.8525,1.000857e+12,1.003940e+12,1.003940e+12,1.000417e+12,4.404019e+08,1.000417e+12,3.523215e+09,0,7,7
1789696047.426596,0.2000,168.7511,1.000857e+12,1.003940e+12,1.003940e+12,1.000417e+12,4.404019e+08,1.000417e+12,3.523215e+09,0,7,7
1789696047.626596,0.2000,168.7301,8.579092e+11,8.607718e+11,8.607718e+11,8.575003e+11,4.089446e+08,8.575003e+11,3.271557e+09,0,6,6
