t_start,t_end,phase,n_running,n_waiting,kv_tokens_resident,kv_cache_pct,prefill_tokens,decode_tokens,dram_bytes
1789696035.090802,1789696035.090802,mixed,1,0,16,0.0002,10,1,
1789696035.090802,1789696035.124608,decode,1,0,16,0.0002,0,1,
1789696035.124608,1789696035.154030,decode,1,0,16,0.0002,0,1,
1789696035.154030,1789696035.183211,decode,1,0,16,0.0002,0,1,
1789696035.183211,1789696035.213340,decode,1,0,16,0.0002,0,1,
1789696035.213340,1789696035.242294,decode,1,0,16,0.0002,0,1,
1789696035.242294,1789696035.271369,decode,1,0,16,0.0002,0,1,
1789696035.271369,1789696035.300860,decode,1,0,32,0.0004,0,1,
1789696035.300860,1789696035.330295,decode,1,0,32,0.0004,0,1,
1789696035.330295,1789696035.359618,decode,1,0,32,0.0004,0,1,
1789696035.359618,1789696035.389070,decode,1,0,32,0.0004,0,1,
1789696035.389070,1789696035.418029,decode,1,0,32,0.0004,0,1,
1789696035.418029,1789696035.447552,decode,1,0,32,0.0004,0,1,
1789696035.447552,1789696035.476602,decode,1,0,32,0.0004,0,1,
1789696035.476602,1789696035.505558,decode,1,0,32,0.0004,0,1,
1789696035.505558,1789696035.534578,decode,1,0,32,0.0004,0,1,
1789696035.534578,1789696035.563827,decode,1,0,32,0.0004,0,1,
1789696035.563827,1789696035.592776,decode,1,0,32,0.0004,0,1,
1789696035.592776,1789696035.621723,decode,1,0,32,0.0004,0,1,
1789696035.621723,1789696035.650736,decode,1,0,32,0.0004,0,1,
1789696035.650736,1789696035.679746,decode,1,0,32,0.0004,0,1,
1789696035.679746,1789696035.708626,decode,1,0,32,0.0004,0,1,
1789696035.708626,1789696035.737671,decode,1,0,32,0.0004,0,1,
1789696035.737671,1789696035.766546,decode,1,0,48,0.0006,0,1,
1789696035.766546,1789696035.795580,decode,1,0,48,0.0006,0,1,
1789696035.795580,1789696035.824478,decode,1,0,48,0.0006,0,1,
1789696035.824478,1789696035.853605,decode,1,0,48,0.0006,0,1,
1789696035.853605,1789696035.882473,decode,1,0,48,0.0006,0,1,
1789696035.882473,1789696035.911420,decode,1,0,48,0.0006,0,1,
1789696035.911420,1789696035.940465,decode,1,0,48,0.0006,0,1,
1789696035.940465,1789696035.969615,decode,1,0,48,0.0006,0,1,
1789696035.969615,1789696035.998369,decode,1,0,48,0.0006,0,1,
1789696035.998369,1789696036.027399,decode,1,0,48,0.0006,0,1,
1789696036.027399,1789696036.056249,decode,1,0,48,0.0006,0,1,
1789696036.056249,1789696036.085311,decode,1,0,48,0.0006,0,1,
1789696036.085311,1789696036.114264,decode,1,0,48,0.0006,0,1,
1789696036.114264,1789696036.143067,decode,1,0,48,0.0006,0,1,
1789696036.143067,1789696036.172078,decode,1,0,48,0.0006,0,1,
1789696036.172078,1789696036.200961,decode,1,0,48,0.0006,0,1,
1789696036.200961,1789696036.229964,decode,1,0,64,0.0008,0,1,
1789696036.229964,1789696036.259093,decode,1,0,64,0.0008,0,1,
1789696036.259093,1789696036.287985,decode,1,0,64,0.0008,0,1,
1789696036.287985,1789696036.316993,decode,1,0,64,0.0008,0,1,
1789696036.316993,1789696036.346007,decode,1,0,64,0.0008,0,1,
1789696036.346007,1789696036.375050,decode,1,0,64,0.0008,0,1,
1789696036.375050,1789696036.404014,decode,1,0,64,0.0008,0,1,
1789696036.404014,1789696036.432956,decode,1,0,64,0.0008,0,1,
1789696036.432956,1789696036.461890,decode,1,0,64,0.0008,0,1,
1789696036.461890,1789696036.491039,decode,1,0,64,0.0008,0,1,
1789696036.491039,1789696036.519921,decode,1,0,64,0.0008,0,1,
1789696036.519921,1789696036.549014,decode,1,0,64,0.0008,0,1,
1789696036.549014,1789696036.577974,decode,1,0,64,0.0008,0,1,
1789696036.577974,1789696036.607024,decode,1,0,64,0.0008,0,1,
1789696036.607024,1789696036.635890,decode,1,0,64,0.0008,0,1,
1789696036.635890,1789696036.665211,decode,1,0,64,0.0008,0,1,
1789696036.665211,1789696036.693850,decode,1,0,80,0.0010,0,1,
1789696036.693850,1789696036.722788,decode,1,0,80,0.0010,0,1,
1789696036.722788,1789696036.751858,decode,1,0,80,0.0010,0,1,
1789696036.751858,1789696036.780868,decode,1,0,80,0.0010,0,1,
1789696036.780868,1789696036.809738,decode,1,0,80,0.0010,0,1,
1789696036.809738,1789696036.838559,decode,1,0,80,0.0010,0,1,
1789696036.838559,1789696036.867667,decode,1,0,80,0.0010,0,1,
1789696036.867667,1789696036.896538,decode,1,0,80,0.0010,0,1,
1789696036.896538,1789696036.925489,decode,1,0,80,0.0010,0,1,
1789696036.925489,1789696036.954190,decode,1,0,80,0.0010,0,1,
1789696036.954190,1789696036.983131,decode,1,0,80,0.0010,0,1,
1789696036.983131,1789696037.012143,decode,1,0,80,0.0010,0,1,
1789696037.012143,1789696037.041025,decode,1,0,80,0.0010,0,1,
1789696037.041025,1789696037.070156,decode,1,0,80,0.0010,0,1,
1789696037.070156,1789696037.098986,decode,1,0,80,0.0010,0,1,
1789696037.098986,1789696037.127970,decode,1,0,80,0.0010,0,1,
1789696037.127970,1789696037.156946,decode,1,0,96,0.0012,0,1,
1789696037.156946,1789696037.186056,decode,1,0,96,0.0012,0,1,
1789696037.186056,1789696037.214930,decode,1,0,96,0.0012,0,1,
1789696037.214930,1789696037.244041,decode,1,0,96,0.0012,0,1,
1789696037.244041,1789696037.273041,decode,1,0,96,0.0012,0,1,
1789696037.273041,1789696037.302068,decode,1,0,96,0.0012,0,1,
1789696037.302068,1789696037.331147,decode,1,0,96,0.0012,0,1,
1789696037.331147,1789696037.360106,decode,1,0,96,0.0012,0,1,
1789696037.360106,1789696037.389076,decode,1,0,96,0.0012,0,1,
1789696037.389076,1789696037.418159,decode,1,0,96,0.0012,0,1,
1789696037.418159,1789696037.447039,decode,1,0,96,0.0012,0,1,
1789696037.447039,1789696037.476094,decode,1,0,96,0.0012,0,1,
1789696037.476094,1789696037.505262,decode,1,0,96,0.0012,0,1,
1789696037.505262,1789696037.534190,decode,1,0,96,0.0012,0,1,
1789696037.534190,1789696037.563401,decode,1,0,96,0.0012,0,1,
1789696037.563401,1789696037.592401,decode,1,0,96,0.0012,0,1,
1789696037.592401,1789696037.621381,decode,1,0,112,0.0014,0,1,
1789696037.621381,1789696037.650470,decode,1,0,112,0.0014,0,1,
1789696037.650470,1789696037.679598,decode,1,0,112,0.0014,0,1,
1789696037.679598,1789696037.708502,decode,1,0,112,0.0014,0,1,
1789696037.708502,1789696037.737610,decode,1,0,112,0.0014,0,1,
1789696037.737610,1789696037.766430,decode,1,0,112,0.0014,0,1,
1789696037.766430,1789696037.795521,decode,1,0,112,0.0014,0,1,
1789696037.795521,1789696037.824520,decode,1,0,112,0.0014,0,1,
1789696037.824520,1789696037.853535,decode,1,0,112,0.0014,0,1,
1789696037.853535,1789696037.882676,decode,1,0,112,0.0014,0,1,
1789696037.882676,1789696037.911499,decode,1,0,112,0.0014,0,1,
1789696037.911499,1789696037.940665,decode,1,0,112,0.0014,0,1,
1789696037.940665,1789696037.969678,decode,1,0,112,0.0014,0,1,
1789696037.969678,1789696037.998526,decode,1,0,112,0.0014,0,1,
1789696037.998526,1789696038.027635,decode,1,0,112,0.0014,0,1,
1789696038.027635,1789696038.056509,decode,1,0,112,0.0014,0,1,
1789696038.056509,1789696038.085505,decode,1,0,128,0.0016,0,1,
1789696038.085505,1789696038.114474,decode,1,0,128,0.0016,0,1,
1789696038.114474,1789696038.143352,decode,1,0,128,0.0016,0,1,
1789696038.143352,1789696038.172374,decode,1,0,128,0.0016,0,1,
1789696038.172374,1789696038.201350,decode,1,0,128,0.0016,0,1,
1789696038.201350,1789696038.230256,decode,1,0,128,0.0016,0,1,
1789696038.230256,1789696038.259050,decode,1,0,128,0.0016,0,1,
1789696038.259050,1789696038.288005,decode,1,0,128,0.0016,0,1,
1789696038.288005,1789696038.316928,decode,1,0,128,0.0016,0,1,
1789696038.316928,1789696038.345857,decode,1,0,128,0.0016,0,1,
1789696038.345857,1789696038.374889,decode,1,0,128,0.0016,0,1,
1789696038.374889,1789696038.403709,decode,1,0,128,0.0016,0,1,
1789696038.403709,1789696038.432730,decode,1,0,128,0.0016,0,1,
1789696038.432730,1789696038.461506,decode,1,0,128,0.0016,0,1,
1789696038.461506,1789696038.490484,decode,1,0,128,0.0016,0,1,
1789696038.490484,1789696038.519520,decode,1,0,128,0.0016,0,1,
1789696038.519520,1789696038.548917,decode,1,0,144,0.0018,0,1,
1789696038.548917,1789696038.578195,decode,1,0,144,0.0018,0,1,
1789696038.578195,1789696038.607112,decode,1,0,144,0.0018,0,1,
1789696038.607112,1789696038.636414,decode,1,0,144,0.0018,0,1,
1789696038.636414,1789696038.665487,decode,1,0,144,0.0018,0,1,
1789696038.665487,1789696038.694760,decode,1,0,144,0.0018,0,1,
1789696038.694760,1789696038.723956,decode,1,0,144,0.0018,0,1,
1789696038.723956,1789696038.753016,decode,1,0,144,0.0018,0,1,
1789696038.753016,1789696038.782341,decode,1,0,144,0.0018,0,1,
1789696038.782341,1789696038.811583,decode,1,0,144,0.0018,0,1,
1789696038.811583,1789696038.840712,decode,1,0,144,0.0018,0,1,
1789696038.840712,1789696038.869844,decode,1,0,144,0.0018,0,1,
1789696038.869844,1789696038.899091,decode,1,0,144,0.0018,0,1,
1789696038.899091,1789696038.928305,decode,1,0,144,0.0018,0,1,
1789696038.928305,1789696038.957521,decode,1,0,144,0.0018,0,1,
1789696038.957521,1789696038.986650,decode,1,0,144,0.0018,0,1,
1789696038.986650,1789696039.015877,decode,1,0,160,0.0020,0,1,
1789696039.015877,1789696039.045232,decode,1,0,160,0.0020,0,1,
1789696039.045232,1789696039.074412,decode,1,0,160,0.0020,0,1,
1789696039.074412,1789696039.103747,decode,1,0,160,0.0020,0,1,
1789696039.103747,1789696039.132993,decode,1,0,160,0.0020,0,1,
1789696039.132993,1789696039.162408,decode,1,0,160,0.0020,0,1,
1789696039.162408,1789696039.191540,decode,1,0,160,0.0020,0,1,
1789696039.191540,1789696039.220859,decode,1,0,160,0.0020,0,1,
1789696039.220859,1789696039.250050,decode,1,0,160,0.0020,0,1,
1789696039.250050,1789696039.279329,decode,1,0,160,0.0020,0,1,
1789696039.279329,1789696039.308552,decode,1,0,160,0.0020,0,1,
1789696039.308552,1789696039.337896,decode,1,0,160,0.0020,0,1,
1789696039.337896,1789696039.367101,decode,1,0,160,0.0020,0,1,
1789696039.367101,1789696039.396358,decode,1,0,160,0.0020,0,1,
1789696039.396358,1789696039.425646,decode,1,0,160,0.0020,0,1,
1789696039.425646,1789696039.454972,decode,1,0,160,0.0020,0,1,
1789696039.454972,1789696039.484232,decode,1,0,176,0.0022,0,1,
1789696039.484232,1789696039.513462,decode,1,0,176,0.0022,0,1,
1789696039.513462,1789696039.542858,decode,1,0,176,0.0022,0,1,
1789696039.542858,1789696039.571980,decode,1,0,176,0.0022,0,1,
1789696039.571980,1789696039.601280,decode,1,0,176,0.0022,0,1,
1789696039.601280,1789696039.630476,decode,1,0,176,0.0022,0,1,
1789696039.630476,1789696039.659784,decode,1,0,176,0.0022,0,1,
1789696039.659784,1789696039.689010,decode,1,0,176,0.0022,0,1,
1789696039.689010,1789696039.718221,decode,1,0,176,0.0022,0,1,
1789696039.718221,1789696039.747429,decode,1,0,176,0.0022,0,1,
1789696039.747429,1789696039.776862,decode,1,0,176,0.0022,0,1,
1789696039.776862,1789696039.806086,decode,1,0,176,0.0022,0,1,
1789696039.806086,1789696039.835407,decode,1,0,176,0.0022,0,1,
1789696039.835407,1789696039.864655,decode,1,0,176,0.0022,0,1,
1789696039.864655,1789696039.893845,decode,1,0,176,0.0022,0,1,
1789696039.893845,1789696039.923214,decode,1,0,176,0.0022,0,1,
1789696039.923214,1789696039.952318,decode,1,0,192,0.0024,0,1,
1789696039.952318,1789696039.981596,decode,1,0,192,0.0024,0,1,
1789696039.981596,1789696040.010780,decode,1,0,192,0.0024,0,1,
1789696040.010780,1789696040.040169,decode,1,0,192,0.0024,0,1,
1789696040.040169,1789696040.069247,decode,1,0,192,0.0024,0,1,
1789696040.069247,1789696040.098387,decode,1,0,192,0.0024,0,1,
1789696040.098387,1789696040.127771,decode,1,0,192,0.0024,0,1,
1789696040.127771,1789696040.156788,decode,1,0,192,0.0024,0,1,
1789696040.156788,1789696040.186026,decode,1,0,192,0.0024,0,1,
1789696040.186026,1789696040.215198,decode,1,0,192,0.0024,0,1,
1789696040.215198,1789696040.244388,decode,1,0,192,0.0024,0,1,
1789696040.244388,1789696040.273720,decode,1,0,192,0.0024,0,1,
1789696040.273720,1789696040.302835,decode,1,0,192,0.0024,0,1,
1789696040.302835,1789696040.332062,decode,1,0,192,0.0024,0,1,
1789696040.332062,1789696040.361291,decode,1,0,192,0.0024,0,1,
1789696040.361291,1789696040.390522,decode,1,0,192,0.0024,0,1,
1789696040.390522,1789696040.419766,decode,1,0,208,0.0026,0,1,
1789696040.419766,1789696040.449095,decode,1,0,208,0.0026,0,1,
1789696040.449095,1789696040.478291,decode,1,0,208,0.0026,0,1,
1789696040.478291,1789696040.507634,decode,1,0,208,0.0026,0,1,
1789696040.507634,1789696040.536896,decode,1,0,208,0.0026,0,1,
1789696040.536896,1789696040.566107,decode,1,0,208,0.0026,0,1,
1789696040.566107,1789696040.595337,decode,1,0,208,0.0026,0,1,
1789696040.595337,1789696040.624708,decode,1,0,208,0.0026,0,1,
1789696040.624708,1789696040.653882,decode,1,0,208,0.0026,0,1,
1789696040.653882,1789696040.683048,decode,1,0,208,0.0026,0,1,
1789696040.683048,1789696040.712269,decode,1,0,208,0.0026,0,1,
1789696040.712269,1789696040.741498,decode,1,0,208,0.0026,0,1,
1789696040.741498,1789696040.770787,decode,1,0,208,0.0026,0,1,
1789696040.770787,1789696040.800014,decode,1,0,208,0.0026,0,1,
1789696040.800014,1789696040.829441,decode,1,0,208,0.0026,0,1,
