t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1789696297.715384,292.260,1965,3996,0.0,0.0,32.0
1789696297.742537,292.260,1965,3996,0.0,0.0,32.0
1789696297.752727,292.260,1965,3996,0.0,0.0,32.0
1789696297.762627,292.260,1965,3996,0.0,0.0,32.0
1789696297.772620,292.260,1965,3996,0.0,0.0,32.0
1789696297.782685,292.260,1965,3996,0.0,0.0,32.0
1789696297.792677,292.260,1965,3996,0.0,0.0,32.0
1789696297.802620,283.636,1965,3996,0.0,0.0,32.0
1789696297.812685,283.636,1965,3996,0.0,0.0,32.0
1789696297.822617,283.636,1965,3996,0.0,0.0,32.0
1789696297.832672,283.636,1965,3996,0.0,0.0,32.0
1789696297.842615,283.636,1965,3996,0.0,0.0,32.0
1789696297.852629,283.636,1965,3996,0.0,0.0,32.0
1789696297.862622,283.636,1965,3996,0.0,0.0,32.0
1789696297.872624,283.636,1965,3996,0.0,0.0,32.0
1789696297.882669,283.636,1965,3996,0.0,0.0,32.0
1789696297.892643,283.636,1965,3996,0.0,0.0,32.0
1789696297.902720,345.266,1965,3996,25.0,7.0,32.0
1789696297.912620,345.266,1965,3996,25.0,7.0,32.0
1789696297.922807,345.266,1965,3996,25.0,7.0,32.0
1789696297.932761,345.266,1965,3996,25.0,7.0,32.0
1789696297.942671,345.266,1965,3996,25.0,7.0,32.0
1789696297.952666,345.266,1965,3996,25.0,7.0,32.0
1789696297.962638,345.266,1965,3996,25.0,7.0,32.0
1789696297.972632,345.266,1965,3996,25.0,7.0,32.0
1789696297.982707,345.266,1965,3996,25.0,7.0,32.0
1789696297.992618,345.266,1965,3996,25.0,7.0,32.0
1789696298.002745,420.678,1312,3996,25.0,7.0,41.0
1789696298.012687,420.678,1312,3996,25.0,7.0,41.0
1789696298.022618,420.678,1312,3996,25.0,7.0,41.0
1789696298.032888,420.678,1312,3996,25.0,7.0,41.0
1789696298.042615,420.678,1312,3996,25.0,7.0,41.0
1789696298.052661,420.678,1312,3996,25.0,7.0,41.0
1789696298.062613,420.678,1312,3996,25.0,7.0,41.0
1789696298.072647,420.678,1312,3996,25.0,7.0,41.0
1789696298.082683,420.678,1312,3996,25.0,7.0,41.0
1789696298.092625,420.678,1312,3996,25.0,7.0,41.0
1789696298.102619,463.744,1852,3996,93.0,62.0,37.0
1789696298.112622,463.744,1852,3996,93.0,62.0,37.0
1789696298.122615,463.744,1852,3996,93.0,62.0,37.0
1789696298.132741,463.744,1852,3996,93.0,62.0,37.0
1789696298.142612,463.744,1852,3996,93.0,62.0,37.0
1789696298.152616,463.744,1852,3996,93.0,62.0,37.0
1789696298.162619,463.744,1852,3996,93.0,62.0,37.0
1789696298.172735,463.744,1852,3996,93.0,62.0,37.0
1789696298.182750,463.744,1852,3996,93.0,62.0,37.0
1789696298.192620,463.744,1852,3996,93.0,62.0,37.0
1789696298.202613,526.741,1965,3996,93.0,62.0,38.0
1789696298.212730,526.741,1965,3996,93.0,62.0,38.0
1789696298.222622,526.741,1965,3996,93.0,62.0,38.0
1789696298.232687,526.741,1965,3996,93.0,62.0,38.0
1789696298.242679,526.741,1965,3996,93.0,62.0,38.0
1789696298.252746,526.741,1965,3996,93.0,62.0,38.0
1789696298.262615,526.741,1965,3996,93.0,62.0,38.0
1789696298.272619,526.741,1965,3996,93.0,62.0,38.0
1789696298.282787,526.741,1965,3996,93.0,62.0,38.0
1789696298.292617,526.741,1965,3996,93.0,62.0,38.0
1789696298.302623,542.714,1965,3996,93.0,80.0,39.0
1789696298.312615,542.714,1965,3996,93.0,80.0,39.0
1789696298.322617,542.714,1965,3996,93.0,80.0,39.0
1789696298.332767,542.714,1965,3996,93.0,80.0,39.0
1789696298.342616,542.714,1965,3996,93.0,80.0,39.0
1789696298.352662,542.714,1965,3996,93.0,80.0,39.0
1789696298.362858,542.714,1965,3996,93.0,80.0,39.0
1789696298.372811,542.714,1965,3996,93.0,80.0,39.0
1789696298.382834,542.714,1965,3996,93.0,80.0,39.0
1789696298.392622,542.714,1965,3996,93.0,80.0,39.0
1789696298.402659,601.717,1965,3996,93.0,80.0,39.0
1789696298.412620,601.717,1965,3996,93.0,80.0,39.0
1789696298.422614,601.717,1965,3996,93.0,80.0,39.0
1789696298.432843,601.717,1965,3996,93.0,80.0,39.0
1789696298.442621,601.717,1965,3996,93.0,80.0,39.0
1789696298.452624,601.717,1965,3996,93.0,80.0,39.0
1789696298.462618,601.717,1965,3996,93.0,80.0,39.0
1789696298.472612,601.717,1965,3996,93.0,80.0,39.0
1789696298.482747,601.717,1965,3996,93.0,80.0,39.0
1789696298.492754,601.717,1965,3996,93.0,80.0,39.0
1789696298.502614,673.791,1965,3996,94.0,81.0,39.0
1789696298.512615,673.791,1965,3996,94.0,81.0,39.0
1789696298.522661,673.791,1965,3996,94.0,81.0,39.0
1789696298.532736,673.791,1965,3996,94.0,81.0,39.0
1789696298.542616,673.791,1965,3996,94.0,81.0,39.0
1789696298.552620,673.791,1965,3996,94.0,81.0,39.0
1789696298.562613,673.791,1965,3996,94.0,81.0,39.0
1789696298.572679,673.791,1965,3996,94.0,81.0,39.0
1789696298.582724,673.791,1965,3996,94.0,81.0,39.0
1789696298.592615,673.791,1965,3996,94.0,81.0,39.0
1789696298.602659,738.396,1965,3996,94.0,81.0,39.0
1789696298.612622,738.396,1965,3996,94.0,81.0,39.0
1789696298.622615,738.396,1965,3996,94.0,81.0,39.0
1789696298.632753,738.396,1965,3996,94.0,81.0,39.0
1789696298.642624,738.396,1965,3996,94.0,81.0,39.0
1789696298.652617,738.396,1965,3996,94.0,81.0,39.0
1789696298.662620,738.396,1965,3996,94.0,81.0,39.0
1789696298.672645,738.396,1965,3996,94.0,81.0,39.0
1789696298.682628,738.396,1965,3996,94.0,81.0,39.0
1789696298.692621,738.396,1965,3996,94.0,81.0,39.0
1789696298.702615,803.947,1965,3996,94.0,81.0,40.0
1789696298.712832,803.947,1965,3996,94.0,81.0,40.0
1789696298.722621,803.947,1965,3996,94.0,81.0,40.0
1789696298.732829,803.947,1965,3996,94.0,81.0,40.0
1789696298.742618,803.947,1965,3996,94.0,81.0,40.0
1789696298.752612,803.947,1965,3996,94.0,81.0,40.0
1789696298.762727,803.947,1965,3996,94.0,81.0,40.0
1789696298.772650,803.947,1965,3996,94.0,81.0,40.0
1789696298.782684,803.947,1965,3996,94.0,81.0,40.0
1789696298.792616,803.947,1965,3996,94.0,81.0,40.0
1789696298.802620,869.303,1965,3996,94.0,81.0,40.0
1789696298.812614,869.303,1965,3996,94.0,81.0,40.0
1789696298.822628,869.303,1965,3996,94.0,81.0,40.0
1789696298.832785,869.303,1965,3996,94.0,81.0,40.0
1789696298.842624,869.303,1965,3996,94.0,81.0,40.0
1789696298.852618,869.303,1965,3996,94.0,81.0,40.0
1789696298.862631,869.303,1965,3996,94.0,81.0,40.0
1789696298.872615,869.303,1965,3996,94.0,81.0,40.0
1789696298.882782,869.303,1965,3996,94.0,81.0,40.0
1789696298.892675,869.303,1965,3996,94.0,81.0,40.0
1789696298.902690,881.788,1965,3996,95.0,81.0,40.0
1789696298.912639,881.788,1965,3996,95.0,81.0,40.0
1789696298.922695,881.788,1965,3996,95.0,81.0,40.0
1789696298.932811,881.788,1965,3996,95.0,81.0,40.0
1789696298.942621,881.788,1965,3996,95.0,81.0,40.0
1789696298.952613,881.788,1965,3996,95.0,81.0,40.0
1789696298.962617,881.788,1965,3996,95.0,81.0,40.0
1789696298.972623,881.788,1965,3996,95.0,81.0,40.0
1789696298.982749,881.788,1965,3996,95.0,81.0,40.0
1789696298.992620,881.788,1965,3996,95.0,81.0,40.0
1789696299.002613,862.877,1965,3996,95.0,81.0,40.0
1789696299.012615,862.877,1965,3996,95.0,81.0,40.0
1789696299.022620,862.877,1965,3996,95.0,81.0,40.0
1789696299.032695,862.877,1965,3996,95.0,81.0,40.0
1789696299.042614,862.877,1965,3996,95.0,81.0,40.0
1789696299.052612,862.877,1965,3996,95.0,81.0,40.0
1789696299.063012,862.877,1965,3996,95.0,81.0,40.0
1789696299.072784,862.877,1965,3996,95.0,81.0,40.0
1789696299.082662,862.877,1965,3996,95.0,81.0,40.0
1789696299.092615,862.877,1965,3996,95.0,81.0,40.0
1789696299.102681,884.092,1965,3996,95.0,81.0,40.0
1789696299.112622,884.092,1965,3996,95.0,81.0,40.0
1789696299.122636,884.092,1965,3996,95.0,81.0,40.0
1789696299.132619,884.092,1965,3996,95.0,81.0,40.0
1789696299.142613,884.092,1965,3996,95.0,81.0,40.0
1789696299.152613,884.092,1965,3996,95.0,81.0,40.0
1789696299.162620,884.092,1965,3996,95.0,81.0,40.0
1789696299.172624,884.092,1965,3996,95.0,81.0,40.0
1789696299.182658,884.092,1965,3996,95.0,81.0,40.0
1789696299.192621,884.092,1965,3996,95.0,81.0,40.0
1789696299.202656,888.262,1965,3996,95.0,81.0,41.0
1789696299.212659,888.262,1965,3996,95.0,81.0,41.0
1789696299.222673,888.262,1965,3996,95.0,81.0,41.0
1789696299.232666,888.262,1965,3996,95.0,81.0,41.0
1789696299.242618,888.262,1965,3996,95.0,81.0,41.0
1789696299.252612,888.262,1965,3996,95.0,81.0,41.0
1789696299.262617,888.262,1965,3996,95.0,81.0,41.0
1789696299.272619,888.262,1965,3996,95.0,81.0,41.0
1789696299.282623,888.262,1965,3996,95.0,81.0,41.0
1789696299.292617,888.262,1965,3996,95.0,81.0,41.0
1789696299.302672,888.060,1965,3996,94.0,80.0,41.0
