t_rel_s,measured_w,predicted_w
0.000,895.86,236.32
0.200,924.03,236.32
0.400,943.00,337.01
0.600,938.17,941.39
0.800,934.51,941.60
1.000,930.96,840.95
1.200,905.30,941.92
1.400,884.73,942.07
1.600,888.14,942.25
1.800,892.34,942.44
2.000,893.82,841.69
2.200,895.47,942.79
2.400,894.66,942.92
2.600,895.03,943.13
2.800,895.36,842.28
3.000,895.28,943.44
3.200,895.34,943.64
3.400,896.00,943.78
3.600,896.05,944.00
3.800,897.34,843.00
4.000,896.08,944.31
4.200,894.58,944.47
4.400,895.50,944.65
4.600,896.10,843.63
4.800,895.16,944.96
5.000,897.58,945.18
5.200,899.71,945.32
5.400,897.95,945.52
5.600,898.91,844.34
5.800,901.06,945.83
6.000,900.10,946.04
6.200,900.81,946.17
6.400,902.36,844.94
6.600,901.51,946.51
6.800,900.65,946.69
7.000,901.42,946.88
7.200,900.76,947.03
7.400,901.42,845.68
7.600,900.98,947.35
7.800,899.74,947.50
8.000,898.96,337.00
8.200,917.55,236.32
8.400,923.00,537.66
8.600,908.60,939.56
8.800,910.67,939.76
9.000,911.87,939.91
9.200,895.04,839.54
9.400,889.83,940.26
9.600,906.83,940.42
9.800,907.19,940.61
10.000,907.75,940.77
10.200,906.85,840.29
10.400,906.55,941.10
10.600,907.51,941.28
10.800,906.22,941.47
11.000,905.56,739.90
11.200,902.49,941.47
11.400,902.86,941.60
11.600,901.32,840.90
11.800,901.17,841.03
12.000,901.25,941.96
12.200,904.45,942.17
12.400,905.97,942.30
12.600,907.67,942.52
12.800,910.10,841.75
13.000,912.54,942.83
13.200,912.76,943.02
13.400,912.82,943.17
13.600,912.61,741.22
13.800,910.38,943.22
14.000,908.91,943.41
14.200,910.39,943.58
14.400,909.49,943.76
14.600,909.36,842.84
14.800,910.48,944.07
15.000,911.19,944.28
15.200,909.61,944.43
15.400,911.14,843.42
15.600,913.14,742.19
15.800,915.63,843.05
16.000,916.90,236.32
16.200,923.75,837.42
16.400,905.79,937.73
16.600,903.77,737.43
16.800,902.06,938.06
17.000,902.99,938.21
17.200,897.25,938.42
17.400,912.97,938.56
17.600,914.21,938.77
17.800,914.45,938.92
18.000,913.97,838.70
18.200,914.60,939.26
18.400,913.92,939.42
18.600,913.72,939.51
18.800,914.15,738.72
19.000,909.30,738.59
19.200,906.70,838.99
19.400,905.97,939.36
19.600,906.48,939.55
19.800,906.01,939.69
20.000,909.21,839.39
20.200,909.72,839.35
20.400,906.46,940.03
20.600,907.65,940.19
20.800,909.62,839.77
21.000,909.58,940.54
21.200,911.21,940.67
21.400,911.61,839.93
21.600,914.23,840.07
21.800,913.39,940.88
22.000,913.91,941.06
22.200,913.34,941.21
22.400,917.70,941.42
22.600,915.86,941.55
22.800,916.52,840.99
23.000,916.55,941.90
23.200,915.45,841.12
23.400,920.39,640.18
23.600,910.60,841.49
23.800,915.37,236.32
24.000,915.71,839.10
24.200,916.05,939.70
24.400,909.96,939.87
24.600,918.36,738.92
24.800,914.96,940.13
25.000,912.61,940.34
