t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,weight_bytes_bin,kv_bytes_bin,gemm_flops_bin,attn_flops_bin,prefill_tokens,decode_tokens,n_iters,prefill_tokens_computed,gemm_flops_bin_computed
1789696177.071582,0.2000,172.2867,5.724009e+11,9.948602e+13,9.919007e+13,5.716669e+11,7.340032e+08,9.918420e+13,5.872026e+09,681,13,4,681.0,9.918420e+13
1789696177.271582,0.2000,173.9539,1.002095e+12,4.015090e+12,4.015090e+12,1.000417e+12,1.677722e+09,4.001668e+12,1.342177e+10,0,28,7,0.0,4.001668e+12
1789696177.471582,0.2000,172.9622,1.002179e+12,4.015761e+12,4.015761e+12,1.000417e+12,1.761608e+09,4.001668e+12,1.409286e+10,0,28,7,0.0,4.001668e+12
1789696177.671582,0.2000,172.9479,1.002221e+12,4.016096e+12,4.016096e+12,1.000417e+12,1.803551e+09,4.001668e+12,1.442841e+10,0,28,7,0.0,4.001668e+12
1789696177.871582,0.2000,173.0728,1.002315e+12,4.016851e+12,4.016851e+12,1.000417e+12,1.897923e+09,4.001668e+12,1.518338e+10,0,28,7,0.0,4.001668e+12
1789696178.071582,0.2000,172.9571,1.002352e+12,4.017145e+12,4.017145e+12,1.000417e+12,1.934623e+09,4.001668e+12,1.547698e+10,0,28,7,0.0,4.001668e+12
1789696178.271582,0.2000,171.2899,1.002436e+12,4.017816e+12,4.017816e+12,1.000417e+12,2.018509e+09,4.001668e+12,1.614807e+10,0,28,7,0.0,4.001668e+12
1789696178.471582,0.2000,172.1975,1.002488e+12,4.018236e+12,4.018236e+12,1.000417e+12,2.070938e+09,4.001668e+12,1.656750e+10,0,28,7,0.0,4.001668e+12
1789696178.671582,0.2000,172.2536,1.002551e+12,4.018739e+12,4.018739e+12,1.000417e+12,2.133852e+09,4.001668e+12,1.707082e+10,0,28,7,0.0,4.001668e+12
1789696178.871582,0.2000,172.4195,1.002624e+12,4.019326e+12,4.019326e+12,1.000417e+12,2.207252e+09,4.001668e+12,1.765802e+10,0,28,7,0.0,4.001668e+12
1789696179.071582,0.2000,172.4062,1.002666e+12,4.019662e+12,4.019662e+12,1.000417e+12,2.249196e+09,4.001668e+12,1.799356e+10,0,28,7,0.0,4.001668e+12
1789696179.271582,0.2000,172.8501,1.002766e+12,4.020458e+12,4.020458e+12,1.000417e+12,2.348810e+09,4.001668e+12,1.879048e+10,0,28,7,0.0,4.001668e+12
1789696179.471582,0.2000,173.1267,1.002797e+12,4.020710e+12,4.020710e+12,1.000417e+12,2.380268e+09,4.001668e+12,1.904214e+10,0,28,7,0.0,4.001668e+12
1789696179.671582,0.2000,173.2116,1.002892e+12,4.021465e+12,4.021465e+12,1.000417e+12,2.474639e+09,4.001668e+12,1.979711e+10,0,28,7,0.0,4.001668e+12
1789696179.871583,0.2000,172.7977,1.002934e+12,4.021801e+12,4.021801e+12,1.000417e+12,2.516582e+09,4.001668e+12,2.013266e+10,0,28,7,0.0,4.001668e+12
1789696180.071582,0.2000,172.9196,1.003007e+12,4.022388e+12,4.022388e+12,1.000417e+12,2.589983e+09,4.001668e+12,2.071986e+10,0,28,7,0.0,4.001668e+12
1789696180.271583,0.2000,172.9695,1.003070e+12,4.022891e+12,4.022891e+12,1.000417e+12,2.652897e+09,4.001668e+12,2.122318e+10,0,28,7,0.0,4.001668e+12
1789696180.471582,0.2000,172.7300,1.003122e+12,4.023311e+12,4.023311e+12,1.000417e+12,2.705326e+09,4.001668e+12,2.164261e+10,0,28,7,0.0,4.001668e+12
1789696180.671583,0.2000,172.6541,1.003206e+12,4.023982e+12,4.023982e+12,1.000417e+12,2.789212e+09,4.001668e+12,2.231370e+10,0,28,7,0.0,4.001668e+12
1789696180.871583,0.2000,172.7491,1.003248e+12,4.024317e+12,4.024317e+12,1.000417e+12,2.831155e+09,4.001668e+12,2.264924e+10,0,28,7,0.0,4.001668e+12
1789696181.071583,0.2000,172.4554,8.600064e+11,3.450050e+12,3.450050e+12,8.575003e+11,2.506097e+09,3.430001e+12,2.004877e+10,0,24,6,0.0,3.430001e+12
1789696181.271583,0.2000,172.2803,1.003374e+12,4.025324e+12,4.025324e+12,1.000417e+12,2.956984e+09,4.001668e+12,2.365587e+10,0,28,7,0.0,4.001668e+12
1789696181.471583,0.2000,172.4424,1.003447e+12,4.025911e+12,4.025911e+12,1.000417e+12,3.030385e+09,4.001668e+12,2.424308e+10,0,28,7,0.0,4.001668e+12
1789696181.671583,0.2000,172.2500,1.003510e+12,4.026414e+12,4.026414e+12,1.000417e+12,3.093299e+09,4.001668e+12,2.474639e+10,0,28,7,0.0,4.001668e+12
1789696181.871583,0.2000,172.0710,1.003243e+12,6.612085e+12,6.596776e+12,1.000417e+12,2.825912e+09,6.574169e+12,2.260730e+10,19,27,7,19.0,6.574169e+12
1789696182.071583,0.2000,171.4605,1.003096e+12,4.023101e+12,4.023101e+12,1.000417e+12,2.679112e+09,4.001668e+12,2.143289e+10,0,28,7,0.0,4.001668e+12
1789696182.271583,0.2000,171.4210,1.003149e+12,4.023520e+12,4.023520e+12,1.000417e+12,2.731540e+09,4.001668e+12,2.185232e+10,0,28,7,0.0,4.001668e+12
1789696182.471583,0.2000,171.2168,1.003238e+12,4.024233e+12,4.024233e+12,1.000417e+12,2.820669e+09,4.001668e+12,2.256536e+10,0,28,7,0.0,4.001668e+12
1789696182.671583,0.2000,171.5324,1.003269e+12,4.024485e+12,4.024485e+12,1.000417e+12,2.852127e+09,4.001668e+12,2.281701e+10,0,28,7,0.0,4.001668e+12
1789696182.871583,0.2000,171.8765,1.003369e+12,4.025282e+12,4.025282e+12,1.000417e+12,2.951741e+09,4.001668e+12,2.361393e+10,0,28,7,0.0,4.001668e+12
1789696183.071583,0.2000,172.6724,1.003405e+12,4.025576e+12,4.025576e+12,1.000417e+12,2.988442e+09,4.001668e+12,2.390753e+10,0,28,7,0.0,4.001668e+12
1789696183.271583,0.2000,172.6794,1.003484e+12,4.026205e+12,4.026205e+12,1.000417e+12,3.067085e+09,4.001668e+12,2.453668e+10,0,28,7,0.0,4.001668e+12
1789696183.471583,0.2000,172.8831,1.003542e+12,4.026666e+12,4.026666e+12,1.000417e+12,3.124756e+09,4.001668e+12,2.499805e+10,0,28,7,0.0,4.001668e+12
1789696183.671583,0.2000,173.0462,8.602213e+11,3.451770e+12,3.451770e+12,8.575003e+11,2.721055e+09,3.430001e+12,2.176844e+10,0,24,6,0.0,3.430001e+12
1789696183.871583,0.2000,173.0907,1.003678e+12,4.027757e+12,4.027757e+12,1.000417e+12,3.261071e+09,4.001668e+12,2.608857e+10,0,28,7,0.0,4.001668e+12
1789696184.071583,0.2000,173.3743,1.003710e+12,4.028008e+12,4.028008e+12,1.000417e+12,3.292529e+09,4.001668e+12,2.634023e+10,0,28,7,0.0,4.001668e+12
1789696184.271584,0.2000,173.6220,1.003809e+12,4.028805e+12,4.028805e+12,1.000417e+12,3.392143e+09,4.001668e+12,2.713715e+10,0,28,7,0.0,4.001668e+12
1789696184.471583,0.2000,173.6244,1.001686e+12,1.531430e+13,1.530224e+13,1.000417e+12,1.268777e+09,1.529209e+13,1.015022e+10,82,25,7,82.0,1.529209e+13
1789696184.671584,0.2000,174.5287,1.000994e+12,4.006282e+12,4.006282e+12,1.000417e+12,5.767168e+08,4.001668e+12,4.613734e+09,0,28,7,0.0,4.001668e+12
1789696184.871583,0.2000,174.5866,1.001020e+12,4.006491e+12,4.006491e+12,1.000417e+12,6.029312e+08,4.001668e+12,4.823450e+09,0,28,7,0.0,4.001668e+12
1789696185.071584,0.2000,174.6667,1.001125e+12,4.007330e+12,4.007330e+12,1.000417e+12,7.077888e+08,4.001668e+12,5.662310e+09,0,28,7,0.0,4.001668e+12
1789696185.271584,0.2000,174.5920,1.001156e+12,4.007582e+12,4.007582e+12,1.000417e+12,7.392461e+08,4.001668e+12,5.913969e+09,0,28,7,0.0,4.001668e+12
1789696185.471584,0.2000,174.4414,1.001240e+12,4.008253e+12,4.008253e+12,1.000417e+12,8.231322e+08,4.001668e+12,6.585057e+09,0,28,7,0.0,4.001668e+12
1789696185.671584,0.2000,173.3658,1.001298e+12,4.008714e+12,4.008714e+12,1.000417e+12,8.808038e+08,4.001668e+12,7.046431e+09,0,28,7,0.0,4.001668e+12
1789696185.871584,0.2000,173.0488,1.001355e+12,4.009176e+12,4.009176e+12,1.000417e+12,9.384755e+08,4.001668e+12,7.507804e+09,0,28,7,0.0,4.001668e+12
1789696186.071584,0.2000,172.7339,1.001439e+12,4.009847e+12,4.009847e+12,1.000417e+12,1.022362e+09,4.001668e+12,8.178893e+09,0,28,7,0.0,4.001668e+12
1789696186.271584,0.2000,172.7957,1.001471e+12,4.010099e+12,4.010099e+12,1.000417e+12,1.053819e+09,4.001668e+12,8.430551e+09,0,28,7,0.0,4.001668e+12
1789696186.471584,0.2000,172.9418,1.001576e+12,4.010937e+12,4.010937e+12,1.000417e+12,1.158676e+09,4.001668e+12,9.269412e+09,0,28,7,0.0,4.001668e+12
