t_wall,power_w,sm_mhz,mem_mhz,gpu_util,mem_util,temp_c
1784036376.308339,151.141,1980,3201,0.0,0.0,34.0
1784036376.318411,151.141,1980,3201,0.0,0.0,34.0
1784036376.328406,151.141,1980,3201,0.0,0.0,34.0
1784036376.338411,151.141,1980,3201,0.0,0.0,34.0
1784036376.348411,151.141,1980,3201,0.0,0.0,34.0
1784036376.358413,151.141,1980,3201,0.0,0.0,34.0
1784036376.368427,151.141,1980,3201,0.0,0.0,34.0
1784036376.378414,151.141,1980,3201,0.0,0.0,34.0
1784036376.388415,151.141,1980,3201,0.0,0.0,34.0
1784036376.398414,151.141,1980,3201,0.0,0.0,34.0
1784036376.408413,151.100,1980,3201,0.0,0.0,34.0
1784036376.418413,151.100,1980,3201,0.0,0.0,34.0
1784036376.428413,151.100,1980,3201,0.0,0.0,34.0
1784036376.438416,151.100,1980,3201,0.0,0.0,34.0
1784036376.448414,151.100,1980,3201,0.0,0.0,34.0
1784036376.458414,151.100,1980,3201,0.0,0.0,34.0
1784036376.468416,151.100,1980,3201,0.0,0.0,34.0
1784036376.478412,151.100,1980,3201,0.0,0.0,34.0
1784036376.488415,151.100,1980,3201,0.0,0.0,34.0
1784036376.498411,151.100,1980,3201,0.0,0.0,34.0
1784036376.508412,151.218,1980,3201,0.0,0.0,34.0
1784036376.518417,151.218,1980,3201,0.0,0.0,34.0
1784036376.528411,151.218,1980,3201,0.0,0.0,34.0
1784036376.538411,151.218,1980,3201,0.0,0.0,34.0
1784036376.548412,151.218,1980,3201,0.0,0.0,34.0
1784036376.558413,151.218,1980,3201,0.0,0.0,34.0
1784036376.568448,151.218,1980,3201,0.0,0.0,34.0
1784036376.578411,151.218,1980,3201,0.0,0.0,34.0
1784036376.588411,151.218,1980,3201,0.0,0.0,34.0
1784036376.598410,151.218,1980,3201,0.0,0.0,34.0
1784036376.608411,150.667,1980,3201,0.0,0.0,33.0
1784036376.618411,150.667,1980,3201,0.0,0.0,33.0
1784036376.628412,150.667,1980,3201,0.0,0.0,33.0
1784036376.638416,150.667,1980,3201,0.0,0.0,33.0
1784036376.648411,150.667,1980,3201,0.0,0.0,33.0
1784036376.658412,150.667,1980,3201,0.0,0.0,33.0
1784036376.668411,150.667,1980,3201,0.0,0.0,33.0
1784036376.678411,150.667,1980,3201,0.0,0.0,33.0
1784036376.688412,150.667,1980,3201,0.0,0.0,33.0
1784036376.698411,150.667,1980,3201,0.0,0.0,33.0
1784036376.708411,146.628,1980,3201,0.0,0.0,33.0
1784036376.718412,146.628,1980,3201,0.0,0.0,33.0
1784036376.728423,146.628,1980,3201,0.0,0.0,33.0
1784036376.738448,146.628,1980,3201,0.0,0.0,33.0
1784036376.748412,146.628,1980,3201,0.0,0.0,33.0
1784036376.758437,146.628,1980,3201,0.0,0.0,33.0
1784036376.768411,146.628,1980,3201,0.0,0.0,33.0
1784036376.778413,146.628,1980,3201,0.0,0.0,33.0
1784036376.788408,146.628,1980,3201,0.0,0.0,33.0
